retention,draw,donor_id,stable_key,baseline_centered,thinned_centered,signed_displacement,baseline_tail,thinned_tail
1.0,0,H19.33.004,867952329179210017,0.0014460683349819502,0.0014460683349819502,0.0,False,False
1.0,0,H19.33.004,871102772434416621,-0.009316432142187876,-0.009316432142187876,0.0,False,False
1.0,0,H19.33.004,876445142541257913,-0.013463073870546231,-0.013463073870546231,0.0,False,False
1.0,0,H19.33.004,915377467646256401,-0.011757053461008407,-0.011757053461008407,0.0,False,False
1.0,0,H19.33.004,924559944658715499,-0.001038068925590517,-0.001038068925590517,0.0,False,False
1.0,0,H19.33.004,927081704837913014,-0.002530414511144701,-0.002530414511144701,0.0,False,False
1.0,0,H19.33.004,946956129036664967,-0.0007367396912076676,-0.0007367396912076676,0.0,False,False
1.0,0,H19.33.004,971670067141614517,0.00091570420621815,0.00091570420621815,0.0,False,False
1.0,0,H19.33.004,982816032561531503,0.002171338235892755,0.002171338235892755,0.0,False,False
1.0,0,H19.33.004,993566851405868545,-0.009159461151197965,-0.009159461151197965,0.0,False,False
1.0,0,H19.33.004,995735741675239250,0.0062749174006469614,0.0062749174006469614,0.0,False,False
1.0,0,H19.33.004,996310713592653634,-0.0013310018510374541,-0.0013310018510374541,0.0,False,False
1.0,0,H19.33.004,1013190419848448668,-0.0044444941157857215,-0.0044444941157857215,0.0,False,False
1.0,0,H19.33.004,1034983655154469992,-0.008452536004479535,-0.008452536004479535,0.0,False,False
1.0,0,H19.33.004,1060394057306072789,-0.0076211882170587105,-0.0076211882170587105,0.0,False,False
1.0,0,H19.33.004,1092997922672211645,-0.0037615841499001636,-0.0037615841499001636,0.0,False,False
1.0,0,H19.33.004,1116320518970457951,-0.017227005031518486,-0.017227005031518486,0.0,False,False
1.0,0,H19.33.004,1118954756493607186,-0.00771598121156122,-0.00771598121156122,0.0,False,False
1.0,0,H19.33.004,1137800624702663966,-0.008300292430708796,-0.008300292430708796,0.0,False,False
1.0,0,H19.33.004,1151017080808960599,-0.001667067661134558,-0.001667067661134558,0.0,False,False
1.0,0,H19.33.004,1156681264028402377,0.006815502122793929,0.006815502122793929,0.0,False,False
1.0,0,H19.33.004,1169629144990284786,-0.002293849843985958,-0.002293849843985958,0.0,False,False
1.0,0,H19.33.004,1180572613662699680,0.02085012745389008,0.02085012745389008,0.0,True,True
1.0,0,H19.33.004,1187820755548424776,0.017697270823838672,0.017697270823838672,0.0,True,True
1.0,0,H19.33.004,1197593404717608806,-0.01751743745950207,-0.01751743745950207,0.0,False,False
1.0,0,H19.33.004,1198154685435568878,0.0012906298362107445,0.0012906298362107445,0.0,False,False
1.0,0,H19.33.004,1199655360401053027,0.006322228550286992,0.006322228550286992,0.0,False,False
1.0,0,H19.33.004,1204947061485266769,-0.0028235917228928813,-0.0028235917228928813,0.0,False,False
1.0,0,H19.33.004,1208059961772725725,0.0012276342469726143,0.0012276342469726143,0.0,False,False
1.0,0,H19.33.004,1209700359306546948,-0.012330367651483896,-0.012330367651483896,0.0,False,False
1.0,0,H19.33.004,1213701944200213078,0.008265351541202587,0.008265351541202587,0.0,False,False
1.0,0,H19.33.004,1215403291493933595,0.015046686581208953,0.015046686581208953,0.0,True,True
1.0,0,H19.33.004,1242160786394669184,0.009482341500343189,0.009482341500343189,0.0,False,False
1.0,0,H19.33.004,1264729561189265318,-0.006999757350342211,-0.006999757350342211,0.0,False,False
1.0,0,H19.33.004,1301287061308239007,0.0017003965743941918,0.0017003965743941918,0.0,False,False
