gene,in_top20_tier1,in_prior_anchor_group,in_broad_state_control_group,in_special_review_group,audit_selection_reason,final_tier,therapeutic_like_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,graph_neighborhood_label,prior_candidate_flag,targeted_manifold_audit_priority,audit_priority,audit_groups,audit_group::top20_tier1,audit_group::prior_anchor,audit_group::broad_state_caution_control,audit_group::special_review,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,tau_lowering_score_percentile,neuron_preservation_score_percentile,known_biology_note,claim_boundary,scope,AT8_delta_targeted_audit,A_beta_6e10_delta_targeted_audit,GFAP_delta_targeted_audit,Iba1_delta_targeted_audit,NeuN_delta_targeted_audit,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,manifold_nn_backend,AT8_delta_official_screen,A_beta_6e10_delta_official_screen,GFAP_delta_official_screen,Iba1_delta_official_screen,NeuN_delta_official_screen,AT8_delta_absolute_difference,A_beta_6e10_delta_absolute_difference,GFAP_delta_absolute_difference,Iba1_delta_absolute_difference,NeuN_delta_absolute_difference,targeted_manifold_qc_result
ARHGEF7,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.65470852017935,14.8355754857997,56.98804185351271,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,94.88041853512703,92.1898355754858,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0205776914954185,-0.0167870409786701,-0.0065264515578746,-0.0054832682944834,0.0191716812551021,within_manifold_threshold,not_separately_audited,True,,0.0002173657558159,0.0002674722927622,0.0026380573399364,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0206142347306013,-0.0167588517069816,-0.0065909316763281,-0.0054729157127439,0.0191455166786909,3.654323518280031e-05,2.8189271688499468e-05,6.448011845350005e-05,1.0352581739499385e-05,2.616457641119868e-05,pass_within_manifold_threshold
LRCH3,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.6173393124066,44.09566517189836,79.26008968609865,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,97.19730941704036,92.67563527653216,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0263303127139806,-0.0246328990906476,-0.0206264834851026,0.0063723847270011,0.0196690279990434,within_manifold_threshold,not_separately_audited,True,,0.0002168220235034,0.0002259186876472,0.0027572456747293,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0263251159340143,-0.0246594510972499,-0.0205209739506244,0.0063387863337993,0.0197265315800905,5.196779966298859e-06,2.655200660230117e-05,0.00010550953447820144,3.359839320180025e-05,5.750358104709974e-05,pass_within_manifold_threshold
KIF1B,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.5799701046338,14.8355754857997,52.16741405082213,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.05680119581464,68.64723467862481,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0322067402303218,0.0121616283431649,-0.0075148409232497,-0.0053178328089416,0.0070767789147794,within_manifold_threshold,not_separately_audited,True,,0.0002631709212437,0.0002376910560997,0.0027804982382804,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0322608053684234,0.0121480375528335,-0.0075676362030208,-0.0052342801354825,0.0070645217783749,5.4065138101598575e-05,1.3590790331400107e-05,5.279527977109996e-05,8.355267345909988e-05,1.2257136404500435e-05,pass_within_manifold_threshold
RAD51B,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.542600896861,14.8355754857997,68.34828101644244,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.92675635276532,89.27503736920778,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0224965065717697,-0.0110586062073707,-0.0076893796212971,-0.0225305613130331,0.016467485576868,within_manifold_threshold,not_separately_audited,True,,0.0001613596250535,0.0001365114148939,0.0027604743372648,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0225164536386728,-0.0111041897907853,-0.007769311312586,-0.0225516054779291,0.0164973307400941,1.994706690310044e-05,4.55835834145997e-05,7.993169128889949e-05,2.1044164896000944e-05,2.984516322610334e-05,pass_within_manifold_threshold
PI4KA,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.4678624813154,14.8355754857997,48.16890881913303,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,90.13452914798206,95.440956651719,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0141540067270398,-0.0039368467405438,-0.0109177250415086,-0.0076503525488078,0.024337688460946,within_manifold_threshold,not_separately_audited,True,,0.000193942032638,0.0002367823763052,0.0027249311096966,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0141711449250578,-0.0039072586223483,-0.0108419004827737,-0.0076457276009023,0.0243642032146453,1.7138198017999443e-05,2.9588118195499925e-05,7.582455873490074e-05,4.6249479054997e-06,2.6514753699299204e-05,pass_within_manifold_threshold
PTPRE,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.4304932735426,14.8355754857997,88.04185351270553,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,93.12406576980568,93.01195814648727,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.017884038388729,-0.0016740801511332,-0.0407471098005771,-0.0381510630249977,0.0200399309396743,within_manifold_threshold,not_separately_audited,True,,0.0001726518094073,0.0001181422630907,0.0027823694981634,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0179174933582544,-0.0017460450762882,-0.040797222405672,-0.0381448790431022,0.02001778408885,3.345496952540314e-05,7.196492515500002e-05,5.011260509489579e-05,6.18398189549535e-06,2.2146850824300568e-05,pass_within_manifold_threshold
STARD13,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.3931240657698,14.8355754857997,80.68011958146487,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,94.73094170403589,90.05979073243647,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0200088582932949,-0.0142967142164707,-0.043094377964735,-0.0051824897527694,0.0170442815870046,within_manifold_threshold,not_separately_audited,True,,0.0002063228748738,0.0002156778937205,0.0028218897059559,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0200614258646965,-0.0142872249707579,-0.0431319959461689,-0.0051408777944743,0.0170703306794166,5.256757140159954e-05,9.489245712798744e-06,3.7617981433896164e-05,4.161195829509995e-05,2.6049092412001873e-05,pass_within_manifold_threshold
SARAF,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.24364723467862,14.8355754857997,74.85052316890882,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.55306427503736,86.88340807174887,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0216336175799369,-0.0188328996300697,-0.0275387112051248,-0.0070427292957901,0.0148762352764606,within_manifold_threshold,not_separately_audited,True,,0.0002204455522587,0.0002156360133085,0.0027403533458709,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0216446965932846,-0.0189046002924442,-0.0275713484734296,-0.0070646251551806,0.0148863885551691,1.107901334769859e-05,7.170066237449993e-05,3.263726830480054e-05,2.189585939049981e-05,1.015327870849958e-05,pass_within_manifold_threshold
MSR1,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,98.20627802690582,38.15396113602392,71.78624813153961,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.73991031390136,91.03139013452916,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0218838937580585,-0.0243652090430259,0.0034775438252836,-0.0170394536107778,0.0180640295147895,within_manifold_threshold,not_separately_audited,True,,0.0002407857391517,0.000290262105409,0.0027720557991415,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0219164546579122,-0.0243478659540414,0.0034766492899507,-0.0170010160654783,0.0180482119321823,3.256089985369942e-05,1.734308898449985e-05,8.945353329003862e-07,3.8437545299498804e-05,1.5817582607199898e-05,pass_within_manifold_threshold
NCOA2,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.16890881913304,14.8355754857997,83.48281016442452,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,90.05979073243647,94.50672645739913,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0140393693000078,-0.0280969459563493,-0.0224659331142902,-0.0194837655872106,0.0222856551408767,within_manifold_threshold,not_separately_audited,True,,0.0001964373805094,0.0001661023561609,0.002715220907703,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0140862883999943,-0.0280519519001245,-0.0224576853215694,-0.0194439124315977,0.0223144069314003,4.691909998650115e-05,4.499405622479871e-05,8.247792720798147e-06,3.9853155612900454e-05,2.875179052359844e-05,pass_within_manifold_threshold
SLAIN2,False,False,False,True,pre-specified special-review gene,broad_state_caution,100.0,48.13153961136024,97.98206278026906,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.43946188340809,99.2899850523169,Microtubule-associated candidate; project-specific biology remains under review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0502732619643211,-0.0897796303033828,-0.0208575185388326,0.0081725344061851,0.0663270652294159,within_manifold_threshold,not_separately_audited,True,,0.0004982604295946,0.0003626239486038,0.0026787698734551,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0502972230315208,-0.08978071808815,-0.0208205915987491,0.0081464760005474,0.0663134679198265,2.3961067199700092e-05,1.0877847671925123e-06,3.6926940083500254e-05,2.6058405637699456e-05,1.3597309589399864e-05,pass_within_manifold_threshold
GSK3B,False,False,False,True,pre-specified special-review gene,unsupported_or_deprioritized,99.88789237668162,14.8355754857997,92.48878923766816,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,not_promoted,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,97.75784753363229,99.2526158445441,Kinase with established tau-phosphorylation relevance; remains an isolated model hit here.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0287362243980169,-0.0145400948822498,-0.0061440467834472,-0.0246934816241264,0.0655689984560012,within_manifold_threshold,not_separately_audited,True,,0.0005678449524566,0.0004795055137947,0.0028029554523527,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0287191793322563,-0.0145166618749499,-0.0060518244281411,-0.0247154049575328,0.0655743107199668,1.704506576059861e-05,2.3433007299900055e-05,9.222235530609996e-05,2.1923333406399792e-05,5.3122639656066895e-06,pass_within_manifold_threshold
FIP1L1,False,False,False,True,pre-specified special-review gene,broad_state_caution,99.85052316890882,67.82511210762333,97.15994020926756,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.62630792227203,98.4678624813154,RNA-processing-associated candidate; project-specific biology remains under review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",graph_connected,-0.0589277222752571,-0.0326613821089267,-0.0501691736280918,0.0199798643589019,0.0380690246820449,within_manifold_threshold,not_separately_audited,True,,0.0004898370825685,0.0004024695372208,0.0027970317751169,0.0095683196559548,0.0174692813307046,0.0,torch,-0.0589387863874435,-0.0326757654547691,-0.0501308292150497,0.0199781395494937,0.0380350537598133,1.106411218640413e-05,1.4383345842403084e-05,3.834441304209624e-05,1.724809408201744e-06,3.3970922231597867e-05,pass_within_manifold_threshold
