dataset_id,geo_accession,dataset_name,organism,assay_type,expected_role,file_name,file_type,download_status,local_path,file_size_mb,n_rows,n_columns,matrix_shape,column_names_preview,metadata_columns_preview,sample_id_column_candidates,donor_id_column_candidates,diagnosis_column_candidates,cell_type_column_candidates,region_column_candidates,sex_column_candidates,age_column_candidates,batch_column_candidates,gene_id_column_candidates,gene_symbol_column_candidates,pathology_or_stage_column_candidates,notes
gse203206,GSE203206,Candidate public bulk donor/sample-level external stress test,Homo sapiens,bulk RNA-seq / expression profiling,bulk donor/sample-level external stress test,GSE203206_Subramaniam.ADRC_brain.metadata.tsv.gz,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE203nnn/GSE203206/suppl/GSE203206_Subramaniam.ADRC_brain.metadata.tsv.gz; header not downloaded in schema-only stage. Bulk sample-level, not cell-level."
gse203206,GSE203206,Candidate public bulk donor/sample-level external stress test,Homo sapiens,bulk RNA-seq / expression profiling,bulk donor/sample-level external stress test,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,supplementary listing entry,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE203nnn/GSE203206/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html; header not downloaded in schema-only stage. Bulk sample-level, not cell-level."
gse98969,GSE98969,Mouse DAM/microglia auxiliary pretraining candidate,Mus musculus,single-cell RNA-seq / microglia signatures,mouse DAM/microglia auxiliary pretraining candidate,GSE98969_series_matrix.txt.gz,SOFT/MINiML/series matrix metadata,downloaded,data/external/public_schema_audit/GSE98969/GSE98969_series_matrix.txt.gz,0.0076,33,97,,,Sample_title; Sample_geo_accession; Sample_status; Sample_submission_date; Sample_last_update_date; Sample_type; Sample_channel_count; Sample_source_name_ch1; Sample_organism_ch1; Sample_characteristics_ch1; Sample_growth_protocol_ch1; Sample_molecule_ch1; Sample_extract_protocol_ch1; Sample_taxid_ch1; Sample_description; Sample_data_processing; Sample_platform_id; Sample_contact_name; Sample_contact_email; Sample_contact_phone; Sample_contact_department; Sample_contact_institute; Sample_contact_address; Sample_contact_city; Sample_contact_zip/postal_code; Sample_contact_country; Sample_data_row_count; Sample_instrument_model; Sample_library_selection; Sample_library_source; Sample_library_strategy; Sample_relation; Sample_supplementary_file_1,geo_accession; sample; title,,control; ad,,brain; cortex,,age; months,platform; library,,,,"Sample_title=AB1442 | AB1443 | AB1444; Sample_geo_accession=GSM2629341 | GSM2629342 | GSM2629343; Sample_status=Public on Jun 12 2017 | Public on Jun 12 2017 | Public on Jun 12 2017; Sample_submission_date=May 16 2017 | May 16 2017 | May 16 2017; Sample_last_update_date=May 15 2019 | May 15 2019 | May 15 2019; Sample_type=SRA | SRA | SRA; Sample_channel_count=1 | 1 | 1; Sample_source_name_ch1=Whole brain | Whole brain | Whole brain; Sample_organism_ch1=Mus musculus | Mus musculus | Mus musculus; Sample_characteristics_ch1=mouse age: 6 months | mouse age: 6 months | mouse age: 6 months; Sample_growth_protocol_ch1=Either whole brains, spinal cords, or specific parts of the brain (cortex or cerebellum), not excluding meninges and choroid plexus, were collected from mice following perfusion. | Mouse; any integration requires mouse-to-human ortholog mapping."
gse98969,GSE98969,Mouse DAM/microglia auxiliary pretraining candidate,Mus musculus,single-cell RNA-seq / microglia signatures,mouse DAM/microglia auxiliary pretraining candidate,GSE98969_RAW.tar,supplementary listing entry,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98969/suppl/GSE98969_RAW.tar; header not downloaded in schema-only stage. Mouse; any integration requires mouse-to-human ortholog mapping.
gse98969,GSE98969,Mouse DAM/microglia auxiliary pretraining candidate,Mus musculus,single-cell RNA-seq / microglia signatures,mouse DAM/microglia auxiliary pretraining candidate,GSE98969_experimental_design_f.txt.gz,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98969/suppl/GSE98969_experimental_design_f.txt.gz; header not downloaded in schema-only stage. Mouse; any integration requires mouse-to-human ortholog mapping.
gse98969,GSE98969,Mouse DAM/microglia auxiliary pretraining candidate,Mus musculus,single-cell RNA-seq / microglia signatures,mouse DAM/microglia auxiliary pretraining candidate,filelist.txt,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98969/suppl/filelist.txt; header not downloaded in schema-only stage. Mouse; any integration requires mouse-to-human ortholog mapping.
gse98969,GSE98969,Mouse DAM/microglia auxiliary pretraining candidate,Mus musculus,single-cell RNA-seq / microglia signatures,mouse DAM/microglia auxiliary pretraining candidate,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,supplementary listing entry,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98969/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html; header not downloaded in schema-only stage. Mouse; any integration requires mouse-to-human ortholog mapping.
gse127893,GSE127893,Mouse/public subseries review candidate,Mus musculus,mixed/subseries RNA-seq,review subseries before any download,GSE127893_series_matrix.txt.gz,SOFT/MINiML/series matrix metadata,downloaded,data/external/public_schema_audit/GSE127893/GSE127893_series_matrix.txt.gz,0.4935,31,15360,,,Sample_title; Sample_geo_accession; Sample_status; Sample_submission_date; Sample_last_update_date; Sample_type; Sample_channel_count; Sample_source_name_ch1; Sample_organism_ch1; Sample_characteristics_ch1; Sample_growth_protocol_ch1; Sample_molecule_ch1; Sample_extract_protocol_ch1; Sample_taxid_ch1; Sample_data_processing; Sample_platform_id; Sample_contact_name; Sample_contact_email; Sample_contact_department; Sample_contact_institute; Sample_contact_address; Sample_contact_city; Sample_contact_zip/postal_code; Sample_contact_country; Sample_data_row_count; Sample_instrument_model; Sample_library_selection; Sample_library_source; Sample_library_strategy; Sample_relation; Sample_supplementary_file_1,geo_accession; sample; title; cell,,disease; control; ad,,brain; cortex,,,platform; library,,,,"Sample_title=D18MC.1A1 | D18MC.1A10 | D18MC.1A11; Sample_geo_accession=GSM3640488 | GSM3640489 | GSM3640490; Sample_status=Public on Apr 23 2019 | Public on Apr 23 2019 | Public on Apr 23 2019; Sample_submission_date=Mar 05 2019 | Mar 05 2019 | Mar 05 2019; Sample_last_update_date=Apr 23 2019 | Apr 23 2019 | Apr 23 2019; Sample_type=SRA | SRA | SRA; Sample_channel_count=1 | 1 | 1; Sample_source_name_ch1=Cortex | Cortex | Cortex; Sample_organism_ch1=Mus musculus | Mus musculus | Mus musculus; Sample_characteristics_ch1= |  | ; Sample_growth_protocol_ch1=APPswe/PS1dE9 (APP/PS1) were crossed with a C57Bl/6-Apoenull breeder to obtain homozygous APP/PS1-Apoenull mice [Hudry et. al., submited)]. APP/PS1-Apoe(null) mice, along with parental APP/PS1 mice and the respective control strains C57Bl/6  Mouse; inspect subseries metadata before any raw/SRA download."
gse127893,GSE127893,Mouse/public subseries review candidate,Mus musculus,mixed/subseries RNA-seq,review subseries before any download,supplementary_listing,supplementary listing,listing_unavailable,,,,,,,,,,,,,,,,,,,HTTPError: HTTP Error 404: Not Found Mouse; inspect subseries metadata before any raw/SRA download.
gse181279,GSE181279,Peripheral immune plausibility/auxiliary candidate,Homo sapiens,peripheral blood immune single-cell/bulk profiling,peripheral immune plausibility/auxiliary only,GSE181279_series_matrix.txt.gz,SOFT/MINiML/series matrix metadata,downloaded,data/external/public_schema_audit/GSE181279/GSE181279_series_matrix.txt.gz,0.0034,34,15,,,Sample_title; Sample_geo_accession; Sample_status; Sample_submission_date; Sample_last_update_date; Sample_type; Sample_channel_count; Sample_source_name_ch1; Sample_organism_ch1; Sample_characteristics_ch1; Sample_molecule_ch1; Sample_extract_protocol_ch1; Sample_taxid_ch1; Sample_description; Sample_data_processing; Sample_platform_id; Sample_contact_name; Sample_contact_email; Sample_contact_phone; Sample_contact_department; Sample_contact_institute; Sample_contact_address; Sample_contact_city; Sample_contact_zip/postal_code; Sample_contact_country; Sample_data_row_count; Sample_instrument_model; Sample_library_selection; Sample_library_source; Sample_library_strategy; Sample_relation; Sample_supplementary_file_1; Sample_supplementary_file_2; Sample_supplementary_file_3,geo_accession; sample; title; barcode; cell,,disease; ad,,,,,platform; library,features.tsv,gene; features.tsv,,Sample_title=AD1_GEX | AD1_BCR | AD1_TCR; Sample_geo_accession=GSM5494107 | GSM5494108 | GSM5494109; Sample_status=Public on Aug 03 2021 | Public on Aug 03 2021 | Public on Aug 03 2021; Sample_submission_date=Aug 01 2021 | Aug 01 2021 | Aug 01 2021; Sample_last_update_date=Aug 03 2021 | Aug 03 2021 | Aug 03 2021; Sample_type=SRA | SRA | SRA; Sample_channel_count=1 | 1 | 1; Sample_source_name_ch1=Homo sapiens mononuclear cells | Homo sapiens mononuclear cells | Homo sapiens mononuclear cells; Sample_organism_ch1=Homo sapiens | Homo sapiens | Homo sapiens; Sample_characteristics_ch1=apoe genotype: APOE e2/4 | apoe genotype: APOE e2/4 | apoe genotype: APOE e2/4; Sample_molecule_ch1=total RNA | total RNA | total RNA; Sample_extract_protocol_ch1=RNA libraries were prepared with Chromium Single  Peripheral blood; not direct brain microglia validation.
gse181279,GSE181279,Peripheral immune plausibility/auxiliary candidate,Homo sapiens,peripheral blood immune single-cell/bulk profiling,peripheral immune plausibility/auxiliary only,GSE181279_RAW.tar,supplementary listing entry,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_RAW.tar; header not downloaded in schema-only stage. Peripheral blood; not direct brain microglia validation.
gse181279,GSE181279,Peripheral immune plausibility/auxiliary candidate,Homo sapiens,peripheral blood immune single-cell/bulk profiling,peripheral immune plausibility/auxiliary only,GSE181279_barcodes.tsv.gz,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_barcodes.tsv.gz; header not downloaded in schema-only stage. Peripheral blood; not direct brain microglia validation.
gse181279,GSE181279,Peripheral immune plausibility/auxiliary candidate,Homo sapiens,peripheral blood immune single-cell/bulk profiling,peripheral immune plausibility/auxiliary only,GSE181279_features.tsv.gz,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_features.tsv.gz; header not downloaded in schema-only stage. Peripheral blood; not direct brain microglia validation.
gse181279,GSE181279,Peripheral immune plausibility/auxiliary candidate,Homo sapiens,peripheral blood immune single-cell/bulk profiling,peripheral immune plausibility/auxiliary only,GSE181279_matrix.mtx.gz,MTX/TSV,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/GSE181279_matrix.mtx.gz; header not downloaded in schema-only stage. Peripheral blood; not direct brain microglia validation.
gse181279,GSE181279,Peripheral immune plausibility/auxiliary candidate,Homo sapiens,peripheral blood immune single-cell/bulk profiling,peripheral immune plausibility/auxiliary only,filelist.txt,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/filelist.txt; header not downloaded in schema-only stage. Peripheral blood; not direct brain microglia validation.
gse181279,GSE181279,Peripheral immune plausibility/auxiliary candidate,Homo sapiens,peripheral blood immune single-cell/bulk profiling,peripheral immune plausibility/auxiliary only,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,supplementary listing entry,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181279/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html; header not downloaded in schema-only stage. Peripheral blood; not direct brain microglia validation.
gse174367,GSE174367,Already-used Morabito external AD microglia context,Homo sapiens,single-cell/nucleus RNA-seq,plausibility/projection only,GSE174367_series_matrix.txt.gz,SOFT/MINiML/series matrix metadata,downloaded,data/external/public_schema_audit/GSE174367/GSE174367_series_matrix.txt.gz,0.0133,32,230,,,Sample_title; Sample_geo_accession; Sample_status; Sample_submission_date; Sample_last_update_date; Sample_type; Sample_channel_count; Sample_source_name_ch1; Sample_organism_ch1; Sample_characteristics_ch1; Sample_molecule_ch1; Sample_extract_protocol_ch1; Sample_taxid_ch1; Sample_description; Sample_data_processing; Sample_platform_id; Sample_contact_name; Sample_contact_email; Sample_contact_department; Sample_contact_institute; Sample_contact_address; Sample_contact_city; Sample_contact_state; Sample_contact_zip/postal_code; Sample_contact_country; Sample_data_row_count; Sample_instrument_model; Sample_library_selection; Sample_library_source; Sample_library_strategy; Sample_relation; Sample_supplementary_file_1,geo_accession; sample; title; cell,,control; ad,,brain,,,platform; library,,,,"Sample_title=Sample-100 (snRNA-seq) | Sample-101 (snRNA-seq) | Sample-17 (snRNA-seq); Sample_geo_accession=GSM5292838 | GSM5292839 | GSM5292840; Sample_status=Public on May 12 2021 | Public on May 12 2021 | Public on May 12 2021; Sample_submission_date=May 12 2021 | May 12 2021 | May 12 2021; Sample_last_update_date=May 14 2021 | May 14 2021 | May 14 2021; Sample_type=SRA | SRA | SRA; Sample_channel_count=1 | 1 | 1; Sample_source_name_ch1=Control brain | Control brain | AD brain; Sample_organism_ch1=Homo sapiens | Homo sapiens | Homo sapiens; Sample_characteristics_ch1=isolation: unbiased total nuclei isolation | isolation: unbiased total nuclei isolation | isolation: unbiased total nuclei isolation; Sample_molecule_ch1=nuclear RNA | nuclear RNA | nuclear RNA; Sample_extract_protocol_ch1=L Already used in v1/v2 context, not clean validation."
gse174367,GSE174367,Already-used Morabito external AD microglia context,Homo sapiens,single-cell/nucleus RNA-seq,plausibility/projection only,GSE174367_bulkRNA_processed.rda.gz,supplementary listing entry,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_bulkRNA_processed.rda.gz; header not downloaded in schema-only stage. Already used in v1/v2 context, not clean validation."
gse174367,GSE174367,Already-used Morabito external AD microglia context,Homo sapiens,single-cell/nucleus RNA-seq,plausibility/projection only,GSE174367_snATAC-seq_cell_meta.csv.gz,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snATAC-seq_cell_meta.csv.gz; header not downloaded in schema-only stage. Already used in v1/v2 context, not clean validation."
gse174367,GSE174367,Already-used Morabito external AD microglia context,Homo sapiens,single-cell/nucleus RNA-seq,plausibility/projection only,GSE174367_snATAC-seq_filtered_peak_bc_matrix.h5,H5,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snATAC-seq_filtered_peak_bc_matrix.h5; header not downloaded in schema-only stage. Already used in v1/v2 context, not clean validation."
gse174367,GSE174367,Already-used Morabito external AD microglia context,Homo sapiens,single-cell/nucleus RNA-seq,plausibility/projection only,GSE174367_snRNA-seq_cell_meta.csv.gz,CSV/TSV counts or metadata,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snRNA-seq_cell_meta.csv.gz; header not downloaded in schema-only stage. Already used in v1/v2 context, not clean validation."
gse174367,GSE174367,Already-used Morabito external AD microglia context,Homo sapiens,single-cell/nucleus RNA-seq,plausibility/projection only,GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,H5,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5; header not downloaded in schema-only stage. Already used in v1/v2 context, not clean validation."
gse174367,GSE174367,Already-used Morabito external AD microglia context,Homo sapiens,single-cell/nucleus RNA-seq,plausibility/projection only,https://www.hhs.gov/vulnerability-disclosure-policy/index.html,supplementary listing entry,not_downloaded_large_file,,,,,,,,,,,,,,,,,,,"Supplementary file listed at https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174367/suppl/https://www.hhs.gov/vulnerability-disclosure-policy/index.html; header not downloaded in schema-only stage. Already used in v1/v2 context, not clean validation."
