control_graph_id,control_type,seed,scenario_id,regulator,direction,magnitude,cell_count,donor_count,edge_count_for_regulator
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79009,degree_preserving_edge_shuffle,79009,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79010,degree_preserving_edge_shuffle,79010,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79011,degree_preserving_edge_shuffle,79011,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79012,degree_preserving_edge_shuffle,79012,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,ELF1_up_0p25,ELF1,up,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,ELF1_down_0p25,ELF1,down,0.25,32,6,23
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,SPI1_up_0p10,SPI1,up,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,SPI1_down_0p10,SPI1,down,0.1,32,6,14
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,SPI1_up_0p25,SPI1,up,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79013,degree_preserving_edge_shuffle,79013,SPI1_down_0p25,SPI1,down,0.25,32,6,14
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,STAT1_up_0p10,STAT1,up,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,STAT1_down_0p10,STAT1,down,0.1,32,6,16
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,STAT1_up_0p25,STAT1,up,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,STAT1_down_0p25,STAT1,down,0.25,32,6,16
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,ELF1_up_0p10,ELF1,up,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,ELF1_down_0p10,ELF1,down,0.1,32,6,23
degree_preserving_edge_shuffle_seed_79014,degree_preserving_edge_shuffle,79014,ELF1_up_0p25,ELF1,up,0.25,32,6,23
