control_graph_id,control_type,seed,edge_count,referenced_frozen_real_results,swap_attempts,accepted_swaps,rejected_duplicate_edges,rejected_invalid_self_edges,rejected_same_tf,final_edge_overlap_with_real,label_shuffle_attempts,tf_label_changed_fraction,exact_match_count,expanded_match_count,maximum_stratum_distance,mean_stratum_distance,unavailable_match_count
degree_preserving_edge_shuffle_seed_79044,degree_preserving_edge_shuffle,79044,53,,20000.0,804.0,12376.0,0.0,6821.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79045,degree_preserving_edge_shuffle,79045,53,,20000.0,719.0,12624.0,0.0,6657.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79046,degree_preserving_edge_shuffle,79046,53,,20000.0,716.0,12579.0,0.0,6705.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79047,degree_preserving_edge_shuffle,79047,53,,20000.0,741.0,12503.0,0.0,6756.0,49.0,,,,,,,
degree_preserving_edge_shuffle_seed_79048,degree_preserving_edge_shuffle,79048,53,,20000.0,716.0,12520.0,0.0,6764.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79049,degree_preserving_edge_shuffle,79049,53,,20000.0,751.0,12570.0,0.0,6679.0,51.0,,,,,,,
degree_preserving_edge_shuffle_seed_79050,degree_preserving_edge_shuffle,79050,53,,20000.0,702.0,12523.0,0.0,6775.0,49.0,,,,,,,
tf_label_shuffle_seed_79001,tf_label_shuffle,79001,53,,,,,,,,1.0,0.6037735849056604,,,,,
tf_label_shuffle_seed_79002,tf_label_shuffle,79002,53,,,,,,,,2.0,0.6792452830188679,,,,,
tf_label_shuffle_seed_79003,tf_label_shuffle,79003,53,,,,,,,,1.0,0.660377358490566,,,,,
tf_label_shuffle_seed_79004,tf_label_shuffle,79004,53,,,,,,,,1.0,0.6037735849056604,,,,,
tf_label_shuffle_seed_79005,tf_label_shuffle,79005,53,,,,,,,,1.0,0.49056603773584906,,,,,
tf_label_shuffle_seed_79006,tf_label_shuffle,79006,53,,,,,,,,1.0,0.6037735849056604,,,,,
tf_label_shuffle_seed_79007,tf_label_shuffle,79007,53,,,,,,,,1.0,0.6226415094339622,,,,,
tf_label_shuffle_seed_79008,tf_label_shuffle,79008,53,,,,,,,,1.0,0.49056603773584906,,,,,
tf_label_shuffle_seed_79009,tf_label_shuffle,79009,53,,,,,,,,1.0,0.5660377358490566,,,,,
tf_label_shuffle_seed_79010,tf_label_shuffle,79010,53,,,,,,,,1.0,0.6415094339622641,,,,,
tf_label_shuffle_seed_79011,tf_label_shuffle,79011,53,,,,,,,,1.0,0.5849056603773585,,,,,
tf_label_shuffle_seed_79012,tf_label_shuffle,79012,53,,,,,,,,1.0,0.5849056603773585,,,,,
tf_label_shuffle_seed_79013,tf_label_shuffle,79013,53,,,,,,,,1.0,0.49056603773584906,,,,,
tf_label_shuffle_seed_79014,tf_label_shuffle,79014,53,,,,,,,,2.0,0.6037735849056604,,,,,
tf_label_shuffle_seed_79015,tf_label_shuffle,79015,53,,,,,,,,2.0,0.5660377358490566,,,,,
tf_label_shuffle_seed_79016,tf_label_shuffle,79016,53,,,,,,,,2.0,0.6226415094339622,,,,,
tf_label_shuffle_seed_79017,tf_label_shuffle,79017,53,,,,,,,,1.0,0.5660377358490566,,,,,
tf_label_shuffle_seed_79018,tf_label_shuffle,79018,53,,,,,,,,1.0,0.6037735849056604,,,,,
tf_label_shuffle_seed_79019,tf_label_shuffle,79019,53,,,,,,,,1.0,0.6981132075471698,,,,,
tf_label_shuffle_seed_79020,tf_label_shuffle,79020,53,,,,,,,,1.0,0.5849056603773585,,,,,
tf_label_shuffle_seed_79021,tf_label_shuffle,79021,53,,,,,,,,1.0,0.660377358490566,,,,,
tf_label_shuffle_seed_79022,tf_label_shuffle,79022,53,,,,,,,,1.0,0.6226415094339622,,,,,
tf_label_shuffle_seed_79023,tf_label_shuffle,79023,53,,,,,,,,1.0,0.49056603773584906,,,,,
tf_label_shuffle_seed_79024,tf_label_shuffle,79024,53,,,,,,,,1.0,0.660377358490566,,,,,
tf_label_shuffle_seed_79025,tf_label_shuffle,79025,53,,,,,,,,1.0,0.5471698113207547,,,,,
tf_label_shuffle_seed_79026,tf_label_shuffle,79026,53,,,,,,,,1.0,0.6981132075471698,,,,,
tf_label_shuffle_seed_79027,tf_label_shuffle,79027,53,,,,,,,,1.0,0.6792452830188679,,,,,
tf_label_shuffle_seed_79028,tf_label_shuffle,79028,53,,,,,,,,1.0,0.6981132075471698,,,,,
tf_label_shuffle_seed_79029,tf_label_shuffle,79029,53,,,,,,,,1.0,0.5471698113207547,,,,,
tf_label_shuffle_seed_79030,tf_label_shuffle,79030,53,,,,,,,,1.0,0.7547169811320755,,,,,
tf_label_shuffle_seed_79031,tf_label_shuffle,79031,53,,,,,,,,1.0,0.6037735849056604,,,,,
tf_label_shuffle_seed_79032,tf_label_shuffle,79032,53,,,,,,,,1.0,0.5849056603773585,,,,,
tf_label_shuffle_seed_79033,tf_label_shuffle,79033,53,,,,,,,,1.0,0.6415094339622641,,,,,
tf_label_shuffle_seed_79034,tf_label_shuffle,79034,53,,,,,,,,1.0,0.6981132075471698,,,,,
tf_label_shuffle_seed_79035,tf_label_shuffle,79035,53,,,,,,,,1.0,0.7358490566037735,,,,,
tf_label_shuffle_seed_79036,tf_label_shuffle,79036,53,,,,,,,,1.0,0.7358490566037735,,,,,
tf_label_shuffle_seed_79037,tf_label_shuffle,79037,53,,,,,,,,1.0,0.6792452830188679,,,,,
tf_label_shuffle_seed_79038,tf_label_shuffle,79038,53,,,,,,,,1.0,0.5849056603773585,,,,,
tf_label_shuffle_seed_79039,tf_label_shuffle,79039,53,,,,,,,,1.0,0.6415094339622641,,,,,
tf_label_shuffle_seed_79040,tf_label_shuffle,79040,53,,,,,,,,1.0,0.6792452830188679,,,,,
tf_label_shuffle_seed_79041,tf_label_shuffle,79041,53,,,,,,,,1.0,0.6981132075471698,,,,,
tf_label_shuffle_seed_79042,tf_label_shuffle,79042,53,,,,,,,,1.0,0.6981132075471698,,,,,
tf_label_shuffle_seed_79043,tf_label_shuffle,79043,53,,,,,,,,2.0,0.5849056603773585,,,,,
tf_label_shuffle_seed_79044,tf_label_shuffle,79044,53,,,,,,,,1.0,0.5471698113207547,,,,,
tf_label_shuffle_seed_79045,tf_label_shuffle,79045,53,,,,,,,,1.0,0.49056603773584906,,,,,
tf_label_shuffle_seed_79046,tf_label_shuffle,79046,53,,,,,,,,1.0,0.5094339622641509,,,,,
tf_label_shuffle_seed_79047,tf_label_shuffle,79047,53,,,,,,,,1.0,0.5660377358490566,,,,,
tf_label_shuffle_seed_79048,tf_label_shuffle,79048,53,,,,,,,,1.0,0.6792452830188679,,,,,
tf_label_shuffle_seed_79049,tf_label_shuffle,79049,53,,,,,,,,1.0,0.5283018867924528,,,,,
tf_label_shuffle_seed_79050,tf_label_shuffle,79050,53,,,,,,,,1.0,0.6792452830188679,,,,,
expression_matched_random_targets_seed_79001,expression_matched_random_targets,79001,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79002,expression_matched_random_targets,79002,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79003,expression_matched_random_targets,79003,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79004,expression_matched_random_targets,79004,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79005,expression_matched_random_targets,79005,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79006,expression_matched_random_targets,79006,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79007,expression_matched_random_targets,79007,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79008,expression_matched_random_targets,79008,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79009,expression_matched_random_targets,79009,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79010,expression_matched_random_targets,79010,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79011,expression_matched_random_targets,79011,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79012,expression_matched_random_targets,79012,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79013,expression_matched_random_targets,79013,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79014,expression_matched_random_targets,79014,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79015,expression_matched_random_targets,79015,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79016,expression_matched_random_targets,79016,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79017,expression_matched_random_targets,79017,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79018,expression_matched_random_targets,79018,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79019,expression_matched_random_targets,79019,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79020,expression_matched_random_targets,79020,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79021,expression_matched_random_targets,79021,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79022,expression_matched_random_targets,79022,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79023,expression_matched_random_targets,79023,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79024,expression_matched_random_targets,79024,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79025,expression_matched_random_targets,79025,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79026,expression_matched_random_targets,79026,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79027,expression_matched_random_targets,79027,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79028,expression_matched_random_targets,79028,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79029,expression_matched_random_targets,79029,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79030,expression_matched_random_targets,79030,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79031,expression_matched_random_targets,79031,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79032,expression_matched_random_targets,79032,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79033,expression_matched_random_targets,79033,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79034,expression_matched_random_targets,79034,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79035,expression_matched_random_targets,79035,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79036,expression_matched_random_targets,79036,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79037,expression_matched_random_targets,79037,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79038,expression_matched_random_targets,79038,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79039,expression_matched_random_targets,79039,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79040,expression_matched_random_targets,79040,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79041,expression_matched_random_targets,79041,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79042,expression_matched_random_targets,79042,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79043,expression_matched_random_targets,79043,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79044,expression_matched_random_targets,79044,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79045,expression_matched_random_targets,79045,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79046,expression_matched_random_targets,79046,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79047,expression_matched_random_targets,79047,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79048,expression_matched_random_targets,79048,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79049,expression_matched_random_targets,79049,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
expression_matched_random_targets_seed_79050,expression_matched_random_targets,79050,53,,,,,,,,,,53.0,0.0,0.0,0.0,0.0
