panel_gene,panel_groups,n_canonical_addresses,molecular_address_index,molecular_address_id,rna_state,rna_microglia_state,annotation_regulatory_state,atac_accessibility_state,atac_microglia_accessibility_state,regulatory_evidence_state,matched_rna_atac_state
CSF1R,prior_anchor,1,14980,ENSG00000182578,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
CTSD,prior_anchor,1,4748,ENSG00000117984,MEASURED_DETECTED,MEASURED_BUT_UNDETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
DLG1,broad_state_caution_control,1,1316,ENSG00000075711,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
ERC1,special_review,1,1574,ENSG00000082805,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
FIP1L1,special_review,1,8610,ENSG00000145216,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
GMDS,top20_tier1,1,4078,ENSG00000112699,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
GSK3B,special_review,1,1572,ENSG00000082701,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
HDAC8,broad_state_caution_control,1,8856,ENSG00000147099,MEASURED_DETECTED,MEASURED_BUT_UNDETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
HECTD1,broad_state_caution_control,1,1957,ENSG00000092148,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
KIF1B,top20_tier1,1,726,ENSG00000054523,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
KIF2A,special_review,1,1050,ENSG00000068796,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
LRCH3,top20_tier1,1,15759,ENSG00000186001,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
MDM2,top20_tier1,1,7083,ENSG00000135679,MEASURED_DETECTED,MEASURED_DETECTED,PROMOTER_SUPPORTED,ACCESSIBLE_PROMOTER,ACCESSIBLE_PROMOTER,REGULATORY_EVIDENCE_PRESENT,ELIGIBLE_MATCHED_RNA_ATAC
