stratum,stratum_n_addresses,state_column,state,n_addresses,fraction_of_stratum
STAGE75F_REGULATOR,10,rna_state,MEASURED_DETECTED,10,1.000000
STAGE75F_REGULATOR,10,rna_microglia_state,MEASURED_DETECTED,10,1.000000
STAGE75F_REGULATOR,10,annotation_regulatory_state,PROMOTER_SUPPORTED,10,1.000000
STAGE75F_REGULATOR,10,atac_accessibility_state,ACCESSIBLE_PROMOTER,10,1.000000
STAGE75F_REGULATOR,10,atac_microglia_accessibility_state,ACCESSIBLE_PROMOTER,10,1.000000
STAGE75F_REGULATOR,10,regulatory_evidence_state,REGULATORY_EVIDENCE_PRESENT,10,1.000000
STAGE75F_REGULATOR,10,matched_rna_atac_state,ELIGIBLE_MATCHED_RNA_ATAC,10,1.000000
STAGE75F_TARGET,29,rna_state,MEASURED_DETECTED,29,1.000000
STAGE75F_TARGET,29,rna_microglia_state,MEASURED_DETECTED,29,1.000000
STAGE75F_TARGET,29,annotation_regulatory_state,PROMOTER_SUPPORTED,28,0.965517
STAGE75F_TARGET,29,annotation_regulatory_state,DISTAL_CANDIDATE_ONLY,1,0.034483
STAGE75F_TARGET,29,atac_accessibility_state,ACCESSIBLE_PROMOTER,28,0.965517
STAGE75F_TARGET,29,atac_accessibility_state,ACCESSIBLE_DISTAL_ONLY,1,0.034483
STAGE75F_TARGET,29,atac_microglia_accessibility_state,ACCESSIBLE_PROMOTER,28,0.965517
STAGE75F_TARGET,29,atac_microglia_accessibility_state,ACCESSIBLE_DISTAL_ONLY,1,0.034483
STAGE75F_TARGET,29,regulatory_evidence_state,REGULATORY_EVIDENCE_PRESENT,29,1.000000
STAGE75F_TARGET,29,matched_rna_atac_state,ELIGIBLE_MATCHED_RNA_ATAC,29,1.000000
QUERY_PANEL,44,rna_state,MEASURED_DETECTED,44,1.000000
QUERY_PANEL,44,rna_microglia_state,MEASURED_DETECTED,42,0.954545
QUERY_PANEL,44,rna_microglia_state,MEASURED_BUT_UNDETECTED,2,0.045455
QUERY_PANEL,44,annotation_regulatory_state,PROMOTER_SUPPORTED,42,0.954545
QUERY_PANEL,44,annotation_regulatory_state,DISTAL_CANDIDATE_ONLY,2,0.045455
QUERY_PANEL,44,atac_accessibility_state,ACCESSIBLE_PROMOTER,42,0.954545
QUERY_PANEL,44,atac_accessibility_state,ACCESSIBLE_DISTAL_ONLY,2,0.045455
QUERY_PANEL,44,atac_microglia_accessibility_state,ACCESSIBLE_PROMOTER,42,0.954545
QUERY_PANEL,44,atac_microglia_accessibility_state,ACCESSIBLE_DISTAL_ONLY,2,0.045455
QUERY_PANEL,44,regulatory_evidence_state,REGULATORY_EVIDENCE_PRESENT,44,1.000000
QUERY_PANEL,44,matched_rna_atac_state,ELIGIBLE_MATCHED_RNA_ATAC,44,1.000000
