source,target,source_idx,target_idx,support,string_score,wgcna_tom
BCAR3,BCAR3,137,137,identity_self_loop,,
PTBP2,PTBP2,138,138,identity_self_loop,,
DPYD,DPYD,139,139,identity_self_loop,,
CDC14A,CDC14A,140,140,identity_self_loop,,
SLC30A7,SLC30A7,141,141,identity_self_loop,,
RNPC3,RNPC3,142,142,identity_self_loop,,
FAM102B,FAM102B,143,143,identity_self_loop,,
PRPF38B,PRPF38B,144,144,identity_self_loop,,
STXBP3,STXBP3,145,145,identity_self_loop,,
SORT1,SORT1,146,146,identity_self_loop,,
GNAI3,GNAI3,147,147,identity_self_loop,,
CD53,CD53,148,148,identity_self_loop,,
DRAM2,DRAM2,149,149,identity_self_loop,,
CEPT1,CEPT1,150,150,identity_self_loop,,
C1orf162,C1orf162,151,151,identity_self_loop,,
TMIGD3,TMIGD3,152,152,identity_self_loop,,
RAP1A,RAP1A,153,153,identity_self_loop,,
CTTNBP2NL,CTTNBP2NL,154,154,identity_self_loop,,
WNT2B,WNT2B,155,155,identity_self_loop,,
CAPZA1,CAPZA1,156,156,identity_self_loop,,
SLC16A1-AS1,SLC16A1-AS1,157,157,identity_self_loop,,
MAGI3,MAGI3,158,158,identity_self_loop,,
OLFML3,OLFML3,159,159,identity_self_loop,,
TRIM33,TRIM33,160,160,identity_self_loop,,
CSDE1,CSDE1,161,161,identity_self_loop,,
CD58,CD58,162,162,identity_self_loop,,
MAN1A2,MAN1A2,163,163,identity_self_loop,,
GDAP2,GDAP2,164,164,identity_self_loop,,
NOTCH2,NOTCH2,165,165,identity_self_loop,,
SRGAP2C,SRGAP2C,166,166,identity_self_loop,,
LINC02798,LINC02798,167,167,identity_self_loop,,
SRGAP2B,SRGAP2B,168,168,identity_self_loop,,
RNF115,RNF115,169,169,identity_self_loop,,
TXNIP,TXNIP,170,170,identity_self_loop,,
AC245297.3,AC245297.3,171,171,identity_self_loop,,
FCGR1A,FCGR1A,172,172,identity_self_loop,,
VPS45,VPS45,173,173,identity_self_loop,,
PLEKHO1,PLEKHO1,174,174,identity_self_loop,,
RPRD2,RPRD2,175,175,identity_self_loop,,
ENSA,ENSA,176,176,identity_self_loop,,
CTSS,CTSS,177,177,identity_self_loop,,
ARNT,ARNT,178,178,identity_self_loop,,
CDC42SE1,CDC42SE1,179,179,identity_self_loop,,
PIP5K1A,PIP5K1A,180,180,identity_self_loop,,
POGZ,POGZ,181,181,identity_self_loop,,
SNX27,SNX27,182,182,identity_self_loop,,
S100A4,S100A4,183,183,identity_self_loop,,
GATAD2B,GATAD2B,184,184,identity_self_loop,,
RPS27,RPS27,185,185,identity_self_loop,,
TPM3,TPM3,186,186,identity_self_loop,,
IL6R,IL6R,187,187,identity_self_loop,,
ADAR,ADAR,188,188,identity_self_loop,,
ASH1L,ASH1L,189,189,identity_self_loop,,
YY1AP1,YY1AP1,190,190,identity_self_loop,,
DAP3,DAP3,191,191,identity_self_loop,,
GON4L,GON4L,192,192,identity_self_loop,,
ARHGEF2,ARHGEF2,193,193,identity_self_loop,,
ARHGEF11,ARHGEF11,194,194,identity_self_loop,,
IFI16,IFI16,195,195,identity_self_loop,,
DCAF8,DCAF8,196,196,identity_self_loop,,
COPA,COPA,197,197,identity_self_loop,,
CD84,CD84,198,198,identity_self_loop,,
FCGR2A,FCGR2A,199,199,identity_self_loop,,
FCGR3A,FCGR3A,200,200,identity_self_loop,,
ATF6,ATF6,201,201,identity_self_loop,,
POU2F1,POU2F1,202,202,identity_self_loop,,
CREG1,CREG1,203,203,identity_self_loop,,
RCSD1,RCSD1,204,204,identity_self_loop,,
MPZL1,MPZL1,205,205,identity_self_loop,,
DCAF6,DCAF6,206,206,identity_self_loop,,
SFT2D2,SFT2D2,207,207,identity_self_loop,,
PRRC2C,PRRC2C,208,208,identity_self_loop,,
DNM3,DNM3,209,209,identity_self_loop,,
SUCO,SUCO,210,210,identity_self_loop,,
RC3H1,RC3H1,211,211,identity_self_loop,,
RABGAP1L,RABGAP1L,212,212,identity_self_loop,,
COP1,COP1,213,213,identity_self_loop,,
RASAL2,RASAL2,214,214,identity_self_loop,,
RALGPS2,RALGPS2,215,215,identity_self_loop,,
ABL2,ABL2,216,216,identity_self_loop,,
SOAT1,SOAT1,217,217,identity_self_loop,,
CEP350,CEP350,218,218,identity_self_loop,,
ACBD6,ACBD6,219,219,identity_self_loop,,
XPR1,XPR1,220,220,identity_self_loop,,
STX6,STX6,221,221,identity_self_loop,,
GLUL,GLUL,222,222,identity_self_loop,,
NPL,NPL,223,223,identity_self_loop,,
DHX9,DHX9,224,224,identity_self_loop,,
SMG7,SMG7,225,225,identity_self_loop,,
RGL1,RGL1,226,226,identity_self_loop,,
EDEM3,EDEM3,227,227,identity_self_loop,,
NIBAN1,NIBAN1,228,228,identity_self_loop,,
IVNS1ABP,IVNS1ABP,229,229,identity_self_loop,,
TPR,TPR,230,230,identity_self_loop,,
PLA2G4A,PLA2G4A,231,231,identity_self_loop,,
RGS1,RGS1,232,232,identity_self_loop,,
CDC73,CDC73,233,233,identity_self_loop,,
CFH,CFH,234,234,identity_self_loop,,
DENND1B,DENND1B,235,235,identity_self_loop,,
NEK7,NEK7,236,236,identity_self_loop,,
MIR181A1HG,MIR181A1HG,237,237,identity_self_loop,,
CAMSAP2,CAMSAP2,238,238,identity_self_loop,,
IPO9,IPO9,239,239,identity_self_loop,,
PPP1R12B,PPP1R12B,240,240,identity_self_loop,,
CHI3L1,CHI3L1,241,241,identity_self_loop,,
BTG2,BTG2,242,242,identity_self_loop,,
ATP2B4,ATP2B4,243,243,identity_self_loop,,
MDM4,MDM4,244,244,identity_self_loop,,
NUCKS1,NUCKS1,245,245,identity_self_loop,,
CR1,CR1,246,246,identity_self_loop,,
CD46,CD46,247,247,identity_self_loop,,
MIR29B2CHG,MIR29B2CHG,248,248,identity_self_loop,,
TRAF3IP3,TRAF3IP3,249,249,identity_self_loop,,
RCOR3,RCOR3,250,250,identity_self_loop,,
LPGAT1,LPGAT1,251,251,identity_self_loop,,
NSL1,NSL1,252,252,identity_self_loop,,
RPS6KC1,RPS6KC1,253,253,identity_self_loop,,
GPATCH2,GPATCH2,254,254,identity_self_loop,,
LYPLAL1,LYPLAL1,255,255,identity_self_loop,,
RAB3GAP2,RAB3GAP2,256,256,identity_self_loop,,
AIDA,AIDA,257,257,identity_self_loop,,
BROX,BROX,258,258,identity_self_loop,,
FAM177B,FAM177B,259,259,identity_self_loop,,
AL392172.2,AL392172.2,260,260,identity_self_loop,,
AL392172.1,AL392172.1,261,261,identity_self_loop,,
DISP1,DISP1,262,262,identity_self_loop,,
TLR5,TLR5,263,263,identity_self_loop,,
FBXO28,FBXO28,264,264,identity_self_loop,,
WDR26,WDR26,265,265,identity_self_loop,,
H3F3A,H3F3A,266,266,identity_self_loop,,
ITPKB,ITPKB,267,267,identity_self_loop,,
GALNT2,GALNT2,268,268,identity_self_loop,,
TTC13,TTC13,269,269,identity_self_loop,,
EGLN1,EGLN1,270,270,identity_self_loop,,
TSNAX,TSNAX,271,271,identity_self_loop,,
SIPA1L2,SIPA1L2,272,272,identity_self_loop,,
PCNX2,PCNX2,273,273,identity_self_loop,,
ARID4B,ARID4B,274,274,identity_self_loop,,
LYST,LYST,275,275,identity_self_loop,,
MTR,MTR,276,276,identity_self_loop,,
RYR2,RYR2,277,277,identity_self_loop,,
CHRM3,CHRM3,278,278,identity_self_loop,,
RGS7,RGS7,279,279,identity_self_loop,,
CEP170,CEP170,280,280,identity_self_loop,,
SDCCAG8,SDCCAG8,281,281,identity_self_loop,,
AKT3,AKT3,282,282,identity_self_loop,,
HNRNPU,HNRNPU,283,283,identity_self_loop,,
KIF26B,KIF26B,284,284,identity_self_loop,,
SMYD3,SMYD3,285,285,identity_self_loop,,
AHCTF1,AHCTF1,286,286,identity_self_loop,,
ZNF124,ZNF124,287,287,identity_self_loop,,
TRAPPC12,TRAPPC12,288,288,identity_self_loop,,
KIDINS220,KIDINS220,289,289,identity_self_loop,,
ADAM17,ADAM17,290,290,identity_self_loop,,
HPCAL1,HPCAL1,291,291,identity_self_loop,,
NOL10,NOL10,292,292,identity_self_loop,,
ROCK2,ROCK2,293,293,identity_self_loop,,
NBAS,NBAS,294,294,identity_self_loop,,
FAM49A,FAM49A,295,295,identity_self_loop,,
PUM2,PUM2,296,296,identity_self_loop,,
ATAD2B,ATAD2B,297,297,identity_self_loop,,
FAM228B,FAM228B,298,298,identity_self_loop,,
ITSN2,ITSN2,299,299,identity_self_loop,,
NCOA1,NCOA1,300,300,identity_self_loop,,
DNMT3A,DNMT3A,301,301,identity_self_loop,,
DTNB,DTNB,302,302,identity_self_loop,,
ASXL2,ASXL2,303,303,identity_self_loop,,
RAB10,RAB10,304,304,identity_self_loop,,
HADHB,HADHB,305,305,identity_self_loop,,
BABAM2,BABAM2,306,306,identity_self_loop,,
PLB1,PLB1,307,307,identity_self_loop,,
PPP1CB,PPP1CB,308,308,identity_self_loop,,
WDR43,WDR43,309,309,identity_self_loop,,
SPAST,SPAST,310,310,identity_self_loop,,
YIPF4,YIPF4,311,311,identity_self_loop,,
BIRC6,BIRC6,312,312,identity_self_loop,,
TTC27,TTC27,313,313,identity_self_loop,,
LINC00486,LINC00486,314,314,identity_self_loop,,
FEZ2,FEZ2,315,315,identity_self_loop,,
STRN,STRN,316,316,identity_self_loop,,
HEATR5B,HEATR5B,317,317,identity_self_loop,,
EIF2AK2,EIF2AK2,318,318,identity_self_loop,,
PRKD3,PRKD3,319,319,identity_self_loop,,
ATL2,ATL2,320,320,identity_self_loop,,
SRSF7,SRSF7,321,321,identity_self_loop,,
SOS1,SOS1,322,322,identity_self_loop,,
MAP4K3,MAP4K3,323,323,identity_self_loop,,
SLC8A1-AS1,SLC8A1-AS1,324,324,identity_self_loop,,
EML4,EML4,325,325,identity_self_loop,,
MTA3,MTA3,326,326,identity_self_loop,,
ZFP36L2,ZFP36L2,327,327,identity_self_loop,,
THADA,THADA,328,328,identity_self_loop,,
LRPPRC,LRPPRC,329,329,identity_self_loop,,
PPM1B,PPM1B,330,330,identity_self_loop,,
CAMKMT,CAMKMT,331,331,identity_self_loop,,
SRBD1,SRBD1,332,332,identity_self_loop,,
PRKCE,PRKCE,333,333,identity_self_loop,,
RHOQ,RHOQ,334,334,identity_self_loop,,
TTC7A,TTC7A,335,335,identity_self_loop,,
CALM2,CALM2,336,336,identity_self_loop,,
FBXO11,FBXO11,337,337,identity_self_loop,,
FOXN2,FOXN2,338,338,identity_self_loop,,
PPP1R21,PPP1R21,339,339,identity_self_loop,,
NRXN1,NRXN1,340,340,identity_self_loop,,
ASB3,ASB3,341,341,identity_self_loop,,
PSME4,PSME4,342,342,identity_self_loop,,
ACYP2,ACYP2,343,343,identity_self_loop,,
RTN4,RTN4,344,344,identity_self_loop,,
RPS27A,RPS27A,345,345,identity_self_loop,,
CCDC88A,CCDC88A,346,346,identity_self_loop,,
PPP4R3B,PPP4R3B,347,347,identity_self_loop,,
VRK2,VRK2,348,348,identity_self_loop,,
PAPOLG,PAPOLG,349,349,identity_self_loop,,
REL,REL,350,350,identity_self_loop,,
USP34,USP34,351,351,identity_self_loop,,
XPO1,XPO1,352,352,identity_self_loop,,
COMMD1,COMMD1,353,353,identity_self_loop,,
EHBP1,EHBP1,354,354,identity_self_loop,,
WDPCP,WDPCP,355,355,identity_self_loop,,
UGP2,UGP2,356,356,identity_self_loop,,
VPS54,VPS54,357,357,identity_self_loop,,
PELI1,PELI1,358,358,identity_self_loop,,
AC012368.1,AC012368.1,359,359,identity_self_loop,,
AFTPH,AFTPH,360,360,identity_self_loop,,
SERTAD2,SERTAD2,361,361,identity_self_loop,,
LINC02245,LINC02245,362,362,identity_self_loop,,
RAB1A,RAB1A,363,363,identity_self_loop,,
ACTR2,ACTR2,364,364,identity_self_loop,,
SPRED2,SPRED2,365,365,identity_self_loop,,
PPP3R1,PPP3R1,366,366,identity_self_loop,,
PLEK,PLEK,367,367,identity_self_loop,,
ARHGAP25,ARHGAP25,368,368,identity_self_loop,,
AAK1,AAK1,369,369,identity_self_loop,,
ANXA4,ANXA4,370,370,identity_self_loop,,
PCBP1-AS1,PCBP1-AS1,371,371,identity_self_loop,,
NAGK,NAGK,372,372,identity_self_loop,,
ZNF638,ZNF638,373,373,identity_self_loop,,
EXOC6B,EXOC6B,374,374,identity_self_loop,,
SFXN5,SFXN5,375,375,identity_self_loop,,
ALMS1,ALMS1,376,376,identity_self_loop,,
TET3,TET3,377,377,identity_self_loop,,
MOB1A,MOB1A,378,378,identity_self_loop,,
LOXL3,LOXL3,379,379,identity_self_loop,,
HK2,HK2,380,380,identity_self_loop,,
LRRTM4,LRRTM4,381,381,identity_self_loop,,
CTNNA2,CTNNA2,382,382,identity_self_loop,,
TMSB10,TMSB10,383,383,identity_self_loop,,
KCMF1,KCMF1,384,384,identity_self_loop,,
TGOLN2,TGOLN2,385,385,identity_self_loop,,
MAT2A,MAT2A,386,386,identity_self_loop,,
ST3GAL5,ST3GAL5,387,387,identity_self_loop,,
KDM3A,KDM3A,388,388,identity_self_loop,,
KRCC1,KRCC1,389,389,identity_self_loop,,
LINC00342,LINC00342,390,390,identity_self_loop,,
ANKRD36C,ANKRD36C,391,391,identity_self_loop,,
ANKRD36,ANKRD36,392,392,identity_self_loop,,
TMEM131,TMEM131,393,393,identity_self_loop,,
INPP4A,INPP4A,394,394,identity_self_loop,,
REV1,REV1,395,395,identity_self_loop,,
RPL31,RPL31,396,396,identity_self_loop,,
TBC1D8,TBC1D8,397,397,identity_self_loop,,
RNF149,RNF149,398,398,identity_self_loop,,
MAP4K4,MAP4K4,399,399,identity_self_loop,,
NCK2,NCK2,400,400,identity_self_loop,,
GCC2,GCC2,401,401,identity_self_loop,,
LIMS1,LIMS1,402,402,identity_self_loop,,
RANBP2,RANBP2,403,403,identity_self_loop,,
SH3RF3,SH3RF3,404,404,identity_self_loop,,
MERTK,MERTK,405,405,identity_self_loop,,
ZC3H6,ZC3H6,406,406,identity_self_loop,,
IL1B,IL1B,407,407,identity_self_loop,,
SLC35F5,SLC35F5,408,408,identity_self_loop,,
ACTR3,ACTR3,409,409,identity_self_loop,,
DPP10,DPP10,410,410,identity_self_loop,,
CCDC93,CCDC93,411,411,identity_self_loop,,
MARCO,MARCO,412,412,identity_self_loop,,
PTPN4,PTPN4,413,413,identity_self_loop,,
CLASP1,CLASP1,414,414,identity_self_loop,,
GYPC,GYPC,415,415,identity_self_loop,,
BIN1,BIN1,416,416,identity_self_loop,,
MAP3K2,MAP3K2,417,417,identity_self_loop,,
IWS1,IWS1,418,418,identity_self_loop,,
WDR33,WDR33,419,419,identity_self_loop,,
UGGT1,UGGT1,420,420,identity_self_loop,,
PTPN18,PTPN18,421,421,identity_self_loop,,
NCKAP5,NCKAP5,422,422,identity_self_loop,,
MGAT5,MGAT5,423,423,identity_self_loop,,
TMEM163,TMEM163,424,424,identity_self_loop,,
CCNT2,CCNT2,425,425,identity_self_loop,,
RAB3GAP1,RAB3GAP1,426,426,identity_self_loop,,
R3HDM1,R3HDM1,427,427,identity_self_loop,,
UBXN4,UBXN4,428,428,identity_self_loop,,
DARS,DARS,429,429,identity_self_loop,,
HNMT,HNMT,430,430,identity_self_loop,,
SPOPL,SPOPL,431,431,identity_self_loop,,
LRP1B,LRP1B,432,432,identity_self_loop,,
KYNU,KYNU,433,433,identity_self_loop,,
AC079793.1,AC079793.1,434,434,identity_self_loop,,
GTDC1,GTDC1,435,435,identity_self_loop,,
ORC4,ORC4,436,436,identity_self_loop,,
MBD5,MBD5,437,437,identity_self_loop,,
EPC2,EPC2,438,438,identity_self_loop,,
RIF1,RIF1,439,439,identity_self_loop,,
ARL5A,ARL5A,440,440,identity_self_loop,,
CACNB4,CACNB4,441,441,identity_self_loop,,
STAM2,STAM2,442,442,identity_self_loop,,
FMNL2,FMNL2,443,443,identity_self_loop,,
PRPF40A,PRPF40A,444,444,identity_self_loop,,
GPD2,GPD2,445,445,identity_self_loop,,
PKP4,PKP4,446,446,identity_self_loop,,
TANC1,TANC1,447,447,identity_self_loop,,
BAZ2B,BAZ2B,448,448,identity_self_loop,,
MARCH7,MARCH7,449,449,identity_self_loop,,
CD302,CD302,450,450,identity_self_loop,,
RBMS1,RBMS1,451,451,identity_self_loop,,
TANK,TANK,452,452,identity_self_loop,,
PSMD14,PSMD14,453,453,identity_self_loop,,
SLC4A10,SLC4A10,454,454,identity_self_loop,,
GCA,GCA,455,455,identity_self_loop,,
CERS6,CERS6,456,456,identity_self_loop,,
FASTKD1,FASTKD1,457,457,identity_self_loop,,
PPIG,PPIG,458,458,identity_self_loop,,
UBR3,UBR3,459,459,identity_self_loop,,
TLK1,TLK1,460,460,identity_self_loop,,
DYNC1I2,DYNC1I2,461,461,identity_self_loop,,
SLC25A12,SLC25A12,462,462,identity_self_loop,,
SP3,SP3,463,463,identity_self_loop,,
OLA1,OLA1,464,464,identity_self_loop,,
GPR155,GPR155,465,465,identity_self_loop,,
WIPF1,WIPF1,466,466,identity_self_loop,,
ATF2,ATF2,467,467,identity_self_loop,,
MTX2,MTX2,468,468,identity_self_loop,,
HNRNPA3,HNRNPA3,469,469,identity_self_loop,,
NFE2L2,NFE2L2,470,470,identity_self_loop,,
AGPS,AGPS,471,471,identity_self_loop,,
OSBPL6,OSBPL6,472,472,identity_self_loop,,
UBE2E3,UBE2E3,473,473,identity_self_loop,,
DNAJC10,DNAJC10,474,474,identity_self_loop,,
ZNF804A,ZNF804A,475,475,identity_self_loop,,
LINC01473,LINC01473,476,476,identity_self_loop,,
ITGAV,ITGAV,477,477,identity_self_loop,,
PMS1,PMS1,478,478,identity_self_loop,,
HIBCH,HIBCH,479,479,identity_self_loop,,
GLS,GLS,480,480,identity_self_loop,,
STAT1,STAT1,481,481,identity_self_loop,,
NABP1,NABP1,482,482,identity_self_loop,,
SLC39A10,SLC39A10,483,483,identity_self_loop,,
SF3B1,SF3B1,484,484,identity_self_loop,,
PLCL1,PLCL1,485,485,identity_self_loop,,
FTCDNL1,FTCDNL1,486,486,identity_self_loop,,
SPATS2L,SPATS2L,487,487,identity_self_loop,,
CLK1,CLK1,488,488,identity_self_loop,,
FAM126B,FAM126B,489,489,identity_self_loop,,
CFLAR,CFLAR,490,490,identity_self_loop,,
BMPR2,BMPR2,491,491,identity_self_loop,,
NBEAL1,NBEAL1,492,492,identity_self_loop,,
CYP20A1,CYP20A1,493,493,identity_self_loop,,
ABI2,ABI2,494,494,identity_self_loop,,
RAPH1,RAPH1,495,495,identity_self_loop,,
PARD3B,PARD3B,496,496,identity_self_loop,,
NRP2,NRP2,497,497,identity_self_loop,,
INO80D,INO80D,498,498,identity_self_loop,,
NDUFS1,NDUFS1,499,499,identity_self_loop,,
KLF7,KLF7,500,500,identity_self_loop,,
CREB1,CREB1,501,501,identity_self_loop,,
PLEKHM3,PLEKHM3,502,502,identity_self_loop,,
PIKFYVE,PIKFYVE,503,503,identity_self_loop,,
MAP2,MAP2,504,504,identity_self_loop,,
KANSL1L,KANSL1L,505,505,identity_self_loop,,
ERBB4,ERBB4,506,506,identity_self_loop,,
IKZF2,IKZF2,507,507,identity_self_loop,,
XRCC5,XRCC5,508,508,identity_self_loop,,
RPL37A,RPL37A,509,509,identity_self_loop,,
DIRC3,DIRC3,510,510,identity_self_loop,,
ARPC2,ARPC2,511,511,identity_self_loop,,
SLC11A1,SLC11A1,512,512,identity_self_loop,,
USP37,USP37,513,513,identity_self_loop,,
ACSL3,ACSL3,514,514,identity_self_loop,,
CUL3,CUL3,515,515,identity_self_loop,,
DOCK10,DOCK10,516,516,identity_self_loop,,
RHBDD1,RHBDD1,517,517,identity_self_loop,,
MFF,MFF,518,518,identity_self_loop,,
AGFG1,AGFG1,519,519,identity_self_loop,,
PID1,PID1,520,520,identity_self_loop,,
TRIP12,TRIP12,521,521,identity_self_loop,,
SP110,SP110,522,522,identity_self_loop,,
SP140,SP140,523,523,identity_self_loop,,
SP140L,SP140L,524,524,identity_self_loop,,
SP100,SP100,525,525,identity_self_loop,,
CAB39,CAB39,526,526,identity_self_loop,,
PSMD1,PSMD1,527,527,identity_self_loop,,
PTMA,PTMA,528,528,identity_self_loop,,
DIS3L2,DIS3L2,529,529,identity_self_loop,,
GIGYF2,GIGYF2,530,530,identity_self_loop,,
DGKD,DGKD,531,531,identity_self_loop,,
USP40,USP40,532,532,identity_self_loop,,
AGAP1,AGAP1,533,533,identity_self_loop,,
LRRFIP1,LRRFIP1,534,534,identity_self_loop,,
UBE2F,UBE2F,535,535,identity_self_loop,,
HDAC4,HDAC4,536,536,identity_self_loop,,
