"guide_donor","guide_identity","donor","Gene_Targeted","crispr","n_cells","total_counts"
"APOC1_CRISPRa_sgRNA_3||D2","APOC1_CRISPRa_sgRNA_3","D2","APOC1","Perturbed",8,67141
"APOC1_CRISPRa_sgRNA_4||D1","APOC1_CRISPRa_sgRNA_4","D1","APOC1","Perturbed",12,95313
"APOC1_CRISPRa_sgRNA_4||D2","APOC1_CRISPRa_sgRNA_4","D2","APOC1","Perturbed",8,54617
"APOC1_CRISPRa_sgRNA_5||D1","APOC1_CRISPRa_sgRNA_5","D1","APOC1","Perturbed",8,64763
"APOC1_CRISPRa_sgRNA_5||D2","APOC1_CRISPRa_sgRNA_5","D2","APOC1","Perturbed",3,21293
"APOE_CRISPRa_sgRNA_1||D1","APOE_CRISPRa_sgRNA_1","D1","APOE","Perturbed",3,16987
"APOE_CRISPRa_sgRNA_1||D2","APOE_CRISPRa_sgRNA_1","D2","APOE","Perturbed",2,18042
"APOE_CRISPRa_sgRNA_2||D1","APOE_CRISPRa_sgRNA_2","D1","APOE","Perturbed",21,190755
"APOE_CRISPRa_sgRNA_2||D2","APOE_CRISPRa_sgRNA_2","D2","APOE","Perturbed",13,111744
"APOE_CRISPRa_sgRNA_3||D1","APOE_CRISPRa_sgRNA_3","D1","APOE","Perturbed",8,76948
"APOE_CRISPRa_sgRNA_3||D2","APOE_CRISPRa_sgRNA_3","D2","APOE","Perturbed",1,8103
"APOE_CRISPRa_sgRNA_4||D1","APOE_CRISPRa_sgRNA_4","D1","APOE","Perturbed",3,18744
"APOE_CRISPRa_sgRNA_4||D2","APOE_CRISPRa_sgRNA_4","D2","APOE","Perturbed",1,17234
"APOE_CRISPRa_sgRNA_5||D1","APOE_CRISPRa_sgRNA_5","D1","APOE","Perturbed",7,55212
"APOE_CRISPRa_sgRNA_5||D2","APOE_CRISPRa_sgRNA_5","D2","APOE","Perturbed",6,69976
"APP_CRISPRa_sgRNA_1||D1","APP_CRISPRa_sgRNA_1","D1","APP","Perturbed",7,56596
"APP_CRISPRa_sgRNA_1||D2","APP_CRISPRa_sgRNA_1","D2","APP","Perturbed",3,43415
"APP_CRISPRa_sgRNA_2||D1","APP_CRISPRa_sgRNA_2","D1","APP","Perturbed",7,76830
"APP_CRISPRa_sgRNA_2||D2","APP_CRISPRa_sgRNA_2","D2","APP","Perturbed",3,29154
"APP_CRISPRa_sgRNA_3||D1","APP_CRISPRa_sgRNA_3","D1","APP","Perturbed",1,8464
"APP_CRISPRa_sgRNA_3||D2","APP_CRISPRa_sgRNA_3","D2","APP","Perturbed",1,8764
"APP_CRISPRa_sgRNA_4||D1","APP_CRISPRa_sgRNA_4","D1","APP","Perturbed",20,171974
"APP_CRISPRa_sgRNA_4||D2","APP_CRISPRa_sgRNA_4","D2","APP","Perturbed",7,67809
"APP_CRISPRa_sgRNA_5||D1","APP_CRISPRa_sgRNA_5","D1","APP","Perturbed",16,144533
"APP_CRISPRa_sgRNA_5||D2","APP_CRISPRa_sgRNA_5","D2","APP","Perturbed",4,22395
"AXL_CRISPRa_sgRNA_1||D1","AXL_CRISPRa_sgRNA_1","D1","AXL","Perturbed",7,73513
"AXL_CRISPRa_sgRNA_1||D2","AXL_CRISPRa_sgRNA_1","D2","AXL","Perturbed",2,23000
"AXL_CRISPRa_sgRNA_2||D1","AXL_CRISPRa_sgRNA_2","D1","AXL","Perturbed",13,118605
"AXL_CRISPRa_sgRNA_2||D2","AXL_CRISPRa_sgRNA_2","D2","AXL","Perturbed",3,26190
"AXL_CRISPRa_sgRNA_4||D1","AXL_CRISPRa_sgRNA_4","D1","AXL","Perturbed",34,301039
"AXL_CRISPRa_sgRNA_4||D2","AXL_CRISPRa_sgRNA_4","D2","AXL","Perturbed",18,149872
"AXL_CRISPRa_sgRNA_5||D1","AXL_CRISPRa_sgRNA_5","D1","AXL","Perturbed",1,19768
"BIN1_CRISPRa_sgRNA_1||D1","BIN1_CRISPRa_sgRNA_1","D1","BIN1","Perturbed",14,125721
"BIN1_CRISPRa_sgRNA_1||D2","BIN1_CRISPRa_sgRNA_1","D2","BIN1","Perturbed",5,55593
"BIN1_CRISPRa_sgRNA_2||D1","BIN1_CRISPRa_sgRNA_2","D1","BIN1","Perturbed",34,323077
"BIN1_CRISPRa_sgRNA_2||D2","BIN1_CRISPRa_sgRNA_2","D2","BIN1","Perturbed",11,96554
"BIN1_CRISPRa_sgRNA_3||D1","BIN1_CRISPRa_sgRNA_3","D1","BIN1","Perturbed",26,229481
"BIN1_CRISPRa_sgRNA_3||D2","BIN1_CRISPRa_sgRNA_3","D2","BIN1","Perturbed",14,126779
"BIN1_CRISPRa_sgRNA_4||D1","BIN1_CRISPRa_sgRNA_4","D1","BIN1","Perturbed",35,345615
"BIN1_CRISPRa_sgRNA_4||D2","BIN1_CRISPRa_sgRNA_4","D2","BIN1","Perturbed",15,136957
"BIN1_CRISPRa_sgRNA_5||D1","BIN1_CRISPRa_sgRNA_5","D1","BIN1","Perturbed",7,59790
"BIN1_CRISPRa_sgRNA_5||D2","BIN1_CRISPRa_sgRNA_5","D2","BIN1","Perturbed",1,10301
"C1QA_CRISPRa_sgRNA_1||D1","C1QA_CRISPRa_sgRNA_1","D1","C1QA","Perturbed",15,112266
"C1QA_CRISPRa_sgRNA_1||D2","C1QA_CRISPRa_sgRNA_1","D2","C1QA","Perturbed",9,105536
"C1QA_CRISPRa_sgRNA_2||D1","C1QA_CRISPRa_sgRNA_2","D1","C1QA","Perturbed",36,327492
"C1QA_CRISPRa_sgRNA_2||D2","C1QA_CRISPRa_sgRNA_2","D2","C1QA","Perturbed",15,137407
"C1QA_CRISPRa_sgRNA_3||D1","C1QA_CRISPRa_sgRNA_3","D1","C1QA","Perturbed",9,84286
"C1QA_CRISPRa_sgRNA_3||D2","C1QA_CRISPRa_sgRNA_3","D2","C1QA","Perturbed",10,87714
"C1QA_CRISPRa_sgRNA_4||D1","C1QA_CRISPRa_sgRNA_4","D1","C1QA","Perturbed",11,79861
"C1QA_CRISPRa_sgRNA_4||D2","C1QA_CRISPRa_sgRNA_4","D2","C1QA","Perturbed",6,58838
"C1QA_CRISPRa_sgRNA_5||D1","C1QA_CRISPRa_sgRNA_5","D1","C1QA","Perturbed",12,112825
"C1QA_CRISPRa_sgRNA_5||D2","C1QA_CRISPRa_sgRNA_5","D2","C1QA","Perturbed",8,72832
"C1QB_CRISPRa_sgRNA_1||D1","C1QB_CRISPRa_sgRNA_1","D1","C1QB","Perturbed",24,214183
"C1QB_CRISPRa_sgRNA_1||D2","C1QB_CRISPRa_sgRNA_1","D2","C1QB","Perturbed",11,105596
"C1QB_CRISPRa_sgRNA_2||D1","C1QB_CRISPRa_sgRNA_2","D1","C1QB","Perturbed",27,242914
"C1QB_CRISPRa_sgRNA_2||D2","C1QB_CRISPRa_sgRNA_2","D2","C1QB","Perturbed",11,88115
"C1QB_CRISPRa_sgRNA_3||D1","C1QB_CRISPRa_sgRNA_3","D1","C1QB","Perturbed",2,15915
"C1QB_CRISPRa_sgRNA_3||D2","C1QB_CRISPRa_sgRNA_3","D2","C1QB","Perturbed",1,23509
"C1QB_CRISPRa_sgRNA_4||D1","C1QB_CRISPRa_sgRNA_4","D1","C1QB","Perturbed",14,127525
"C1QB_CRISPRa_sgRNA_4||D2","C1QB_CRISPRa_sgRNA_4","D2","C1QB","Perturbed",9,62541
"C1QB_CRISPRa_sgRNA_5||D1","C1QB_CRISPRa_sgRNA_5","D1","C1QB","Perturbed",10,92566
"C1QB_CRISPRa_sgRNA_5||D2","C1QB_CRISPRa_sgRNA_5","D2","C1QB","Perturbed",7,65719
"C1QC_CRISPRa_sgRNA_1||D1","C1QC_CRISPRa_sgRNA_1","D1","C1QC","Perturbed",5,46599
"C1QC_CRISPRa_sgRNA_1||D2","C1QC_CRISPRa_sgRNA_1","D2","C1QC","Perturbed",1,7184
"C1QC_CRISPRa_sgRNA_2||D1","C1QC_CRISPRa_sgRNA_2","D1","C1QC","Perturbed",2,13271
"C1QC_CRISPRa_sgRNA_2||D2","C1QC_CRISPRa_sgRNA_2","D2","C1QC","Perturbed",1,7474
"C1QC_CRISPRa_sgRNA_3||D1","C1QC_CRISPRa_sgRNA_3","D1","C1QC","Perturbed",9,72015
"C1QC_CRISPRa_sgRNA_3||D2","C1QC_CRISPRa_sgRNA_3","D2","C1QC","Perturbed",1,5362
"C1QC_CRISPRa_sgRNA_4||D1","C1QC_CRISPRa_sgRNA_4","D1","C1QC","Perturbed",10,90507
"C1QC_CRISPRa_sgRNA_4||D2","C1QC_CRISPRa_sgRNA_4","D2","C1QC","Perturbed",5,62653
"C1QC_CRISPRa_sgRNA_5||D1","C1QC_CRISPRa_sgRNA_5","D1","C1QC","Perturbed",4,30075
"C3AR1_CRISPRa_sgRNA_1||D1","C3AR1_CRISPRa_sgRNA_1","D1","C3AR1","Perturbed",2,17941
"C3AR1_CRISPRa_sgRNA_2||D1","C3AR1_CRISPRa_sgRNA_2","D1","C3AR1","Perturbed",9,63829
"C3AR1_CRISPRa_sgRNA_2||D2","C3AR1_CRISPRa_sgRNA_2","D2","C3AR1","Perturbed",6,57925
"C3AR1_CRISPRa_sgRNA_3||D1","C3AR1_CRISPRa_sgRNA_3","D1","C3AR1","Perturbed",21,189487
"C3AR1_CRISPRa_sgRNA_3||D2","C3AR1_CRISPRa_sgRNA_3","D2","C3AR1","Perturbed",18,154092
"C3AR1_CRISPRa_sgRNA_4||D1","C3AR1_CRISPRa_sgRNA_4","D1","C3AR1","Perturbed",6,80581
"C3AR1_CRISPRa_sgRNA_5||D1","C3AR1_CRISPRa_sgRNA_5","D1","C3AR1","Perturbed",2,13572
"C9orf72_CRISPRa_sgRNA_1||D1","C9orf72_CRISPRa_sgRNA_1","D1","C9orf72","Perturbed",30,246121
"C9orf72_CRISPRa_sgRNA_1||D2","C9orf72_CRISPRa_sgRNA_1","D2","C9orf72","Perturbed",7,57349
"C9orf72_CRISPRa_sgRNA_2||D1","C9orf72_CRISPRa_sgRNA_2","D1","C9orf72","Perturbed",31,296886
"C9orf72_CRISPRa_sgRNA_2||D2","C9orf72_CRISPRa_sgRNA_2","D2","C9orf72","Perturbed",24,209260
"C9orf72_CRISPRa_sgRNA_3||D1","C9orf72_CRISPRa_sgRNA_3","D1","C9orf72","Perturbed",41,383052
"C9orf72_CRISPRa_sgRNA_3||D2","C9orf72_CRISPRa_sgRNA_3","D2","C9orf72","Perturbed",18,158401
"C9orf72_CRISPRa_sgRNA_4||D1","C9orf72_CRISPRa_sgRNA_4","D1","C9orf72","Perturbed",19,182242
"C9orf72_CRISPRa_sgRNA_4||D2","C9orf72_CRISPRa_sgRNA_4","D2","C9orf72","Perturbed",8,80865
"C9orf72_CRISPRa_sgRNA_5||D1","C9orf72_CRISPRa_sgRNA_5","D1","C9orf72","Perturbed",12,121786
"C9orf72_CRISPRa_sgRNA_5||D2","C9orf72_CRISPRa_sgRNA_5","D2","C9orf72","Perturbed",4,40283
"CCR2_CRISPRa_sgRNA_1||D1","CCR2_CRISPRa_sgRNA_1","D1","CCR2","Perturbed",6,50675
"CCR2_CRISPRa_sgRNA_1||D2","CCR2_CRISPRa_sgRNA_1","D2","CCR2","Perturbed",1,8053
"CCR2_CRISPRa_sgRNA_2||D1","CCR2_CRISPRa_sgRNA_2","D1","CCR2","Perturbed",4,36306
"CCR2_CRISPRa_sgRNA_3||D1","CCR2_CRISPRa_sgRNA_3","D1","CCR2","Perturbed",7,51727
"CCR2_CRISPRa_sgRNA_3||D2","CCR2_CRISPRa_sgRNA_3","D2","CCR2","Perturbed",1,8623
"CCR2_CRISPRa_sgRNA_4||D1","CCR2_CRISPRa_sgRNA_4","D1","CCR2","Perturbed",10,97138
"CCR2_CRISPRa_sgRNA_4||D2","CCR2_CRISPRa_sgRNA_4","D2","CCR2","Perturbed",4,42269
"CCR2_CRISPRa_sgRNA_5||D1","CCR2_CRISPRa_sgRNA_5","D1","CCR2","Perturbed",9,71708
"CCR2_CRISPRa_sgRNA_5||D2","CCR2_CRISPRa_sgRNA_5","D2","CCR2","Perturbed",4,31100
"CD14_CRISPRa_sgRNA_1||D1","CD14_CRISPRa_sgRNA_1","D1","CD14","Perturbed",6,53467
"CD14_CRISPRa_sgRNA_2||D1","CD14_CRISPRa_sgRNA_2","D1","CD14","Perturbed",4,41311
"CD14_CRISPRa_sgRNA_3||D1","CD14_CRISPRa_sgRNA_3","D1","CD14","Perturbed",2,18559
"CD14_CRISPRa_sgRNA_3||D2","CD14_CRISPRa_sgRNA_3","D2","CD14","Perturbed",7,56234
"CD14_CRISPRa_sgRNA_4||D1","CD14_CRISPRa_sgRNA_4","D1","CD14","Perturbed",5,50075
"CD14_CRISPRa_sgRNA_4||D2","CD14_CRISPRa_sgRNA_4","D2","CD14","Perturbed",6,40260
"CD14_CRISPRa_sgRNA_5||D1","CD14_CRISPRa_sgRNA_5","D1","CD14","Perturbed",3,35181
"CD180_CRISPRa_sgRNA_1||D1","CD180_CRISPRa_sgRNA_1","D1","CD180","Perturbed",14,160320
"CD180_CRISPRa_sgRNA_1||D2","CD180_CRISPRa_sgRNA_1","D2","CD180","Perturbed",4,29650
"CD180_CRISPRa_sgRNA_2||D1","CD180_CRISPRa_sgRNA_2","D1","CD180","Perturbed",6,41901
"CD180_CRISPRa_sgRNA_2||D2","CD180_CRISPRa_sgRNA_2","D2","CD180","Perturbed",5,47304
"CD180_CRISPRa_sgRNA_3||D1","CD180_CRISPRa_sgRNA_3","D1","CD180","Perturbed",6,36667
"CD180_CRISPRa_sgRNA_3||D2","CD180_CRISPRa_sgRNA_3","D2","CD180","Perturbed",3,24563
"CD180_CRISPRa_sgRNA_4||D1","CD180_CRISPRa_sgRNA_4","D1","CD180","Perturbed",14,168099
"CD180_CRISPRa_sgRNA_4||D2","CD180_CRISPRa_sgRNA_4","D2","CD180","Perturbed",6,53160
"CD180_CRISPRa_sgRNA_5||D1","CD180_CRISPRa_sgRNA_5","D1","CD180","Perturbed",3,32813
"CD180_CRISPRa_sgRNA_5||D2","CD180_CRISPRa_sgRNA_5","D2","CD180","Perturbed",1,20704
"CD19_CRISPRa_sgRNA_1||D1","CD19_CRISPRa_sgRNA_1","D1","CD19","Perturbed",6,60142
"CD19_CRISPRa_sgRNA_1||D2","CD19_CRISPRa_sgRNA_1","D2","CD19","Perturbed",3,20317
"CD19_CRISPRa_sgRNA_2||D1","CD19_CRISPRa_sgRNA_2","D1","CD19","Perturbed",17,193082
"CD19_CRISPRa_sgRNA_2||D2","CD19_CRISPRa_sgRNA_2","D2","CD19","Perturbed",7,52824
"CD19_CRISPRa_sgRNA_3||D1","CD19_CRISPRa_sgRNA_3","D1","CD19","Perturbed",22,188726
"CD19_CRISPRa_sgRNA_3||D2","CD19_CRISPRa_sgRNA_3","D2","CD19","Perturbed",3,26111
"CD19_CRISPRa_sgRNA_4||D1","CD19_CRISPRa_sgRNA_4","D1","CD19","Perturbed",1,3382
"CD19_CRISPRa_sgRNA_4||D2","CD19_CRISPRa_sgRNA_4","D2","CD19","Perturbed",2,18177
"CD1D_CRISPRa_sgRNA_1||D1","CD1D_CRISPRa_sgRNA_1","D1","CD1D","Perturbed",25,237981
"CD1D_CRISPRa_sgRNA_1||D2","CD1D_CRISPRa_sgRNA_1","D2","CD1D","Perturbed",8,75230
"CD1D_CRISPRa_sgRNA_2||D1","CD1D_CRISPRa_sgRNA_2","D1","CD1D","Perturbed",13,134558
"CD1D_CRISPRa_sgRNA_2||D2","CD1D_CRISPRa_sgRNA_2","D2","CD1D","Perturbed",10,115886
"CD1D_CRISPRa_sgRNA_3||D1","CD1D_CRISPRa_sgRNA_3","D1","CD1D","Perturbed",7,57620
"CD1D_CRISPRa_sgRNA_3||D2","CD1D_CRISPRa_sgRNA_3","D2","CD1D","Perturbed",2,16136
"CD1D_CRISPRa_sgRNA_4||D1","CD1D_CRISPRa_sgRNA_4","D1","CD1D","Perturbed",16,129044
"CD1D_CRISPRa_sgRNA_4||D2","CD1D_CRISPRa_sgRNA_4","D2","CD1D","Perturbed",2,21219
"CD1D_CRISPRa_sgRNA_5||D1","CD1D_CRISPRa_sgRNA_5","D1","CD1D","Perturbed",7,64781
"CD1D_CRISPRa_sgRNA_5||D2","CD1D_CRISPRa_sgRNA_5","D2","CD1D","Perturbed",1,5493
"CD200R1_CRISPRa_sgRNA_1||D1","CD200R1_CRISPRa_sgRNA_1","D1","CD200R1","Perturbed",19,195445
"CD200R1_CRISPRa_sgRNA_1||D2","CD200R1_CRISPRa_sgRNA_1","D2","CD200R1","Perturbed",12,129126
"CD200R1_CRISPRa_sgRNA_2||D1","CD200R1_CRISPRa_sgRNA_2","D1","CD200R1","Perturbed",11,90241
"CD200R1_CRISPRa_sgRNA_2||D2","CD200R1_CRISPRa_sgRNA_2","D2","CD200R1","Perturbed",9,91483
"CD200R1_CRISPRa_sgRNA_3||D1","CD200R1_CRISPRa_sgRNA_3","D1","CD200R1","Perturbed",11,93451
"CD200R1_CRISPRa_sgRNA_3||D2","CD200R1_CRISPRa_sgRNA_3","D2","CD200R1","Perturbed",5,32023
