"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRa","D1","HEXA",TRUE,1,21,99,1446,0.402022066114725,NA,NA
"GSE301119","CRISPRa","D1","HEXB",TRUE,5,66,99,1446,2.18159357768173,1.25411510402246,0.560857324840688
"GSE301119","CRISPRa","D1","HLA-DRB5",TRUE,5,89,99,1446,0.481709601025312,0.808252086471142,0.361461321661102
"GSE301119","CRISPRa","D1","ICAM1",TRUE,5,77,99,1446,3.42089606093453,1.02426186873513,0.458063833050542
"GSE301119","CRISPRa","D1","ICAM3",TRUE,5,89,99,1446,5.2865413382504,3.87908635787146,1.73478015735853
"GSE301119","CRISPRa","D1","IFNGR1",TRUE,5,87,99,1446,0.419763423104796,0.570027081033258,0.254923860441229
"GSE301119","CRISPRa","D1","IFNGR2",TRUE,5,48,99,1446,0.301300039312066,0.644469301376628,0.288215433457988
"GSE301119","CRISPRa","D1","IL10",TRUE,5,95,99,1446,1.5855440064895,1.02227662139697,0.457176003450489
"GSE301119","CRISPRa","D1","IL15",TRUE,5,82,99,1446,2.11483314078481,0.657486376263568,0.294036846321069
"GSE301119","CRISPRa","D1","IL15RA",TRUE,5,138,99,1446,2.35259377312576,0.65973519733693,0.295042549678923
"GSE301119","CRISPRa","D1","IL1R1",TRUE,5,104,99,1446,3.2115022642548,0.513882636260774,0.229815301427178
"GSE301119","CRISPRa","D1","IL1R2",TRUE,5,134,99,1446,3.83469456816832,0.807537973348321,0.361141960563852
"GSE301119","CRISPRa","D1","IL1RN",TRUE,5,53,99,1446,0.979901183890266,0.610895789894508,0.27320090267451
"GSE301119","CRISPRa","D1","IL21R",TRUE,4,78,99,1446,5.75046510330314,0.496852866403737,0.248426433201869
"GSE301119","CRISPRa","D1","IL23A",TRUE,5,73,99,1446,3.26419731940635,3.32289145887401,1.48604223677915
"GSE301119","CRISPRa","D1","IL2RA",TRUE,5,87,99,1446,4.61817977653996,1.27706312975739,0.571119993939232
"GSE301119","CRISPRa","D1","IL2RG",TRUE,5,63,99,1446,3.1117255417622,0.650432647868843,0.290882323083983
"GSE301119","CRISPRa","D1","IL6R",TRUE,5,62,99,1446,0.530317196736227,0.606122524640111,0.271066233557816
"GSE301119","CRISPRa","D1","ILDR1",TRUE,4,66,99,1446,4.64324940505171,1.91557306511144,0.95778653255572
"GSE301119","CRISPRa","D1","IRF5",TRUE,5,132,99,1446,1.69673593988047,0.701471724766841,0.313707692174536
"GSE301119","CRISPRa","D1","IRF8",TRUE,5,99,99,1446,1.47026467175075,0.797170216874918,0.356505358914114
"GSE301119","CRISPRa","D1","ITGA5",TRUE,5,89,99,1446,1.64088866593188,1.08810920663124,0.486617230594164
"GSE301119","CRISPRa","D1","ITGAL",TRUE,3,30,99,1446,4.34120830067032,0.605235112297083,0.349432655007734
"GSE301119","CRISPRa","D1","ITGAM",TRUE,5,46,99,1446,3.06147647354422,0.352955631823934,0.157846557159941
"GSE301119","CRISPRa","D1","ITGAX",TRUE,5,74,99,1446,2.11034723499523,0.186228044876507,0.0832837135321504
"GSE301119","CRISPRa","D1","ITGB2",TRUE,5,120,99,1446,0.997109827772755,0.534015194994706,0.238818855405194
"GSE301119","CRISPRa","D1","ITGB3",TRUE,5,76,99,1446,6.49924562566951,0.470623757613382,0.210469342769981
"GSE301119","CRISPRa","D1","ITM2B",TRUE,5,87,99,1446,1.15969139755354,0.671074592328195,0.30011368128376
"GSE301119","CRISPRa","D1","ITM2C",TRUE,5,94,99,1446,2.51000840522805,2.23758448052469,1.00067820077035
"GSE301119","CRISPRa","D1","LAPTM5",TRUE,5,83,99,1446,0.398991883960255,0.389886783000263,0.174362670063459
"GSE301119","CRISPRa","D1","LDLR",TRUE,5,50,99,1446,2.16817416425535,2.52945123987452,1.13120498362611
"GSE301119","CRISPRa","D1","LDLRAD3",TRUE,4,33,99,1446,2.17836697953615,1.84143570507053,0.920717852535265
"GSE301119","CRISPRa","D1","LILRA5",TRUE,5,71,99,1446,3.95088274002229,0.628694633970964,0.281160787729685
"GSE301119","CRISPRa","D1","LILRB4",TRUE,5,65,99,1446,1.67169357418982,0.579994829219074,0.259381572946446
"GSE301119","CRISPRa","D1","LPAR2",TRUE,5,83,99,1446,-0.168906086056821,1.90359420934896,0.851313210735847
"GSE301119","CRISPRa","D1","LPL",TRUE,4,53,99,1446,0.75531574605615,4.9334843180719,2.46674215903595
"GSE301119","CRISPRa","D1","LRP1",TRUE,4,39,99,1446,0.426766848890522,0.457997505945059,0.22899875297253
"GSE301119","CRISPRa","D1","LRP1B",TRUE,5,72,99,1446,3.46843084984651,4.00830928200082,1.79257040587944
"GSE301119","CRISPRa","D1","LRP6",TRUE,5,79,99,1446,3.97209213853313,1.54449154378843,0.690717616516906
"GSE301119","CRISPRa","D1","LRP8",TRUE,5,42,99,1446,5.50601502259028,0.30154533509232,0.134855173512876
"GSE301119","CRISPRa","D1","LRRK2",TRUE,5,85,99,1446,2.75561855108486,0.853839363249058,0.381848571618006
"GSE301119","CRISPRa","D1","LSR",TRUE,4,33,99,1446,5.46243664088054,0.898642065260391,0.449321032630195
"GSE301119","CRISPRa","D1","LTBR",TRUE,4,66,99,1446,2.32643736987737,0.0274434840689344,0.0137217420344672
"GSE301119","CRISPRa","D1","LYVE1",TRUE,5,77,99,1446,3.28802926029564,2.24388602039352,1.00349633507228
"GSE301119","CRISPRa","D1","LYZ",TRUE,4,59,99,1446,1.95711068580508,0.892257514367309,0.446128757183654
"GSE301119","CRISPRa","D1","MERTK",TRUE,4,49,99,1446,0.494446104005652,0.335034895924463,0.167517447962232
"GSE301119","CRISPRa","D1","MMP9",TRUE,3,67,99,1446,1.09649958923189,0.945626787091581,0.545957880080245
"GSE301119","CRISPRa","D1","MRC1",TRUE,5,58,99,1446,1.48967173341522,1.56176064494187,0.698440593334786
"GSE301119","CRISPRa","D1","MRC2",TRUE,5,22,99,1446,3.48608120508449,0.924929635159116,0.413641107723972
"GSE301119","CRISPRa","D1","MS4A4A",TRUE,5,54,99,1446,1.12342729547269,0.729366237576801,0.326182497542997
"GSE301119","CRISPRa","D1","MS4A6A",TRUE,5,41,99,1446,2.29871984883957,0.612017331671352,0.273702471405036
"GSE301119","CRISPRa","D1","NFATC1",TRUE,4,42,99,1446,0.947785003444994,3.33551750466181,1.6677587523309
"GSE301119","CRISPRa","D1","NFATC2",TRUE,4,45,99,1446,2.15646231663152,3.97805554689889,1.98902777344944
"GSE301119","CRISPRa","D1","NLRC4",TRUE,5,72,99,1446,2.56787925132262,1.5075045141801,0.674176514018899
"GSE301119","CRISPRa","D1","NLRP3",TRUE,5,53,99,1446,1.12742057110157,3.3933956335734,1.51757266224422
"GSE301119","CRISPRa","D1","NPC2",TRUE,5,87,99,1446,0.699171327789346,0.460687045896565,0.206025510195657
"GSE301119","CRISPRa","D1","NRP1",TRUE,5,51,99,1446,1.10793106600735,0.399637572347909,0.178723355626583
"GSE301119","CRISPRa","D1","NRP2",TRUE,5,55,99,1446,0.540183234811691,0.681911368445749,0.30496003489492
"GSE301119","CRISPRa","D1","OLR1",TRUE,5,82,99,1446,3.14632495141437,1.47210906059946,0.658347185958751
"GSE301119","CRISPRa","D1","P2RY12",TRUE,4,86,99,1446,6.21010913715738,1.37903893826567,0.689519469132834
"GSE301119","CRISPRa","D1","P2RY13",TRUE,5,58,99,1446,6.07673555770108,2.27774805110492,1.01863989557765
"GSE301119","CRISPRa","D1","P2RY6",TRUE,4,61,99,1446,1.00073270274272,0.190282013404452,0.0951410067022261
"GSE301119","CRISPRa","D1","PILRA",TRUE,5,88,99,1446,2.01756397400548,0.236213891555275,0.105638063749472
"GSE301119","CRISPRa","D1","PILRB",TRUE,5,64,99,1446,-0.693454331067367,2.03314856741564,0.909251681019537
"GSE301119","CRISPRa","D1","PLAUR",TRUE,5,88,99,1446,2.10120426051356,0.327867317023865,0.146626721693167
"GSE301119","CRISPRa","D1","PLCB3",TRUE,4,40,99,1446,1.99645576237527,0.768825591702,0.384412795851
"GSE301119","CRISPRa","D1","PLCG2",TRUE,5,125,99,1446,1.85949438344236,0.414914276264833,0.185555305312659
"GSE301119","CRISPRa","D1","PLEK",TRUE,5,64,99,1446,2.33182452687441,0.699810529162056,0.312964782915291
"GSE301119","CRISPRa","D1","PTPRC",TRUE,5,93,99,1446,0.790614651922877,0.513568080267693,0.229674627710526
"GSE301119","CRISPRa","D1","PTPRE",TRUE,5,108,99,1446,0.570597775689055,0.350049544690191,0.156546915484023
"GSE301119","CRISPRa","D1","RYR1",TRUE,5,98,99,1446,7.27910841587743,0.678204831018397,0.303302420965179
"GSE301119","CRISPRa","D1","S100A4",TRUE,5,73,99,1446,3.43391202874397,1.89630076144017,0.848051481672966
"GSE301119","CRISPRa","D1","SCARB1",TRUE,5,79,99,1446,0.583885921274896,3.51703145181951,1.57286428105464
"GSE301119","CRISPRa","D1","SCIMP",TRUE,5,56,99,1446,2.77380186881934,0.857194906307435,0.383349216093997
"GSE301119","CRISPRa","D1","SELL",TRUE,5,71,99,1446,5.07831482822955,0.504410299053748,0.225579143447035
"GSE301119","CRISPRa","D1","SELPLG",TRUE,5,67,99,1446,2.77344491603922,0.989454580731692,0.442497540632923
"GSE301119","CRISPRa","D1","SERPINA1",TRUE,5,56,99,1446,2.09858167211204,1.41582925406174,0.633178091322974
"GSE301119","CRISPRa","D1","SIGLEC5",TRUE,5,129,99,1446,2.8757177262579,0.873376152524887,0.390585689394574
"GSE301119","CRISPRa","D1","SIGLEC7",TRUE,5,52,99,1446,-0.34356246748911,2.72133297832291,1.2170171057884
"GSE301119","CRISPRa","D1","SIGLEC9",TRUE,5,68,99,1446,0.585465733903944,0.948758290958402,0.424297606559902
"GSE301119","CRISPRa","D1","SIRPA",TRUE,5,117,99,1446,0.768326660986612,0.34560842699751,0.154560787272641
"GSE301119","CRISPRa","D1","SIRPB1",TRUE,5,68,99,1446,1.05944803521733,0.874088146386012,0.390904102729182
"GSE301119","CRISPRa","D1","SLC16A5",TRUE,5,81,99,1446,3.86903659537412,0.390505561180741,0.174639396078368
"GSE301119","CRISPRa","D1","SLC24A4",TRUE,5,64,99,1446,5.55667726633269,0.894642753792394,0.40009640261148
"GSE301119","CRISPRa","D1","SLC52A1",TRUE,5,67,99,1446,2.19813767138673,2.26809727391765,1.01432393681236
"GSE301119","CRISPRa","D1","SNCA",TRUE,5,75,99,1446,3.80853964322916,0.958077358404262,0.428465220219072
"GSE301119","CRISPRa","D1","SORL1",TRUE,5,86,99,1446,2.73132787048939,0.638852658542233,0.285703594421379
"GSE301119","CRISPRa","D1","SPI1",TRUE,4,59,99,1446,0.878824369034193,0.259134850750444,0.129567425375222
"GSE301119","CRISPRa","D1","SPP1",TRUE,4,33,99,1446,1.06090783645919,0.562199445289099,0.281099722644549
"GSE301119","CRISPRa","D1","SQSTM1",TRUE,5,52,99,1446,3.35567247980843,0.659220655840963,0.294812439726477
"GSE301119","CRISPRa","D1","SUCNR1",TRUE,5,106,99,1446,4.50306960922305,0.380120732615914,0.169995159557241
"GSE301119","CRISPRa","D1","SYK",TRUE,5,62,99,1446,1.14671814678855,0.418922898547744,0.187348015696801
"GSE301119","CRISPRa","D1","TARDBP",TRUE,5,59,99,1446,-0.457124152221805,2.68498002659338,1.2007595715384
"GSE301119","CRISPRa","D1","TGFB1",TRUE,5,39,99,1446,1.96984775436304,0.876355549441466,0.391918116202059
"GSE301119","CRISPRa","D1","TGFBI",TRUE,4,57,99,1446,0.922852018443835,0.380096052943924,0.190048026471962
"GSE301119","CRISPRa","D1","TGFBR1",TRUE,5,130,99,1446,1.54903721309422,1.14544943727248,0.512260561306031
"GSE301119","CRISPRa","D1","TGFBR2",TRUE,5,93,99,1446,1.31966130067032,0.165698167907754,0.0741024734377826
"GSE301119","CRISPRa","D1","TGFBR3",TRUE,5,115,99,1446,3.92029439618946,3.05079548909917,1.36435721981509
"GSE301119","CRISPRa","D1","TLR10",TRUE,4,36,99,1446,3.21992733293264,2.44769298408406,1.22384649204203
"GSE301119","CRISPRa","D1","TLR2",TRUE,5,66,99,1446,1.73961317653264,0.947246525724356,0.423621524594033
"GSE301119","CRISPRa","D1","TLR4",TRUE,5,79,99,1446,0.938366422429852,0.355926020709596,0.159174955453531
"GSE301119","CRISPRa","D1","TLR5",TRUE,5,84,99,1446,3.92155411078141,0.458937145809523,0.205242931085965
"GSE301119","CRISPRa","D1","TLR7",TRUE,5,76,99,1446,5.46902520419588,0.507427623070789,0.226928531769485
"GSE301119","CRISPRa","D1","TMEM106A",TRUE,5,79,99,1446,0.0748915871433834,3.72035176104874,1.66379188758321
"GSE301119","CRISPRa","D1","TMEM106B",TRUE,5,50,99,1446,0.774595396357992,1.31975002394904,0.590210153371407
"GSE301119","CRISPRa","D1","TNFRSF10B",TRUE,5,105,99,1446,0.500124466736576,3.37717328968938,1.51031780950841
"GSE301119","CRISPRa","D1","TNFRSF13C",TRUE,4,82,99,1446,2.63915466816795,3.25392060504787,1.62696030252394
"GSE301119","CRISPRa","D1","TNFRSF1A",TRUE,5,88,99,1446,1.40991821424186,0.720366892123345,0.322157867905611
"GSE301119","CRISPRa","D1","TP53",TRUE,5,97,99,1446,3.49096442532654,0.563558829429689,0.252031170384999
"GSE301119","CRISPRa","D1","TREM1",TRUE,5,66,99,1446,6.38304864370845,1.06559023614084,0.476546440834193
"GSE301119","CRISPRa","D1","TREM2",TRUE,4,24,99,1446,1.7301708073578,0.417109251864545,0.208554625932272
"GSE301119","CRISPRa","D1","TREML2",TRUE,5,93,99,1446,2.38635714765797,2.50912539006415,1.12211498725082
"GSE301119","CRISPRa","D1","TREML4",TRUE,5,54,99,1446,0,0,0
"GSE301119","CRISPRa","D1","TYRO3",TRUE,5,125,99,1446,4.08082129842016,0.872006251636139,0.389973051092639
"GSE301119","CRISPRa","D1","TYROBP",TRUE,5,43,99,1446,0.575905749960125,0.180212447610478,0.0805934566497298
"GSE301119","CRISPRa","D1","UNC13D",TRUE,5,64,99,1446,2.83977415258015,0.910365866558454,0.407127992404041
"GSE301119","CRISPRa","D1","VCP",TRUE,5,72,99,1446,0.84546595952982,0.80106723733068,0.358248159443872
"GSE301119","CRISPRa","D1","VDR",TRUE,5,93,99,1446,2.83917045644549,3.37443141605482,1.50909160634189
"GSE301119","CRISPRa","D1","VENTX",TRUE,4,74,99,1446,3.35164037375085,3.22432331704139,1.61216165852069
"GSE301119","CRISPRa","D1","VLDLR",TRUE,5,74,99,1446,5.37762404482733,1.32393701876395,0.592082634376921
"GSE301119","CRISPRa","D2","ABCA1",TRUE,4,16,93,671,0.180904108635487,0.558965763145221,0.27948288157261
"GSE301119","CRISPRa","D2","ABCA7",TRUE,5,37,93,671,0.45774120151957,3.21021383974898,1.43565127359787
"GSE301119","CRISPRa","D2","ABI3",TRUE,5,40,93,671,2.7238421248551,0.422644729099081,0.189012468919506
"GSE301119","CRISPRa","D2","ACTB",TRUE,4,43,93,671,1.80478532983892,0.273466478001947,0.136733239000973
"GSE301119","CRISPRa","D2","ADA2",TRUE,5,68,93,671,1.90995708639691,0.41147675714942,0.184018000029455
"GSE301119","CRISPRa","D2","ADAM10",TRUE,5,46,93,671,1.0852976223185,0.91601522406868,0.409654461888454
"GSE301119","CRISPRa","D2","ADGRG1",TRUE,5,14,93,671,2.69995570918501,3.81790737335231,1.70742008372269
"GSE301119","CRISPRa","D2","AIF1",TRUE,4,17,93,671,2.22832608853264,0.444235669573975,0.222117834786987
"GSE301119","CRISPRa","D2","APOC1",TRUE,5,27,93,671,2.08280272351857,1.06249441125112,0.475161945854226
"GSE301119","CRISPRa","D2","APOE",TRUE,5,23,93,671,0.818380158160917,1.21367151846576,0.542770403528968
"GSE301119","CRISPRa","D2","APP",TRUE,5,18,93,671,-0.342115549017551,3.44967693135688,1.54274242378537
"GSE301119","CRISPRa","D2","AXL",TRUE,3,23,93,671,2.08137853172207,4.51358761265697,2.60592102317846
"GSE301119","CRISPRa","D2","BIN1",TRUE,5,46,93,671,2.18802836360251,2.77276733931348,1.24001925129923
"GSE301119","CRISPRa","D2","C1QA",TRUE,5,48,93,671,2.09240265385572,0.141957588482412,0.0634853635537227
"GSE301119","CRISPRa","D2","C1QB",TRUE,5,39,93,671,2.35766998881111,0.46225787259953,0.206728005253397
"GSE301119","CRISPRa","D2","C1QC",TRUE,4,8,93,671,-3.61459554472962,5.42915926065245,2.71457963032622
"GSE301119","CRISPRa","D2","C3AR1",TRUE,2,24,93,671,2.71239227625572,0.0631251073053267,0.044636191438725
"GSE301119","CRISPRa","D2","C9orf72",TRUE,5,61,93,671,1.50317236706501,0.487678086818457,0.218096270652623
"GSE301119","CRISPRa","D2","CCR2",TRUE,4,10,93,671,4.82130932240874,3.62286350315121,1.8114317515756
"GSE301119","CRISPRa","D2","CD14",TRUE,2,13,93,671,2.27991693593071,0.196708435607572,0.139093868734712
"GSE301119","CRISPRa","D2","CD180",TRUE,5,19,93,671,3.9201046115007,3.25040264891344,1.45362425544317
"GSE301119","CRISPRa","D2","CD19",TRUE,4,15,93,671,0.812773878587928,2.15846346035361,1.0792317301768
"GSE301119","CRISPRa","D2","CD1D",TRUE,5,23,93,671,0.0287021455849033,4.25919654679042,1.90477060163115
