condition,aux_condition_type,target,n_donors,pooled_oof_spearman,stage27c_target_spearman,delta_vs_stage27c_target,seed
no_aux_pls4,no_aux_baseline,Iba1,84,-0.004273374525938983,0.0160777564037663,-0.020351130929705284,12
no_aux_pls4,no_aux_baseline,NeuN,84,0.4970324072708101,0.4519590968917688,0.04507331037904133,12
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.24558313034898785,0.3347372684013365,-0.08915413805234865,12
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.4462446776600817,0.5284398096588033,-0.08219513199872164,12
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.2117133625052132,0.3022982687050723,-0.09058490619985912,12
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.07874350785237329,0.0160777564037663,0.06266575144860699,12
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.5222116823197217,0.4519590968917688,0.07025258542795293,12
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.32662178585293766,0.3347372684013365,-0.008115482548398834,13
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.44068828426613266,0.5284398096588033,-0.08775152539267067,13
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.2841187018880362,0.3022982687050723,-0.01817956681703614,13
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.03771540444972098,0.0160777564037663,0.021637648045954676,13
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4381351841688636,0.4519590968917688,-0.013823912722905174,13
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.350969789610898,0.3347372684013365,0.01623252120956148,13
no_aux_pls4,no_aux_baseline,AT8,84,0.4918625707118,0.5284398096588033,-0.03657723894700332,13
no_aux_pls4,no_aux_baseline,GFAP,84,0.3358429277503246,0.3022982687050723,0.03354465904525228,13
no_aux_pls4,no_aux_baseline,Iba1,84,0.03167931931222535,0.0160777564037663,0.015601562908459047,13
no_aux_pls4,no_aux_baseline,NeuN,84,0.39910476557129065,0.4519590968917688,-0.05285433132047812,13
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.29416115688277844,0.3347372684013365,-0.040576111518558056,13
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.43425731812859086,0.5284398096588033,-0.09418249153021246,13
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.33568090981496895,0.3022982687050723,0.03338264110989664,13
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,-0.019404595844700695,0.0160777564037663,-0.03548235224846699,13
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.4225189658301357,0.4519590968917688,-0.029440131061633068,13
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.40120097569228774,0.3347372684013365,0.06646370729095125,14
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.48281591738226315,0.5284398096588033,-0.04562389227654018,14
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.3246829897445932,0.3022982687050723,0.022384721039520883,14
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.09364826353976258,0.0160777564037663,0.07757050713599628,14
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4479776528321139,0.4519590968917688,-0.003981444059654893,14
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.36765279718475236,0.3347372684013365,0.03291552878341586,14
no_aux_pls4,no_aux_baseline,AT8,84,0.4931663855207204,0.5284398096588033,-0.03527342413808293,14
no_aux_pls4,no_aux_baseline,GFAP,84,0.29639199360193863,0.3022982687050723,-0.005906275103133685,14
no_aux_pls4,no_aux_baseline,Iba1,84,0.03833827051919779,0.0160777564037663,0.02226051411543149,14
no_aux_pls4,no_aux_baseline,NeuN,84,0.4015960258773468,0.4519590968917688,-0.050363071014422,14
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.38137383004853453,0.3347372684013365,0.04663656164719804,14
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.45135940658182444,0.5284398096588033,-0.07708040307697889,14
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.32342696270496224,0.3022982687050723,0.021128693999889925,14
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.0683830799831333,0.0160777564037663,0.052305323579367,14
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.4250197601887827,0.4519590968917688,-0.026939336702986094,14
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3111298176187816,0.3347372684013365,-0.023607450782554884,15
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.45477338404464135,0.5284398096588033,-0.07366642561416198,15
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.3098461826637848,0.3022982687050723,0.00754791395871246,15
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.12355232661715022,0.0160777564037663,0.10747457021338393,15
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.5239870188823238,0.4519590968917688,0.07202792199055502,15
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.30661246952782595,0.3347372684013365,-0.028124798873510548,15
no_aux_pls4,no_aux_baseline,AT8,84,0.5376657086553618,0.5284398096588033,0.009225898996558457,15
no_aux_pls4,no_aux_baseline,GFAP,84,0.2955169233092973,0.3022982687050723,-0.006781345395775018,15
no_aux_pls4,no_aux_baseline,Iba1,84,0.07803677978401036,0.0160777564037663,0.06195902338024406,15
no_aux_pls4,no_aux_baseline,NeuN,84,0.4815122598573627,0.4519590968917688,0.029553162965593904,15
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.22895662241267523,0.3347372684013365,-0.10578064598866127,15
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.47090821702422075,0.5284398096588033,-0.05753159263458257,15
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.3296944853738877,0.3022982687050723,0.027396216668815365,15
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.08185506219524616,0.0160777564037663,0.06577730579147986,15
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.5116415893993892,0.4519590968917688,0.05968249250762042,15
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3544365532130164,0.3347372684013365,0.01969928481167993,16
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.4647371140605183,0.5284398096588033,-0.06370269559828501,16
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.2716943373241743,0.3022982687050723,-0.03060393138089801,16
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,-0.036669098005674236,0.0160777564037663,-0.05274685440944053,16
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4645140126457491,0.4519590968917688,0.012554915753980322,16
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.37824728405665003,0.3347372684013365,0.04351001565531354,16
no_aux_pls4,no_aux_baseline,AT8,84,0.5376428121237493,0.5284398096588033,0.009203002464945986,16
no_aux_pls4,no_aux_baseline,GFAP,84,0.15461735965803772,0.3022982687050723,-0.1476809090470346,16
no_aux_pls4,no_aux_baseline,Iba1,84,-0.04264390270695781,0.0160777564037663,-0.058721659110724106,16
no_aux_pls4,no_aux_baseline,NeuN,84,0.415338993972037,0.4519590968917688,-0.03662010291973178,16
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.3350213379738648,0.3347372684013365,0.00028406957252830045,16
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.4911589735197445,0.5284398096588033,-0.037280836139058804,16
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.23996679031024767,0.3022982687050723,-0.06233147839482464,16
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,-0.008141937253952524,0.0160777564037663,-0.024219693657718824,16
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.45801136342051263,0.4519590968917688,0.006052266528743855,16
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.31700846628428947,0.3347372684013365,-0.017728802117047027,17
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.43777815378398,0.5284398096588033,-0.09066165587482333,17
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.29732809414399297,0.3022982687050723,-0.0049701745610793435,17
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.09513392590377329,0.0160777564037663,0.07905616950000699,17
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.46019619130925016,0.4519590968917688,0.008237094417481383,17
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.37746722562739426,0.3347372684013365,0.04272995722605777,17
no_aux_pls4,no_aux_baseline,AT8,84,0.47975050008043396,0.5284398096588033,-0.048689309578369366,17
no_aux_pls4,no_aux_baseline,GFAP,84,0.2292771152043236,0.3022982687050723,-0.07302115350074873,17
no_aux_pls4,no_aux_baseline,Iba1,84,-0.0632200538157514,0.0160777564037663,-0.07929781021951769,17
no_aux_pls4,no_aux_baseline,NeuN,84,0.42516497155267674,0.4519590968917688,-0.026794125339092034,17
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.2970175800291322,0.3347372684013365,-0.037719688372204296,17
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.44614224498805016,0.5284398096588033,-0.08229756467075316,17
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.2837482782573714,0.3022982687050723,-0.018549990447700893,17
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,-0.08699087507585529,0.0160777564037663,-0.10306863147962159,17
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.4210329282856395,0.4519590968917688,-0.03092616860612929,17
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.33567300018400104,0.3347372684013365,0.0009357317826645395,18
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.48452628091120953,0.5284398096588033,-0.0439135287475938,18
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.2276105838199636,0.3022982687050723,-0.07468768488510871,18
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.21082215102946775,0.0160777564037663,0.19474439462570145,18
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.48006605743612824,0.4519590968917688,0.02810696054435946,18
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.36535912544920246,0.3347372684013365,0.030621857047865964,18
no_aux_pls4,no_aux_baseline,AT8,84,0.5865131591258312,0.5284398096588033,0.05807334946702791,18
no_aux_pls4,no_aux_baseline,GFAP,84,0.23960021460889616,0.3022982687050723,-0.06269805409617615,18
no_aux_pls4,no_aux_baseline,Iba1,84,0.20889794443410822,0.0160777564037663,0.19282018803034193,18
no_aux_pls4,no_aux_baseline,NeuN,84,0.448021817742284,0.4519590968917688,-0.003937279149484774,18
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.28798883855023494,0.3347372684013365,-0.04674842985110156,18
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.5001924213737277,0.5284398096588033,-0.02824738828507567,18
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.21476021095581205,0.3022982687050723,-0.08753805774926027,18
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.19186365236360983,0.0160777564037663,0.17578589595984354,18
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.4949032291022097,0.4519590968917688,0.04294413221044091,18
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.28027380580426936,0.3347372684013365,-0.054463462597067136,19
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.5287639376794191,0.5284398096588033,0.00032412802061576595,19
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.2558651928082037,0.3022982687050723,-0.046433075896868625,19
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.007676182775792021,0.0160777564037663,-0.00840157362797428,19
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4668013682036068,0.4519590968917688,0.014842271311838018,19
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.3205848727108338,0.3347372684013365,-0.014152395690502695,19
no_aux_pls4,no_aux_baseline,AT8,84,0.5166314930816266,0.5284398096588033,-0.011808316577176736,19
no_aux_pls4,no_aux_baseline,GFAP,84,0.24584893743742658,0.3022982687050723,-0.05644933126764573,19
no_aux_pls4,no_aux_baseline,Iba1,84,0.0855924760171427,0.0160777564037663,0.06951471961337641,19
no_aux_pls4,no_aux_baseline,NeuN,84,0.4750446985803881,0.4519590968917688,0.02308560168861934,19
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.302662092398194,0.3347372684013365,-0.03207517600314247,19
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.4817735011737786,0.5284398096588033,-0.04666630848502473,19
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.23521489482942257,0.3022982687050723,-0.06708337387564975,19
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.0611157823903758,0.0160777564037663,0.0450380259866095,19
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.48191076491387425,0.4519590968917688,0.02995166802210547,19
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.36805673597826505,0.3347372684013365,0.03331946757692855,20
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.5041163381127315,0.5284398096588033,-0.02432347154607184,20
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.24902913304141075,0.3022982687050723,-0.053269135663661565,20
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.08877007163469373,0.0160777564037663,0.07269231523092744,20
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4475771068555875,0.4519590968917688,-0.0043819900361812825,20
no_aux_pls4,no_aux_baseline,6e10/A_beta,84,0.32428410416026165,0.3347372684013365,-0.010453164241074842,20
no_aux_pls4,no_aux_baseline,AT8,84,0.50124047607099,0.5284398096588033,-0.027199333587813346,20
no_aux_pls4,no_aux_baseline,GFAP,84,0.0699736218817562,0.3022982687050723,-0.2323246468233161,20
no_aux_pls4,no_aux_baseline,Iba1,84,0.05506863444552413,0.0160777564037663,0.038990878041757826,20
no_aux_pls4,no_aux_baseline,NeuN,84,0.40733202986572187,0.4519590968917688,-0.04462706702604691,20
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.3471933344176248,0.3347372684013365,0.012456066016288292,20
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.462497348705839,0.5284398096588033,-0.06594246095296435,20
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.26803643959308315,0.3022982687050723,-0.03426182911198916,20
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.03287105321996529,0.0160777564037663,0.016793296816198993,20
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.46440833935613024,0.4519590968917688,0.012449242464361465,20
