gene_idx,gene
563,NGLY1
564,NEK10
565,SLC4A7
566,CMC1
567,RBMS3
568,TGFBR2
569,STT3B
570,CMTM7
571,CMTM6
572,GLB1
573,CLASP2
574,PDCD6IP
575,TRANK1
576,LRRFIP2
577,GOLGA4
578,ITGA9
579,OXSR1
580,CX3CR1
581,RPSA
582,EIF1B-AS1
583,CTNNB1
584,ULK4
585,TRAK1
586,NKTR
587,SNRK
588,ANO10
589,TCAIM
590,LIMD1
591,SACM1L
592,CCR1
593,CCR5
594,SETD2
595,KLHL18
596,SMARCC1
597,MAP4
598,PRKAR2A
599,ARIH2
600,USP4
601,RHOA
602,IP6K1
603,RBM6
604,RBM5
605,GNAI2
606,DOCK3
607,STAB1
608,PBRM1
609,SFMBT1
610,PRKCD
611,DCP1A
612,CACNA1D
613,WNT5A
614,ERC2
615,CCDC66
616,TASOR
617,APPL1
618,DENND6A
619,SLMAP
620,FHIT
621,PTPRG
622,ATXN7
623,MAGI1
624,SLC25A26
625,SUCLG2
626,UBA3
627,ARL6IP5
628,FRMD4B
629,MITF
630,FOXP1
631,RYBP
632,PPP4R2
633,ROBO2
634,GBE1
635,CADM2
636,CGGBP1
637,ZNF654
638,MTRNR2L12
639,ST3GAL6
640,CMSS1
641,SENP7
642,ALCAM
643,CBLB
644,BBX
645,CD47
646,ATP6V1A
647,ZBTB20
648,LSAMP
649,ARHGAP31
650,GSK3B
651,STXBP5L
652,HCLS1
653,GOLGB1
654,IQCB1
655,EAF2
656,SLC15A2
657,CD86
658,KPNA1
659,PARP9
660,PARP14
661,HSPBAP1
662,SLC49A4
663,SEC22A
664,KALRN
665,ITGB5
666,ZNF148
667,OSBPL11
668,ZXDC
669,MGLL
670,KBTBD12
671,EEFSEC
672,RAB7A
673,CNBP
674,PLXND1
675,TMCC1
676,ATP2C1
677,AC010210.1
678,DNAJC13
679,RYK
680,CEP63
681,MSL2
682,NCK1-DT
683,NCK1
684,ARMC8
685,PIK3CB
686,SLC25A36
687,ZBTB38
688,RASA2
689,ATP1B3
690,TFDP2
691,XRN1
692,ATR
693,U2SURP
694,PLSCR1
695,HPS3
696,ANKUB1
697,RNF13
698,TSC22D2
699,MED12L
700,P2RY13
701,P2RY12
702,DHX36
703,CCNL1
704,RSRC1
705,MFSD1
706,IQCJ-SCHIP1
707,KPNA4
708,PPM1L
709,SEC62
710,PHC3
711,SKIL
712,TNIK
713,PLD1
714,FNDC3B
715,NLGN1
716,NAALADL2
717,TBL1XR1
718,LINC00578
719,KCNMB2-AS1
720,ZMAT3
721,PIK3CA
722,GNB4
723,TTC14
724,FXR1
725,ATP11B
726,DCUN1D1
727,MCCC1
728,MCF2L2
729,B3GNT5
730,KLHL6
731,KLHL24
732,YEATS2
733,PARL
734,ABCC5
735,VPS8
736,TRA2B
737,ETV5
738,EIF4A2
739,BCL6
740,TPRG1
741,P3H2
742,IL1RAP
743,CCDC50
744,FGF12
745,OPA1
746,ATP13A3
747,ACAP2
748,TNK2
749,UBXN7
750,PAK2
751,SENP5
752,DLG1
753,RUBCN
754,LRCH3
755,ZNF718
756,ZNF721
757,AC139887.2
758,GAK
759,NSD2
760,MXD4
761,FAM193A
762,SH3BP2
763,ADD1
764,HTT
765,RGS12
766,STX18
767,STK32B
768,KIAA0232
769,TBC1D14
770,SH3TC1
771,SLC2A9
772,AC006230.1
773,RAB28
774,BOD1L1
775,FBXL5
776,TAPT1
777,TAPT1-AS1
778,LAP3
779,LCORL
780,KCNIP4
781,DHX15
782,RBPJ
783,STIM2
784,PCDH7
785,ARAP2
786,TBC1D1
787,KLF3
788,TLR1
789,TMEM156
790,KLHL5
791,RPL9
792,UBE2K
793,PDS5A
794,RBM47
795,SLC30A9
796,ATP8A1
797,ATP10D
798,SLAIN2
799,FRYL
800,OCIAD1
801,SCFD2
802,FIP1L1
803,CHIC2
804,TMEM165
805,CLOCK
806,EXOC1
807,ADGRL3
808,LINC02232
809,UBA6
810,YTHDC1
811,RUFY3
812,MOB1B
813,ANKRD17
814,CXCL8
815,USO1
816,CXCL10
817,SCARB2
818,CCNI
819,CNOT6L
820,LINC01094
821,HNRNPD
822,HNRNPDL
823,SEC31A
824,WDFY3
825,MAPK10
826,AFF1
827,KLHL8
828,HSD17B11
829,AC131944.1
830,SPP1
831,PKD2
832,PPM1K
833,HERC3
834,FAM13A
835,GPRIN3
836,SNCA
837,CCSER1
838,GRID2
839,SMARCAD1
840,HPGDS
841,PDLIM5
842,RAP1GDS1
843,EIF4E
844,DNAJB14
845,PPP3CA
846,NFKB1
847,MANBA
848,UBE2D3
849,TET2
850,PPA2
851,TBCK
852,RPL34
853,SEC24B
854,ALPK1
855,ANK2
856,CAMK2D
857,SEC24D
858,USP53
859,KIAA1109
860,SPATA5
861,LINC01091
862,ABHD18
863,SCLT1
864,ELF2
865,NAA15
866,AC097376.3
867,MGST2
868,TBC1D9
869,RNF150
870,INPP4B
871,GAB1
872,ANAPC10
873,SLC10A7
874,NR3C2
875,LRBA
876,FBXW7
877,ARFIP1
878,TMEM131L
879,AC106865.2
880,TLR2
881,PDGFC
882,GRIA2
883,FNIP2
884,RAPGEF2
885,MARCH1
886,KLHL2
887,DDX60L
888,CBR4
889,SH3RF1
890,NEK1
891,CLCN3
892,GALNT7
893,GPM6A
894,SPCS3
895,WWC2
896,TRAPPC11
897,IRF2
898,ACSL1
899,SNX25
900,FAM149A
901,ICE1
902,TENT4A
903,MARCH6
904,DAP
905,CTNND2
906,TRIO
907,OTULINL
908,OTULIN
909,ANKH
910,BASP1
911,CDH18
912,CDH12
913,PDZD2
914,GOLPH3
915,ZFR
916,AC008957.2
917,NIPBL
918,CPLANE1
919,WDR70
920,RICTOR
921,RPL37
922,ZNF131
923,NNT
924,EMB
925,PARP8
926,NDUFS4
927,ARL15
928,SNX18
929,MTREX
930,PLPP1
931,SLC38A9
932,IL6ST
933,MAP3K1
934,GPBP1
935,PDE4D
936,NDUFAF2
937,KIF2A
938,CWC27
939,ERBIN
940,SREK1
941,PIK3R1
942,NAIP
943,BDP1
944,MAP1B
945,TNPO1
946,FCHO2
947,HEXB
948,CERT1
949,POLK
950,IQGAP2
951,S100Z
952,WDR41
953,TBCA
954,AP3B1
955,LHFPL2
956,ARSB
957,TENT2
958,SERINC5
959,ZFYVE16
960,MSH3
961,SSBP2
962,ATG10
963,RPS23
964,XRCC4
965,RASA1
966,CCNH
967,TMEM161B-AS1
968,MEF2C-AS1
969,FAM172A
970,MCTP1
971,TTC37
972,ELL2
973,AC104123.1
974,CAST
975,LNPEP
976,CHD1
977,ST8SIA4
978,PPIP5K2
979,FBXL17
980,FER
981,PJA2
982,MAN2A1
983,APC
984,DCP2
985,YTHDC2
986,PGGT1B
987,COMMD10
988,DMXL1
989,TNFAIP8
990,HSD17B4
991,SNX2
992,SNX24
993,CSNK1G3
994,MARCH3
995,LINC01184
996,CHSY3
997,CDC42SE2
998,RAPGEF6
999,FNIP1
1000,RAD50
1001,AFF4
1002,PPP2CA
1003,UBE2B
1004,DDX46
1005,H2AFY
1006,FAM13B
1007,KDM3B
1008,CTNNA1
1009,SIL1
1010,UBE2D2
1011,PURA
1012,ANKHD1
1013,CD14
1014,DELE1
1015,NDFIP1
1016,NR3C1
1017,PRELID2
1018,LARS
1019,RBM27
1020,TCERG1
1021,PPP2R2B
1022,FBXO38
1023,CSNK1A1
1024,PPARGC1B
1025,CSF1R
1026,CD74
1027,RPS14
1028,DCTN4
1029,G3BP1
1030,GALNT10
1031,LARP1
1032,HAVCR2
1033,CLINT1
1034,RNF145
1035,AC008691.1
1036,TENM2
1037,LCP2
1038,KCNIP1
1039,FBXW11
1040,STK10
1041,SH3PXD2B
1042,ERGIC1
1043,ATP6V0E1
1044,CREBRF
1045,CPEB4
1046,HRH2
1047,UIMC1
1048,NSD1
1049,FAM193B
1050,PHYKPL
1051,RUFY1
1052,HNRNPH1
1053,CANX
1054,SQSTM1
1055,RNF130
1056,RASGEF1C
1057,MGAT1
1058,DUSP22
1059,EXOC2
1060,GMDS
1061,GMDS-DT
1062,SERPINB9
1063,SERPINB6
1064,SLC22A23
1065,PRPF4B
1066,CDYL
1067,LYRM4
1068,FARS2
1069,F13A1
1070,LY86
1071,RREB1
1072,GCNT2
1073,TMEM14B
1074,NEDD9
1075,PHACTR1
1076,RANBP9
1077,JARID2
1078,DTNBP1
1079,ATXN1
1080,NUP153
1081,KIF13A
1082,KDM1B
1083,DEK
1084,RNF144B
1085,E2F3
1086,CDKAL1
1087,C6orf62
1088,CARMIL1
1089,TRIM38
1090,HIST1H2AC
1091,HLA-A
1092,HLA-E
1093,PPP1R10
1094,FLOT1
1095,HLA-C
1096,HLA-B
1097,DDX39B
1098,TNF
1099,HSPA1A
1100,HSPA1B
1101,C4A
1102,C4B
1103,HLA-DRA
1104,HLA-DRB1
1105,HLA-DQA1
1106,HLA-DQB1
1107,TAP2
1108,TAP1
1109,HLA-DMB
1110,HLA-DMA
1111,HLA-DPA1
1112,HLA-DPB1
1113,RPS18
1114,NUDT3
1115,ILRUN
1116,UHRF1BP1
1117,ANKS1A
1118,DEF6
1119,PPARD
1120,MAPK14
1121,STK38
1122,CDKN1A
1123,MTCH1
1124,FGD2
1125,BTBD9
1126,TREM2
1127,TFEB
1128,CCND3
1129,TRERF1
1130,UBR2
1131,BICRAL
1132,CNPY3
1133,HSP90AB1
1134,SUPT3H
1135,RUNX2
1136,CD2AP
1137,PTCHD4
1138,ELOVL5
1139,DST
1140,ZNF451
1141,PRIM2
1142,KHDRBS2
1143,PHF3
1144,ADGRB3
1145,LMBRD1
1146,FAM135A
1147,SMAP1
1148,OGFRL1
1149,LINC00472
1150,KCNQ5
1151,EEF1A1
1152,SENP6
1153,PHIP
1154,HMGN3
1155,BCKDHB
1156,IBTK
1157,UBE3D
1158,DOP1A
1159,CYB5R4
1160,SNX14
1161,ZNF292
1162,RARS2
1163,RNGTT
1164,MDN1
1165,MAP3K7
1166,FBXL4
1167,PNISR
1168,ASCC3
1169,GRIK2
1170,AL357522.1
1171,HACE1
1172,PREP
1173,ATG5
1174,PDSS2
1175,SEC63
1176,SNX3
1177,FOXO3
1178,SESN1
1179,CD164
1180,FIG4
1181,CDK19
1182,AMD1
1183,MFSD4B
1184,REV3L
1185,TRAF3IP2-AS1
1186,MARCKS
