candidate_id,donor_id,leave_one_donor_out_delta,high_influence_flag,interpretation
latent_plus_tier1_plus_tier2,H20.33.028,-0.0004668149951723155,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.029,0.0002594349523529771,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.030,-0.0009201964653037242,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.031,0.0013802946979555308,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.032,0.009574744972923044,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.033,0.0020561689265773953,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.034,0.006287729314470469,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.035,-0.0014029637714621512,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.036,0.0036304101423114132,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.037,-0.009874480500398797,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.038,-0.0009076025355779227,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.039,0.006098820368582336,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.040,-0.0021627975315897663,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.041,-0.0018605432181688641,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.043,-0.001570882834473819,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.044,-0.00013937282229964376,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.045,-0.009731749296838899,False,within tolerance
latent_plus_tier1_plus_tier2,H20.33.046,0.0030594853280718204,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.001,0.004381847949288475,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.002,-0.00023172830695605828,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.003,-0.004622811804710081,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.004,-0.00025691616640777237,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.005,0.0022954535913689567,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.006,-0.0024734477981612213,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.007,-0.0009285924184543326,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.008,0.0003014147181059079,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.009,-0.01165022459174675,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.010,0.004104781495319176,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.011,-0.009223794131228757,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.012,0.010909701523865445,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.013,-0.006373368036606375,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.014,-0.0033004491834935368,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.015,-0.0035187439654086883,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.016,-0.0019948784685782095,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.017,0.01227404391083492,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.018,0.004201334956551006,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.019,-0.001004155996809586,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.020,-0.004496872507451399,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.021,0.004558162965450641,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.022,-0.0015960706939255331,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.023,0.00029301876495535506,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.025,0.0003769782964610502,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.026,-0.005239914361277909,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.027,0.00190084379329164,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.028,0.002207296083287791,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.029,0.006615171487343141,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.030,0.004167751143948628,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.031,-6.800722051975017e-05,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.032,0.0049023970446244736,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.033,-0.0030485705889761183,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.034,-0.0036110994500650473,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.035,-0.00040804332311822344,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.036,-0.00014776877545025213,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.037,-0.0024062801729566874,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.038,-0.0002779060492841823,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.039,0.0007380042819360999,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.040,0.001141010033164025,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.041,0.001107426220561647,False,within tolerance
latent_plus_tier1_plus_tier2,H21.33.042,-0.005655514042231691,False,within tolerance
