model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.016,0.1824019,0.2000964,0.18007478,0.19730689,-0.0023271143,-0.0027895123
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.017,0.600761,0.823506,0.59973437,0.8216349,-0.0010266304,-0.001871109
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.018,0.65145046,0.91832125,0.6496191,0.9148114,-0.0018313527,-0.003509879
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.019,0.5582427,0.74759877,0.5572302,0.7458302,-0.0010125041,-0.001768589
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.020,0.6753851,0.9647895,0.67359287,0.9612713,-0.0017922521,-0.0035182238
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.024,0.15273342,0.16501434,0.15309012,0.16543001,0.000356704,0.0004156679
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.025,0.4688734,0.5981927,0.46605211,0.59369004,-0.0028212965,-0.004502654
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.026,0.7372587,1.0901978,0.73682827,1.0892982,-0.00043040514,-0.0008995533
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.027,0.33715832,0.40096083,0.33650535,0.40004638,-0.0006529689,-0.00091445446
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.028,0.5288046,0.69690263,0.5295509,0.69816947,0.00074630976,0.0012668371
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.029,0.7123819,1.0388417,0.71156305,1.037173,-0.0008188486,-0.0016686916
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.030,0.54369116,0.7223526,0.54314685,0.7214154,-0.0005443096,-0.00093722343
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.031,0.65153396,0.91848147,0.6517029,0.9188056,0.00016891956,0.00032413006
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.032,0.8201556,1.2708533,0.8179852,1.2659297,-0.0021704435,-0.004923582
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.033,0.7280868,1.0711143,0.7213403,1.0571885,-0.0067465305,-0.013925791
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.034,0.4548761,0.57597804,0.4530888,0.57316387,-0.0017873049,-0.0028141737
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.035,0.54085016,0.71746635,0.5407475,0.71729004,-0.0001026392,-0.00017631054
upgrade_fine_08,percent AT8 positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.036,0.6560753,0.9272138,0.6531645,0.92161214,-0.0029107928,-0.0056016445
