candidate_id,target,target_score,comparator_reference,comparator_score,delta_vs_comparator,guard_threshold,guard_pass,failure_reason
stage39e_pca8_reference,NeuN,0.4609347456451279,stage27c,0.4519590968917688,0.0089756487533591,-0.05,True,
stage41b_latent_plus_safe_metadata_original,6e10/A_beta,0.45637339273058625,stage27c,,,-0.05,True,
stage41b_latent_plus_safe_metadata_original,AT8,0.5838817454692721,stage27c,0.5284398096588033,0.055441935810468745,-0.05,True,
stage41b_latent_plus_safe_metadata_original,GFAP,0.30760352333704566,stage27c,0.30229826870507237,0.0053052546319732885,-0.05,True,
stage41b_latent_plus_safe_metadata_original,Iba1,0.03239850156930242,stage27c,0.016077756403766325,0.016320745165536096,-0.05,True,
stage41b_latent_plus_safe_metadata_original,NeuN,0.3168573453477777,stage27c,0.4519590968917688,-0.13510175154399107,-0.05,True,
stage41b_latent_plus_safe_metadata_plus_mri_original,6e10/A_beta,0.3408727346360231,stage27c,,,-0.05,True,
stage41b_latent_plus_safe_metadata_plus_mri_original,AT8,0.49857244102460263,stage27c,0.5284398096588033,-0.029867368634200697,-0.05,True,
stage41b_latent_plus_safe_metadata_plus_mri_original,GFAP,0.3773412979649691,stage27c,0.30229826870507237,0.07504302925989675,-0.05,True,
stage41b_latent_plus_safe_metadata_plus_mri_original,Iba1,0.07548850865647465,stage27c,0.016077756403766325,0.059410752252708324,-0.05,True,
stage41b_latent_plus_safe_metadata_plus_mri_original,NeuN,0.3147311936822922,stage27c,0.4519590968917688,-0.1372279032094766,-0.05,True,
target_shuffled_control,6e10/A_beta,-0.029502885491546015,stage27c,,,-0.05,True,
target_shuffled_control,AT8,0.10120481927710843,stage27c,0.5284398096588033,-0.4272349903816949,-0.05,True,
target_shuffled_control,GFAP,0.23604333299584895,stage27c,0.30229826870507237,-0.06625493570922342,-0.05,True,
target_shuffled_control,Iba1,-0.022881441733319834,stage27c,0.016077756403766325,-0.03895919813708616,-0.05,True,
target_shuffled_control,NeuN,-0.09063480814012352,stage27c,0.4519590968917688,-0.5425939050318923,-0.05,False,target below guard threshold
