latent_id,latent_factor,margin,weight,policy,top_module_annotations
24,jepa_24,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.43); antigen_presentation (-0.35); lysosome_phagocytosis (-0.30)
25,jepa_25,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.24); interferon_response (-0.22); synapse_pruning (+0.20)
26,jepa_26,0.9,0.5,elastic_reactive,complement (-0.55); synapse_pruning (-0.48); antigen_presentation (-0.39)
27,jepa_27,0.9,0.5,elastic_reactive,complement (+0.59); synapse_pruning (+0.51); antigen_presentation (+0.50)
28,jepa_28,0.9,0.5,elastic_reactive,complement (+0.36); synapse_pruning (+0.34); vascular_barrier_myeloid (+0.33)
29,jepa_29,0.9,0.5,elastic_reactive,antigen_presentation (-0.52); complement (-0.46); synapse_pruning (-0.41)
30,jepa_30,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.25); antigen_presentation (+0.24); senescence_stress (+0.21)
31,jepa_31,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.57); synapse_pruning (+0.24); senescence_stress (-0.22)
32,jepa_32,0.9,0.5,elastic_reactive,synapse_pruning (-0.46); vascular_barrier_myeloid (-0.44); complement (-0.43)
33,jepa_33,0.9,0.5,elastic_reactive,complement (+0.52); synapse_pruning (+0.48); antigen_presentation (+0.34)
34,jepa_34,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.39); vascular_barrier_myeloid (+0.30); complement (+0.20)
35,jepa_35,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.38); at8_associated_first_pass (-0.30); chemokine_migration (+0.28)
36,jepa_36,0.9,0.5,elastic_reactive,antigen_presentation (+0.20); interferon_response (-0.09); lysosome_phagocytosis (-0.08)
37,jepa_37,0.985,1.5,strict_homeostatic,vascular_barrier_myeloid (-0.48); lysosome_phagocytosis (-0.29); homeostatic_microglia (+0.24)
38,jepa_38,0.985,1.5,strict_homeostatic,antigen_presentation (+0.45); homeostatic_microglia (+0.27); synapse_pruning (+0.26)
39,jepa_39,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.44); antigen_presentation (-0.42); complement (-0.41)
40,jepa_40,0.9,0.5,elastic_reactive,lysosome_phagocytosis (+0.31); lipid_metabolism (+0.28); interferon_response (+0.27)
41,jepa_41,0.9,0.5,elastic_reactive,lysosome_phagocytosis (-0.32); vascular_barrier_myeloid (-0.31); at8_associated_first_pass (-0.29)
42,jepa_42,0.9,0.5,elastic_reactive,complement (+0.35); synapse_pruning (+0.33); chemokine_migration (+0.23)
43,jepa_43,0.9,0.5,elastic_reactive,chemokine_migration (-0.27); synapse_pruning (-0.20); complement (-0.15)
44,jepa_44,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.47); synapse_pruning (+0.37); complement (+0.30)
45,jepa_45,0.985,1.5,strict_homeostatic,chemokine_migration (+0.35); synapse_pruning (+0.26); homeostatic_microglia (+0.26)
46,jepa_46,0.9,0.5,elastic_reactive,complement (+0.38); synapse_pruning (+0.31); vascular_barrier_myeloid (+0.19)
47,jepa_47,0.985,1.5,strict_homeostatic,vascular_barrier_myeloid (+0.21); antigen_presentation (+0.16); homeostatic_microglia (-0.15)
48,jepa_48,0.985,1.5,strict_homeostatic,synapse_pruning (+0.42); antigen_presentation (+0.37); homeostatic_microglia (+0.37)
49,jepa_49,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.42); vascular_barrier_myeloid (+0.42); synapse_pruning (+0.35)
50,jepa_50,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.48); synapse_pruning (+0.22); antigen_presentation (+0.20)
51,jepa_51,0.9,0.5,elastic_reactive,complement (-0.49); synapse_pruning (-0.49); plaque_response (-0.38)
52,jepa_52,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.54); antigen_presentation (+0.41); synapse_pruning (+0.36)
53,jepa_53,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.35); at8_associated_first_pass (-0.33); vascular_barrier_myeloid (-0.29)
54,jepa_54,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.64); synapse_pruning (+0.37); chemokine_migration (+0.27)
55,jepa_55,0.9,0.5,elastic_reactive,at8_associated_first_pass (-0.33); lipid_metabolism (-0.29); chemokine_migration (+0.27)
56,jepa_56,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.48); synapse_pruning (+0.44); complement (+0.41)
57,jepa_57,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.53); synapse_pruning (-0.32); antigen_presentation (-0.27)
58,jepa_58,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.51); synapse_pruning (+0.44); complement (+0.34)
59,jepa_59,0.985,1.5,strict_homeostatic,senescence_stress (-0.30); homeostatic_microglia (+0.18); complement (-0.16)
60,jepa_60,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.37); antigen_presentation (-0.36); lipid_metabolism (-0.33)
61,jepa_61,0.9,0.5,elastic_reactive,senescence_stress (+0.25); antigen_presentation (+0.25); complement (+0.21)
62,jepa_62,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.33); complement (+0.20); senescence_stress (+0.19)
63,jepa_63,0.9,0.5,elastic_reactive,complement (+0.39); antigen_presentation (+0.34); synapse_pruning (+0.34)
64,jepa_64,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.50); at8_associated_first_pass (-0.29); synapse_pruning (+0.28)
65,jepa_65,0.9,0.5,elastic_reactive,complement (-0.56); vascular_barrier_myeloid (-0.55); synapse_pruning (-0.49)
66,jepa_66,0.985,1.5,strict_homeostatic,synapse_pruning (+0.60); complement (+0.56); homeostatic_microglia (+0.51)
67,jepa_67,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.59); synapse_pruning (-0.35); complement (-0.26)
68,jepa_68,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.43); at8_associated_first_pass (-0.25); lysosome_phagocytosis (-0.20)
69,jepa_69,0.9,0.5,elastic_reactive,interferon_response (-0.18); lysosome_phagocytosis (-0.16); at8_associated_first_pass (-0.15)
70,jepa_70,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.27); disease_associated_microglia (+0.15); plaque_response (+0.15)
71,jepa_71,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (+0.27); lysosome_phagocytosis (+0.25); interferon_response (+0.20)
72,jepa_72,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.50); senescence_stress (+0.22); oxidative_stress (+0.17)
73,jepa_73,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.37); synapse_pruning (-0.28); vascular_barrier_myeloid (+0.28)
74,jepa_74,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.55); antigen_presentation (-0.30); synapse_pruning (-0.25)
75,jepa_75,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.29); lysosome_phagocytosis (-0.26); lipid_metabolism (-0.23)
76,jepa_76,0.9,0.5,elastic_reactive,complement (-0.39); synapse_pruning (-0.37); antigen_presentation (-0.25)
77,jepa_77,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (+0.45); complement (+0.37); lysosome_phagocytosis (+0.36)
78,jepa_78,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.28); oxidative_stress (-0.24); at8_associated_first_pass (-0.20)
79,jepa_79,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.47); complement (-0.25); lysosome_phagocytosis (-0.19)
80,jepa_80,0.9,0.5,elastic_reactive,antigen_presentation (+0.48); disease_associated_microglia (+0.42); plaque_response (+0.41)
81,jepa_81,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.32); antigen_presentation (+0.28); senescence_stress (+0.25)
82,jepa_82,0.9,0.5,elastic_reactive,complement (+0.24); synapse_pruning (+0.21); chemokine_migration (+0.20)
83,jepa_83,0.9,0.5,elastic_reactive,complement (-0.25); antigen_presentation (-0.24); vascular_barrier_myeloid (-0.21)
84,jepa_84,0.985,1.5,strict_homeostatic,antigen_presentation (-0.53); synapse_pruning (-0.34); homeostatic_microglia (-0.33)
85,jepa_85,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.61); antigen_presentation (+0.54); synapse_pruning (+0.50)
86,jepa_86,0.985,1.5,strict_homeostatic,vascular_barrier_myeloid (+0.35); homeostatic_microglia (-0.34); lysosome_phagocytosis (+0.34)
87,jepa_87,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (+0.41); lysosome_phagocytosis (+0.40); at8_associated_first_pass (+0.36)
88,jepa_88,0.985,1.5,strict_homeostatic,synapse_pruning (-0.58); complement (-0.58); homeostatic_microglia (-0.42)
89,jepa_89,0.9,0.5,elastic_reactive,complement (-0.38); synapse_pruning (-0.35); vascular_barrier_myeloid (-0.25)
90,jepa_90,0.985,1.5,strict_homeostatic,vascular_barrier_myeloid (+0.36); homeostatic_microglia (-0.32); chemokine_migration (-0.23)
91,jepa_91,0.9,0.5,elastic_reactive,synapse_pruning (+0.30); complement (+0.29); antigen_presentation (+0.27)
92,jepa_92,0.9,0.5,elastic_reactive,lipid_metabolism (+0.23); vascular_barrier_myeloid (+0.22); synapse_pruning (-0.20)
93,jepa_93,0.9,0.5,elastic_reactive,synapse_pruning (+0.50); complement (+0.48); antigen_presentation (+0.46)
94,jepa_94,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (+0.46); lysosome_phagocytosis (+0.37); oxidative_stress (+0.28)
95,jepa_95,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.47); lipid_metabolism (+0.29); antigen_presentation (+0.29)
96,jepa_96,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.58); synapse_pruning (+0.48); complement (+0.43)
97,jepa_97,0.9,0.5,elastic_reactive,antigen_presentation (+0.32); disease_associated_microglia (+0.30); plaque_response (+0.29)
98,jepa_98,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.46); vascular_barrier_myeloid (+0.35); chemokine_migration (-0.31)
99,jepa_99,0.9,0.5,elastic_reactive,chemokine_migration (-0.27); lipid_metabolism (+0.25); disease_associated_microglia (+0.15)
100,jepa_100,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.56); synapse_pruning (-0.35); complement (-0.29)
101,jepa_101,0.9,0.5,elastic_reactive,complement (+0.53); vascular_barrier_myeloid (+0.45); synapse_pruning (+0.45)
102,jepa_102,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.37); antigen_presentation (+0.21); senescence_stress (-0.20)
103,jepa_103,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.51); vascular_barrier_myeloid (-0.33); at8_associated_first_pass (-0.18)
104,jepa_104,0.9,0.5,elastic_reactive,lipid_metabolism (-0.27); lysosome_phagocytosis (-0.26); vascular_barrier_myeloid (-0.24)
105,jepa_105,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.40); at8_associated_first_pass (-0.37); vascular_barrier_myeloid (-0.34)
106,jepa_106,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (-0.32); at8_associated_first_pass (-0.26); lysosome_phagocytosis (-0.26)
107,jepa_107,0.9,0.5,elastic_reactive,complement (+0.38); antigen_presentation (+0.36); synapse_pruning (+0.31)
108,jepa_108,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.55); synapse_pruning (+0.24); senescence_stress (-0.20)
109,jepa_109,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.39); synapse_pruning (-0.25); chemokine_migration (-0.25)
110,jepa_110,0.985,1.5,strict_homeostatic,complement (-0.44); synapse_pruning (-0.43); homeostatic_microglia (-0.22)
111,jepa_111,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.55); synapse_pruning (+0.29); lipid_metabolism (+0.25)
112,jepa_112,0.9,0.5,elastic_reactive,vascular_barrier_myeloid (+0.35); complement (+0.32); antigen_presentation (+0.30)
113,jepa_113,0.9,0.5,elastic_reactive,at8_associated_first_pass (-0.22); lysosome_phagocytosis (-0.21); lipid_metabolism (-0.17)
114,jepa_114,0.985,1.5,strict_homeostatic,antigen_presentation (-0.48); synapse_pruning (-0.30); homeostatic_microglia (-0.28)
115,jepa_115,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.37); antigen_presentation (+0.36); synapse_pruning (+0.34)
116,jepa_116,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.30); interferon_response (-0.18); chemokine_migration (-0.16)
117,jepa_117,0.9,0.5,elastic_reactive,complement (-0.40); synapse_pruning (-0.33); vascular_barrier_myeloid (-0.27)
118,jepa_118,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.50); synapse_pruning (+0.30); complement (+0.22)
119,jepa_119,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.36); at8_associated_first_pass (-0.25); oxidative_stress (-0.21)
120,jepa_120,0.985,1.5,strict_homeostatic,homeostatic_microglia (+0.49); synapse_pruning (+0.37); complement (+0.32)
121,jepa_121,0.9,0.5,elastic_reactive,lysosome_phagocytosis (-0.19); lipid_metabolism (-0.19); oxidative_stress (-0.16)
122,jepa_122,0.985,1.5,strict_homeostatic,lipid_metabolism (+0.18); homeostatic_microglia (+0.15); complement (-0.15)
123,jepa_123,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.47); vascular_barrier_myeloid (+0.32); at8_associated_first_pass (+0.28)
124,jepa_124,0.9,0.5,elastic_reactive,complement (+0.46); lysosome_phagocytosis (+0.43); vascular_barrier_myeloid (+0.40)
125,jepa_125,0.985,1.5,strict_homeostatic,homeostatic_microglia (-0.52); lipid_metabolism (-0.31); antigen_presentation (-0.29)
126,jepa_126,0.9,0.5,elastic_reactive,at8_associated_first_pass (-0.31); lysosome_phagocytosis (-0.29); vascular_barrier_myeloid (-0.27)
127,jepa_127,0.9,0.5,elastic_reactive,complement (+0.40); synapse_pruning (+0.37); vascular_barrier_myeloid (+0.29)
