path,version_bucket,stage_hint,script_status,suffix,byte_size,n_imports_or_modules,imports_or_modules,n_local_path_mentions,local_path_mentions,n_output_path_mentions,output_path_mentions,physical_move_recommended_now,path_policy
scripts/build_cellxgene_adapters.py,unclassified,,review_before_move,.py,9298,9,__future__|anndata|argparse|numpy|pandas|pathlib|scipy|sea_ad_jepa|sys,5,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|data/processed/v2_alignment|results/reports/v2_2_cellxgene_alignment_stats.md|results/tables/v2_2_cellxgene_alignment_stats.csv|scripts/build_cellxgene_adapters.py,2,results/reports/v2_2_cellxgene_alignment_stats.md|results/tables/v2_2_cellxgene_alignment_stats.csv,false,path_stable_or_wrapper_required
scripts/build_cellxgene_healthy_anchor_strict.py,unclassified,,review_before_move,.py,6969,11,__future__|anndata|argparse|cellxgene_census|h5py|numpy|pandas|pathlib|scanpy|scipy|sys,3,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|data/processed/v2_pretraining/cellxgene_normal_microglia_strict_jepa_aligned.h5ad|results/tables,1,results/tables,false,path_stable_or_wrapper_required
scripts/build_consensus_graph.py,unclassified,,review_before_move,.py,6225,7,__future__|argparse|h5py|numpy|pandas|pathlib|scipy,4,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/tables/v2_graph_consensus|results/tables/v2_graph_string_edges_t700.csv|results/tables/v2_graph_wgcna_edges.csv,3,results/tables/v2_graph_consensus|results/tables/v2_graph_string_edges_t700.csv|results/tables/v2_graph_wgcna_edges.csv,false,path_stable_or_wrapper_required
scripts/build_donor_composition_features_v1.py,v1,,legacy_reference,.py,1764,5,__future__|anndata|numpy|pandas|pathlib,0,,0,,false,path_stable_or_wrapper_required
scripts/build_external_gene_masks.py,unclassified,,review_before_move,.py,2836,7,__future__|argparse|pandas|pathlib|scanpy|sea_ad_jepa|sys,4,data/external/grubman_gse138852/GSE138852_counts.csv.gz|data/external/gse174367/GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5|data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/tables/external_gene_masks,1,results/tables/external_gene_masks,false,path_stable_or_wrapper_required
scripts/build_latent_elasticity_policy.py,unclassified,,review_before_move,.py,3341,4,__future__|argparse|pandas|pathlib,2,results/tables/all_jepa_umap_variance_rankings.csv|results/tables/latent_elasticity_policy_v1.csv,2,results/tables/all_jepa_umap_variance_rankings.csv|results/tables/latent_elasticity_policy_v1.csv,false,path_stable_or_wrapper_required
scripts/build_metadata_targets.py,unclassified,,review_before_move,.py,3554,4,__future__|argparse|pandas|pathlib,3,data/processed/metadata|data/raw/metadata/sea-ad_all_mtg_quant_neuropath_bydonorid_081122.csv|data/raw/metadata/sea-ad_cohort_donor_metadata_072524.xlsx,0,,false,path_stable_or_wrapper_required
scripts/build_microglia_streaming_pilot.py,unclassified,,review_before_move,.py,8389,10,__future__|anndata|argparse|h5py|make_pilot_subset_fast|numpy|pandas|pathlib|scipy|sea_ad_jepa,4,data/processed/sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad|data/processed/sea_ad_mtg_microglia_pvm_counts.csv|data/processed/sea_ad_mtg_microglia_pvm_pseudobulk.csv|data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,0,,false,path_stable_or_wrapper_required
scripts/build_pathology_residual_targets_v1.py,v1,,legacy_reference,.py,2965,6,__future__|numpy|pandas|sklearn|statistics|typing,0,,0,,false,path_stable_or_wrapper_required
scripts/build_sea_ad_low_pathology_anchor_subset.py,unclassified,,review_before_move,.py,2388,5,__future__|anndata|argparse|pandas|pathlib,4,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|data/processed/v2_pretraining/sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad|results/tables/sea_ad_low_pathology_anchor_audit_donors.csv|results/tables/sea_ad_low_pathology_microglia_pvm_relaxed_subset_summary.csv,2,results/tables/sea_ad_low_pathology_anchor_audit_donors.csv|results/tables/sea_ad_low_pathology_microglia_pvm_relaxed_subset_summary.csv,false,path_stable_or_wrapper_required
scripts/build_stage32_external_pretraining_matrix_v1.py,v3,stage32,review_before_move,.py,38055,12,__future__|anndata|argparse|json|numpy|pandas|pathlib|re|scipy|sys|typing|yaml,2,configs/data/stage32_external_pretraining_matrix_v1.yaml|results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv`;,1,results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv`;,false,path_stable_or_wrapper_required
scripts/build_stage32b_approved_external_pretraining_matrix_v1.py,v3,stage32b,review_before_move,.py,23236,8,__future__|argparse|build_stage32_external_pretraining_matrix_v1|json|pandas|pathlib|sys|typing,1,configs/data/stage32b_approved_external_pretraining_acquisition_v1.yaml,0,,false,path_stable_or_wrapper_required
scripts/build_stage41_safe_feature_matrix_v1.py,v3,stage41,review_before_move,.py,1983,2,__future__|pandas,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage41abc_donor_feature_matrices_v1.py,v3,stage41abc,review_before_move,.py,1337,6,__future__|argparse|pandas|pathlib|run_stage41abc_seaad_safe_feature_download_analyze_benchmark_v1|sys,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage45_cellxgene_composition_features_v1.py,v3,stage45,review_before_move,.py,148,2,__future__|run_stage45_new_safe_feature_acquisition_and_benchmark_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage45_engineered_mri_features_v1.py,v3,stage45,review_before_move,.py,148,2,__future__|run_stage45_new_safe_feature_acquisition_and_benchmark_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage45_safe_feature_matrices_v1.py,v3,stage45,review_before_move,.py,148,2,__future__|run_stage45_new_safe_feature_acquisition_and_benchmark_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/build_stage50_donor_expression_or_module_matrix_v1.py,v3,stage50,review_before_move,.py,140,2,__future__|run_stage50_graph_specific_jepa_topology_audit_v1,0,,0,,false,path_stable_or_wrapper_required
