analysis_label,donor_id,base_score,score_without_donor,influence_score_without_minus_base,abs_influence
stage61_best,H20.33.027,0.3433239568682607,0.3409347614410906,-0.002389195427170143,0.002389195427170143
stage61_best,H20.33.025,0.3433239568682607,0.34556962025316457,0.00224566338490384,0.00224566338490384
stage61_best,H21.33.044,0.3433239568682607,0.3454576436222006,0.0021336867539398785,0.0021336867539398785
stage61_best,H21.33.033,0.3433239568682607,0.34539922103213244,0.002075264163871715,0.002075264163871715
stage61_best,H21.33.041,0.3433239568682607,0.34146056475170405,-0.0018633921165566725,0.0018633921165566725
stage61_best,H20.33.002,0.3433239568682607,0.3416260954235638,-0.0016978614446969131,0.0016978614446969131
stage61_best,H21.33.012,0.3433239568682607,0.3449610516066212,0.0016370947383604895,0.0016370947383604895
stage61_best,H21.33.023,0.3433239568682607,0.34491723466407015,0.0015932777958094224,0.0015932777958094224
stage61_best,H20.33.038,0.3433239568682607,0.3448393378773126,0.0015153810090518527,0.0015153810090518527
stage61_best,H20.33.017,0.3433239568682607,0.34480038948393377,0.00147643261567304,0.00147643261567304
stage61_best,H21.33.007,0.3433239568682607,0.34190360272638753,-0.0014203541418731924,0.0014203541418731924
stage61_best,H21.33.003,0.3433239568682607,0.34190360272638753,-0.0014203541418731924,0.0014203541418731924
stage61_best,H21.33.046,0.3433239568682607,0.3446592015579357,0.001335244689674997,0.001335244689674997
stage61_best,H20.33.014,0.3433239568682607,0.34217137293086664,-0.0011525839373940916,0.0011525839373940916
stage61_best,H21.33.018,0.3433239568682607,0.3444352482960078,0.0011112914277470742,0.0011112914277470742
stage61_best,H21.33.025,0.3433239568682607,0.3441966893865628,0.0008727325183020551,0.0008727325183020551
stage61_best,H20.33.037,0.3433239568682607,0.3424586173320351,-0.00086533953622564,0.00086533953622564
stage61_best,H20.33.019,0.3433239568682607,0.34407984420642646,0.0007558873381657283,0.0007558873381657283
stage61_best,H21.33.019,0.3433239568682607,0.3425803310613437,-0.0007436258069170032,0.0007436258069170032
stage61_best,H20.33.035,0.3433239568682607,0.3426192794547225,-0.0007046774135382461,0.0007046774135382461
stage61_best,H21.33.026,0.3433239568682607,0.3440262901655307,0.0007023332972699858,0.0007023332972699858
stage61_best,H20.33.013,0.3433239568682607,0.34262901655306716,-0.0006949403151935707,0.0006949403151935707
stage61_best,H21.33.034,0.3433239568682607,0.3440068159688413,0.0006828591005805795,0.0006828591005805795
stage61_best,H20.33.034,0.3433239568682607,0.3438802336903603,0.0005562768220995773,0.0005562768220995773
stage61_best,H20.33.028,0.3433239568682607,0.3427848101265823,-0.0005391467416784312,0.0005391467416784312
stage61_best,H20.33.030,0.3433239568682607,0.3428286270691334,-0.0004953297991273087,0.0004953297991273087
stage61_best,H19.33.004,0.3433239568682607,0.3437536514118793,0.00042969454361857506,0.00042969454361857506
