scenario_id,donor_id,regulator,direction,magnitude,scenario_type,n_cells,mean_euclidean_displacement,median_euclidean_displacement,max_euclidean_displacement,mean_cosine_similarity,aggregation_unit,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_rescue_claim,drug_match_claim
SPI1_down_0p25,H20.33.002,SPI1,down,0.25,perturbation,4,0.00010451708294567652,9.680155926616862e-05,0.00012928183423355222,1.0000000298023224,Donor ID,False,False,False,False,False,False
SPI1_down_0p25,H20.33.004,SPI1,down,0.25,perturbation,4,0.00010004752766690217,9.935560956364498e-05,0.00012523015902843326,1.0000000447034836,Donor ID,False,False,False,False,False,False
SPI1_up_0p10,H18.30.001,SPI1,up,0.1,perturbation,1,0.00013595836935564876,0.00013595836935564876,0.00013595836935564876,0.9999998807907104,Donor ID,False,False,False,False,False,False
SPI1_up_0p10,H18.30.002,SPI1,up,0.1,perturbation,5,0.0005158025247510523,0.0004830113030038774,0.0006369867478497326,0.9999999165534973,Donor ID,False,False,False,False,False,False
SPI1_up_0p10,H19.33.004,SPI1,up,0.1,perturbation,11,0.00034376570626839316,0.0003080975147895515,0.0005192912649363279,0.9999999729069796,Donor ID,False,False,False,False,False,False
SPI1_up_0p10,H20.33.001,SPI1,up,0.1,perturbation,7,0.0003078978666703084,0.0003020309959538281,0.00036784031544812024,1.0,Donor ID,False,False,False,False,False,False
SPI1_up_0p10,H20.33.002,SPI1,up,0.1,perturbation,4,0.0003059355294681154,0.0003008070634678006,0.000340140686603263,1.0000000298023224,Donor ID,False,False,False,False,False,False
SPI1_up_0p10,H20.33.004,SPI1,up,0.1,perturbation,4,0.0003377505418029614,0.00035487716377247125,0.00037303194403648376,0.999999925494194,Donor ID,False,False,False,False,False,False
SPI1_up_0p25,H18.30.001,SPI1,up,0.25,perturbation,1,0.00033965983311645687,0.00033965983311645687,0.00033965983311645687,0.9999999403953552,Donor ID,False,False,False,False,False,False
SPI1_up_0p25,H18.30.002,SPI1,up,0.25,perturbation,5,0.0012897566892206668,0.0012076909188181162,0.0015931775560602546,0.9999991536140442,Donor ID,False,False,False,False,False,False
SPI1_up_0p25,H19.33.004,SPI1,up,0.25,perturbation,11,0.0008595411940901117,0.000770270184148103,0.0012986093061044812,0.9999996423721313,Donor ID,False,False,False,False,False,False
SPI1_up_0p25,H20.33.001,SPI1,up,0.25,perturbation,7,0.0007698201474600605,0.0007550804293714464,0.0009198030456900597,0.9999997360365731,Donor ID,False,False,False,False,False,False
SPI1_up_0p25,H20.33.002,SPI1,up,0.25,perturbation,4,0.0007648899336345494,0.0007520515355281532,0.0008504636934958398,0.9999997466802597,Donor ID,False,False,False,False,False,False
SPI1_up_0p25,H20.33.004,SPI1,up,0.25,perturbation,4,0.0008445451676379889,0.0008873499173205346,0.0009328607702627778,0.9999996721744537,Donor ID,False,False,False,False,False,False
STAT1_down_0p10,H18.30.001,STAT1,down,0.1,perturbation,1,2.8270955226616934e-05,2.8270955226616934e-05,2.8270955226616934e-05,0.9999999403953552,Donor ID,False,False,False,False,False,False
STAT1_down_0p10,H18.30.002,STAT1,down,0.1,perturbation,5,0.00017905150962178596,0.00013965716061647981,0.0003979975008405745,1.0000000238418578,Donor ID,False,False,False,False,False,False
STAT1_down_0p10,H19.33.004,STAT1,down,0.1,perturbation,11,8.221215053212786e-05,3.540881152730435e-05,0.00031527693499810994,1.0000000216744163,Donor ID,False,False,False,False,False,False
STAT1_down_0p10,H20.33.001,STAT1,down,0.1,perturbation,7,0.00012504247011487938,3.5714816476684064e-05,0.00026996832457371056,0.9999999829701015,Donor ID,False,False,False,False,False,False
STAT1_down_0p10,H20.33.002,STAT1,down,0.1,perturbation,4,7.880911698521231e-05,3.697506690514274e-05,0.0002111636131303385,0.9999999850988388,Donor ID,False,False,False,False,False,False
STAT1_down_0p10,H20.33.004,STAT1,down,0.1,perturbation,4,0.0001331605881205178,0.00013292776020534802,0.00024202861823141575,1.0000000596046448,Donor ID,False,False,False,False,False,False
STAT1_down_0p25,H18.30.001,STAT1,down,0.25,perturbation,1,7.068409468047321e-05,7.068409468047321e-05,7.068409468047321e-05,1.0,Donor ID,False,False,False,False,False,False
STAT1_down_0p25,H18.30.002,STAT1,down,0.25,perturbation,5,0.0004478142087464221,0.0003491892712190747,0.0009954327251762152,0.9999998569488525,Donor ID,False,False,False,False,False,False
STAT1_down_0p25,H19.33.004,STAT1,down,0.25,perturbation,11,0.00020554257670565593,8.848821016727015e-05,0.0007884902297519147,0.9999999674883756,Donor ID,False,False,False,False,False,False
STAT1_down_0p25,H20.33.001,STAT1,down,0.25,perturbation,7,0.0003126718313848999,8.927768794819713e-05,0.0006751533364877105,0.9999999574252537,Donor ID,False,False,False,False,False,False
STAT1_down_0p25,H20.33.002,STAT1,down,0.25,perturbation,4,0.0001970464381884085,9.23653642530553e-05,0.0005281282356008887,0.9999999701976776,Donor ID,False,False,False,False,False,False
STAT1_down_0p25,H20.33.004,STAT1,down,0.25,perturbation,4,0.0003329831379232928,0.00033244528094655834,0.0006051725358702242,0.9999999403953552,Donor ID,False,False,False,False,False,False
STAT1_up_0p10,H18.30.001,STAT1,up,0.1,perturbation,1,0.00017209748330060393,0.00017209748330060393,0.00017209748330060393,1.0,Donor ID,False,False,False,False,False,False
STAT1_up_0p10,H18.30.002,STAT1,up,0.1,perturbation,5,0.00045108498306944966,0.0004182923585176468,0.000658879813272506,0.9999999284744263,Donor ID,False,False,False,False,False,False
STAT1_up_0p10,H19.33.004,STAT1,up,0.1,perturbation,11,0.00032462675219655716,0.0002947407483588904,0.0005126467440277338,0.9999999891627919,Donor ID,False,False,False,False,False,False
STAT1_up_0p10,H20.33.001,STAT1,up,0.1,perturbation,7,0.00033041286847687194,0.00033595660352148116,0.0003634139138739556,1.0000000085149492,Donor ID,False,False,False,False,False,False
STAT1_up_0p10,H20.33.002,STAT1,up,0.1,perturbation,4,0.00030560523737221956,0.00030416701338253915,0.00035207095788791776,1.0000000298023224,Donor ID,False,False,False,False,False,False
STAT1_up_0p10,H20.33.004,STAT1,up,0.1,perturbation,4,0.0003016918708453886,0.00031077745370566845,0.00031769281486049294,1.0000000298023224,Donor ID,False,False,False,False,False,False
STAT1_up_0p25,H18.30.001,STAT1,up,0.25,perturbation,1,0.000430127140134573,0.000430127140134573,0.000430127140134573,0.9999999403953552,Donor ID,False,False,False,False,False,False
STAT1_up_0p25,H18.30.002,STAT1,up,0.25,perturbation,5,0.0011271340074017644,0.0010448582470417023,0.001646818476729095,0.9999993920326233,Donor ID,False,False,False,False,False,False
STAT1_up_0p25,H19.33.004,STAT1,up,0.25,perturbation,11,0.0008114437117579986,0.0007366491481661797,0.0012816570233553648,0.999999696558172,Donor ID,False,False,False,False,False,False
STAT1_up_0p25,H20.33.001,STAT1,up,0.25,perturbation,7,0.0008259572288287538,0.0008398398058488965,0.0009084813063964248,0.9999997019767761,Donor ID,False,False,False,False,False,False
STAT1_up_0p25,H20.33.002,STAT1,up,0.25,perturbation,4,0.0007639363029738888,0.0007603440899401903,0.0008801151998341084,0.9999997317790985,Donor ID,False,False,False,False,False,False
STAT1_up_0p25,H20.33.004,STAT1,up,0.25,perturbation,4,0.0007541647501057014,0.0007769081566948444,0.0007941820076666772,0.9999997466802597,Donor ID,False,False,False,False,False,False
baseline,H18.30.001,baseline,none,0.0,baseline,1,0.0,0.0,0.0,1.0,Donor ID,False,False,False,False,False,False
baseline,H18.30.002,baseline,none,0.0,baseline,5,0.0,0.0,0.0,1.0000000476837159,Donor ID,False,False,False,False,False,False
baseline,H19.33.004,baseline,none,0.0,baseline,11,0.0,0.0,0.0,1.0000000325116245,Donor ID,False,False,False,False,False,False
baseline,H20.33.001,baseline,none,0.0,baseline,7,0.0,0.0,0.0,1.000000034059797,Donor ID,False,False,False,False,False,False
baseline,H20.33.002,baseline,none,0.0,baseline,4,0.0,0.0,0.0,1.0000000596046448,Donor ID,False,False,False,False,False,False
baseline,H20.33.004,baseline,none,0.0,baseline,4,0.0,0.0,0.0,1.0000000298023224,Donor ID,False,False,False,False,False,False
