candidate_id,fold_id,fold_oof_spearman,fold_delta_vs_stage27c,fold_delta_vs_stage41b_original,fold_outlier_flag,interpretation
stage41b_latent_plus_safe_metadata_original,3,0.33235294117647063,0.07843137254901966,,False,within expected range
stage41b_latent_plus_safe_metadata_original,4,0.2151960784313726,0.11519607843137258,,False,within expected range
stage41b_latent_plus_safe_metadata_original,5,0.3935294117647059,-0.06352941176470595,,False,within expected range
stage41b_latent_plus_safe_metadata_plus_mri_original,1,0.3941176470588236,-0.09656862745098038,,False,within expected range
stage41b_latent_plus_safe_metadata_plus_mri_original,2,0.31274509803921574,-0.0784313725490196,,False,within expected range
stage41b_latent_plus_safe_metadata_plus_mri_original,3,0.42696078431372547,0.1730392156862745,,False,within expected range
stage41b_latent_plus_safe_metadata_plus_mri_original,4,0.09950980392156863,-0.0004901960784313708,,False,within expected range
stage41b_latent_plus_safe_metadata_plus_mri_original,5,0.4170588235294117,-0.04000000000000015,,False,within expected range
target_shuffled_control,1,0.05588235294117648,-0.43480392156862746,,False,within expected range
target_shuffled_control,2,-0.07254901960784316,-0.4637254901960785,,True,fold-level instability flag
target_shuffled_control,3,0.10539215686274513,-0.14852941176470585,,False,within expected range
target_shuffled_control,4,0.12598039215686274,0.025980392156862736,,False,within expected range
target_shuffled_control,5,0.09117647058823528,-0.36588235294117655,,False,within expected range
