dataset,state_label,metric,target,spearman,n_donors
MTG,Micro-PVM_2,disease_program_fraction_high_global_q95,AT8,0.2904155646260788,84
MTG,Monocyte,disease_program_mean,Iba1,0.2902255639097744,20
DLPFC,Micro-PVM_3-SEAAD,disease_program_q95,AT8,0.28776486671223517,56
DLPFC,Micro-PVM_3-SEAAD,disease_program_q95,GFAP,0.2864661654135339,56
MTG,Micro-PVM_2,disease_program_q95,AT8,0.2856332894603625,84
DLPFC,Micro-PVM_3-SEAAD,disease_program_mean,GFAP,0.28503075871496925,56
MTG,Micro-PVM_2_3-SEAAD,disease_program_q95,AT8,0.2831021565252607,84
MTG,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,6e10/A_beta,-0.2821428571428571,15
DLPFC,Micro-PVM_3-SEAAD,state_fraction_within_donor,GFAP,0.2818865345181135,56
DLPFC,Micro-PVM_1_1-SEAAD,state_fraction_within_donor,NeuN,0.27941176470588236,16
DLPFC,Micro-PVM_2,state_fraction_within_donor,6e10/A_beta,-0.27613689639006095,80
DLPFC,Micro-PVM_1,disease_program_mean,GFAP,0.2761322589608225,60
MTG,Micro-PVM_2_3-SEAAD,disease_program_mean,AT8,0.27461779892679966,84
MTG,Micro-PVM_2,disease_program_mean,Iba1,0.27271438695960315,84
MTG,Micro-PVM_2_1-SEAAD,disease_program_mean,6e10/A_beta,0.2714285714285714,15
MTG,Micro-PVM_2_3-SEAAD,disease_program_mean,6e10/A_beta,0.27135769970638857,84
MTG,Micro-PVM_2,disease_program_q95,NeuN,-0.269677027437481,84
MTG,Micro-PVM_2,disease_program_fraction_high_global_q95,6e10/A_beta,0.2690638622602943,84
MTG,Micro-PVM_3-SEAAD,disease_program_mean,GFAP,0.2671661435658601,84
MTG,Micro-PVM_2_3-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,0.2657815266792836,84
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.26561990862896234,15
MTG,Micro-PVM_2,disease_program_mean,6e10/A_beta,0.26151665485471304,84
MTG,Micro-PVM_2_3-SEAAD,disease_program_mean,GFAP,0.26013971853801765,84
MTG,Monocyte,disease_program_fraction_high_global_q95,Iba1,0.25804839164598115,20
MTG,Lymphocyte,state_fraction_within_donor,6e10/A_beta,0.2572388955582233,50
DLPFC,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,NeuN,-0.2558369904655804,56
MTG,Micro-PVM_2,disease_program_q95,6e10/A_beta,0.2556241773817961,84
MTG,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,NeuN,0.253546276418555,15
DLPFC,Micro-PVM_3-SEAAD,state_fraction_within_donor,NeuN,-0.24702665755297332,56
MTG,Monocyte,disease_program_fraction_high_global_q95,GFAP,0.24617499939233173,20
DLPFC,Micro-PVM_1,state_fraction_within_donor,Iba1,-0.24457133332915026,60
MTG,Micro-PVM_2,disease_program_fraction_high_global_q95,Iba1,0.24220204315495242,84
MTG,Monocyte,state_fraction_within_donor,6e10/A_beta,0.2421052631578947,20
MTG,Micro-PVM_2,state_fraction_within_donor,AT8,-0.24207755391313154,84
MTG,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,AT8,-0.24147264420814754,15
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_q95,6e10/A_beta,0.2411764705882353,16
DLPFC,Micro-PVM_2,state_fraction_within_donor,NeuN,0.23956868260665728,80
MTG,Micro-PVM_3-SEAAD,disease_program_q95,Iba1,0.23946542472410653,84
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_q95,GFAP,0.23928571428571427,15
MTG,Micro-PVM_2_1-SEAAD,disease_program_q95,6e10/A_beta,0.23928571428571427,15
MTG,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,GFAP,0.23571428571428568,15
DLPFC,Micro-PVM_2,disease_program_fraction_high_global_q95,GFAP,0.233245036281531,80
MTG,Monocyte,disease_program_q95,Iba1,0.23308270676691725,20
MTG,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.23209338049712416,84
MTG,Micro-PVM_2,disease_program_q95,Iba1,0.23079882555431813,84
DLPFC,Micro-PVM_1,disease_program_fraction_high_global_q95,Iba1,0.22797500963114178,60
MTG,Micro-PVM_1,state_fraction_within_donor,NeuN,-0.22447257383966243,80
MTG,Monocyte,disease_program_mean,NeuN,-0.22255639097744356,20
DLPFC,Micro-PVM_2,disease_program_q95,NeuN,-0.21882325363338023,80
MTG,Micro-PVM_2_3-SEAAD,disease_program_q95,Iba1,0.21810266275184775,84
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,0.21732537978733282,15
MTG,Lymphocyte,disease_program_q95,Iba1,0.21488595438175268,50
DLPFC,Micro-PVM_2,disease_program_fraction_high_global_q95,6e10/A_beta,0.21095196798969829,80
MTG,Monocyte,disease_program_q95,NeuN,-0.21052631578947367,20
MTG,Micro-PVM_4-SEAAD,disease_program_mean,AT8,0.2087912087912088,14
MTG,Lymphocyte,disease_program_mean,Iba1,0.20777911164465784,50
DLPFC,Micro-PVM_2,disease_program_mean,Iba1,0.20721987810595408,80
DLPFC,Micro-PVM_3-SEAAD,disease_program_fraction_high_global_q95,6e10/A_beta,0.20693155521908443,56
MTG,Micro-PVM_2,state_fraction_within_donor,GFAP,-0.203158853903007,84
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_mean,6e10/A_beta,0.2029411764705882,16
DLPFC,Micro-PVM_2,disease_program_q95,6e10/A_beta,0.20051570557899673,80
DLPFC,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,AT8,-0.19999999999999998,15
MTG,Micro-PVM_2_3-SEAAD,state_fraction_within_donor,NeuN,-0.1962134251290878,84
MTG,Micro-PVM_4-SEAAD,disease_program_q95,AT8,0.1956043956043956,14
DLPFC,Micro-PVM_3-SEAAD,disease_program_q95,6e10/A_beta,0.19227614490772385,56
DLPFC,Micro-PVM_2,disease_program_q95,GFAP,0.19203000468823253,80
