dataset,embedding_space,variable,disease_label,control_label,n_disease,n_control,disease_mean,control_mean,mean_difference_disease_minus_control,rank_biserial_effect,mannwhitney_p,auc_ad_vs_control,category,n_cells_before_filter,n_cells_after_filter,n_external_groups,n_jepa_genes,n_matched_genes,gene_overlap_fraction,control_centroid_shift_applied,control_centroid_shift_l2,missing_gene_imputation,alignment
GSE138852_Grubman_Leng,projector,module_lysosome_phagocytosis,AD,Control,3,3,0.9319888750712076,0.8435753186543783,0.08841355641682935,0.5555555555555556,0.4,0.7777777777777778,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_oxidative_stress,AD,Control,3,3,0.4060564835866292,0.365815669298172,0.040240814288457216,0.5555555555555556,0.4,0.7777777777777778,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_vascular_barrier_myeloid,AD,Control,3,3,0.781911313533783,0.6321757833162943,0.14973553021748864,0.5555555555555556,0.4,0.7777777777777778,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_synapse_pruning,AD,Control,3,3,1.27715003490448,1.2278763850529988,0.049273649851481194,0.33333333333333326,0.7,0.6666666666666666,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_senescence_stress,AD,Control,3,3,0.39254385232925415,0.3166572352250417,0.07588661710421246,-0.11111111111111116,1.0,0.4444444444444444,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_antigen_presentation,AD,Control,3,3,0.7595530152320862,0.9214211901028951,-0.16186817487080896,-0.33333333333333337,0.7,0.33333333333333337,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_lipid_metabolism,AD,Control,3,3,0.7369260589281718,0.8287837306658427,-0.0918576717376709,-0.5555555555555556,0.4,0.22222222222222224,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_inflammatory_signaling,AD,Control,3,3,0.2928195099035899,0.32806287209192914,-0.03524336218833923,-0.7777777777777778,0.2,0.11111111111111112,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_chemokine_migration,AD,Control,3,3,0.5239222248395284,0.6272570292154948,-0.10333480437596632,-1.0,0.1,0.0,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,module_homeostatic_microglia,AD,Control,3,3,0.6450400352478027,0.8635605573654175,-0.21852052211761475,-1.0,0.1,0.0,module_score,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,predicted_A beta/6e10_model_scale,AD,Control,3,3,2.594332456588745,0.8626107374827067,1.7317217191060386,0.5555555555555556,0.4,0.7777777777777778,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,predicted_NeuN_model_scale,AD,Control,3,3,3.053723136583964,1.2896386782328289,1.764084458351135,0.33333333333333326,0.7,0.6666666666666667,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,predicted_AT8/pTau_model_scale,AD,Control,3,3,0.7229053576787313,0.4824114640553792,0.2404938936233521,0.11111111111111116,1.0,0.5555555555555556,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,predicted_Iba1_model_scale,AD,Control,3,3,1.3203624089558919,1.4502221743265789,-0.129859765370687,0.11111111111111116,1.0,0.5555555555555556,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,predicted_GFAP_model_scale,AD,Control,3,3,-1.643539269765218,1.7353870073954265,-3.3789262771606445,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,trajectory_A beta/6e10_score,AD,Control,3,3,0.45226451257864636,0.28615329911311466,0.1661112134655317,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,trajectory_AT8/pTau_score,AD,Control,3,3,0.5126655598481497,0.35314154873291653,0.15952401111523312,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,trajectory_Iba1_score,AD,Control,3,3,0.9712845087051392,0.8967404961585999,0.0745440125465393,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,trajectory_NeuN_score,AD,Control,3,3,0.7722807129224142,0.6660862962404887,0.10619441668192553,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
GSE138852_Grubman_Leng,projector,trajectory_GFAP_score,AD,Control,3,3,-1.3059704701105754,-1.3889066378275554,0.08293616771697998,0.11111111111111116,1.0,0.5555555555555556,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,True,3.872709035873413,sea_ad_low_pathology_mean,control_centroid_shift
