gene,final_tier,final_evidence_tier_v3,final_candidate_status_v3,model_implied_evidence,manifold_qc_evidence,internal_robustness_evidence,baseline_comparison_evidence,baseline_comparison_notes,external_cohort_evidence,cell_state_evidence,spatial_evidence,experimental_evidence,current_max_evidence_level,evidence_status_summary,claim_boundary,level2_failure_pattern,level2_failed_required_axes,gfap_positive_fraction,iba1_positive_fraction,mean_GFAP_delta,mean_Iba1_delta,epsilon_sensitivity_summary,gliosis_failure_interpretation,diagnostic_only_no_evidence_promotion
ARHGEF7,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.3932584269662921,0.0337078651685393,-0.006526451455955,-0.0054832683606741,strict=0.000;eps0.001=0.000;eps0.005=0.390;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
LRCH3,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.1573033707865168,0.797752808988764,-0.0206264833234112,0.0063723848236404,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.336;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
KIF1B,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.2022471910112359,0.2134831460674157,-0.0075148411024719,-0.0053178326161797,strict=0.000;eps0.001=0.013;eps0.005=0.997;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
RAD51B,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.2247191011235955,0.0224719101123595,-0.0076893795450561,-0.0225305624011235,strict=0.000;eps0.001=0.011;eps0.005=1.000;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
PI4KA,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0,0.0337078651685393,-0.0109177251606741,-0.0076503525765168,strict=0.052;eps0.001=0.923;eps0.005=1.000;eps0.01=1.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
PTPRE,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.2921348314606741,0.146067415730337,-0.0407471093250561,-0.0381510619767415,strict=0.000;eps0.001=0.000;eps0.005=0.001;eps0.01=0.155;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
STARD13,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.2921348314606741,0.4044943820224719,-0.0430943775146067,-0.0051824899784269,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
SARAF,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0112359550561797,0.4157303370786517,-0.0275387120644943,-0.0070427294626404,strict=0.000;eps0.001=0.000;eps0.005=0.130;eps0.01=0.995;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
MSR1,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.4269662921348314,0.3370786516853932,0.0034775437074157,-0.0170394529988764,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
NCOA2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0674157303370786,0.3146067415730337,-0.0224659335752809,-0.0194837661056179,strict=0.000;eps0.001=0.000;eps0.005=0.001;eps0.01=0.438;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
TMEM165,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.5280898876404494,0.4157303370786517,0.0020771402247191,-0.0082017263139325,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
ATRX,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0,0.5617977528089888,-0.0383776279662921,0.0052887629958426,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.007;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
ZRANB2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.5280898876404494,0.0898876404494382,0.0113420965808539,-0.02013223893,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
VPS39,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.4044943820224719,0.3707865168539326,-0.0057492604337078,-0.0030648106044943,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.068;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
CSMD3,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.1348314606741573,0.4606741573033708,-0.0280878890814606,-0.0173658790932584,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
SLC38A2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.5056179775280899,0.1123595505617977,-0.0131799423914606,-0.0093631583879775,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
MTX2,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0561797752808988,0.4719101123595505,-0.0097788612732584,-0.0049015283264044,strict=0.000;eps0.001=0.000;eps0.005=0.072;eps0.01=0.997;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
MAP3K7,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0674157303370786,0.9550561797752808,-0.016985376230337,0.0071902931393258,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.972;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
NSF,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.4831460674157303,0.0,-0.0178214861296629,-0.0151725243561797,strict=0.000;eps0.001=0.000;eps0.005=0.000;eps0.01=0.000;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
RPLP1,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0786516853932584,0.2359550561797752,-0.0247342050756179,-0.0049903271907865,strict=0.000;eps0.001=0.010;eps0.005=0.741;eps0.01=0.993;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
PLD3,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.0898876404494382,0.4382022471910112,-0.0229963157337078,-0.0015613912069662,strict=0.000;eps0.001=0.000;eps0.005=0.654;eps0.01=1.000;sensitivity_only_not_evidence_promotion;threshold_dependent,strict_positive_part_gliosis_axis_only,True
CAMK2G,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.1235955056179775,0.0561797752808988,-0.030172680230337,-0.0035574878115168,strict=0.000;eps0.001=0.004;eps0.005=0.376;eps0.01=0.765;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
UBE2E3,scorecard_supported_isolated_hypothesis,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass,pass,pass,not_passed,competitive_not_superior,Overall superiority not established. Graph-JEPA had the highest tested OOF Spearman for: percent NeuN positive area_Grey matter.,not_run,not_run,not_run,not_run,1,model=pass; manifold=pass; robustness=not_passed; baseline=competitive_not_superior,"Internal model evidence only. No current result proves causality, druggability, spatial plaque proximity, external cohort generalization, or experimental efficacy.",passes_non_gliosis_axes_fails_gliosis_only,gliosis_noninflating_stability,0.3146067415730337,0.2022471910112359,-0.0105595775802247,-0.0114655052964382,strict=0.000;eps0.001=0.000;eps0.005=0.001;eps0.01=0.690;sensitivity_only_not_evidence_promotion;not_threshold_rescued,strict_positive_part_gliosis_axis_only,True
