comparison,left_baseline,right_baseline,target,left_oof_spearman,right_oof_spearman,delta,small_difference_band,conclusion_label
baseline_vs_module_mean_baseline,wgcna_module_summary_ridge,module_mean_baseline,GFAP,-0.11509803921568632,0.24941176470588236,-0.3645098039215687,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,wgcna_module_summary_ridge,raw_expression_ridge,GFAP,-0.11509803921568632,0.18401960784313726,-0.2991176470588236,0.01,v3_target_updated
baseline_vs_module_mean_baseline,xgboost_raw_expression,module_mean_baseline,GFAP,0.1623529411764706,0.24941176470588236,-0.08705882352941177,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,xgboost_raw_expression,raw_expression_ridge,GFAP,0.1623529411764706,0.18401960784313726,-0.021666666666666667,0.01,v3_target_updated
baseline_vs_module_mean_baseline,lightgbm_raw_expression,module_mean_baseline,Iba1,0.07450980392156861,0.10500000000000001,-0.030490196078431397,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,lightgbm_raw_expression,raw_expression_ridge,Iba1,0.07450980392156861,0.09529411764705882,-0.02078431372549021,0.01,v3_target_updated
baseline_vs_raw_expression_ridge,module_mean_baseline,raw_expression_ridge,Iba1,0.10500000000000001,0.09529411764705882,0.00970588235294119,0.01,difference_within_small_band
baseline_vs_module_mean_baseline,pca_elasticnet,module_mean_baseline,Iba1,0.2085294117647059,0.10500000000000001,0.1035294117647059,0.01,new_high_watermark_established
baseline_vs_raw_expression_ridge,pca_elasticnet,raw_expression_ridge,Iba1,0.2085294117647059,0.09529411764705882,0.11323529411764709,0.01,new_high_watermark_established
baseline_vs_module_mean_baseline,pca_ridge,module_mean_baseline,Iba1,0.021274509803921576,0.10500000000000001,-0.08372549019607843,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,pca_ridge,raw_expression_ridge,Iba1,0.021274509803921576,0.09529411764705882,-0.07401960784313724,0.01,v3_target_updated
baseline_vs_module_mean_baseline,raw_expression_elasticnet,module_mean_baseline,Iba1,0.0557843137254902,0.10500000000000001,-0.04921568627450981,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,raw_expression_elasticnet,raw_expression_ridge,Iba1,0.0557843137254902,0.09529411764705882,-0.03950980392156862,0.01,v3_target_updated
baseline_vs_module_mean_baseline,raw_expression_ridge,module_mean_baseline,Iba1,0.09529411764705882,0.10500000000000001,-0.00970588235294119,0.01,difference_within_small_band
baseline_vs_module_mean_baseline,wgcna_module_summary_elasticnet,module_mean_baseline,Iba1,0.3115686274509804,0.10500000000000001,0.2065686274509804,0.01,wgcna_module_features_improve_over_module_mean
baseline_vs_raw_expression_ridge,wgcna_module_summary_elasticnet,raw_expression_ridge,Iba1,0.3115686274509804,0.09529411764705882,0.2162745098039216,0.01,new_high_watermark_established
baseline_vs_module_mean_baseline,wgcna_module_summary_ridge,module_mean_baseline,Iba1,0.31450980392156863,0.10500000000000001,0.20950980392156862,0.01,wgcna_module_features_improve_over_module_mean
baseline_vs_raw_expression_ridge,wgcna_module_summary_ridge,raw_expression_ridge,Iba1,0.31450980392156863,0.09529411764705882,0.21921568627450982,0.01,new_high_watermark_established
baseline_vs_module_mean_baseline,xgboost_raw_expression,module_mean_baseline,Iba1,0.012450980392156853,0.10500000000000001,-0.09254901960784316,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,xgboost_raw_expression,raw_expression_ridge,Iba1,0.012450980392156853,0.09529411764705882,-0.08284313725490197,0.01,v3_target_updated
baseline_vs_module_mean_baseline,lightgbm_raw_expression,module_mean_baseline,NeuN,0.4018627450980393,0.4394117647058824,-0.03754901960784307,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,lightgbm_raw_expression,raw_expression_ridge,NeuN,0.4018627450980393,0.4393137254901961,-0.037450980392156774,0.01,v3_target_updated
baseline_vs_raw_expression_ridge,module_mean_baseline,raw_expression_ridge,NeuN,0.4394117647058824,0.4393137254901961,9.803921568629637e-05,0.01,difference_within_small_band
baseline_vs_module_mean_baseline,pca_elasticnet,module_mean_baseline,NeuN,0.5653921568627451,0.4394117647058824,0.12598039215686274,0.01,new_high_watermark_established
baseline_vs_raw_expression_ridge,pca_elasticnet,raw_expression_ridge,NeuN,0.5653921568627451,0.4393137254901961,0.12607843137254904,0.01,new_high_watermark_established
baseline_vs_module_mean_baseline,pca_ridge,module_mean_baseline,NeuN,0.5077450980392157,0.4394117647058824,0.06833333333333336,0.01,new_high_watermark_established
baseline_vs_raw_expression_ridge,pca_ridge,raw_expression_ridge,NeuN,0.5077450980392157,0.4393137254901961,0.06843137254901965,0.01,new_high_watermark_established
baseline_vs_module_mean_baseline,raw_expression_elasticnet,module_mean_baseline,NeuN,0.5922549019607843,0.4394117647058824,0.15284313725490195,0.01,raw_expression_remains_competitive
baseline_vs_raw_expression_ridge,raw_expression_elasticnet,raw_expression_ridge,NeuN,0.5922549019607843,0.4393137254901961,0.15294117647058825,0.01,raw_expression_remains_competitive
baseline_vs_module_mean_baseline,raw_expression_ridge,module_mean_baseline,NeuN,0.4393137254901961,0.4394117647058824,-9.803921568629637e-05,0.01,difference_within_small_band
baseline_vs_module_mean_baseline,wgcna_module_summary_elasticnet,module_mean_baseline,NeuN,0.04411764705882353,0.4394117647058824,-0.39529411764705885,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,wgcna_module_summary_elasticnet,raw_expression_ridge,NeuN,0.04411764705882353,0.4393137254901961,-0.39519607843137255,0.01,v3_target_updated
baseline_vs_module_mean_baseline,wgcna_module_summary_ridge,module_mean_baseline,NeuN,0.15901960784313726,0.4394117647058824,-0.2803921568627451,0.01,module_mean_remains_best_primary_baseline
baseline_vs_raw_expression_ridge,wgcna_module_summary_ridge,raw_expression_ridge,NeuN,0.15901960784313726,0.4393137254901961,-0.2802941176470588,0.01,v3_target_updated
baseline_vs_module_mean_baseline,xgboost_raw_expression,module_mean_baseline,NeuN,0.4875490196078432,0.4394117647058824,0.0481372549019608,0.01,boosting_improves_over_linear_baselines
baseline_vs_raw_expression_ridge,xgboost_raw_expression,raw_expression_ridge,NeuN,0.4875490196078432,0.4393137254901961,0.0482352941176471,0.01,boosting_improves_over_linear_baselines
baseline_vs_prior_graph_jepa_real_graph_latent,lightgbm_raw_expression,graph_jepa_real_graph_latent,6e10/Aβ,0.12450980392156863,0.1822213222638453,-0.05771151834227667,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,module_mean_baseline,graph_jepa_real_graph_latent,6e10/Aβ,0.31696078431372554,0.1822213222638453,0.13473946204988024,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,pca_elasticnet,graph_jepa_real_graph_latent,6e10/Aβ,0.17205882352941176,0.1822213222638453,-0.010162498734433534,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,pca_ridge,graph_jepa_real_graph_latent,6e10/Aβ,0.22245098039215688,0.1822213222638453,0.040229658128311585,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_elasticnet,graph_jepa_real_graph_latent,6e10/Aβ,0.03088235294117648,0.1822213222638453,-0.15133896932266883,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_ridge,graph_jepa_real_graph_latent,6e10/Aβ,0.31754901960784315,0.1822213222638453,0.13532769734399785,0.01,raw_expression_remains_competitive
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_elasticnet,graph_jepa_real_graph_latent,6e10/Aβ,-0.09068627450980395,0.1822213222638453,-0.27290759677364923,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_ridge,graph_jepa_real_graph_latent,6e10/Aβ,-0.12598039215686277,0.1822213222638453,-0.3082017144207081,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,xgboost_raw_expression,graph_jepa_real_graph_latent,6e10/Aβ,0.10549019607843138,0.1822213222638453,-0.07673112618541392,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,lightgbm_raw_expression,graph_jepa_real_graph_latent,AT8,0.6444117647058825,0.457264351523742,0.18714741318214045,0.01,boosting_improves_over_linear_baselines
baseline_vs_prior_graph_jepa_real_graph_latent,module_mean_baseline,graph_jepa_real_graph_latent,AT8,0.5517647058823529,0.457264351523742,0.09450035435861093,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,pca_elasticnet,graph_jepa_real_graph_latent,AT8,0.38715686274509803,0.457264351523742,-0.07010748877864398,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,pca_ridge,graph_jepa_real_graph_latent,AT8,0.3181372549019608,0.457264351523742,-0.1391270966217812,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_elasticnet,graph_jepa_real_graph_latent,AT8,0.5108823529411766,0.457264351523742,0.05361800141743456,0.01,raw_expression_remains_competitive
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_ridge,graph_jepa_real_graph_latent,AT8,0.4136274509803922,0.457264351523742,-0.04363690054334979,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_elasticnet,graph_jepa_real_graph_latent,AT8,-0.018137254901960786,0.457264351523742,-0.4754016064257028,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_ridge,graph_jepa_real_graph_latent,AT8,0.1727450980392157,0.457264351523742,-0.28451925348452634,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,xgboost_raw_expression,graph_jepa_real_graph_latent,AT8,0.5293137254901962,0.457264351523742,0.07204937396645417,0.01,boosting_improves_over_linear_baselines
baseline_vs_prior_graph_jepa_real_graph_latent,lightgbm_raw_expression,graph_jepa_real_graph_latent,GFAP,0.15558823529411764,0.1862103877695656,-0.030622152475447972,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,module_mean_baseline,graph_jepa_real_graph_latent,GFAP,0.24941176470588236,0.1862103877695656,0.06320137693631675,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,pca_elasticnet,graph_jepa_real_graph_latent,GFAP,0.1674509803921569,0.1862103877695656,-0.01875940737740872,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,pca_ridge,graph_jepa_real_graph_latent,GFAP,0.1526470588235294,0.1862103877695656,-0.0335633289460362,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_elasticnet,graph_jepa_real_graph_latent,GFAP,0.09813725490196079,0.1862103877695656,-0.08807313286760482,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_ridge,graph_jepa_real_graph_latent,GFAP,0.18401960784313726,0.1862103877695656,-0.0021907799264283545,0.01,difference_within_small_band
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_elasticnet,graph_jepa_real_graph_latent,GFAP,-0.12794117647058825,0.1862103877695656,-0.3141515642401539,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_ridge,graph_jepa_real_graph_latent,GFAP,-0.11509803921568632,0.1862103877695656,-0.30130842698525195,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,xgboost_raw_expression,graph_jepa_real_graph_latent,GFAP,0.1623529411764706,0.1862103877695656,-0.023857446593095022,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,lightgbm_raw_expression,graph_jepa_real_graph_latent,Iba1,0.07450980392156861,0.1274476055482434,-0.052937801626674774,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,module_mean_baseline,graph_jepa_real_graph_latent,Iba1,0.10500000000000001,0.1274476055482434,-0.022447605548243377,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,pca_elasticnet,graph_jepa_real_graph_latent,Iba1,0.2085294117647059,0.1274476055482434,0.08108180621646252,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,pca_ridge,graph_jepa_real_graph_latent,Iba1,0.021274509803921576,0.1274476055482434,-0.10617309574432181,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_elasticnet,graph_jepa_real_graph_latent,Iba1,0.0557843137254902,0.1274476055482434,-0.07166329182275319,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_ridge,graph_jepa_real_graph_latent,Iba1,0.09529411764705882,0.1274476055482434,-0.032153487901184566,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_elasticnet,graph_jepa_real_graph_latent,Iba1,0.3115686274509804,0.1274476055482434,0.18412102190273702,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_ridge,graph_jepa_real_graph_latent,Iba1,0.31450980392156863,0.1274476055482434,0.18706219837332524,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,xgboost_raw_expression,graph_jepa_real_graph_latent,Iba1,0.012450980392156853,0.1274476055482434,-0.11499662515608654,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,lightgbm_raw_expression,graph_jepa_real_graph_latent,NeuN,0.4018627450980393,0.4927812088690898,-0.0909184637710505,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,module_mean_baseline,graph_jepa_real_graph_latent,NeuN,0.4394117647058824,0.4927812088690898,-0.053369444163207436,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,pca_elasticnet,graph_jepa_real_graph_latent,NeuN,0.5653921568627451,0.4927812088690898,0.0726109479936553,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,pca_ridge,graph_jepa_real_graph_latent,NeuN,0.5077450980392157,0.4927812088690898,0.014963889170125921,0.01,new_high_watermark_established
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_elasticnet,graph_jepa_real_graph_latent,NeuN,0.5922549019607843,0.4927812088690898,0.09947369309169452,0.01,raw_expression_remains_competitive
baseline_vs_prior_graph_jepa_real_graph_latent,raw_expression_ridge,graph_jepa_real_graph_latent,NeuN,0.4393137254901961,0.4927812088690898,-0.05346748337889373,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_elasticnet,graph_jepa_real_graph_latent,NeuN,0.04411764705882353,0.4927812088690898,-0.4486635618102663,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,wgcna_module_summary_ridge,graph_jepa_real_graph_latent,NeuN,0.15901960784313726,0.4927812088690898,-0.33376160102595254,0.01,v3_target_updated
baseline_vs_prior_graph_jepa_real_graph_latent,xgboost_raw_expression,graph_jepa_real_graph_latent,NeuN,0.4875490196078432,0.4927812088690898,-0.005232189261246634,0.01,difference_within_small_band
best_primary_vs_old_v2_module_mean_target,module_mean_baseline,old_v2_module_mean_target_0.2999,mean_across_targets,0.33250980392156865,0.2999,0.03260980392156865,0.01,new_high_watermark_established
best_primary_vs_old_v2_real_graph_0.2892,module_mean_baseline,old_v2_real_graph_0.2892,mean_across_targets,0.33250980392156865,0.2892,0.043309803921568635,0.01,new_high_watermark_established
