dataset,regulator,control,dose,module,mean_module_delta,abs_mean_module_delta
MTG,CEBPA,directed_stage72b,0.5,complement_phagocytosis,-0.04314344376325607,0.04314344376325607
MTG,CEBPA,directed_stage72b,0.5,antigen_presentation,-0.1877772957086563,0.1877772957086563
MTG,CEBPA,directed_stage72b,0.5,interferon_inflammatory,-0.031585197895765305,0.031585197895765305
MTG,CEBPA,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.1089894026517868,0.1089894026517868
MTG,CEBPA,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.04997370392084122,0.04997370392084122
MTG,CEBPA,directed_stage72b,0.75,lysosomal_endolysosomal,-0.09522664546966553,0.09522664546966553
MTG,CEBPA,directed_stage72b,0.75,complement_phagocytosis,-0.06471515446901321,0.06471515446901321
MTG,CEBPA,directed_stage72b,0.75,antigen_presentation,-0.28166595101356506,0.28166595101356506
MTG,CEBPA,directed_stage72b,0.75,interferon_inflammatory,-0.04737779125571251,0.04737779125571251
MTG,CEBPA,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.1634841114282608,0.1634841114282608
MTG,CEBPA,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.06663160771131516,0.06663160771131516
MTG,CEBPA,directed_stage72b,1.0,lysosomal_endolysosomal,-0.1269688606262207,0.1269688606262207
MTG,CEBPA,directed_stage72b,1.0,complement_phagocytosis,-0.08628687262535095,0.08628687262535095
MTG,CEBPA,directed_stage72b,1.0,antigen_presentation,-0.3755545914173126,0.3755545914173126
MTG,CEBPA,directed_stage72b,1.0,interferon_inflammatory,-0.06317038834095001,0.06317038834095001
MTG,CEBPA,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.2179788053035736,0.2179788053035736
MTG,CEBPB,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.045698873698711395,0.045698873698711395
MTG,CEBPB,directed_stage72b,0.25,lysosomal_endolysosomal,-0.12911149859428406,0.12911149859428406
MTG,CEBPB,directed_stage72b,0.25,complement_phagocytosis,-0.13565681874752045,0.13565681874752045
MTG,CEBPB,directed_stage72b,0.25,antigen_presentation,-0.05843205749988556,0.05843205749988556
MTG,CEBPB,directed_stage72b,0.25,interferon_inflammatory,-0.022389259189367294,0.022389259189367294
MTG,CEBPB,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.05186079069972038,0.05186079069972038
MTG,CEBPB,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.09139774739742279,0.09139774739742279
MTG,CEBPB,directed_stage72b,0.5,lysosomal_endolysosomal,-0.2582229971885681,0.2582229971885681
MTG,CEBPB,directed_stage72b,0.5,complement_phagocytosis,-0.2713136672973633,0.2713136672973633
MTG,CEBPB,directed_stage72b,0.5,antigen_presentation,-0.11686408519744873,0.11686408519744873
MTG,CEBPB,directed_stage72b,0.5,interferon_inflammatory,-0.04477851837873459,0.04477851837873459
MTG,CEBPB,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.10372156649827957,0.10372156649827957
MTG,CEBPB,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.13709662854671478,0.13709662854671478
MTG,CEBPB,directed_stage72b,0.75,lysosomal_endolysosomal,-0.3873344361782074,0.3873344361782074
MTG,CEBPB,directed_stage72b,0.75,complement_phagocytosis,-0.4069705009460449,0.4069705009460449
MTG,CEBPB,directed_stage72b,0.75,antigen_presentation,-0.1752961128950119,0.1752961128950119
MTG,CEBPB,directed_stage72b,0.75,interferon_inflammatory,-0.06716777384281158,0.06716777384281158
MTG,CEBPB,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.15558235347270966,0.15558235347270966
MTG,CEBPB,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.18279549479484558,0.18279549479484558
MTG,CEBPB,directed_stage72b,1.0,lysosomal_endolysosomal,-0.5164458751678467,0.5164458751678467
MTG,CEBPB,directed_stage72b,1.0,complement_phagocytosis,-0.5426272749900818,0.5426272749900818
MTG,CEBPB,directed_stage72b,1.0,antigen_presentation,-0.23372817039489746,0.23372817039489746
MTG,CEBPB,directed_stage72b,1.0,interferon_inflammatory,-0.08955703675746918,0.08955703675746918
MTG,CEBPB,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.20744316279888153,0.20744316279888153
MTG,ELF1,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.054223377257585526,0.054223377257585526
MTG,ELF1,directed_stage72b,0.25,lysosomal_endolysosomal,-0.13148100674152374,0.13148100674152374
MTG,ELF1,directed_stage72b,0.25,complement_phagocytosis,-0.14538760483264923,0.14538760483264923
MTG,ELF1,directed_stage72b,0.25,antigen_presentation,-0.09419333189725876,0.09419333189725876
MTG,ELF1,directed_stage72b,0.25,interferon_inflammatory,-0.024651270359754562,0.024651270359754562
MTG,ELF1,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.05141681060194969,0.05141681060194969
MTG,ELF1,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.10844673961400986,0.10844673961400986
MTG,ELF1,directed_stage72b,0.5,lysosomal_endolysosomal,-0.2629620432853699,0.2629620432853699
MTG,ELF1,directed_stage72b,0.5,complement_phagocytosis,-0.2907751798629761,0.2907751798629761
MTG,ELF1,directed_stage72b,0.5,antigen_presentation,-0.1883867084980011,0.1883867084980011
MTG,ELF1,directed_stage72b,0.5,interferon_inflammatory,-0.049302540719509125,0.049302540719509125
MTG,ELF1,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.10283362120389938,0.10283362120389938
MTG,ELF1,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.16267012059688568,0.16267012059688568
MTG,ELF1,directed_stage72b,0.75,lysosomal_endolysosomal,-0.39444300532341003,0.39444300532341003
MTG,ELF1,directed_stage72b,0.75,complement_phagocytosis,-0.4361627995967865,0.4361627995967865
MTG,ELF1,directed_stage72b,0.75,antigen_presentation,-0.28258001804351807,0.28258001804351807
MTG,ELF1,directed_stage72b,0.75,interferon_inflammatory,-0.07395380735397339,0.07395380735397339
MTG,ELF1,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.15425042808055878,0.15425042808055878
MTG,ELF1,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.21689347922801971,0.21689347922801971
MTG,ELF1,directed_stage72b,1.0,lysosomal_endolysosomal,-0.525924026966095,0.525924026966095
MTG,ELF1,directed_stage72b,1.0,complement_phagocytosis,-0.5815504193305969,0.5815504193305969
MTG,ELF1,directed_stage72b,1.0,antigen_presentation,-0.3767734169960022,0.3767734169960022
MTG,ELF1,directed_stage72b,1.0,interferon_inflammatory,-0.09860508143901825,0.09860508143901825
MTG,ELF1,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.20566724240779877,0.20566724240779877
MTG,ETS1,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.007956855930387974,0.007956855930387974
MTG,ETS1,directed_stage72b,0.25,lysosomal_endolysosomal,-0.028995642438530922,0.028995642438530922
MTG,ETS1,directed_stage72b,0.25,complement_phagocytosis,-0.022806882858276367,0.022806882858276367
MTG,ETS1,directed_stage72b,0.25,antigen_presentation,-0.04097627475857735,0.04097627475857735
MTG,ETS1,directed_stage72b,0.25,interferon_inflammatory,-0.013828997500240803,0.013828997500240803
MTG,ETS1,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.0033853729255497456,0.0033853729255497456
MTG,ETS1,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.015913711860775948,0.015913711860775948
MTG,ETS1,directed_stage72b,0.5,lysosomal_endolysosomal,-0.057991303503513336,0.057991303503513336
MTG,ETS1,directed_stage72b,0.5,complement_phagocytosis,-0.04561375826597214,0.04561375826597214
MTG,ETS1,directed_stage72b,0.5,antigen_presentation,-0.0819525420665741,0.0819525420665741
MTG,ETS1,directed_stage72b,0.5,interferon_inflammatory,-0.027657998725771904,0.027657998725771904
MTG,ETS1,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.006770724430680275,0.006770724430680275
MTG,ETS1,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.023870566859841347,0.023870566859841347
MTG,ETS1,directed_stage72b,0.75,lysosomal_endolysosomal,-0.0869869515299797,0.0869869515299797
MTG,ETS1,directed_stage72b,0.75,complement_phagocytosis,-0.0684206411242485,0.0684206411242485
MTG,ETS1,directed_stage72b,0.75,antigen_presentation,-0.12292883545160294,0.12292883545160294
MTG,ETS1,directed_stage72b,0.75,interferon_inflammatory,-0.04148699715733528,0.04148699715733528
MTG,ETS1,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.010156095959246159,0.010156095959246159
MTG,ETS1,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.031827423721551895,0.031827423721551895
MTG,ETS1,directed_stage72b,1.0,lysosomal_endolysosomal,-0.11598260700702667,0.11598260700702667
MTG,ETS1,directed_stage72b,1.0,complement_phagocytosis,-0.09122752398252487,0.09122752398252487
MTG,ETS1,directed_stage72b,1.0,antigen_presentation,-0.1639050841331482,0.1639050841331482
MTG,ETS1,directed_stage72b,1.0,interferon_inflammatory,-0.05531599000096321,0.05531599000096321
MTG,ETS1,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.013541468419134617,0.013541468419134617
MTG,FOS,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.0054166559129953384,0.0054166559129953384
MTG,FOS,directed_stage72b,0.25,lysosomal_endolysosomal,-0.020176444202661514,0.020176444202661514
MTG,FOS,directed_stage72b,0.25,complement_phagocytosis,-0.021269753575325012,0.021269753575325012
MTG,FOS,directed_stage72b,0.25,antigen_presentation,-0.01736929826438427,0.01736929826438427
MTG,FOS,directed_stage72b,0.25,interferon_inflammatory,-0.012616102583706379,0.012616102583706379
MTG,FOS,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.008229348808526993,0.008229348808526993
MTG,FOS,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.010833309963345528,0.010833309963345528
MTG,FOS,directed_stage72b,0.5,lysosomal_endolysosomal,-0.04035286605358124,0.04035286605358124
MTG,FOS,directed_stage72b,0.5,complement_phagocytosis,-0.04253949970006943,0.04253949970006943
MTG,FOS,directed_stage72b,0.5,antigen_presentation,-0.03473860025405884,0.03473860025405884
MTG,FOS,directed_stage72b,0.5,interferon_inflammatory,-0.02523220144212246,0.02523220144212246
MTG,FOS,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.016458697617053986,0.016458697617053986
MTG,FOS,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.016249969601631165,0.016249969601631165
MTG,FOS,directed_stage72b,0.75,lysosomal_endolysosomal,-0.06052931025624275,0.06052931025624275
MTG,FOS,directed_stage72b,0.75,complement_phagocytosis,-0.06380923837423325,0.06380923837423325
MTG,FOS,directed_stage72b,0.75,antigen_presentation,-0.05210789665579796,0.05210789665579796
MTG,FOS,directed_stage72b,0.75,interferon_inflammatory,-0.03784830868244171,0.03784830868244171
MTG,FOS,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.02468804642558098,0.02468804642558098
MTG,FOS,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.0216666329652071,0.0216666329652071
MTG,FOS,directed_stage72b,1.0,lysosomal_endolysosomal,-0.08070577681064606,0.08070577681064606
MTG,FOS,directed_stage72b,1.0,complement_phagocytosis,-0.08507899940013885,0.08507899940013885
MTG,FOS,directed_stage72b,1.0,antigen_presentation,-0.06947719305753708,0.06947719305753708
MTG,FOS,directed_stage72b,1.0,interferon_inflammatory,-0.05046440288424492,0.05046440288424492
MTG,FOS,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.03291739523410797,0.03291739523410797
MTG,IRF8,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.020467597991228104,0.020467597991228104
MTG,IRF8,directed_stage72b,0.25,lysosomal_endolysosomal,-0.055130474269390106,0.055130474269390106
MTG,IRF8,directed_stage72b,0.25,complement_phagocytosis,-0.07239367067813873,0.07239367067813873
MTG,IRF8,directed_stage72b,0.25,antigen_presentation,-0.07820858061313629,0.07820858061313629
MTG,IRF8,directed_stage72b,0.25,interferon_inflammatory,-0.002814134117215872,0.002814134117215872
MTG,IRF8,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.02583058550953865,0.02583058550953865
MTG,IRF8,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.040935203433036804,0.040935203433036804
MTG,IRF8,directed_stage72b,0.5,lysosomal_endolysosomal,-0.1102609634399414,0.1102609634399414
MTG,IRF8,directed_stage72b,0.5,complement_phagocytosis,-0.14478734135627747,0.14478734135627747
MTG,IRF8,directed_stage72b,0.5,antigen_presentation,-0.15641717612743378,0.15641717612743378
MTG,IRF8,directed_stage72b,0.5,interferon_inflammatory,-0.005628269165754318,0.005628269165754318
MTG,IRF8,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.05166115239262581,0.05166115239262581
MTG,IRF8,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.061402808874845505,0.061402808874845505
MTG,IRF8,directed_stage72b,0.75,lysosomal_endolysosomal,-0.16539143025875092,0.16539143025875092
MTG,IRF8,directed_stage72b,0.75,complement_phagocytosis,-0.2171810269355774,0.2171810269355774
MTG,IRF8,directed_stage72b,0.75,antigen_presentation,-0.23462575674057007,0.23462575674057007
MTG,IRF8,directed_stage72b,0.75,interferon_inflammatory,-0.008442403748631477,0.008442403748631477
MTG,IRF8,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.07749173790216446,0.07749173790216446
MTG,IRF8,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.08187040686607361,0.08187040686607361
MTG,IRF8,directed_stage72b,1.0,lysosomal_endolysosomal,-0.22052189707756042,0.22052189707756042
MTG,IRF8,directed_stage72b,1.0,complement_phagocytosis,-0.28957468271255493,0.28957468271255493
MTG,IRF8,directed_stage72b,1.0,antigen_presentation,-0.31283435225486755,0.31283435225486755
MTG,IRF8,directed_stage72b,1.0,interferon_inflammatory,-0.011256538331508636,0.011256538331508636
MTG,IRF8,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.10332231223583221,0.10332231223583221
MTG,JUN,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.009365432895720005,0.009365432895720005
MTG,JUN,directed_stage72b,0.25,lysosomal_endolysosomal,-0.04566989466547966,0.04566989466547966
MTG,JUN,directed_stage72b,0.25,complement_phagocytosis,-0.04364769905805588,0.04364769905805588
MTG,JUN,directed_stage72b,0.25,antigen_presentation,-0.03455309569835663,0.03455309569835663
MTG,JUN,directed_stage72b,0.25,interferon_inflammatory,-0.024511847645044327,0.024511847645044327
MTG,JUN,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.02514500357210636,0.02514500357210636
MTG,JUN,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.018730860203504562,0.018730860203504562
MTG,JUN,directed_stage72b,0.5,lysosomal_endolysosomal,-0.09133980423212051,0.09133980423212051
MTG,JUN,directed_stage72b,0.5,complement_phagocytosis,-0.08729541301727295,0.08729541301727295
MTG,JUN,directed_stage72b,0.5,antigen_presentation,-0.06910619139671326,0.06910619139671326
MTG,JUN,directed_stage72b,0.5,interferon_inflammatory,-0.04902368783950806,0.04902368783950806
MTG,JUN,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.05029003322124481,0.05029003322124481
MTG,JUN,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.028096292167901993,0.028096292167901993
MTG,JUN,directed_stage72b,0.75,lysosomal_endolysosomal,-0.13700971007347107,0.13700971007347107
MTG,JUN,directed_stage72b,0.75,complement_phagocytosis,-0.13094311952590942,0.13094311952590942
MTG,JUN,directed_stage72b,0.75,antigen_presentation,-0.10365927964448929,0.10365927964448929
MTG,JUN,directed_stage72b,0.75,interferon_inflammatory,-0.07353554666042328,0.07353554666042328
MTG,JUN,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.07543504238128662,0.07543504238128662
MTG,JUN,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.037461720407009125,0.037461720407009125
MTG,JUN,directed_stage72b,1.0,lysosomal_endolysosomal,-0.18267959356307983,0.18267959356307983
MTG,JUN,directed_stage72b,1.0,complement_phagocytosis,-0.1745908260345459,0.1745908260345459
MTG,JUN,directed_stage72b,1.0,antigen_presentation,-0.1382123827934265,0.1382123827934265
MTG,JUN,directed_stage72b,1.0,interferon_inflammatory,-0.09804738312959671,0.09804738312959671
MTG,JUN,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.10058006644248962,0.10058006644248962
MTG,MAF,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.02283172868192196,0.02283172868192196
MTG,MAF,directed_stage72b,0.25,lysosomal_endolysosomal,-0.04624389484524727,0.04624389484524727
MTG,MAF,directed_stage72b,0.25,complement_phagocytosis,-0.0673525333404541,0.0673525333404541
MTG,MAF,directed_stage72b,0.25,antigen_presentation,-0.06879889219999313,0.06879889219999313
MTG,MAF,directed_stage72b,0.25,interferon_inflammatory,-0.018592821434140205,0.018592821434140205
MTG,MAF,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.025358010083436966,0.025358010083436966
MTG,MAF,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.04566345736384392,0.04566345736384392
MTG,MAF,directed_stage72b,0.5,lysosomal_endolysosomal,-0.09248780459165573,0.09248780459165573
MTG,MAF,directed_stage72b,0.5,complement_phagocytosis,-0.134705051779747,0.134705051779747
MTG,MAF,directed_stage72b,0.5,antigen_presentation,-0.13759778439998627,0.13759778439998627
MTG,MAF,directed_stage72b,0.5,interferon_inflammatory,-0.03718564286828041,0.03718564286828041
MTG,MAF,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.05071602016687393,0.05071602016687393
MTG,MAF,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.06849517673254013,0.06849517673254013
MTG,MAF,directed_stage72b,0.75,lysosomal_endolysosomal,-0.1387316882610321,0.1387316882610321
MTG,MAF,directed_stage72b,0.75,complement_phagocytosis,-0.2020576000213623,0.2020576000213623
MTG,MAF,directed_stage72b,0.75,antigen_presentation,-0.2063966542482376,0.2063966542482376
MTG,MAF,directed_stage72b,0.75,interferon_inflammatory,-0.05577847361564636,0.05577847361564636
MTG,MAF,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.07607405632734299,0.07607405632734299
MTG,MAF,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.09132690727710724,0.09132690727710724
MTG,MAF,directed_stage72b,1.0,lysosomal_endolysosomal,-0.18497560918331146,0.18497560918331146
MTG,MAF,directed_stage72b,1.0,complement_phagocytosis,-0.269410103559494,0.269410103559494
MTG,MAF,directed_stage72b,1.0,antigen_presentation,-0.27519556879997253,0.27519556879997253
MTG,MAF,directed_stage72b,1.0,interferon_inflammatory,-0.07437130063772202,0.07437130063772202
MTG,MAF,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.10143207758665085,0.10143207758665085
MTG,MAFB,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.025855597108602524,0.025855597108602524
MTG,MAFB,directed_stage72b,0.25,lysosomal_endolysosomal,-0.0800732895731926,0.0800732895731926
MTG,MAFB,directed_stage72b,0.25,complement_phagocytosis,-0.0819382444024086,0.0819382444024086
MTG,MAFB,directed_stage72b,0.25,antigen_presentation,-0.02255432680249214,0.02255432680249214
MTG,MAFB,directed_stage72b,0.25,interferon_inflammatory,-0.01715771108865738,0.01715771108865738
MTG,MAFB,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.03659721091389656,0.03659721091389656
MTG,MAFB,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.051711201667785645,0.051711201667785645
MTG,MAFB,directed_stage72b,0.5,lysosomal_endolysosomal,-0.1601465791463852,0.1601465791463852
MTG,MAFB,directed_stage72b,0.5,complement_phagocytosis,-0.1638764590024948,0.1638764590024948
MTG,MAFB,directed_stage72b,0.5,antigen_presentation,-0.045108672231435776,0.045108672231435776
MTG,MAFB,directed_stage72b,0.5,interferon_inflammatory,-0.03431542590260506,0.03431542590260506
MTG,MAFB,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.07319440692663193,0.07319440692663193
MTG,MAFB,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.07756679505109787,0.07756679505109787
MTG,MAFB,directed_stage72b,0.75,lysosomal_endolysosomal,-0.240219846367836,0.240219846367836
MTG,MAFB,directed_stage72b,0.75,complement_phagocytosis,-0.2458147257566452,0.2458147257566452
MTG,MAFB,directed_stage72b,0.75,antigen_presentation,-0.06766299903392792,0.06766299903392792
MTG,MAFB,directed_stage72b,0.75,interferon_inflammatory,-0.05147313326597214,0.05147313326597214
MTG,MAFB,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.10979162901639938,0.10979162901639938
MTG,MAFB,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.1034223884344101,0.1034223884344101
MTG,MAFB,directed_stage72b,1.0,lysosomal_endolysosomal,-0.3202931582927704,0.3202931582927704
MTG,MAFB,directed_stage72b,1.0,complement_phagocytosis,-0.3277529180049896,0.3277529180049896
MTG,MAFB,directed_stage72b,1.0,antigen_presentation,-0.09021733701229095,0.09021733701229095
MTG,MAFB,directed_stage72b,1.0,interferon_inflammatory,-0.06863085180521011,0.06863085180521011
MTG,MAFB,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.14638881385326385,0.14638881385326385
MTG,MITF,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.02728697471320629,0.02728697471320629
MTG,MITF,directed_stage72b,0.25,lysosomal_endolysosomal,-0.05582050606608391,0.05582050606608391
MTG,MITF,directed_stage72b,0.25,complement_phagocytosis,-0.06139697879552841,0.06139697879552841
MTG,MITF,directed_stage72b,0.25,antigen_presentation,-0.05330062285065651,0.05330062285065651
MTG,MITF,directed_stage72b,0.25,interferon_inflammatory,-0.009791800752282143,0.009791800752282143
MTG,MITF,directed_stage72b,0.25,oxidative_stress_gene_preserved,-0.03215787187218666,0.03215787187218666
MTG,MITF,directed_stage72b,0.5,dam_lipid_trem2_apoe,-0.05457394942641258,0.05457394942641258
MTG,MITF,directed_stage72b,0.5,lysosomal_endolysosomal,-0.11164101213216782,0.11164101213216782
MTG,MITF,directed_stage72b,0.5,complement_phagocytosis,-0.12279392033815384,0.12279392033815384
MTG,MITF,directed_stage72b,0.5,antigen_presentation,-0.10660122334957123,0.10660122334957123
MTG,MITF,directed_stage72b,0.5,interferon_inflammatory,-0.019583601504564285,0.019583601504564285
MTG,MITF,directed_stage72b,0.5,oxidative_stress_gene_preserved,-0.06431572884321213,0.06431572884321213
MTG,MITF,directed_stage72b,0.75,dam_lipid_trem2_apoe,-0.08186092972755432,0.08186092972755432
MTG,MITF,directed_stage72b,0.75,lysosomal_endolysosomal,-0.16746152937412262,0.16746152937412262
MTG,MITF,directed_stage72b,0.75,complement_phagocytosis,-0.18419089913368225,0.18419089913368225
MTG,MITF,directed_stage72b,0.75,antigen_presentation,-0.15990185737609863,0.15990185737609863
MTG,MITF,directed_stage72b,0.75,interferon_inflammatory,-0.029375402256846428,0.029375402256846428
MTG,MITF,directed_stage72b,0.75,oxidative_stress_gene_preserved,-0.09647360444068909,0.09647360444068909
MTG,MITF,directed_stage72b,1.0,dam_lipid_trem2_apoe,-0.10914789885282516,0.10914789885282516
MTG,MITF,directed_stage72b,1.0,lysosomal_endolysosomal,-0.22328202426433563,0.22328202426433563
MTG,MITF,directed_stage72b,1.0,complement_phagocytosis,-0.24558784067630768,0.24558784067630768
MTG,MITF,directed_stage72b,1.0,antigen_presentation,-0.21320246160030365,0.21320246160030365
MTG,MITF,directed_stage72b,1.0,interferon_inflammatory,-0.03916720300912857,0.03916720300912857
MTG,MITF,directed_stage72b,1.0,oxidative_stress_gene_preserved,-0.12863145768642426,0.12863145768642426
MTG,NFE2L2,directed_stage72b,0.25,dam_lipid_trem2_apoe,-0.04636942595243454,0.04636942595243454
MTG,NFE2L2,directed_stage72b,0.25,lysosomal_endolysosomal,-0.1223483607172966,0.1223483607172966
MTG,NFE2L2,directed_stage72b,0.25,complement_phagocytosis,-0.13089409470558167,0.13089409470558167
MTG,NFE2L2,directed_stage72b,0.25,antigen_presentation,-0.0809299647808075,0.0809299647808075
MTG,NFE2L2,directed_stage72b,0.25,interferon_inflammatory,-0.027140647172927856,0.027140647172927856
