model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells,source_file,target_short,effect_direction
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,GRB2,global_mean,1,GRB2,-0.0005245364736765,-0.0014500943943858,-0.0012445449829101,0.0014500943943858,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,antigen_presentation,CD74,global_mean,1,CD74,-0.0005243009072728,-0.001339794602245,-0.0015094280242919,0.001339794602245,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,unannotated,APP,global_mean,1,APP,-0.0004666142631322,-0.0011984691955149,-0.0009775161743164,0.0011984691955149,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,lipid_metabolism,PLCG2,global_mean,1,PLCG2,-0.0003678337379824,-0.0010227205930277,-0.0011374950408935,0.0010227205930277,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,homeostatic_microglia,P2RY12,global_mean,1,P2RY12,0.0002834399638231,0.000731312087737,-0.0001798868179321,0.000731312087737,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,up
upgrade_fine_08,percent 6e10 positive area_Grey matter,at8_associated_first_pass,DRAM1,global_mean,1,DRAM1,-0.0001880469790194,-0.0005049563478678,-0.000380516052246,0.0005049563478678,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent 6e10 positive area_Grey matter,at8_associated_first_pass,CHI3L1,global_mean,1,CHI3L1,0.0001558611838845,0.0004185679426882,-1.6450881958007812e-05,0.0004185679426882,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,up
upgrade_fine_08,percent 6e10 positive area_Grey matter,vascular_barrier_myeloid,F13A1,global_mean,1,F13A1,0.0001365308271488,0.0003178431943524,0.0007189512252807,0.0003178431943524,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,up
upgrade_fine_08,percent 6e10 positive area_Grey matter,chemokine_migration;homeostatic_microglia;synapse_pruning,CX3CR1,global_mean,1,CX3CR1,-9.296621283283456e-05,-0.0001612390769878,-0.0001929998397827,0.0001612390769878,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,A beta/6e10,down
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,STAT3,global_mean,1,STAT3,0.010708887130022,0.0641533881425857,0.0598251819610595,0.0641533881425857,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,APP,global_mean,1,APP,0.0103846443817019,0.0626100152730941,0.0531449317932128,0.0626100152730941,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,GRB2,global_mean,1,GRB2,0.0061265812255442,0.0369182303547859,0.0270237922668457,0.0369182303547859,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,HIF1A,global_mean,1,HIF1A,0.0057797571644186,0.0347047410905361,0.0344305038452148,0.0347047410905361,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,senescence_stress,HSP90AA1,global_mean,1,HSP90AA1,0.0048074182122945,0.0284996666014194,0.0245108604431152,0.0284996666014194,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,BCL2,global_mean,1,BCL2,0.0046438006684184,0.0277670994400978,0.0248332023620605,0.0277670994400978,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,MAPK1,global_mean,1,MAPK1,0.0036881621927022,0.0223403964191675,0.0154933929443359,0.0223403964191675,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,chemokine_migration;homeostatic_microglia;synapse_pruning,CX3CR1,global_mean,1,CX3CR1,0.0037162501830607,0.022089198231697,0.0193331241607666,0.022089198231697,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,disease_associated_microglia;lipid_metabolism;plaque_response,APOE,global_mean,1,APOE,0.003374570980668,0.0200221147388219,0.0166053771972656,0.0200221147388219,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
