tf,target_gene,motif_support_class,n_supported_motifs,n_direct_supported_motifs,n_unique_query_peaks,n_unique_screen_regions,n_evidence_rows,max_motif_NES,max_motif_AUC,min_abs_distance_to_tss,peak_gene_classes,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,edge_edge_type,edge_n_samples,edge_spearman_rho,edge_spearman_pvalue,edge_bootstrap_median_rho,edge_bootstrap_sd_rho,edge_bootstrap_sign_stability,edge_tf_mean_microglia_expressed_fraction,edge_target_mean_microglia_expressed_fraction,edge_atac_peak_support_status,edge_motif_support_status,edge_edge_candidate_pass,edge_claim_language,edge_stage75f_role,edge_selection_purpose
STAT1,LAPTM5,direct,2,1,2,2,2,5.282175557880517,0.0210222473997293,494.0,promoter_proximal;proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.6367389060887513,0.0044898480994322,0.6552406832298137,0.1800499991718564,0.995,0.1837010361398608,0.4685638507440458,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,NFKBIA,direct,2,1,1,5,6,5.282175557880517,0.0210222473997293,2108.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4613003095975232,0.0539904763773473,0.4681381674846726,0.1826305574267124,0.99,0.1837010361398608,0.1697273424971324,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,PRDX1,direct,2,1,1,1,2,5.282175557880517,0.0210222473997293,1259.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4509803921568627,0.0603262357856847,0.4719329866829186,0.2319997740597185,0.955,0.1837010361398608,0.0546293123458819,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,TXNIP,direct,2,1,3,4,5,5.282175557880517,0.0210222473997293,183.0,promoter_proximal;proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4324045407636739,0.0731081920707255,0.4366206534729766,0.2266526895778735,0.95,0.1837010361398608,0.323668540357396,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,APOE,direct,1,1,1,1,1,3.679892968399229,0.0157096786239521,1791.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.3126934984520124,0.2064536417438367,0.3162842694682614,0.2388977842050995,0.89,0.1837010361398608,0.3446906182885147,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,B2M,direct,1,1,1,2,2,3.679892968399229,0.0157096786239521,451.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4757481940144479,0.0459785720312123,0.4711107594319274,0.2281556546348252,0.97,0.1837010361398608,0.4198560082588934,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,BSG,direct,1,1,1,1,1,3.679892968399229,0.0157096786239521,12271.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4613003095975232,0.0539904763773473,0.4665281386400555,0.2073045320950279,0.97,0.1837010361398608,0.073703154509768,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,C1QB,direct,1,1,1,1,1,3.679892968399229,0.0157096786239521,320.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.6181630546955624,0.006251762730934,0.598546003357719,0.1856691073689337,0.995,0.1837010361398608,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,CD74,direct,1,1,1,1,1,3.679892968399229,0.0157096786239521,12667.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.2672858617131063,0.2836081785098673,0.2545887166714848,0.2580558208104415,0.81,0.1837010361398608,0.6072988296607282,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,FCER1G,direct,1,1,2,2,2,3.679892968399229,0.0157096786239521,240.0,promoter_proximal;proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4447884416924664,0.0643852241036506,0.45,0.2142698414236194,0.95,0.1837010361398608,0.1322114081343343,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,NPC2,direct,1,1,2,2,2,3.679892968399229,0.0157096786239521,7659.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.541795665634675,0.0202068283975589,0.5229654102304823,0.2235342062048849,0.98,0.1837010361398608,0.1447361577597331,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,C1QC,extended_only,1,0,1,1,1,5.282175557880517,0.0210222473997293,222.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.6099071207430341,0.007196658594982,0.6279976807998838,0.1774121891048478,1.0,0.1837010361398608,0.2888782096876465,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,PSAP,extended_only,1,0,1,1,1,5.282175557880517,0.0210222473997293,1.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.434468524251806,0.0715970112602687,0.4276760841443009,0.2605133338725572,0.935,0.1837010361398608,0.5064787733429853,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
STAT1,TYROBP,extended_only,1,0,1,1,1,5.282175557880517,0.0210222473997293,1230.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4055727554179567,0.0949534247922293,0.3858209239233852,0.2361044718916758,0.94,0.1837010361398608,0.2139253183743898,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,primary_stage74_gate_pass,stage75f_batching_not_candidate_selection
