control_graph_id,control_type,seed,edge_count,edge_set_sha256,ordered_tf_target_pair_sha256,edge_set_overlap_with_real_graph,edge_set_jaccard_with_real_graph,changed_edge_count,per_tf_target_set_overlap_json,per_tf_target_set_overlap_sha256,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_benefit_claim
degree_preserving_edge_shuffle_seed_79022,degree_preserving_edge_shuffle,79022.0,53,408fe8e28343ec28e3eddb0c98d7155fa25f7d12d3c446fd1114a4cf751ba459,e9da8c13ffbe89f2c9ce17edb8afaa2dbbd3b652ceb5e9613772aa889c44be51,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79023,degree_preserving_edge_shuffle,79023.0,53,7d409b9e7d6d7387f64157875bb989d86bb6fe867d53e0988a4e376a65756730,295cfcb802766739959daac2ee3d3f7cbdea4271edaf8c16e9949b5ee1e50f2f,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79024,degree_preserving_edge_shuffle,79024.0,53,4d1b4fe7412a889e84e665e98cdd26abacfee6c137f389bd1a4ed17fdc4f3286,443fc142d4e7de1c099603f9e21bd65cb56382411cdb538c051223da05a42ac4,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79025,degree_preserving_edge_shuffle,79025.0,53,3c3480c87ea42498c432ce5385bf499508f3c3878c72cc7a1d4591aab708487d,0049d5c92f1b599bbc572061ca7615ad6b63fe94134c0a360534eab569cab17b,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79026,degree_preserving_edge_shuffle,79026.0,53,28d9afb161b2b65aa37c5d16dd1b6aa4cb872db809da37330f590bdefc924701,b44ca54fc91a6dc88f80125e8411b89c6157c6d9f868a0d03820e9c4a29f862f,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79027,degree_preserving_edge_shuffle,79027.0,53,84917d7f34c7ced1cd01516fc81da6d3e0f1be08a000dfe647a98fe7c4f94d26,28226b114e84a9afd52614519ba507d4504810018f131a065724f79d4df11d20,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79028,degree_preserving_edge_shuffle,79028.0,53,9770ce22bff69849c307940a78c21ad2e8cb8c9a50baf44e41c3bd56789d3040,1ed828b33e2a5ceb33b946d6dd089f53292cec4921808c4134aaf1e09bb456e1,51,0.9272727272727272,4,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":13,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":15,""real_targets"":16}}",d130b46e601f504c939c26fae00df270482eb88228f3963e49d61e138350e7ca,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79029,degree_preserving_edge_shuffle,79029.0,53,7a82ea55c44e09959a4d3516c1687cc97106840b9c1018737bd89463caaccad0,83f500131083d3b527959ec190100b92b49f6cff4c4392b9beae448e608b76d3,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79030,degree_preserving_edge_shuffle,79030.0,53,f76be931a517cb72486bcd6ce0d6e6e09a2e017d6f517324bec73b21ff15287f,1eea030b1c59b4421a3b94a5f84c761c100f4fcafc961a99eb5f05bd88df4b0a,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
degree_preserving_edge_shuffle_seed_79031,degree_preserving_edge_shuffle,79031.0,53,ce9057f8d2cff610b5e88b27ef735979b880f40820a3eaa653c9140ab313e1ce,c6f0299d63e486d946d7e75c07d6d7048fa244096d48e45b14dfb3626fb862ec,49,0.8596491228070176,8,"{""ELF1"":{""control_targets"":23,""overlap"":23,""real_targets"":23},""SPI1"":{""control_targets"":14,""overlap"":12,""real_targets"":14},""STAT1"":{""control_targets"":16,""overlap"":14,""real_targets"":16}}",f91579afc95b2c8fff1b73f8aa0ae52ea2dea62b59b6aba5419e8b743671a754,False,False,False,False,False
