model,target,n_donors,r2,mae,spearman
jepa_ema_var_e40,number of NeuN positive cells per area_Grey matter,84,0.1165727648910501,9.997170127462596e-05,0.4247646046370355
jepa_ema_var_e30,number of activated Iba1 positive cells_Grey matter,84,-0.2241433590404267,3130.103515625,0.0830009112078566
jepa_ema_var_e20,number of activated Iba1 positive cells_Grey matter,84,-0.2022158790419226,3170.241455078125,0.069454287739192
jepa_ema_e20,number of activated Iba1 positive cells_Grey matter,84,-0.2011136376991469,3171.189697265625,0.068259592993824
pseudobulk,number of activated Iba1 positive cells_Grey matter,84,-0.5631310064585289,3395.4169921875,0.0236711557954549
jepa_ema_var_e40,number of activated Iba1 positive cells_Grey matter,84,-0.3576313741690899,3262.783935546875,-0.0440417130707704
jepa_ema_var_e10,number of activated Iba1 positive cells_Grey matter,84,-0.3979748318592264,3532.527587890625,-0.1094461881137997
pseudobulk,percent 6e10 positive area_Grey matter,84,-0.0249458601901733,2.2154300212860107,0.3598056137561798
jepa_ema_var_e40,percent 6e10 positive area_Grey matter,84,-0.1260281450307707,2.240265369415283,0.2751847727042624
jepa_ema_var_e30,percent 6e10 positive area_Grey matter,84,-0.0907458637696647,2.168038845062256,0.2472410651007391
jepa_ema_e20,percent 6e10 positive area_Grey matter,84,-0.0122312687580881,2.0792555809021,0.2300091120785663
jepa_ema_var_e20,percent 6e10 positive area_Grey matter,84,-0.0138842268243444,2.0824005603790283,0.2273767338260605
jepa_ema_var_e10,percent 6e10 positive area_Grey matter,84,-0.0958443564019388,2.176713466644287,0.2024298876176976
pseudobulk,percent AT8 positive area_Grey matter,84,0.3228644332608142,0.9243563413619996,0.5305052399635315
jepa_ema_var_e30,percent AT8 positive area_Grey matter,84,0.2984304132832832,0.9329864978790284,0.5189025007593399
jepa_ema_e20,percent AT8 positive area_Grey matter,84,0.2593631038472603,0.9740166664123536,0.5156424015389288
jepa_ema_var_e40,percent AT8 positive area_Grey matter,84,0.2847476664300273,0.9417436718940736,0.5141237217778678
jepa_ema_var_e20,percent AT8 positive area_Grey matter,84,0.2602623109648003,0.9731563329696656,0.5137389895717323
jepa_ema_var_e10,percent AT8 positive area_Grey matter,84,0.2801463680100651,0.9559473395347596,0.5119570719854206
jepa_ema_var_e40,percent GFAP positive area_Grey matter,84,0.0355503015477922,3.3064212799072266,0.3085147311936823
jepa_ema_var_e30,percent GFAP positive area_Grey matter,84,0.0363039772166137,3.3868861198425293,0.2896426040295636
jepa_ema_e20,percent GFAP positive area_Grey matter,84,0.0102270013139438,3.351498603820801,0.2873949579831932
jepa_ema_var_e20,percent GFAP positive area_Grey matter,84,0.0091877648103168,3.355890989303589,0.282960413080895
pseudobulk,percent GFAP positive area_Grey matter,84,-0.1349035628837518,3.667330741882324,0.2307178229093551
jepa_ema_var_e10,percent GFAP positive area_Grey matter,84,-0.194751073667617,3.694811105728149,0.1461172420775539
pseudobulk,percent Iba1 positive area_Grey matter,84,-0.3615097086313759,1.9377332925796509,0.0883466675877571
jepa_ema_var_e10,percent Iba1 positive area_Grey matter,84,-0.2560846657640026,1.8339874744415283,0.0635010630758327
jepa_ema_e20,percent Iba1 positive area_Grey matter,84,-0.2474762220955315,1.815279483795166,-0.0347676419965576
jepa_ema_var_e20,percent Iba1 positive area_Grey matter,84,-0.248360322462698,1.814990282058716,-0.0368330464716006
jepa_ema_var_e30,percent Iba1 positive area_Grey matter,84,-0.388888002971717,1.9191114902496336,-0.0709122203098106
jepa_ema_var_e40,percent Iba1 positive area_Grey matter,84,-0.5388782772201042,2.039663076400757,-0.132165637339273
jepa_ema_var_e20,percent NeuN positive area_Grey matter,84,0.274809290206645,1.3117395639419556,0.5412169687151969
jepa_ema_e20,percent NeuN positive area_Grey matter,84,0.2767418106121752,1.310393214225769,0.5391920623671155
jepa_ema_var_e10,percent NeuN positive area_Grey matter,84,0.2563655188360406,1.3274303674697876,0.529998987546826
pseudobulk,percent NeuN positive area_Grey matter,84,0.1972285689592545,1.3800493478775024,0.5108636021614075
jepa_ema_var_e30,percent NeuN positive area_Grey matter,84,0.1872588861595112,1.3566091060638428,0.4937531639161688
jepa_ema_var_e40,percent NeuN positive area_Grey matter,84,0.156839016244186,1.399645209312439,0.4577908271742432
jepa_ema_e20,ripa abeta40_Grey matter,84,-0.1579855788516195,53.57482147216797,0.2658843659668821
jepa_ema_var_e20,ripa abeta40_Grey matter,84,-0.1615369548862115,53.84811401367188,0.2646390296501414
jepa_ema_var_e10,ripa abeta40_Grey matter,84,-0.1872484301268031,58.47304153442383,0.2498671135027868
jepa_ema_var_e30,ripa abeta40_Grey matter,84,-0.266711282993991,58.03424835205078,0.2349635764439067
jepa_ema_var_e40,ripa abeta40_Grey matter,84,-0.2825255558929855,60.94048690795898,0.2077686711856513
pseudobulk,ripa abeta40_Grey matter,84,-0.2874754837341766,71.56045532226562,0.1856563538312912
pseudobulk,ripa abeta42_Grey matter,84,-0.4605365265635497,177.44027709960938,0.3515880405902862
jepa_ema_var_e40,ripa abeta42_Grey matter,84,-0.1028481025348535,123.30784606933594,0.3035567840111776
jepa_ema_var_e10,ripa abeta42_Grey matter,84,-0.1352435946365446,130.7080535888672,0.3022000830220008
jepa_ema_var_e20,ripa abeta42_Grey matter,84,-0.0393478096229771,99.2682647705078,0.2944041146513582
jepa_ema_e20,ripa abeta42_Grey matter,84,-0.03914455295621,99.1491928100586,0.2913667243770819
jepa_ema_var_e30,ripa abeta42_Grey matter,84,-0.0597740734549427,111.49039459228516,0.2845123469914649
pseudobulk,ripa pTau_Grey matter,84,-0.1986394846012427,1.9848289489746092,0.3840639889240265
jepa_ema_var_e40,ripa pTau_Grey matter,84,-0.0695780859166945,1.8290492296218872,0.3076035233370456
jepa_ema_var_e10,ripa pTau_Grey matter,84,-0.0850042259563605,1.8303073644638064,0.2554216867469879
jepa_ema_var_e30,ripa pTau_Grey matter,84,-0.1255405915153595,1.7975927591323853,0.151220006074719
jepa_ema_var_e20,ripa pTau_Grey matter,84,-0.0668944582078103,1.7792879343032837,0.1156626506024096
jepa_ema_e20,ripa pTau_Grey matter,84,-0.0679379692603243,1.78061842918396,0.1105801356687253
jepa_ema_e20,ripa tTau_Grey matter,84,-0.0714141224936684,376.2805786132813,0.2562721474131821
jepa_ema_var_e20,ripa tTau_Grey matter,84,-0.0727745626067621,377.4957580566406,0.2506024096385542
jepa_ema_var_e10,ripa tTau_Grey matter,84,-0.0971339583551187,395.76959228515625,0.2328034828389187
jepa_ema_var_e30,ripa tTau_Grey matter,84,-0.1485217782711141,427.5406799316406,0.2138098612939151
jepa_ema_var_e40,ripa tTau_Grey matter,84,-0.2159773541567458,457.2129821777344,0.1698086463501063
pseudobulk,ripa tTau_Grey matter,84,-0.3070851554029385,454.9772033691406,0.1675609946250915
