donor_id,n_cells
5958,7
H19.30.004,7
Donor_569,7
Donor_135,7
Donor_1187,7
Donor_1411,7
Donor_1261,6
Donor_235,6
13334,6
SD024/17,6
94,6
Inf1,6
Donor_536,6
11858,6
Donor_577,6
Donor_611,6
Donor_959,6
Donor_354,6
A15-44,6
Donor_1220,6
Donor_591,6
Donor_1444,6
Donor_635,6
Donor_1206,6
Donor_1062,6
49,6
Donor_1059,6
Donor_1045,6
Donor_1278,6
RL2124,6
QSBBP2213,6
manaab_H48,6
Donor_1250,6
Donor_1021,6
Donor_430,6
Donor_1404,6
Donor_634,6
Donor_94,6
23,6
Donor_30,6
Donor_953,6
Donor_1280,6
Donor_991,6
Donor_245,6
Donor_774,6
Donor_72,6
SD022/16,5
C39,5
Donor_537,5
Donor_515,5
Donor_637,5
Donor_49,5
Donor_701,5
Donor_1003,5
Donor_1446,5
Donor_106,5
Donor_696,5
Donor_118,5
Donor_117,5
Donor_1354,5
Donor_1395,5
Donor_1100,5
Donor_433,5
Donor_1107,5
Donor_1288,5
Donor_721,5
Donor_236,5
Donor_1145,5
Donor_1285,5
Donor_1244,5
Donor_947,5
Donor_697,5
NIH-4373,5
QSBBP4815,5
814,5
Donor_1232,5
1443,5
BH1864,5
franjic_hsb628,5
JHU110,5
LR_RM.612.M.W.60,5
#105,5
Donor_305,5
Donor_84,4
Donor_1392,4
Donor_1090,4
Donor_869,4
Donor_761,4
Donor_352,4
Donor_461,4
Donor_1369,4
RL2104,4
Donor_1312,4
Donor_960,4
100,4
11921,4
Donor_1320,4
108,4
Donor_956,4
Donor_98,4
Donor_2,4
9,4
4332,4
Donor_1082,4
Donor_320,4
Donor_907,4
Donor_1098,4
Donor_317,4
Donor_1414,4
Donor_1199,4
Donor_456,4
91,4
Donor_784,4
Donor_491,4
Donor_822,4
Donor_781,4
Donor_311,4
Donor_793,4
Donor_361,4
Donor_1405,4
Donor_1245,4
5730,4
postnatB_5,4
LR_RM.13151.F.W.55,4
Donor_791,4
5577,4
Donor_134,4
NIH-1325,4
Donor_1218,4
Donor_1302,4
Donor_808,4
Donor_1348,4
Donor_647,4
C41,4
SD030/18,4
RL2108,3
Donor_1340,3
Donor_1254,3
Donor_231,3
Donor_794,3
Donor_992,3
Donor_1000,3
Donor_848,3
A14-103,3
Donor_263,3
34,3
TweV8,3
1864,3
GW18-6-14-19,3
manaab_H70,3
Donor_738,3
BRC2329,3
Donor_1341,3
Donor_1494,3
Donor_1417,3
Donor_1195,3
Donor_401,3
Donor_58,3
SD046/16,3
Donor_916,3
11942,3
Donor_349,3
ARK31,3
manaab_H37,3
1791,3
Donor_826,3
HDBR-14831,3
Donor_477,3
NIH-4267,3
26,3
GW30-11-6-18,3
Donor_1274,3
663,3
1158,3
Donor_1433,3
Donor_777,3
Donor_172,3
RL2122,3
1738,3
3,3
2,3
Donor_288,2
11,2
62,2
Donor_468,2
Donor_684,2
Donor_894,2
Donor_512,2
Donor_891,2
Donor_190,2
manaab_H39,2
manaab_H31,2
ARK1,2
eXCJJ,2
Donor_908,2
Donor_968,2
Donor_1087,2
Donor_176,2
Donor_1035,2
Donor_1174,2
Donor_799,2
Donor_1478,2
13928,2
14409,2
Donor_50,2
Donor_1156,2
Donor_322,2
H27423,2
200978,2
116,2
Donor_1029,2
RL1786,2
RL2110,2
RL2121,2
Donor_627,2
Donor_115,2
GW25-11-17-17,2
4942,2
5546,2
Donor_544,2
Donor_294,2
50,2
Donor_672,2
Donor_1204,2
Donor_227,2
Donor_1022,2
donor5,2
EaFet2,2
Donor_625,2
15293,2
NIH-5900,2
GW27-2-7-18,2
5163,2
1823,2
Donor_1106,2
Donor_861,2
SM5-C19,2
Donor_565,1
Donor_510,1
Donor_8,1
103,1
71,1
SD016/13,1
2008267,1
H27098,1
Donor_374,1
SD038/17,1
SD017/13,1
11930,1
SD012/17,1
Donor_504,1
Donor_218,1
Donor_1437,1
Donor_830,1
Donor_498,1
Donor_754,1
Donor_971,1
Donor_335,1
RL2107,1
20,1
Donor_1116,1
Donor_835,1
Donor_601,1
30,1
24,1
Donor_651,1
Donor_740,1
Donor_1124,1
Donor_1451,1
hft_ctx_w21,1
SM10-C23,1
GW20-12-7-18,1
779,1
4283,1
1798,1
1453,1
5787,1
ARK5,1
ARK15,1
Donor_912,1
Donor_34,1
HDBR-14584,1
R24_P2321,1
ARK35,1
3543,1
QSBBP2912,1
2012258,1
ARK14,1
3805,1
LaFet2,1
