gene,module,mean_donor_delta,bootstrap_ci_low,bootstrap_ci_high,adjusted_slope,partial_spearman,model_implied_at8_reducing_knockout,confounder_adjusted_abs_partial_spearman,at8_pseudobulk_score,is_hpa_fda_drug_target,is_hpa_predicted_secreted,is_hpa_predicted_membrane,biology_score,translational_bonus,translational_priority_score,translational_category
AHCYL2,,,,,,,,,0.10562044,0,0,0,0.029844462578145776,0.0,0.029844462578145776,biology_first_hard_target
KIF13A,,,,,,,,,0.10548889,0,0,0,0.029807283816975613,0.0,0.029807283816975613,biology_first_hard_target
AC008014.1,,,,,,,,,0.10545145,0,0,0,0.029796702495666523,0.0,0.029796702495666523,biology_first_hard_target
CHSY3,,,,,,,,,0.1052574,0,0,0,0.02974185993690506,0.0,0.02974185993690506,biology_first_hard_target
GSAP,,,,,,,,,-0.105178915,0,0,0,0.029719678446441807,0.0,0.029719678446441807,biology_first_hard_target
ZEB1,,,,,,,,,-0.10511233,0,0,0,0.029700860143039944,0.0,0.029700860143039944,biology_first_hard_target
TNKS,,,,,,,,,-0.10506126,0,0,0,0.02968642670075214,0.0,0.02968642670075214,biology_first_hard_target
TACC1,,,,,,,,,0.10484854,0,0,0,0.029626307612374204,0.0,0.029626307612374204,biology_first_hard_target
KDM4B,,,,,,,,,-0.10483542,0,0,0,0.029622599627983838,0.0,0.029622599627983838,biology_first_hard_target
MPHOSPH8,,,,,,,,,0.104340635,0,0,0,0.029482763114524465,0.0,0.029482763114524465,biology_first_hard_target
C20orf194,,,,,,,,,0.10431863,0,0,0,0.02947654404466852,0.0,0.02947654404466852,biology_first_hard_target
FAM149A,,,,,,,,,-0.104279675,0,0,0,0.029465534552905816,0.0,0.029465534552905816,biology_first_hard_target
