gene,final_tier,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,next_validation_priority,targeted_manifold_audit_recommended,pathology_axis_class,therapeutic_like_score_percentile,tau_lowering_score_percentile,neuron_preservation_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,negative_control_interpretation,graph_neighborhood_label,prior_candidate_flag,known_biology_note,caution_note,recommended_next_validation,claim_boundary,manifold_violation_fraction,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,mean_latent_shift,median_latent_shift,manifold_nn_backend,targeted_manifold_audited,manifold_qc_status,manifold_qc_interpretation,promotion_or_demotion_after_manifold,final_evidence_tier_v2,final_candidate_status_v2
ARHGEF7,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.65470852017935,94.88041853512703,92.1898355754858,14.8355754857997,56.98804185351271,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0026380573399364,0.0095683196559548,0.0174692813307046,0.0002173657558159,0.0002674722927622,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
LRCH3,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.6173393124066,97.19730941704036,92.67563527653216,44.09566517189836,79.26008968609865,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027572456747293,0.0095683196559548,0.0174692813307046,0.0002168220235034,0.0002259186876472,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
KIF1B,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.5799701046338,98.05680119581464,68.64723467862481,14.8355754857997,52.16741405082213,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027804982382804,0.0095683196559548,0.0174692813307046,0.0002631709212437,0.0002376910560997,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
RAD51B,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.542600896861,95.92675635276532,89.27503736920778,14.8355754857997,68.34828101644244,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027604743372648,0.0095683196559548,0.0174692813307046,0.0001613596250535,0.0001365114148939,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
PI4KA,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.4678624813154,90.13452914798206,95.440956651719,14.8355754857997,48.16890881913303,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027249311096966,0.0095683196559548,0.0174692813307046,0.000193942032638,0.0002367823763052,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
PTPRE,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.4304932735426,93.12406576980568,93.01195814648727,14.8355754857997,88.04185351270553,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027823694981634,0.0095683196559548,0.0174692813307046,0.0001726518094073,0.0001181422630907,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
STARD13,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.3931240657698,94.73094170403589,90.05979073243647,14.8355754857997,80.68011958146487,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0028218897059559,0.0095683196559548,0.0174692813307046,0.0002063228748738,0.0002156778937205,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
SARAF,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.24364723467862,95.55306427503736,86.88340807174887,14.8355754857997,74.85052316890882,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027403533458709,0.0095683196559548,0.0174692813307046,0.0002204455522587,0.0002156360133085,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
MSR1,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.20627802690582,95.73991031390136,91.03139013452916,38.15396113602392,71.78624813153961,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.0027720557991415,0.0095683196559548,0.0174692813307046,0.0002407857391517,0.000290262105409,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
NCOA2,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.16890881913304,90.05979073243647,94.50672645739913,14.8355754857997,83.48281016442452,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",0.0,0.002715220907703,0.0095683196559548,0.0174692813307046,0.0001964373805094,0.0001661023561609,torch,True,manifold_safe,targeted_perturbation_remained_within_sampled_latent_support,manifold_qc_pass_support_retained,scorecard_supported_manifold_safe_isolated_hypothesis,promoted_model_hypothesis_manifold_qc_pass
TMEM165,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,dual_pathology_lowering_neuron_preserving,98.13153961136024,94.35724962630792,91.70403587443946,35.50074738415546,70.96412556053812,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",,,,,,,,False,not_audited,not_selected_for_targeted_manifold_audit_v1,not_audited_no_change,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
ATRX,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,tau_lowering_neuron_preserving,98.01943198804184,97.57100149476832,83.48281016442452,42.15246636771301,85.61285500747384,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed.",,,,,,,,False,not_audited,not_selected_for_targeted_manifold_audit_v1,not_audited_no_change,scorecard_supported_pending_targeted_manifold_qc,scorecard_supported_pending_manifold_qc
