dataset,module,graph_variant,alpha,metric,target,spearman,n_donors,n_graph_genes_present,seed_mass_present
MTG,dam_lipid_trem2_apoe,uncapped,0.1,variance,6e10/A_beta,0.35257669332793357,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,variance,GFAP,0.35559380378657485,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,variance,Iba1,0.1347980155917789,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.1,variance,NeuN,-0.2375215146299484,84,119,0.9215023072057372
MTG,dam_lipid_trem2_apoe,uncapped,0.25,mean,AT8,0.42395464209780304,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,mean,6e10/A_beta,0.3695049103978941,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,mean,GFAP,0.2561506530322973,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,mean,Iba1,0.2433734939759036,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,mean,NeuN,-0.08403361344537814,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q95,AT8,0.4563328946036246,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q95,6e10/A_beta,0.39977726030171107,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q95,GFAP,0.3715298167459755,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q95,Iba1,0.19846107117545814,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q95,NeuN,-0.19390503189227498,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q99,AT8,0.40921332388377046,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q99,6e10/A_beta,0.380398906550572,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q99,GFAP,0.30691505517869805,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q99,Iba1,0.1961121798116837,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,q99,NeuN,-0.2065201984408221,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,top_5pct_mean,AT8,0.45831730282474437,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,top_5pct_mean,6e10/A_beta,0.40544699807633905,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,top_5pct_mean,GFAP,0.34265465222233465,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,top_5pct_mean,Iba1,0.2102460261212919,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,top_5pct_mean,NeuN,-0.20828186696365292,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,fraction_high_global_q95,AT8,0.4352624332659752,84,119,0.8037557680143433
MTG,dam_lipid_trem2_apoe,uncapped,0.25,fraction_high_global_q95,6e10/A_beta,0.4025190345876276,84,119,0.8037557680143433
