gene,pathology_axis_class,therapeutic_like_score_percentile,tau_direction_stability,amyloid_direction_stability,neuron_direction_stability,gliosis_noninflating_stability,minimum_required_directional_stability,failed_required_axes,gfap_positive_fraction,iba1_positive_fraction,both_gfap_iba1_positive_fraction,mean_GFAP_delta,mean_Iba1_delta,median_GFAP_delta,median_Iba1_delta,max_GFAP_delta,max_Iba1_delta,donor_count,top_gliosis_contributing_donors,top_gliosis_donor_share,failure_pattern
MAP3K7,tau_lowering_neuron_preserving,97.45889387144992,1.0,0.989,1.0,0.0,0.0,gliosis_noninflating_stability,0.06741573033707865,0.9550561797752809,0.02247191011235955,-0.016985376230337076,0.007190293139325842,-0.018971682,0.007473469,0.04184532,0.016819954,89,H200.1023:0.0418453;H18.30.001:0.0397177;H19.30.001:0.0191219;H20.33.026:0.01682;H20.33.008:0.0155036,0.05379927788509086,passes_non_gliosis_axes_fails_gliosis_only
NSF,tau_lowering_neuron_preserving,97.19730941704036,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.48314606741573035,0.0,0.0,-0.017821486129662924,-0.015172524356179775,-0.006831169,-0.01531744,0.15819168,-0.0018997192,89,H21.33.030:0.158192;H21.33.045:0.106368;H20.33.035:0.0967424;H21.33.012:0.0924039;H20.33.019:0.0856743,0.07414481387361888,passes_non_gliosis_axes_fails_gliosis_only
RPLP1,dual_pathology_lowering_neuron_preserving,97.01046337817638,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.07865168539325842,0.23595505617977527,0.07865168539325842,-0.024734205075617983,-0.004990327190786517,-0.024305105,-0.0052981377,0.0864048,0.050178528,89,H18.30.001:0.136583;H21.33.020:0.0542092;H21.33.028:0.0352206;H21.33.046:0.0306368;H21.33.034:0.0255539,0.3835072424559365,passes_non_gliosis_axes_fails_gliosis_only
PLD3,tau_lowering_neuron_preserving,96.8609865470852,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.0898876404494382,0.43820224719101125,0.0898876404494382,-0.022996315733707865,-0.0015613912069662925,-0.024647474,-0.0028893948,0.02467823,0.038410902,89,H20.33.037:0.0630891;H20.33.026:0.0450449;H20.33.031:0.0316296;H21.33.020:0.0301471;H21.33.013:0.0284605,0.15288351753534388,passes_non_gliosis_axes_fails_gliosis_only
CAMK2G,dual_pathology_lowering_neuron_preserving,96.44992526158444,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.12359550561797752,0.056179775280898875,0.0,-0.030172680230337076,-0.0035574878115168535,-0.032573223,-0.004017353,0.36772728,0.0109939575,89,H18.30.001:0.367727;H21.33.002:0.0435319;H21.33.007:0.0355549;H21.33.017:0.0278106;H21.33.010:0.0251551,0.6220648371156609,passes_non_gliosis_axes_fails_gliosis_only
UBE2E3,dual_pathology_lowering_neuron_preserving,96.41255605381166,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.3146067415730337,0.20224719101123595,0.0,-0.01055957758022472,-0.011465505296438203,-0.0092663765,-0.014194727,0.039756298,0.089868546,89,H200.1023:0.0898685;H18.30.001:0.0891323;H21.33.017:0.0397563;H21.33.001:0.0353868;H21.33.014:0.0350566,0.10886037112115614,passes_non_gliosis_axes_fails_gliosis_only
ZKSCAN1,dual_pathology_lowering_neuron_preserving,96.37518684603886,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.9101123595505618,0.19101123595505617,0.19101123595505617,0.003803301391348315,-0.006263826667303371,0.0039305687,-0.0052866936,0.013103962,0.014451265,89,H18.30.002:0.0275552;H20.33.045:0.0157509;H20.33.014:0.0131195;H21.33.040:0.0130196;H19.30.001:0.0114458,0.06619931389933799,passes_non_gliosis_axes_fails_gliosis_only
SYT1,tau_lowering_neuron_preserving,96.33781763826606,1.0,0.952,1.0,0.0,0.0,gliosis_noninflating_stability,0.5056179775280899,0.0,0.0,0.0048094116695842695,-0.024920893528089887,0.00039100647,-0.024535894,0.07309151,-0.009525299,89,H18.30.001:0.0730915;H20.33.024:0.0666018;H19.33.004:0.0499473;H20.33.035:0.0479298;H21.33.032:0.0463495,0.06441465299583841,passes_non_gliosis_axes_fails_gliosis_only
EIF2AK4,dual_pathology_lowering_neuron_preserving,96.18834080717488,1.0,1.0,0.771,0.0,0.0,neuron_direction_stability|gliosis_noninflating_stability,0.4943820224719101,0.2808988764044944,0.2808988764044944,0.007344297038876404,-0.022196223153932583,-0.0017991066,-0.025527,1.1927147,0.44983673,89,H200.1023:1.64255;H21.33.017:0.261795;H21.33.036:0.255531;H21.33.013:0.227366;H21.33.039:0.20531,0.3123157579837382,fails_neuron_axis
CD74,tau_lowering_neuron_preserving,95.73991031390136,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.02247191011235955,0.6067415730337079,0.02247191011235955,-0.0462769121752809,0.008319053741460676,-0.048122406,0.0074472427,0.02835846,0.10615921,89,H18.30.001:0.134518;H200.1023:0.0884848;H18.30.002:0.061564;H21.33.035:0.0471206;H20.33.043:0.0412059,0.11120781312533833,passes_non_gliosis_axes_fails_gliosis_only
LPIN2,tau_lowering_neuron_preserving,95.66517189835577,1.0,1.0,0.988,0.0,0.0,gliosis_noninflating_stability,0.02247191011235955,0.3707865168539326,0.02247191011235955,-0.031120115464044945,-0.013058074122808986,-0.02928543,-0.009636879,0.004233837,0.085572004,89,H20.33.029:0.0898058;H21.33.017:0.0707474;H20.33.033:0.0565577;H21.33.007:0.0504322;H20.33.030:0.0456474,0.09297281680782615,passes_non_gliosis_axes_fails_gliosis_only
TCERG1,tau_lowering_neuron_preserving,95.3662182361734,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.033707865168539325,0.3146067415730337,0.0,-0.023707140734831458,-0.009226565926516852,-0.026339293,-0.006808281,0.035717964,0.016284466,89,H200.1023:0.035718;H18.30.001:0.0346022;H21.33.008:0.0162845;H21.33.039:0.0145144;H20.33.041:0.0144939,0.15806505022926512,passes_non_gliosis_axes_fails_gliosis_only
WIPF2,tau_lowering_neuron_preserving,95.3288490284006,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.7865168539325843,0.0,0.0,0.013610673753932583,-0.02937396736516854,0.015527487,-0.02935648,0.0604887,-0.0036354065,89,H21.33.013:0.0604887;H20.33.015:0.0596805;H21.33.002:0.0564504;H20.33.037:0.0484123;H20.33.035:0.0435095,0.03824213455430041,passes_non_gliosis_axes_fails_gliosis_only
UBA3,tau_lowering_neuron_preserving,95.14200298953662,1.0,1.0,1.0,0.0,0.0,gliosis_noninflating_stability,0.1797752808988764,0.011235955056179775,0.011235955056179775,-0.03330077743117977,-0.026432614586516853,-0.034258842,-0.027828932,0.080242634,0.0004324913,89,H21.33.017:0.0806751;H21.33.010:0.0279408;H21.33.013:0.0266333;H20.33.035:0.023129;H20.33.004:0.0211916,0.3127689798569374,passes_non_gliosis_axes_fails_gliosis_only
