source_idx,target_idx,weight
802,1357,0.46308348
539,1805,0.46306723
67,1478,0.4630464
800,1821,0.46301547
1002,2362,0.46299523
67,1964,0.46298295
119,2362,0.46296498
1821,2339,0.46295652
802,2193,0.4629529
562,2004,0.46294734
2717,2929,0.4629189
1821,2234,0.4629163
458,2767,0.46290872
84,2004,0.46289042
67,2567,0.46287736
458,791,0.46287543
67,863,0.46286538
1002,1821,0.4628478
802,2280,0.46280292
1821,2761,0.462728
802,2603,0.4627153
1821,2929,0.46263826
798,1308,0.46262726
119,2034,0.46261257
2361,2929,0.4625999
2116,2929,0.46258354
37,802,0.46256763
539,2004,0.46254784
67,2927,0.46253583
161,2280,0.4624662
458,598,0.46245143
458,2299,0.4624131
67,747,0.4624042
161,2713,0.46238762
1805,2939,0.46237937
1805,2280,0.46237788
1480,2356,0.46237335
802,2939,0.4623524
2356,2836,0.46234348
119,539,0.46233138
2004,2068,0.46230477
161,2278,0.46229315
161,2035,0.46229118
67,2116,0.46228656
1557,2356,0.4622595
1480,2004,0.46223575
709,1357,0.46223286
305,1821,0.462215
383,2004,0.4622081
305,1805,0.46220595
798,800,0.46218216
2004,2257,0.46213832
673,802,0.46213055
37,161,0.46209794
539,2356,0.46209258
94,2929,0.46207112
458,2473,0.4620544
798,802,0.462054
67,1179,0.46202087
57,1805,0.46202037
458,645,0.46196833
458,2643,0.46182814
67,1762,0.46182021
193,2929,0.46181038
2507,2929,0.46180204
161,1713,0.46176526
57,2356,0.46175766
802,2257,0.46174246
1821,2034,0.46173915
94,458,0.461734
67,303,0.4617299
67,2805,0.46170503
894,2929,0.46170154
458,1771,0.46167687
802,1179,0.46165073
802,1751,0.46164438
1601,1805,0.4615804
2234,2356,0.46157157
84,458,0.46155038
305,2356,0.4615404
239,802,0.46151614
802,2927,0.4614914
161,2858,0.4614788
1113,2004,0.4614562
458,958,0.4614531
2004,2643,0.46143106
1308,1357,0.46141672
562,802,0.4614126
457,1571,0.46140525
428,802,0.46139723
1821,2280,0.46138528
133,802,0.46137607
458,763,0.46137437
67,2000,0.46134228
458,2054,0.4613154
1805,2038,0.46127954
2453,2929,0.46124458
428,1821,0.4612133
385,458,0.46121004
67,1053,0.46117216
179,2004,0.4611532
385,2929,0.4611137
1308,1784,0.46108624
1821,2362,0.46105906
161,428,0.4610512
1751,1821,0.4610214
67,2073,0.46100774
2423,2929,0.4610012
161,239,0.46099803
2068,2356,0.46092847
1571,2050,0.46091583
67,2839,0.46091405
2004,2498,0.46091312
2416,2929,0.4608756
1964,2929,0.4608749
458,2737,0.4608442
598,2929,0.46082166
1357,1784,0.46081382
2907,2929,0.46079567
67,781,0.46079364
802,1821,0.4607577
67,2826,0.46075055
458,2365,0.46071866
1821,2416,0.46069637
305,2004,0.46065354
798,1784,0.46064532
161,1751,0.46062863
1357,2398,0.4605973
1644,1821,0.46057996
1478,2929,0.46053126
802,2035,0.46049953
458,1608,0.46049008
802,1713,0.46040803
84,802,0.46036485
67,685,0.46036342
67,297,0.46034038
802,1581,0.46030283
119,2568,0.46026492
119,1644,0.46025884
67,1140,0.46023116
1691,2929,0.46021762
458,2116,0.46019685
119,2836,0.4601492
802,1254,0.4601437
67,692,0.46013948
2339,2356,0.46012482
2280,2356,0.46011734
161,798,0.46011516
67,2365,0.4600952
1357,2038,0.46007264
1480,1805,0.46006206
458,2831,0.45997527
67,133,0.45997205
1805,2278,0.4599376
383,458,0.45993042
458,2291,0.45990175
1581,1805,0.45988354
709,1308,0.4598716
458,1209,0.45986736
1805,2068,0.45984736
1581,2616,0.45984718
161,2737,0.4598305
458,1809,0.45982835
1209,2929,0.4598001
161,1027,0.45979097
40,1821,0.45978498
338,2929,0.4597724
1192,2004,0.45977172
67,2939,0.4597257
161,1821,0.4596823
161,958,0.4596766
1053,2929,0.45965767
1784,2761,0.45965087
1805,2275,0.4595756
458,872,0.45949236
67,1357,0.45948994
40,1805,0.4594854
2004,2193,0.459476
2004,2234,0.45947438
1601,1821,0.45947236
1805,2257,0.4594661
57,1784,0.45942461
1601,2356,0.459418
2854,2929,0.45941213
1805,2035,0.4593841
1581,1821,0.459377
161,963,0.45936668
802,2737,0.45934552
800,1357,0.45934036
1480,1821,0.4593185
1805,2616,0.45927167
161,1581,0.45926845
458,1639,0.45926708
1601,2004,0.45924
67,264,0.45918033
800,1308,0.45915663
2278,2356,0.45915362
958,2929,0.45913827
40,2356,0.4591329
800,2362,0.4591217
161,2365,0.4591039
1748,2929,0.45901197
458,1488,0.45900652
119,2038,0.45899674
1639,2929,0.45898393
1821,2038,0.45896092
238,458,0.45895693
239,1784,0.45895532
67,2046,0.45895043
67,1718,0.45892212
2203,2929,0.45890102
798,1805,0.45888785
1357,2004,0.45888084
1821,2275,0.45883837
1805,2597,0.45877
2616,2761,0.45872143
67,2257,0.45868683
67,141,0.45866475
383,802,0.45866397
0,161,0.45865348
1821,2836,0.45864913
119,798,0.45864037
161,1254,0.45863
458,2498,0.4585728
458,1762,0.45856592
1608,2929,0.4585252
338,458,0.45851204
57,2004,0.4585088
1557,1805,0.45850474
1581,2356,0.458503
798,2356,0.45847374
458,863,0.4584659
67,470,0.45846257
1002,1357,0.45846084
2356,2597,0.45845217
428,1805,0.45844948
1571,1753,0.45844048
802,1113,0.4584237
458,2073,0.458406
802,2858,0.45839798
458,470,0.45839196
428,2356,0.45836943
802,2643,0.45835826
673,2004,0.4582986
863,2929,0.4582839
798,2038,0.45827013
94,2616,0.45825318
2385,2929,0.45823276
239,1821,0.45822272
2004,2597,0.4581875
802,2498,0.45818335
2004,2339,0.45818013
37,2356,0.45817107
458,1788,0.45815572
1308,2362,0.4581553
798,2761,0.458146
119,2616,0.45814535
84,1357,0.45813105
798,1002,0.45811364
119,2939,0.4581114
1805,2398,0.45809636
458,2642,0.45807645
2356,2939,0.45805898
67,2035,0.45805526
1821,2597,0.45801482
161,1709,0.45800677
179,2356,0.4580052
239,2356,0.45797744
2004,2275,0.45794874
1357,2362,0.45793217
673,2356,0.4579173
1154,1805,0.4579042
2356,2398,0.45786855
2356,2616,0.45786196
2280,2616,0.4578524
798,1644,0.45782232
239,1805,0.45780894
798,1821,0.45780846
0,2929,0.45780572
458,1113,0.4577995
458,2494,0.45779657
458,2667,0.45778927
2362,2568,0.45777106
1751,1805,0.45776883
67,1691,0.4577441
1784,2616,0.45773378
1805,2907,0.45773304
458,758,0.45772186
524,2356,0.45771915
1154,1357,0.4577173
1002,1308,0.45768943
119,2280,0.45763186
57,1308,0.4576315
2004,2603,0.45760342
67,933,0.4576031
67,238,0.45753673
458,2219,0.45752758
1821,2907,0.45749676
2004,2453,0.45747355
524,2004,0.4574646
802,2767,0.45743465
709,798,0.4573832
798,2068,0.45737904
1751,2356,0.45737296
2004,2026,0.4573487
119,2068,0.45734507
2004,2280,0.45733204
40,2004,0.4573114
119,1480,0.45730802
186,458,0.45729852
1805,2858,0.45729494
1179,2004,0.45727676
37,1805,0.4572713
1308,2616,0.45726192
970,2929,0.45724335
94,1821,0.45724246
802,2907,0.4572291
645,2929,0.45722222
67,1954,0.4572097
524,1805,0.45720655
2275,2356,0.45720482
1821,2068,0.45718256
2257,2356,0.45715997
1357,2068,0.45714554
1002,2761,0.4571175
798,2034,0.45709935
802,2026,0.457069
13,458,0.4570644
802,2365,0.45704728
67,338,0.4570434
119,1581,0.45699176
1192,1357,0.4569823
800,2761,0.4569589
1544,1571,0.45693576
161,1478,0.45690042
37,119,0.45685953
539,1821,0.4568493
161,2826,0.45680842
1571,2304,0.4567878
458,937,0.45676982
119,1557,0.45676655
2004,2927,0.4567607
119,2234,0.45675975
562,1805,0.4567515
1571,1986,0.45675063
539,2616,0.4567501
1821,2004,0.45674133
2356,2603,0.45674032
458,1473,0.45671695
1821,2473,0.45671397
458,1780,0.4566995
1788,2929,0.4566976
1805,2473,0.45666203
2277,2929,0.45665404
458,1164,0.4566534
2642,2929,0.45665103
791,2362,0.45664755
806,1571,0.45664117
334,458,0.45664114
2004,2858,0.45663336
791,1357,0.45661774
119,2339,0.45660895
161,1608,0.45660245
802,1478,0.45658913
161,2907,0.45658797
345,2929,0.45658442
1557,2362,0.45657945
57,1002,0.45654356
57,2616,0.45652443
798,2362,0.45649216
458,2203,0.45649058
458,2713,0.45648724
161,1691,0.4564829
1821,2616,0.45647103
457,1986,0.45642146
598,1821,0.45638195
57,119,0.45638135
67,2642,0.45637533
524,1821,0.45636183
1771,1821,0.45634195
67,2398,0.45632318
458,2717,0.4562938
802,1488,0.45628694
798,1480,0.4562828
800,2768,0.45625803
384,2616,0.4562371
2567,2929,0.4562351
800,2616,0.4561696
193,802,0.45615333
428,2616,0.45615005
1357,2568,0.4561457
305,1784,0.45614538
40,798,0.45614177
709,2761,0.4561207
161,1488,0.45609736
119,305,0.4560816
709,1821,0.45607737
1821,2568,0.4560701
384,2929,0.45604992
1357,2275,0.4560254
161,186,0.45601293
458,2507,0.45601052
457,2534,0.45600995
763,1821,0.45600927
37,1821,0.45600906
384,1581,0.4560004
67,2858,0.45598355
562,2356,0.4559632
458,1715,0.45593455
161,645,0.45592934
384,1784,0.45592847
2278,2616,0.45589036
67,2054,0.45588538
539,2761,0.455885
37,2004,0.455878
1713,2356,0.45585236
305,798,0.45585182
1805,2737,0.45584545
384,539,0.45582536
802,1691,0.45579776
738,1571,0.45579773
458,2423,0.45578542
161,183,0.45576125
2034,2362,0.45575795
1571,1825,0.45575142
2362,2939,0.4557452
1709,2929,0.45574108
802,872,0.45572785
37,2616,0.45572227
1805,2193,0.45569715
458,2115,0.45569286
1357,1480,0.45569158
1254,1805,0.45568937
1308,2038,0.45568272
161,2767,0.45566905
239,1308,0.4556567
458,2026,0.45563525
383,1357,0.45563346
539,2362,0.45563024
2004,2713,0.45562682
239,709,0.4556163
57,800,0.45561528
119,2737,0.4556119
2416,2616,0.45560098
2038,2362,0.45558986
67,2385,0.4555832
1821,2035,0.45556736
161,2831,0.45555115
2362,2836,0.45554614
1821,2603,0.45554024
2667,2929,0.455532
67,331,0.4555239
562,1357,0.4555219
161,193,0.45546773
67,1552,0.45545834
1360,2929,0.4554558
1821,2767,0.455455
38,161,0.45545033
802,2473,0.45544088
1357,2498,0.45543626
1571,2901,0.4554219
1713,2004,0.45541227
791,2356,0.45540345
161,2299,0.4553884
183,2929,0.4553877
1581,2004,0.45537755
802,2116,0.45537302
1357,2356,0.45536858
94,384,0.45535678
1771,1805,0.45535412
1308,2768,0.45534912
802,1608,0.4553293
2004,2278,0.4553241
239,2616,0.4553151
94,802,0.45530838
1771,2616,0.45530748
305,1308,0.4552724
161,2116,0.45522854
802,1771,0.45520857
458,2768,0.45519325
1805,2927,0.45518658
2356,2927,0.45518652
67,253,0.45517945
1986,2050,0.4551719
67,1304,0.45515808
937,2929,0.45515278
67,1192,0.45514607
119,1601,0.45514554
428,2004,0.45513222
239,800,0.4551101
654,2929,0.4551057
40,1357,0.45509905
57,2362,0.45509115
1571,2375,0.45503303
2339,2616,0.45501122
67,418,0.45499793
1805,2767,0.4549709
67,1542,0.45496133
67,707,0.4549411
2004,2035,0.45494083
1805,2603,0.4549218
1154,2356,0.45491567
1002,2616,0.4549083
802,2453,0.45490795
67,2821,0.4548855
2034,2616,0.45488346
802,2831,0.45488125
489,2534,0.45486638
2761,2768,0.45485228
1821,2219,0.45484915
1357,2643,0.45484877
539,1360,0.4548208
1784,2767,0.4548147
161,2277,0.45481446
458,1964,0.45481363
1360,1581,0.45480806
1360,2616,0.4548062
384,458,0.45479494
161,1876,0.45477593
2004,2717,0.45477194
457,890,0.45476195
458,2773,0.4547538
963,2929,0.45474142
458,2826,0.4547289
798,2275,0.45471823
2362,2761,0.4547099
798,2339,0.4547098
57,798,0.4547095
119,239,0.45470372
1571,2262,0.45470074
458,2361,0.45468605
1308,2034,0.45468104
119,2257,0.45466527
94,1805,0.45464334
133,2004,0.45461482
186,802,0.4546055
239,1002,0.4545935
239,2004,0.45454264
798,2278,0.45454192
2768,2929,0.4545249
1713,1821,0.45452294
2219,2929,0.45447946
2004,2365,0.45447353
133,1805,0.45446277
863,1805,0.45445532
458,460,0.45445198
2050,2534,0.45443407
1557,1821,0.4543789
798,2597,0.45437777
67,1399,0.45437768
802,1209,0.45437562
993,1571,0.45436525
2616,2767,0.45435834
119,2597,0.4543431
763,2929,0.45433494
1321,1571,0.45430306
119,2768,0.454295
1308,2761,0.45425376
489,1571,0.45423764
2004,2737,0.4542361
1357,1644,0.4542324
2054,2929,0.4542256
239,2761,0.45422155
161,1809,0.45421627
1639,1805,0.45420173
2775,2929,0.4541945
524,798,0.45416564
305,800,0.45416096
67,427,0.45415482
2234,2616,0.45415437
1753,2534,0.454137
1254,1821,0.45412505
1986,2534,0.45411816
2035,2356,0.45411736
458,933,0.45411468
458,970,0.4541066
2219,2616,0.45409524
384,2761,0.45409453
179,1357,0.45408827
1254,2356,0.45408484
305,1357,0.4540752
1179,2356,0.45406726
798,1601,0.45401597
1784,2234,0.45400938
802,2717,0.4540091
161,338,0.4540057
1192,1805,0.4540029
458,1140,0.4539905
1753,1986,0.453986
2034,2761,0.45397893
264,458,0.45397782
2299,2356,0.4539681
1113,2362,0.45396549
1715,1821,0.4539627
802,2299,0.45395976
1357,2603,0.45395148
2356,2767,0.45393696
1644,2616,0.45393005
67,791,0.4539087
802,1809,0.45388642
239,539,0.4538828
1805,2116,0.45387977
802,2416,0.45387596
1713,1805,0.45387062
2004,2854,0.45386845
119,428,0.45384616
57,2034,0.45384347
2473,2616,0.45383713
798,2234,0.45382217
890,2050,0.45382184
2805,2929,0.45381078
383,2362,0.45380592
1192,2356,0.45380303
385,1821,0.45378917
239,2362,0.4537877
1805,2768,0.4537834
458,1360,0.45376882
890,1571,0.45374292
1784,2768,0.45373118
2193,2356,0.45372963
67,2773,0.45371702
458,2616,0.4537052
1805,2416,0.4536899
384,1821,0.45368904
193,1821,0.45368037
1154,2362,0.4536714
2356,2858,0.4536656
338,802,0.45365852
2073,2929,0.4536512
2362,2643,0.4536265
119,2278,0.45362246
458,2264,0.4536165
802,2494,0.4535982
798,2004,0.45359552
458,2000,0.45359403
458,2453,0.45357913
1027,2929,0.4535742
119,179,0.45356414
94,2356,0.4535549
57,709,0.4535468
1780,1821,0.45354664
458,2775,0.45354447
161,872,0.4535234
1360,2761,0.45352027
1751,2004,0.45351595
57,2761,0.4535105
385,802,0.4534978
460,1821,0.45349103
673,1805,0.4534616
802,1639,0.45346096
161,1771,0.45344666
161,2473,0.45343733
305,1002,0.45343134
40,119,0.4534301
57,2234,0.45342556
94,161,0.45341006
2291,2929,0.4534092
802,2616,0.4534055
1644,2362,0.45339957
1805,2299,0.45337218
458,1295,0.45336205
67,2193,0.45334557
67,1295,0.4533392
161,2291,0.4533359
119,384,0.45331103
1360,1784,0.45329788
67,334,0.45328385
2004,2299,0.45326197
1751,2616,0.45324323
119,524,0.45321777
528,2929,0.45321706
1357,2193,0.45321196
1639,1821,0.45321062
1308,1480,0.45318955
738,1986,0.45318538
179,1805,0.45317587
2356,2416,0.4531605
1571,1925,0.4531579
161,385,0.453142
239,2034,0.45312938
2362,2616,0.45311537
1308,1644,0.45311052
0,2004,0.45310792
1357,1805,0.45310017
802,2713,0.4530965
384,1805,0.45308077
802,2826,0.45305973
458,2854,0.4530595
161,894,0.45305938
1762,1821,0.45305482
1821,2299,0.4530544
1254,2004,0.4530539
2356,2768,0.4530517
305,709,0.45304328
193,1805,0.45303681
67,616,0.45303315
67,1608,0.45302105
1601,1784,0.4530167
539,2767,0.45301625
93,2050,0.45301
2257,2362,0.45298916
2356,2643,0.452982
2761,2767,0.4529817
1821,2927,0.4529727
806,2534,0.45293492
524,1357,0.4529291
798,1751,0.4529054
119,673,0.45289654
119,1360,0.45287576
1164,1805,0.45286506
161,1164,0.4528622
37,384,0.45285314
1571,2354,0.45285138
971,1571,0.45284304
1357,1557,0.45283064
161,1209,0.45280764
2616,2836,0.45280635
802,2423,0.45277473
2356,2737,0.45276347
798,2568,0.45275378
326,1571,0.45273975
458,1748,0.45272428
1209,1805,0.45271567
1544,1986,0.45271534
161,598,0.45271438
384,2280,0.45271188
179,2362,0.45270482
1308,2068,0.4527048
133,2356,0.4526844
470,2929,0.4526646
1357,2034,0.45264336
384,800,0.45262754
1762,2929,0.45262668
1771,2356,0.4526265
2356,2473,0.45261726
1709,2004,0.45260492
2494,2616,0.45258835
1488,2356,0.4525846
1308,2568,0.45258152
1473,2929,0.45257097
94,1360,0.45253924
890,1544,0.45253232
2034,2768,0.45251527
305,2616,0.45250797
119,1357,0.4525076
598,802,0.4524819
161,1473,0.4524748
958,2004,0.45245093
802,2667,0.45243257
1002,2767,0.45242447
1480,2362,0.45240182
1179,1357,0.45238957
57,305,0.45238754
186,2356,0.4523834
863,1821,0.4523832
802,2507,0.4523794
119,1254,0.45236713
52,1571,0.45234212
67,1968,0.45234132
2115,2929,0.45232043
161,2423,0.4523159
798,2616,0.45231444
798,2280,0.45231083
937,1821,0.45230606
57,2038,0.45229343
802,1164,0.4522893
67,562,0.4522853
84,2362,0.45227042
1360,1805,0.45226997
958,1357,0.45226964
119,791,0.4522615
1544,2534,0.45225307
1308,1557,0.45222825
1644,2761,0.4522255
802,2768,0.45222268
802,2854,0.4522205
802,958,0.45221573
1308,1601,0.45220587
384,1002,0.45220304
67,2713,0.45218864
890,1753,0.4521718
458,894,0.4521586
798,2603,0.45215762
598,2356,0.45212883
67,1067,0.45209756
119,2767,0.45209324
1691,1821,0.4520895
474,2929,0.45208102
94,119,0.45207283
645,2004,0.45206928
2356,2907,0.4520496
2356,2365,0.45204738
2568,2761,0.4520426
802,2291,0.45203623
1357,1601,0.45203382
161,1105,0.45203266
458,2331,0.45202222
161,2416,0.4519727
2761,2836,0.45195836
239,798,0.45194656
1480,2616,0.4519357
458,654,0.45192692
119,1164,0.4519263
1809,2356,0.4519175
673,1821,0.45191
40,1308,0.4519081
1644,2768,0.45188385
161,2705,0.45187435
161,2494,0.45186776
2331,2929,0.4518675
119,2473,0.45186368
1571,1998,0.4518378
460,2616,0.45183477
1113,1357,0.45182514
57,2339,0.4518194
598,1805,0.45178938
1825,2534,0.4517725
57,1644,0.4517614
458,2277,0.45175853
428,798,0.45174628
1360,1821,0.4517437
802,894,0.45173284
806,1986,0.4517318
305,2362,0.45172974
55,2929,0.45172867
384,2356,0.45171806
802,1788,0.4517121
119,2275,0.4517
645,802,0.45169377
2026,2362,0.45168364
2362,2498,0.4516628
119,186,0.45165712
738,2534,0.45163625
1788,1821,0.45162803
2068,2362,0.4516208
802,1473,0.45161927
37,798,0.45161813
161,2507,0.45160538
1478,1821,0.45159283
119,2398,0.45158213
1821,2054,0.45158082
1357,2597,0.45154512
161,2361,0.45152938
385,2356,0.45152527
93,1753,0.4515053
84,2356,0.45149082
1308,2416,0.45147943
1357,2927,0.45147112
119,2193,0.4514654
2616,2929,0.45146418
1608,1805,0.45146096
57,2278,0.45145795
1209,1821,0.45145705
763,802,0.4514248
57,1480,0.4514064
800,2767,0.4513878
1805,2365,0.45137852
1784,2416,0.4513733
2278,2768,0.4513696
1360,2280,0.45136786
2534,2901,0.4513448
1780,2929,0.45134088
186,1805,0.4513373
1308,2234,0.45133218
802,937,0.45132658
1809,1821,0.4513227
