path,version_bucket,stage_hint,role,byte_size,referenced_by_tracked_doc_or_config_count,physical_move_recommended_now,path_policy,notes
configs/agent/stage75c_peak_gene_preflight_annotation_v1.yaml,v3,stage75c,stage_agent_config,1931,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/agent/stage75d_scenicplus_wsl_execution_handoff_v1.yaml,v3,stage75d,stage_agent_config,1669,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/data/stage32_external_pretraining_matrix_v1.yaml,v3,stage32,data_config,1580,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/data/stage32b_approved_external_pretraining_acquisition_v1.yaml,v3,stage32b,data_config,1996,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/data/stage32c_bulk_approved_external_acquisition_v1.yaml,v3,stage32c,data_config,1910,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/stage75e_scenicplus_preflight_v1.yaml,v3,stage75e,pipeline_config,6065,1,false,path_stable_or_wrapper_required,phase3_index_only
configs/stage75f_out_of_core_v1.yaml,v3,stage75f,pipeline_config,26096,2,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/fast_stage_c_supcon.yaml,v3,stagec,training_config,2476,1,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/graph_jepa_stage_a_fast.yaml,unclassified,,training_config,1244,2,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage27_non_graph_v3.yaml,v3,stage27,training_config,1241,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage27c_non_graph_rescue_v1.yaml,v3,stage27c,training_config,676,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage30_graph_controls_v3.yaml,v3,stage30,training_config,727,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage31_residual_graph_controls_v3.yaml,v3,stage31,training_config,949,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage33a_external_pretrained_jepa_v1.yaml,v3,stage33a,training_config,704,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage33b_external_pretrained_jepa_v1.yaml,v3,stage33b,training_config,1580,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage33c_external_pretrained_diagnostic_rescue_v1.yaml,v3,stage33c,training_config,2034,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage34a_hbca_microglia_filtered_external_pretraining_v1.yaml,v3,stage34a,training_config,2556,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage34b_hbcc_external_pretraining_v1.yaml,v3,stage34b,training_config,2669,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage35a_target_aware_weak_graph_rescue_v1.yaml,v3,stage35a,training_config,1285,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage35b_graph_laplacian_regularized_ridge_v1.yaml,v3,stage35b,training_config,1167,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage35c_latent_module_graph_v1.yaml,v3,stage35c,training_config,918,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage35d_perturbation_graph_diagnostic_v1.yaml,v3,stage35d,training_config,529,0,false,path_stable_or_wrapper_required,phase3_index_only
configs/train/stage35e_graph_diagnostics_synthesis_v1.yaml,v3,stage35e,training_config,1753,0,false,path_stable_or_wrapper_required,phase3_index_only
