model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.005,1.7731372,4.8893003,1.7732031,4.8896885,6.592274e-05,0.00038814545
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.006,1.5771735,3.8412523,1.5794113,3.8520985,0.0022377968,0.010846138
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.007,1.960969,6.1062093,1.9583621,6.0877085,-0.0026068687,-0.018500805
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.008,1.9767556,6.2192826,1.977362,6.223662,0.00060641766,0.0043792725
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.009,1.8711587,5.495819,1.8785266,5.5438557,0.0073678493,0.048036575
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.010,1.6165801,4.035839,1.6178566,4.042271,0.0012764931,0.0064320564
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.011,1.8047049,5.0781775,1.8086289,5.102075,0.003924012,0.023897648
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.012,1.7067965,4.511278,1.7081025,4.51848,0.0013059378,0.0072016716
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.013,1.592988,3.9184232,1.5952526,3.9295745,0.0022646189,0.011151314
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.014,1.746799,4.736212,1.7511358,4.7611427,0.004336834,0.024930954
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.015,1.5159328,3.5536666,1.5166097,3.5567503,0.00067687035,0.003083706
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.016,1.6873705,4.405249,1.6884179,4.4109135,0.0010473728,0.0056643486
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.017,1.658835,4.2531877,1.663393,4.277186,0.004557967,0.02399826
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.018,1.4627578,3.317851,1.4640012,3.323223,0.0012433529,0.0053720474
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.019,2.132702,7.4376354,2.1299646,7.414569,-0.0027375221,-0.02306652
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.020,1.7807307,4.934191,1.7825986,4.945286,0.0018678904,0.01109457
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.021,1.8038057,5.0727143,1.8041594,5.074863,0.00035369396,0.0021486282
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.022,1.662,4.26984,1.6620939,4.2703347,9.393692e-05,0.00049495697
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.023,1.7382264,4.6872478,1.7416955,4.7070117,0.0034691095,0.019763947
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.025,1.6713896,4.319555,1.6711175,4.3181076,-0.0002720356,-0.0014472008
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.026,1.8087207,5.1026354,1.8129923,5.1287594,0.0042716265,0.026124
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.027,1.6653641,4.287598,1.6699831,4.3120785,0.0046190023,0.024480343
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.028,1.6489484,4.201507,1.6496753,4.2052894,0.00072681904,0.0037822723
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.029,1.629557,4.1016145,1.6291771,4.0996766,-0.00037992,-0.0019378662
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.030,1.9654244,6.1379414,1.9642626,6.1296535,-0.0011618137,-0.008287907
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.031,2.224278,8.246804,2.2314892,8.313725,0.0072112083,0.066921234
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.032,1.9696994,6.1685214,1.9705106,6.174339,0.0008112192,0.0058174133
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.033,1.8182703,5.1611924,1.8192023,5.1669374,0.0009319782,0.005744934
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.034,1.9609312,6.105941,1.9621872,6.1148715,0.0012559891,0.008930683
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.035,2.08354,7.032855,2.0876753,7.066142,0.0041353703,0.03328705
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.036,1.5895628,3.9016051,1.5898614,3.9030695,0.00029861927,0.0014643669
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.037,1.8423198,5.311162,1.8471797,5.341908,0.004859805,0.030745983
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.038,1.5812142,3.8608541,1.5829104,3.8691063,0.001696229,0.008252144
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.039,1.7545216,4.7806816,1.7544117,4.7800465,-0.000109910965,-0.0006351471
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.040,1.6918873,4.4297185,1.6978477,4.4621787,0.0059604645,0.032460213
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.041,1.7978444,5.036621,1.8005134,5.052754,0.0026689768,0.016132832
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.042,2.007456,6.4443555,2.0063539,6.4361544,-0.0011022091,-0.008201122
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.043,1.930977,5.8962445,1.9319614,5.9030366,0.0009844303,0.0067920685
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.044,1.6565976,4.241447,1.6615041,4.2672276,0.004906535,0.025780678
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.045,1.7310028,4.646313,1.7330009,4.657606,0.001998067,0.011292934
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.046,1.881135,5.5609474,1.883449,5.5761466,0.0023139715,0.015199184
upgrade_fine_08,percent GFAP positive area_Grey matter,homeostatic_microglia,CSF1R,global_mean,H21.33.047,1.6556094,4.23627,1.663747,4.279054,0.008137584,0.042784214
