source,target,weight,source_idx,target_idx
CSDE1,TOP2B,0.46798038,161,562
RSBN1L,SCYL2,0.46791205,1308,2004
PPIG,SRSF5,0.46787456,458,2193
CSDE1,CABIN1,0.467867,161,2836
CPPED1,XIAP,0.46786427,2365,2929
HMGN3,XIAP,0.4678036,1154,2929
PPIG,SLAIN2,0.46774063,458,798
CSDE1,RPL6,0.46774048,161,2026
OCIAD1,SCYL2,0.46771222,800,2004
AGO3,IQCB1,0.4676983,67,654
AGO3,RALGAPB,0.46765727,67,2768
PPIG,PCGF5,0.46764657,458,1713
CSDE1,PLCB2,0.4676454,161,2257
TOP2B,XIAP,0.46762845,562,2929
FIP1L1,YWHAZ,0.46760803,802,1480
CSDE1,HADHB,0.4676073,161,305
PCGF5,XIAP,0.46746388,1713,2929
CSDE1,RPL26,0.46736166,161,2453
PPIG,ARHGAP4,0.46733502,458,2939
AGO3,EIF3A,0.46732718,67,1748
AGO3,PRKAR2A,0.4673162,67,598
AGO3,SCYL2,0.46731246,67,2004
AGO3,TLK1,0.46729735,67,460
SRRM1,CSDE1,0.46728924,40,161
PPIG,SREBF2,0.46725255,458,2858
SEC62,USP7,0.46723762,709,2356
AGO3,USP47,0.46723044,67,1780
PPIG,PLCB2,0.46721,458,2257
SLAIN2,XIAP,0.46715942,798,2929
AGO3,SPI1,0.46714255,67,1809
AGO3,ANAPC10,0.46708316,67,872
SECISBP2L,XIAP,0.46702677,2275,2929
IPO9,PPIG,0.4669984,239,458
AMBRA1,ZC3H7A,0.4669816,1805,2362
USP7,ZC3H7A,0.46694764,2356,2362
OCIAD1,AMBRA1,0.46687388,800,1805
AGO3,SLTM,0.46681288,67,2293
CDC42SE1,PPIG,0.4668079,179,458
TPM3,XIAP,0.4667891,186,2929
MIGA1,AMBRA1,0.4667249,119,1805
AMBRA1,MARK2,0.4667183,1805,1821
PPIG,CNBP,0.4667176,458,673
ELP2,XIAP,0.4666978,2603,2929
OCIAD1,USP7,0.46668053,800,2356
DIPK1A,XIAP,0.4666643,133,2929
OAZ1,XIAP,0.46662587,2643,2929
AGO3,PIK3C2A,0.46660703,67,1788
CSDE1,HDLBP,0.46645546,161,539
AMBRA1,UQCC1,0.46645305,1805,2761
AGO3,PCGF5,0.46644098,67,1713
TMSB10,XIAP,0.46640682,383,2929
AMBRA1,ANAPC5,0.46636516,1805,2034
TIAL1,XIAP,0.46628645,1751,2929
CSDE1,WASL,0.46625477,161,1357
AGO3,MDN1,0.4662055,67,1164
HNRNPR,PPIG,0.46619123,37,458
HADHB,FIP1L1,0.46617994,305,802
FIP1L1,HNRNPK,0.4661392,802,1557
SRSF5,XIAP,0.4661304,2193,2929
RSBN1L,MARK2,0.4660943,1308,1821
PPIG,TAF1,0.46608618,458,2907
LAMP2,XIAP,0.4660679,2927,2929
PPIG,RAD23B,0.46604526,458,1581
SRRM1,FIP1L1,0.46603897,40,802
SERINC1,XIAP,0.46594298,1192,2929
AMBRA1,USP7,0.4659056,1805,2356
AGO3,RAB8B,0.46590042,67,2299
AGO3,CDC42SE1,0.46581453,67,179
DIPK1A,PPIG,0.465814,133,458
MIGA1,OCIAD1,0.46578547,119,800
C1GALT1,XIAP,0.46573114,1254,2929
CSDE1,SECISBP2L,0.46568432,161,2275
CSDE1,RC3H2,0.46568185,161,1601
MIGA1,PPP2CA,0.46567354,119,1002
PPIG,MARK2,0.46565783,458,1821
CSDE1,DYNC1H1,0.46565044,161,2234
RPL19,XIAP,0.4655466,2498,2929
CSDE1,SP140L,0.46552476,161,524
COPB1,ZC3H7A,0.4655036,1784,2362
CSDE1,CNBP,0.46543533,161,673
AGO3,TNKS2,0.46543434,67,1715
AGO3,TAF1,0.4654277,67,2907
SCYL2,RSRC2,0.46541783,2004,2038
FIP1L1,RBL2,0.4653857,802,2398
AGO3,SERGEF,0.4653523,67,1789
FIP1L1,CABIN1,0.46532503,802,2836
COPB1,MARK2,0.46523005,1784,1821
CSDE1,CD164,0.46519646,161,1179
CTNNBL1,XIAP,0.46518183,2767,2929
AGO3,YWHAE,0.46517035,67,2435
AMBRA1,NPLOC4,0.46516418,1805,2568
EIF3E,XIAP,0.46513173,1488,2929
AGO3,REPS1,0.46509206,67,1209
AGO3,NPLOC4,0.4650706,67,2568
AGO3,TASP1,0.4650595,67,2737
HDLBP,FIP1L1,0.4650445,539,802
MARK2,USP7,0.4650333,1821,2356
SCYL2,USP7,0.46502107,2004,2356
AMBRA1,SCYL2,0.46495628,1805,2004
CSDE1,RNF138,0.46494427,161,2597
FAM222B,XIAP,0.46491843,2473,2929
SPI1,XIAP,0.4649029,1809,2929
KPNA6,CSDE1,0.4648905,57,161
PPIG,CAMK2G,0.46485138,458,1691
AMBRA1,CABIN1,0.46484193,1805,2836
AGO3,TM9SF2,0.46483004,67,2115
AGO3,ELP2,0.4648167,67,2603
MIGA1,SEC62,0.46481493,119,709
SP140L,FIP1L1,0.46480158,524,802
SREBF2,XIAP,0.46479663,2858,2929
FIP1L1,RC3H2,0.46473235,802,1601
MIGA1,USP7,0.46472502,119,2356
FIP1L1,DYNC1H1,0.4647003,802,2234
FIP1L1,RNF138,0.4646868,802,2597
AGO3,MBD2,0.4646571,67,2616
AGO3,ARFGEF2,0.46463874,67,2775
MDN1,XIAP,0.46461934,1164,2929
RPL9,SCYL2,0.46461657,791,2004
CSDE1,ELP2,0.46459994,161,2603
SEC62,AMBRA1,0.4645342,709,1805
PPIG,C1GALT1,0.4645125,458,1254
RPS9,XIAP,0.46446276,2713,2929
RPL6,XIAP,0.46444362,2026,2929
KPNA6,FIP1L1,0.46444026,57,802
PPIG,GLG1,0.46440643,458,2416
FIP1L1,SECISBP2L,0.4643769,802,2275
FIP1L1,AP3S2,0.4643601,802,2339
MIGA1,SCYL2,0.4643351,119,2004
USP7,UQCC1,0.46430567,2356,2761
DIPK1A,CSDE1,0.4641976,133,161
CSDE1,AP3S2,0.46417347,161,2339
KPNA6,MARK2,0.46416506,57,1821
PPIG,RNF19A,0.46414626,458,1478
FIP1L1,HMGN3,0.4641145,802,1154
AGO3,SECISBP2L,0.46409714,67,2275
SEC62,ZC3H7A,0.46406645,709,2362
CDC42SE1,FIP1L1,0.46403056,179,802
RAB8B,XIAP,0.46401644,2299,2929
CSDE1,RPL28,0.464016,161,2717
AGO3,TMEM106A,0.46401373,67,2507
AGO3,ADD1,0.4640045,67,763
RSRC2,USP7,0.4639561,2038,2356
SCYL2,RBL2,0.46393734,2004,2398
AGO3,SPCS3,0.46393707,67,894
AGO3,COTL1,0.46391624,67,2423
AGO3,EPS15L1,0.46390623,67,2667
KDM2B,XIAP,0.46388894,2035,2929
STIM1,XIAP,0.46383774,1771,2929
AMBRA1,DYNC1H1,0.4638288,1805,2234
RPL9,FIP1L1,0.46382558,791,802
ITGB2,XIAP,0.46382427,2826,2929
SCYL2,CABIN1,0.4637909,2004,2836
AGO3,TXNDC11,0.4637431,67,2361
ANAPC5,USP7,0.46374032,2034,2356
STAM,AMBRA1,0.46373758,1644,1805
AATF,XIAP,0.4637245,2494,2929
AMBRA1,AP3S2,0.46369782,1805,2339
PPIG,CD164,0.46368545,458,1179
MIGA1,RSBN1L,0.46368438,119,1308
MIGA1,UQCC1,0.46367764,119,2761
SCYL2,UQCC1,0.46366754,2004,2761
MICAL3,XIAP,0.46363854,2831,2929
CSDE1,LAMP2,0.46362323,161,2927
ARHGEF2,PPIG,0.46361923,193,458
SCYL2,ARHGAP4,0.46354342,2004,2939
CSDE1,RPL3,0.46354192,161,2854
HNRNPK,SCYL2,0.46349934,1557,2004
AGO3,CUL5,0.46344206,67,1862
SCYL2,ANAPC5,0.4634254,2004,2034
AGO3,MICAL3,0.46341512,67,2831
USP7,NPLOC4,0.46333852,2356,2568
STAM,USP7,0.46333715,1644,2356
STAM,SCYL2,0.4633258,1644,2004
ANAPC10,XIAP,0.46331334,872,2929
FIP1L1,USP8,0.46326286,802,2278
MIGA1,MARK2,0.4632435,119,1821
AGO3,TTLL5,0.4632421,67,2203
AGO3,ARHGEF2,0.4632273,67,193
MARK2,USP8,0.46320435,1821,2278
CSDE1,RPS27A,0.46317828,161,345
HMGN3,SCYL2,0.46315068,1154,2004
FIP1L1,SERINC1,0.46310994,802,1192
FIP1L1,WASL,0.46308348,802,1357
HDLBP,AMBRA1,0.46306723,539,1805
AGO3,RNF19A,0.4630464,67,1478
OCIAD1,MARK2,0.46301547,800,1821
PPP2CA,ZC3H7A,0.46299523,1002,2362
AGO3,MARS,0.46298295,67,1964
MIGA1,ZC3H7A,0.46296498,119,2362
MARK2,AP3S2,0.46295652,1821,2339
FIP1L1,SRSF5,0.4629529,802,2193
TOP2B,SCYL2,0.46294734,562,2004
RPL28,XIAP,0.4629189,2717,2929
MARK2,DYNC1H1,0.4629163,1821,2234
PPIG,CTNNBL1,0.46290872,458,2767
PRDX1,SCYL2,0.46289042,84,2004
AGO3,SLC38A10,0.46287736,67,2567
PPIG,RPL9,0.46287543,458,791
AGO3,SCLT1,0.46286538,67,863
PPP2CA,MARK2,0.4628478,1002,1821
FIP1L1,SPPL2A,0.46280292,802,2280
MARK2,UQCC1,0.462728,1821,2761
FIP1L1,ELP2,0.4627153,802,2603
MARK2,XIAP,0.46263826,1821,2929
SLAIN2,RSBN1L,0.46262726,798,1308
MIGA1,ANAPC5,0.46261257,119,2034
TXNDC11,XIAP,0.4625999,2361,2929
CLYBL,XIAP,0.46258354,2116,2929
HNRNPR,FIP1L1,0.46256763,37,802
HDLBP,SCYL2,0.46254784,539,2004
AGO3,LAMP2,0.46253583,67,2927
CSDE1,SPPL2A,0.4624662,161,2280
PPIG,PRKAR2A,0.46245143,458,598
PPIG,RAB8B,0.4624131,458,2299
AGO3,ACAP2,0.4624042,67,747
CSDE1,RPS9,0.46238762,161,2713
AMBRA1,ARHGAP4,0.46237937,1805,2939
AMBRA1,SPPL2A,0.46237788,1805,2280
YWHAZ,USP7,0.46237335,1480,2356
FIP1L1,ARHGAP4,0.4623524,802,2939
USP7,CABIN1,0.46234348,2356,2836
MIGA1,HDLBP,0.46233138,119,539
SCYL2,SUPT20H,0.46230477,2004,2068
CSDE1,USP8,0.46229315,161,2278
CSDE1,KDM2B,0.46229118,161,2035
AGO3,CLYBL,0.46228656,67,2116
HNRNPK,USP7,0.4622595,1557,2356
YWHAZ,SCYL2,0.46223575,1480,2004
SEC62,WASL,0.46223286,709,1357
HADHB,MARK2,0.462215,305,1821
TMSB10,SCYL2,0.4622081,383,2004
HADHB,AMBRA1,0.46220595,305,1805
SLAIN2,OCIAD1,0.46218216,798,800
SCYL2,PLCB2,0.46213832,2004,2257
CNBP,FIP1L1,0.46213055,673,802
HNRNPR,CSDE1,0.46209794,37,161
HDLBP,USP7,0.46209258,539,2356
NRDC,XIAP,0.46207112,94,2929
PPIG,FAM222B,0.4620544,458,2473
SLAIN2,FIP1L1,0.462054,798,802
AGO3,CD164,0.46202087,67,1179
KPNA6,AMBRA1,0.46202037,57,1805
PPIG,CD47,0.46196833,458,645
PPIG,OAZ1,0.46182814,458,2643
AGO3,PPP2R2D,0.46182021,67,1762
ARHGEF2,XIAP,0.46181038,193,2929
TMEM106A,XIAP,0.46180204,2507,2929
CSDE1,PCGF5,0.46176526,161,1713
KPNA6,USP7,0.46175766,57,2356
FIP1L1,PLCB2,0.46174246,802,2257
MARK2,ANAPC5,0.46173915,1821,2034
NRDC,PPIG,0.461734,94,458
AGO3,ASXL2,0.4617299,67,303
AGO3,IFNAR1,0.46170503,67,2805
SPCS3,XIAP,0.46170154,894,2929
PPIG,STIM1,0.46167687,458,1771
FIP1L1,CD164,0.46165073,802,1179
FIP1L1,TIAL1,0.46164438,802,1751
RC3H2,AMBRA1,0.4615804,1601,1805
DYNC1H1,USP7,0.46157157,2234,2356
PRDX1,PPIG,0.46155038,84,458
HADHB,USP7,0.4615404,305,2356
IPO9,FIP1L1,0.46151614,239,802
FIP1L1,LAMP2,0.4614914,802,2927
CSDE1,SREBF2,0.4614788,161,2858
RPS18,SCYL2,0.4614562,1113,2004
PPIG,SERINC5,0.4614531,458,958
SCYL2,OAZ1,0.46143106,2004,2643
RSBN1L,WASL,0.46141672,1308,1357
TOP2B,FIP1L1,0.4614126,562,802
FASTKD1,ERCC6L2,0.46140525,457,1571
UBXN4,FIP1L1,0.46139723,428,802
MARK2,SPPL2A,0.46138528,1821,2280
DIPK1A,FIP1L1,0.46137607,133,802
PPIG,ADD1,0.46137437,458,763
AGO3,CDK17,0.46134228,67,2000
PPIG,PARP4,0.4613154,458,2054
AMBRA1,RSRC2,0.46127954,1805,2038
RPL26,XIAP,0.46124458,2453,2929
UBXN4,MARK2,0.4612133,428,1821
TGOLN2,PPIG,0.46121004,385,458
AGO3,CANX,0.46117216,67,1053
CDC42SE1,SCYL2,0.4611532,179,2004
TGOLN2,XIAP,0.4611137,385,2929
RSBN1L,COPB1,0.46108624,1308,1784
MARK2,ZC3H7A,0.46105906,1821,2362
CSDE1,UBXN4,0.4610512,161,428
TIAL1,MARK2,0.4610214,1751,1821
AGO3,AKAP11,0.46100774,67,2073
COTL1,XIAP,0.4610012,2423,2929
CSDE1,IPO9,0.46099803,161,239
SUPT20H,USP7,0.46092847,2068,2356
ERCC6L2,XPO4,0.46091583,1571,2050
AGO3,PITPNB,0.46091405,67,2839
SCYL2,RPL19,0.46091312,2004,2498
GLG1,XIAP,0.4608756,2416,2929
MARS,XIAP,0.4608749,1964,2929
PPIG,TASP1,0.4608442,458,2737
PRKAR2A,XIAP,0.46082166,598,2929
WASL,COPB1,0.46081382,1357,1784
TAF1,XIAP,0.46079567,2907,2929
AGO3,DHX15,0.46079364,67,781
FIP1L1,MARK2,0.4607577,802,1821
AGO3,ITGB2,0.46075055,67,2826
PPIG,CPPED1,0.46071866,458,2365
MARK2,GLG1,0.46069637,1821,2416
HADHB,SCYL2,0.46065354,305,2004
SLAIN2,COPB1,0.46064532,798,1784
CSDE1,TIAL1,0.46062863,161,1751
WASL,RBL2,0.4605973,1357,2398
STAM,MARK2,0.46057996,1644,1821
RNF19A,XIAP,0.46053126,1478,2929
FIP1L1,KDM2B,0.46049953,802,2035
PPIG,SCAI,0.46049008,458,1608
FIP1L1,PCGF5,0.46040803,802,1713
PRDX1,FIP1L1,0.46036485,84,802
AGO3,PIK3CB,0.46036342,67,685
AGO3,ATAD2B,0.46034038,67,297
FIP1L1,RAD23B,0.46030283,802,1581
MIGA1,NPLOC4,0.46026492,119,2568
MIGA1,STAM,0.46025884,119,1644
AGO3,ZNF451,0.46023116,67,1140
CAMK2G,XIAP,0.46021762,1691,2929
PPIG,CLYBL,0.46019685,458,2116
MIGA1,CABIN1,0.4601492,119,2836
FIP1L1,C1GALT1,0.4601437,802,1254
AGO3,ATR,0.46013948,67,692
AP3S2,USP7,0.46012482,2339,2356
SPPL2A,USP7,0.46011734,2280,2356
CSDE1,SLAIN2,0.46011516,161,798
AGO3,CPPED1,0.4600952,67,2365
WASL,RSRC2,0.46007264,1357,2038
YWHAZ,AMBRA1,0.46006206,1480,1805
PPIG,MICAL3,0.45997527,458,2831
AGO3,DIPK1A,0.45997205,67,133
AMBRA1,USP8,0.4599376,1805,2278
TMSB10,PPIG,0.45993042,383,458
PPIG,MINDY2,0.45990175,458,2291
RAD23B,AMBRA1,0.45988354,1581,1805
SEC62,RSBN1L,0.4598716,709,1308
PPIG,REPS1,0.45986736,458,1209
AMBRA1,SUPT20H,0.45984736,1805,2068
RAD23B,MBD2,0.45984718,1581,2616
CSDE1,TASP1,0.4598305,161,2737
PPIG,SPI1,0.45982835,458,1809
REPS1,XIAP,0.4598001,1209,2929
CSDE1,RPS14,0.45979097,161,1027
SRRM1,MARK2,0.45978498,40,1821
FOXN2,XIAP,0.4597724,338,2929
SERINC1,SCYL2,0.45977172,1192,2004
AGO3,ARHGAP4,0.4597257,67,2939
CSDE1,MARK2,0.4596823,161,1821
CSDE1,SERINC5,0.4596766,161,958
CANX,XIAP,0.45965767,1053,2929
COPB1,UQCC1,0.45965087,1784,2761
AMBRA1,SECISBP2L,0.4595756,1805,2275
PPIG,ANAPC10,0.45949236,458,872
AGO3,WASL,0.45948994,67,1357
SRRM1,AMBRA1,0.4594854,40,1805
SCYL2,SRSF5,0.459476,2004,2193
SCYL2,DYNC1H1,0.45947438,2004,2234
RC3H2,MARK2,0.45947236,1601,1821
AMBRA1,PLCB2,0.4594661,1805,2257
KPNA6,COPB1,0.45942461,57,1784
RC3H2,USP7,0.459418,1601,2356
RPL3,XIAP,0.45941213,2854,2929
AMBRA1,KDM2B,0.4593841,1805,2035
RAD23B,MARK2,0.459377,1581,1821
CSDE1,RPS23,0.45936668,161,963
FIP1L1,TASP1,0.45934552,802,2737
OCIAD1,WASL,0.45934036,800,1357
YWHAZ,MARK2,0.4593185,1480,1821
AMBRA1,MBD2,0.45927167,1805,2616
CSDE1,RAD23B,0.45926845,161,1581
PPIG,UPF2,0.45926708,458,1639
RC3H2,SCYL2,0.45924,1601,2004
AGO3,FBXO28,0.45918033,67,264
OCIAD1,RSBN1L,0.45915663,800,1308
USP8,USP7,0.45915362,2278,2356
SERINC5,XIAP,0.45913827,958,2929
SRRM1,USP7,0.4591329,40,2356
OCIAD1,ZC3H7A,0.4591217,800,2362
CSDE1,CPPED1,0.4591039,161,2365
EIF3A,XIAP,0.45901197,1748,2929
PPIG,EIF3E,0.45900652,458,1488
MIGA1,RSRC2,0.45899674,119,2038
UPF2,XIAP,0.45898393,1639,2929
MARK2,RSRC2,0.45896092,1821,2038
CAMSAP2,PPIG,0.45895693,238,458
IPO9,COPB1,0.45895532,239,1784
AGO3,CHFR,0.45895043,67,2046
AGO3,EXOC6,0.45892212,67,1718
TTLL5,XIAP,0.45890102,2203,2929
SLAIN2,AMBRA1,0.45888785,798,1805
WASL,SCYL2,0.45888084,1357,2004
MARK2,SECISBP2L,0.45883837,1821,2275
AMBRA1,RNF138,0.45877,1805,2597
MBD2,UQCC1,0.45872143,2616,2761
AGO3,PLCB2,0.45868683,67,2257
AGO3,SLC30A7,0.45866475,67,141
TMSB10,FIP1L1,0.45866397,383,802
ISG15,CSDE1,0.45865348,0,161
MARK2,CABIN1,0.45864913,1821,2836
MIGA1,SLAIN2,0.45864037,119,798
CSDE1,C1GALT1,0.45863,161,1254
PPIG,RPL19,0.4585728,458,2498
PPIG,PPP2R2D,0.45856592,458,1762
SCAI,XIAP,0.4585252,1608,2929
FOXN2,PPIG,0.45851204,338,458
KPNA6,SCYL2,0.4585088,57,2004
HNRNPK,AMBRA1,0.45850474,1557,1805
RAD23B,USP7,0.458503,1581,2356
SLAIN2,USP7,0.45847374,798,2356
