dataset_id,metadata_file,size_bytes,columns
2ecc72f8-085f-4e86-8692-771f316c54f6,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_2ecc72f8-085f-4e86-8692-771f316c54f6.csv,467739,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
3e87b1fa-472a-401c-8fa8-f31c10437d5f,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_3e87b1fa-472a-401c-8fa8-f31c10437d5f.csv,356590,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
44c83972-e5d2-4858-ac58-2df9f4bf564b,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_44c83972-e5d2-4858-ac58-2df9f4bf564b.csv,21483088,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
5097d77d-08fa-4105-a18f-4072d61522a4,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_5097d77d-08fa-4105-a18f-4072d61522a4.csv,12085845,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
53bc5729-6202-4351-bc99-1f36139e9dc4,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_53bc5729-6202-4351-bc99-1f36139e9dc4.csv,18331651,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
58c43cc2-e00e-43c4-94eb-8501369264e1,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_58c43cc2-e00e-43c4-94eb-8501369264e1.csv,5195806,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
5ae6ab72-1927-4d5b-9826-86be65791293,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_5ae6ab72-1927-4d5b-9826-86be65791293.csv,3870305,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
605b89b1-c474-4180-8c0b-88afb5920991,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_605b89b1-c474-4180-8c0b-88afb5920991.csv,25186033,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
6437bc9c-16cb-46c8-8f79-9a7384a0212a,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_6437bc9c-16cb-46c8-8f79-9a7384a0212a.csv,9757295,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
646e3e87-e46b-4b12-85b5-8d8589e26088,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_646e3e87-e46b-4b12-85b5-8d8589e26088.csv,70449995,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
6cda07c7-5d7a-41ba-9799-5bb73da25a60,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_6cda07c7-5d7a-41ba-9799-5bb73da25a60.csv,863609,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3.csv,266882546,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
74d584f0-74fc-482e-b944-e76f29c1ab85,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_74d584f0-74fc-482e-b944-e76f29c1ab85.csv,15884154,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
75e6eee5-d0e3-4291-9360-f288ffe6c7c4,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_75e6eee5-d0e3-4291-9360-f288ffe6c7c4.csv,3824888,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
79d485a8-b8b1-49f2-85aa-c44e5206aa53,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_79d485a8-b8b1-49f2-85aa-c44e5206aa53.csv,5136661,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
81e91ff8-f619-4ad1-a0c3-b45e1dc63f68,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_81e91ff8-f619-4ad1-a0c3-b45e1dc63f68.csv,259826,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
8a8aedcb-5bb3-453d-a9f0-f37951ae1515,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_8a8aedcb-5bb3-453d-a9f0-f37951ae1515.csv,2800413,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
8c6ed88f-11bf-4159-bad7-ff41fb1e1eca,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_8c6ed88f-11bf-4159-bad7-ff41fb1e1eca.csv,2041925,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
9940f951-3dc0-4579-bbb2-2392786e59a3,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_9940f951-3dc0-4579-bbb2-2392786e59a3.csv,23920342,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
9ff9f9ba-016b-4cbb-8899-45dc20860b8b,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_9ff9f9ba-016b-4cbb-8899-45dc20860b8b.csv,16897334,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
a0d173dd-bb10-4d13-8b9a-e13a4ee83c8c,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_a0d173dd-bb10-4d13-8b9a-e13a4ee83c8c.csv,18139090,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
a190b2e9-3796-4785-9a2f-013e2a9a43e6,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_a190b2e9-3796-4785-9a2f-013e2a9a43e6.csv,4237525,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
a4e89c26-e8d4-4471-9b06-16a1405880f0,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_a4e89c26-e8d4-4471-9b06-16a1405880f0.csv,6012969,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
ac0fee7e-0999-4319-b244-20278e1ff2fb,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_ac0fee7e-0999-4319-b244-20278e1ff2fb.csv,33287064,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
b1d37bbd-9ae4-4404-b2f9-f2fe66750e4e,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_b1d37bbd-9ae4-4404-b2f9-f2fe66750e4e.csv,4552734,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
b74100ea-1a1a-486a-9cad-70ae44150935,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_b74100ea-1a1a-486a-9cad-70ae44150935.csv,64920276,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
b8920ef5-7d22-497b-abca-a7a9eb76d79a,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_b8920ef5-7d22-497b-abca-a7a9eb76d79a.csv,3726645,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
c19275f5-739e-4796-ad5d-b0830b760db1,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_c19275f5-739e-4796-ad5d-b0830b760db1.csv,3599299,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
c2876b1b-06d8-4d96-a56b-5304f815b99a,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_c2876b1b-06d8-4d96-a56b-5304f815b99a.csv,254051766,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
c76098ba-eed3-45b1-98f2-96fcac55ed18,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_c76098ba-eed3-45b1-98f2-96fcac55ed18.csv,6217824,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
d0ea3ec4-0f3b-4649-9146-1c0b5f303a55,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_d0ea3ec4-0f3b-4649-9146-1c0b5f303a55.csv,3438951,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
d2fc9880-e6d3-4922-af5c-61f4f517adfa,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_d2fc9880-e6d3-4922-af5c-61f4f517adfa.csv,17275730,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
d87f3f91-dca4-494b-8993-c4e3008a8fa5,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_d87f3f91-dca4-494b-8993-c4e3008a8fa5.csv,15930012,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
de104f7e-14fa-4795-bd19-b5ee2c1563e0,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_de104f7e-14fa-4795-bd19-b5ee2c1563e0.csv,8904948,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
e8ac3386-31d4-48ba-aa70-1bae0cf020e7,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_e8ac3386-31d4-48ba-aa70-1bae0cf020e7.csv,3769389,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
eec3e37d-ed41-4881-bc6e-aaf39a2c6eb0,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_eec3e37d-ed41-4881-bc6e-aaf39a2c6eb0.csv,7551739,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
f67f2cfa-ba45-4f77-8e26-64a15f666043,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_f67f2cfa-ba45-4f77-8e26-64a15f666043.csv,1792390,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
fc0ceb80-d2d9-47c1-9d78-b0e45c64c500,data\sea_ad\stage45\cellxgene\stage45_cellxgene_obs_metadata_fc0ceb80-d2d9-47c1-9d78-b0e45c64c500.csv,342734,dataset_id;assay;tissue;tissue_general;disease;sex;self_reported_ethnicity;development_stage;donor_id;suspension_type;cell_type
