dataset,donor_id,feature,n_cells,mean,variance,q90,q95,q99,fraction_high_global_q95,top_10pct_mean,top_5pct_mean,top_1pct_mean
DLPFC,H20.33.013,disease_program_score,410,-0.03450063073187191,0.4488515275592197,0.7636396600193146,1.1831430840868096,1.6926997546007125,0.03902439024390244,1.2554205345908427,1.529930438487256,1.8823495261955052
DLPFC,H20.33.014,disease_program_score,289,-0.5678378029676687,0.2052086539801881,-0.005461898041406973,0.21500397274488903,0.6232641523147402,0.0034602076124567475,0.293295818153836,0.4864492970523405,1.009061934339837
DLPFC,H20.33.015,disease_program_score,678,-0.08055853597362345,0.31132013077402004,0.6447842991202279,0.9206390427293267,1.2422658043338044,0.01032448377581121,0.9646432812097414,1.1471609589644869,1.5023746383313947
DLPFC,H20.33.016,disease_program_score,523,-0.10702923262447044,0.4077014564642256,0.6782710208892628,0.9248861560245698,1.4928135231096877,0.02676864244741874,1.040542964744608,1.2925550945417386,1.6789605552370646
DLPFC,H20.33.017,disease_program_score,946,-0.0356857936750586,0.4922689249386367,0.9064616489505899,1.2219589276034855,1.7061974131632918,0.0412262156448203,1.3570055092131244,1.658485805263357,2.506063459087533
DLPFC,H20.33.018,disease_program_score,700,-0.026529296969169294,0.551376213011456,0.9194027459580396,1.2717041640963909,2.2013857352102026,0.047142857142857146,1.4409072522340824,1.8073974967425126,2.473296947046731
DLPFC,H20.33.019,disease_program_score,447,-0.277427186319794,0.37820717602925474,0.5267676871655413,0.7913474287880778,1.2484495099529502,0.008948545861297539,0.8930318279952534,1.1149237654618178,1.498596664591514
DLPFC,H20.33.020,disease_program_score,1096,0.05403467787122941,0.4615827175490184,0.9684849591669484,1.2300379260699914,1.841493829820663,0.04105839416058394,1.353996311984174,1.5984036288004149,2.0848509720855657
DLPFC,H20.33.024,disease_program_score,494,-0.4497479095693821,0.1811240765297575,0.07967968647420999,0.2359573885746714,0.7174326090340015,0.0,0.36052758787332556,0.5650877317162858,0.9629768323728382
DLPFC,H20.33.025,disease_program_score,1090,-0.322112103798585,0.25360563312009515,0.3011614932035568,0.5883356232066402,1.0908509444908765,0.005504587155963303,0.6820477168064539,0.9219602647879402,1.494639303818355
DLPFC,H20.33.026,disease_program_score,561,0.23245664513553632,0.7851469268134227,1.4072209796607207,1.8279504559898352,2.31850189052661,0.11764705882352941,1.880830384244365,2.1479430358406484,2.5117088407777124
DLPFC,H20.33.027,disease_program_score,241,0.22973392231815185,0.5327486536928351,1.1457514479635387,1.4989710936445035,1.947255499453301,0.06639004149377593,1.532126665075276,1.7803102932369004,2.2648184381802356
DLPFC,H20.33.028,disease_program_score,1079,-0.1689727274868948,0.438142811861302,0.6362791417070688,1.0157535817245749,1.912594053243426,0.028730305838739572,1.2178613181128082,1.6271123825019127,2.716463955119602
DLPFC,H20.33.029,disease_program_score,333,0.17810077709092165,0.4360316063831813,1.007213488495967,1.2447564991512743,1.7266640245262583,0.03903903903903904,1.3539371510000726,1.5970943372208282,2.186731547437824
DLPFC,H20.33.030,disease_program_score,557,-0.21215861186944882,0.2542687924154228,0.41312923666432844,0.6793735698612439,1.0749856463579932,0.00718132854578097,0.7589041880053432,0.9724789024025451,1.4615140569902527
