dataset,embedding_space,variable,disease_label,control_label,n_disease,n_control,disease_mean,control_mean,mean_difference_disease_minus_control,rank_biserial_effect,mannwhitney_p,auc_ad_vs_control,category,n_cells_before_filter,n_cells_after_filter,n_external_groups,n_jepa_genes,n_matched_genes,gene_overlap_fraction,control_centroid_shift_applied,control_centroid_shift_l2,missing_gene_imputation,alignment
GSE138852_Grubman_Leng,projector,module_complement,AD,Control,3,3,0.5782701075077057,0.3967392146587372,0.1815308928489685,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_disease_associated_microglia,AD,Control,3,3,0.5059951146443685,0.3781045377254486,0.12789057691891992,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_plaque_response,AD,Control,3,3,0.5325928926467896,0.39509108662605286,0.1375018060207367,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_vascular_barrier_myeloid,AD,Control,3,3,0.5285525421301523,0.38579123218854267,0.14276130994160968,0.7777777777777777,0.2,0.888888888888889,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_lysosome_phagocytosis,AD,Control,3,3,0.381609986225764,0.308392862478892,0.07321712374687195,0.5555555555555556,0.4,0.7777777777777779,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_interferon_response,AD,Control,3,3,0.07530373831590016,0.05425144483645757,0.02105229347944259,0.33333333333333326,0.7,0.6666666666666667,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_oxidative_stress,AD,Control,3,3,0.2040220300356547,0.17032490173975626,0.03369712829589844,0.33333333333333326,0.7,0.6666666666666667,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_synapse_pruning,AD,Control,3,3,0.5008860131104788,0.4726134240627289,0.028272589047749874,0.33333333333333326,0.7,0.6666666666666666,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_senescence_stress,AD,Control,3,3,0.39254385232925415,0.3166572352250417,0.07588661710421246,-0.11111111111111116,1.0,0.4444444444444444,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_antigen_presentation,AD,Control,3,3,0.6461132764816284,0.8122555216153463,-0.1661422451337179,-0.33333333333333337,0.7,0.33333333333333337,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_inflammatory_signaling,AD,Control,3,3,0.07267957056562106,0.11931205789248149,-0.04663248732686043,-0.5555555555555556,0.4,0.22222222222222224,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_lipid_metabolism,AD,Control,3,3,0.5589557389418284,0.6563032269477844,-0.09734748800595605,-0.7777777777777778,0.2,0.11111111111111112,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_chemokine_migration,AD,Control,3,3,0.02244925343741973,0.14204824219147363,-0.1195989887540539,-1.0,0.1,0.0,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_homeostatic_microglia,AD,Control,3,3,0.24376105765501657,0.4758184254169464,-0.23205736776192984,-1.0,0.1,0.0,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,predicted_NeuN_model_scale,AD,Control,3,3,33.358697255452476,31.493846893310547,1.8648503621419295,0.33333333333333326,0.7,0.6666666666666667,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,predicted_A beta/6e10_model_scale,AD,Control,3,3,-18.543160756429035,-15.332570552825928,-3.2105902036031075,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,predicted_AT8/pTau_model_scale,AD,Control,3,3,-15.326553344726562,-13.472156206766764,-1.8543971379597988,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,predicted_GFAP_model_scale,AD,Control,3,3,-27.91756820678711,-27.42847506205241,-0.48909314473469934,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,predicted_Iba1_model_scale,AD,Control,3,3,-9.606304486592611,-8.873100916544596,-0.7332035700480155,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_calibrated_pathology_prediction,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,trajectory_A beta/6e10_score,AD,Control,3,3,-0.14274543772141138,-0.2034351366261641,0.06068969890475273,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,trajectory_AT8/pTau_score,AD,Control,3,3,-0.16527641812960306,-0.2347170685728391,0.06944065044323605,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,trajectory_Iba1_score,AD,Control,3,3,-0.7002411683400472,-0.8009383281071981,0.10069715976715088,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,trajectory_NeuN_score,AD,Control,3,3,-0.5222152173519135,-0.5990625321865082,0.07684731483459473,0.33333333333333326,0.7,0.6666666666666667,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,trajectory_GFAP_score,AD,Control,3,3,1.2711093425750732,1.3987764120101929,-0.12766706943511963,-0.33333333333333337,0.7,0.33333333333333337,sea_ad_disease_trajectory,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
