baseline_id,baseline_name,target,target_oof_spearman,target_specific_rank,target_specific_winner,mean_oof_spearman_across_targets,median_oof_spearman_across_targets,rank,is_target_winner
lightgbm_raw_expression,LightGBM raw expression,NeuN,0.4018627450980393,7,raw_expression_elasticnet,0.28017647058823536,0.15558823529411764,4,False
xgboost_raw_expression,XGBoost raw expression,AT8,0.5293137254901962,3,lightgbm_raw_expression,0.25943137254901966,0.1623529411764706,5,False
xgboost_raw_expression,XGBoost raw expression,GFAP,0.1623529411764706,4,module_mean_baseline,0.25943137254901966,0.1623529411764706,5,False
xgboost_raw_expression,XGBoost raw expression,NeuN,0.4875490196078432,4,raw_expression_elasticnet,0.25943137254901966,0.1623529411764706,5,False
xgboost_raw_expression,XGBoost raw expression,6e10/Aβ,0.10549019607843138,6,raw_expression_ridge,0.25943137254901966,0.1623529411764706,5,False
xgboost_raw_expression,XGBoost raw expression,Iba1,0.012450980392156853,9,wgcna_module_summary_ridge,0.25943137254901966,0.1623529411764706,5,False
raw_expression_elasticnet,Raw expression elastic net,NeuN,0.5922549019607843,1,raw_expression_elasticnet,0.2575882352941177,0.09813725490196079,6,True
raw_expression_elasticnet,Raw expression elastic net,AT8,0.5108823529411766,4,lightgbm_raw_expression,0.2575882352941177,0.09813725490196079,6,False
raw_expression_elasticnet,Raw expression elastic net,6e10/Aβ,0.03088235294117648,7,raw_expression_ridge,0.2575882352941177,0.09813725490196079,6,False
raw_expression_elasticnet,Raw expression elastic net,GFAP,0.09813725490196079,7,module_mean_baseline,0.2575882352941177,0.09813725490196079,6,False
raw_expression_elasticnet,Raw expression elastic net,Iba1,0.0557843137254902,7,wgcna_module_summary_ridge,0.2575882352941177,0.09813725490196079,6,False
pca_ridge,PCA ridge,6e10/Aβ,0.22245098039215688,3,raw_expression_ridge,0.2444509803921569,0.22245098039215688,7,False
pca_ridge,PCA ridge,NeuN,0.5077450980392157,3,raw_expression_elasticnet,0.2444509803921569,0.22245098039215688,7,False
pca_ridge,PCA ridge,GFAP,0.1526470588235294,6,module_mean_baseline,0.2444509803921569,0.22245098039215688,7,False
pca_ridge,PCA ridge,AT8,0.3181372549019608,7,lightgbm_raw_expression,0.2444509803921569,0.22245098039215688,7,False
pca_ridge,PCA ridge,Iba1,0.021274509803921576,8,wgcna_module_summary_ridge,0.2444509803921569,0.22245098039215688,7,False
wgcna_module_summary_ridge,WGCNA module summary ridge,Iba1,0.31450980392156863,1,wgcna_module_summary_ridge,0.08103921568627451,0.15901960784313726,8,True
wgcna_module_summary_ridge,WGCNA module summary ridge,AT8,0.1727450980392157,8,lightgbm_raw_expression,0.08103921568627451,0.15901960784313726,8,False
wgcna_module_summary_ridge,WGCNA module summary ridge,GFAP,-0.11509803921568632,8,module_mean_baseline,0.08103921568627451,0.15901960784313726,8,False
wgcna_module_summary_ridge,WGCNA module summary ridge,NeuN,0.15901960784313726,8,raw_expression_elasticnet,0.08103921568627451,0.15901960784313726,8,False
wgcna_module_summary_ridge,WGCNA module summary ridge,6e10/Aβ,-0.12598039215686277,9,raw_expression_ridge,0.08103921568627451,0.15901960784313726,8,False
wgcna_module_summary_elasticnet,WGCNA module summary elastic net,Iba1,0.3115686274509804,2,wgcna_module_summary_ridge,0.02378431372549019,-0.018137254901960786,9,False
wgcna_module_summary_elasticnet,WGCNA module summary elastic net,6e10/Aβ,-0.09068627450980395,8,raw_expression_ridge,0.02378431372549019,-0.018137254901960786,9,False
wgcna_module_summary_elasticnet,WGCNA module summary elastic net,AT8,-0.018137254901960786,9,lightgbm_raw_expression,0.02378431372549019,-0.018137254901960786,9,False
wgcna_module_summary_elasticnet,WGCNA module summary elastic net,GFAP,-0.12794117647058825,9,module_mean_baseline,0.02378431372549019,-0.018137254901960786,9,False
wgcna_module_summary_elasticnet,WGCNA module summary elastic net,NeuN,0.04411764705882353,9,raw_expression_elasticnet,0.02378431372549019,-0.018137254901960786,9,False
