candidate,degree,pathology_axis_class,therapeutic_like_score,therapeutic_like_decoy_percentile,therapeutic_like_empirical_p,amyloid_selectivity_score,amyloid_selectivity_decoy_percentile,amyloid_selectivity_empirical_p,tau_selectivity_score,tau_selectivity_decoy_percentile,tau_selectivity_empirical_p,discovery_sort_score,discovery_sort_decoy_percentile,discovery_sort_empirical_p,observed_graph_coherence_status,label_shuffle_support,housekeeping_or_hub_warning,null_pool_size,null_pool_scope,null_pool_warning,control_interpretation,negative_control_status,negative_control_interpretation
CSF1R,56,mixed_or_unclear,-0.0093171490589155,57.0,0.4305694305694306,-0.0157301846193149,57.0,0.4305694305694306,-0.0199313611956311,61.0,0.3906093906093906,-0.010739398311125,57.0,0.4305694305694306,candidate_enriched_neighborhood,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
CTSD,20,amyloid_lowering_candidate,0.0087180454283953,100.0,0.000999000999000999,-0.0084268138743936,75.5,0.24575424575424576,-0.0233211233280598,46.8,0.5324675324675324,0.0062381603871472,95.3,0.04795204795204795,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
CX3CR1,31,gliosis_inflating,-0.016628443263471,27.8,0.7222777222777222,-0.0311244007752974,31.8,0.6823176823176823,-0.031446878929273,27.0,0.7302697302697303,-0.0189336470393753,27.8,0.7222777222777222,candidate_enriched_neighborhood,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
DRAM1,0,mixed_or_unclear,-0.0005913908826187,,,-0.0014489768072962,,,-0.0024588895030318,,,-0.0007995206105988,,,not_in_graph_or_isolated,not_testable_no_scored_neighbors,False,0.0,score_available_candidate_space_degree_and_broad_shift_matched,not_testable,fewer than 20 score-available matched decoys; requires expanded decoy perturbations,not_testable_due_to_thin_null_pool,not_testable_no_decoys
F13A1,29,mixed_or_unclear,-0.0014405393449123,73.8,0.2627372627372627,-0.0013520605280063,96.2,0.03896103896103896,-0.0013520605280063,96.2,0.03896103896103896,-0.0016012977575882,78.8,0.2127872127872128,no_scored_candidate_neighbors,not_testable_no_scored_neighbors,False,23.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
GRB2,91,gliosis_inflating,-0.032175573054701,19.5,0.8051948051948052,-0.05645591346547,9.2,0.9080919080919081,-0.0593561022542416,9.2,0.9080919080919081,-0.0364298999076708,19.5,0.8051948051948052,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,not_extreme_within_scored_candidate_space,candidate is not extreme versus available score-available matched decoys and lacks graph-control support
HIF1A,75,amyloid_lowering_candidate,-0.0292505947872996,24.4,0.7562437562437563,-0.0457766815088689,14.1,0.8591408591408591,-0.0506845791824161,14.1,0.8591408591408591,-0.0327338255243375,24.4,0.7562437562437563,coherent_same_axis_neighborhood,not_extreme_vs_shuffled_labels,False,20.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
HLA-DRA,169,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
HSP90AA1,110,amyloid_lowering_candidate,-0.0094344965182244,53.1,0.4695304695304695,-0.0358174773864447,30.8,0.6923076923076923,-0.0493765915744005,22.0,0.7802197802197802,-0.0135614529950543,48.2,0.5184815184815185,coherent_same_axis_neighborhood,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
MAPK1,289,amyloid_lowering_candidate,-0.0125432489439843,40.6,0.5944055944055944,-0.0312637793831526,30.3,0.6973026973026973,-0.0391593226231632,30.3,0.6973026973026973,-0.0156346301781012,40.6,0.5944055944055944,coherent_same_axis_neighborhood,not_extreme_vs_shuffled_labels,False,22.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
P2RY12,13,gliosis_inflating,-0.0202159718610345,24.1,0.7592407592407593,-0.0268779945326967,36.3,0.6373626373626373,-0.0268779945326967,36.3,0.6373626373626373,-0.0218564071168655,24.1,0.7592407592407593,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,not_extreme_within_scored_candidate_space,candidate is not extreme versus available score-available matched decoys and lacks graph-control support
P2RY13,1,amyloid_lowering_candidate,0.0029528692830354,85.8,0.14285714285714285,-0.0037892512045798,80.6,0.19480519480519481,-0.0078199622221291,80.6,0.19480519480519481,0.0019849730306305,85.8,0.14285714285714285,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,requires_expanded_decoy_perturbations,available scored-candidate controls are inconclusive
PLCG2,49,mixed_or_unclear,-0.0083998680347576,58.2,0.41858141858141856,-0.0104450609069316,63.2,0.36863136863136864,-0.0124905020929871,78.2,0.21878121878121878,-0.009177788812667,58.2,0.41858141858141856,coherent_same_axis_neighborhood,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
PTPRG,1,dual_pathology_lowering_candidate,0.0080268057063222,96.1,0.03996003996003996,-0.0032772049307823,85.2,0.14885114885114886,-0.0067030247300863,85.2,0.14885114885114886,0.0068115110159851,100.0,0.000999000999000999,no_scored_candidate_neighbors,not_testable_no_scored_neighbors,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
RHOA,142,neuron_risk,-0.038681973936036,8.3,0.9170829170829171,-0.031151621835306,33.1,0.6693306693306693,-0.031151621835306,37.4,0.6263736263736264,-0.0412050938350146,8.3,0.9170829170829171,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,not_extreme_within_scored_candidate_space,candidate is not extreme versus available score-available matched decoys and lacks graph-control support
ROCK1,151,amyloid_lowering_candidate,-0.0008694842690602,77.4,0.22677322677322678,-0.0093866050010547,75.3,0.24775224775224775,-0.0134547242196275,76.3,0.23776223776223776,-0.0021650772483553,73.3,0.2677322677322677,coherent_same_axis_neighborhood,survives_label_shuffle,False,20.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
SPP1,17,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
STAT3,111,gliosis_inflating,-0.0688946014270186,0.0,1.0,-0.1003915574401616,0.0,1.0,-0.1003915574401616,0.0,1.0,-0.0752622935920953,0.0,1.0,candidate_enriched_neighborhood,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
TLR2,46,dual_pathology_lowering_candidate,-0.0117207104340196,39.6,0.6043956043956044,-0.0236167716793714,45.0,0.5504495504495505,-0.0260274899192153,45.0,0.5504495504495505,-0.0138270155759528,39.6,0.6043956043956044,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,20.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,not_extreme_within_scored_candidate_space,candidate is not extreme versus available score-available matched decoys and lacks graph-control support
TREM2,23,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
TYROBP,131,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
UGCG,8,mixed_or_unclear,-0.0065079277264884,63.6,0.3646353646353646,-0.0130796075682154,59.2,0.4085914085914086,-0.0171857631648889,68.0,0.3206793206793207,-0.0077984537667361,63.6,0.3646353646353646,no_scored_candidate_neighbors,not_testable_no_scored_neighbors,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,not_extreme_within_scored_candidate_space,candidate is not extreme versus available score-available matched decoys and lacks graph-control support
