names,scores,logfoldchanges,pvals,pvals_adj
FMN1,5.490127,-0.021525754,4.016442350625439e-08,7.712090929090534e-07
CSPP1,-5.490173,-0.40477103,4.015403342779259e-08,7.712090929090534e-07
RARS2,-5.48827,-0.37610725,4.058901698258194e-08,7.743336981773858e-07
PIP5K1B,-5.486995,-0.3846973,4.0882843021625826e-08,7.749395308650485e-07
AGO4,-5.4810753,-0.35187837,4.227479564271808e-08,7.927640617916855e-07
TLE4,-5.480722,-0.35767436,4.2359391871182384e-08,7.927640617916855e-07
HLA-DPA1,-5.471205,-0.36408758,4.46985302114967e-08,8.260847114712234e-07
HMGN1,-5.4717884,-0.38677275,4.455167153353358e-08,8.260847114712234e-07
NRP2,-5.4693537,-0.36786225,4.516799339658293e-08,8.29576127165812e-07
HNRNPA2B1,5.4666595,0.034790736,4.585957889808283e-08,8.370788568001908e-07
MT-CO2,5.46521,0.16012378,4.6235873158812484e-08,8.387697971202976e-07
FRMD4B,5.4514647,0.053993244,4.9956653264524426e-08,9.007428274585288e-07
FCHO2,-5.4404144,-0.33848923,5.315683208525096e-08,9.526348634914369e-07
RAPGEF1,5.4384184,-0.012549966,5.37555892105083e-08,9.575619114185124e-07
TFDP2,-5.4275737,-0.43559325,5.712528254889667e-08,1.0114937754316613e-06
MTUS1,-5.4257083,-0.34069812,5.7725225830114104e-08,1.0160326951169488e-06
SEPTIN2,-5.4217095,-0.3501958,5.903168255880718e-08,1.032879794830727e-06
CREB1,-5.4145465,-0.3524881,6.14442618673564e-08,1.0653180564183918e-06
NLRC5,-5.4140754,-0.36329827,6.1606150709349e-08,1.0653180564183918e-06
RABGAP1L,5.412682,-0.010876456,6.208775365942421e-08,1.0674039975053336e-06
PGGT1B,-5.405742,-0.37041512,6.454063177898718e-08,1.1031598160142492e-06
RB1CC1,-5.3889327,-0.34100318,7.087724698580493e-08,1.2045058582587655e-06
CD164,-5.3857183,-0.36042297,7.215588494105974e-08,1.2192282958326494e-06
SCP2,-5.3843555,-0.40576023,7.27047211310783e-08,1.2215219340034009e-06
ZNF280D,-5.381735,-0.35845703,7.377137413865056e-08,1.2324404142824276e-06
ARNTL,-5.3604574,-0.36592993,8.301145522593849e-08,1.3790161410286524e-06
UBQLN1,-5.3566113,-0.34973145,8.479736400921778e-08,1.4008145551690334e-06
PTTG1IP,-5.3508854,-0.34422827,8.75250233350695e-08,1.437563618208991e-06
SEC14L1,-5.349918,-0.3552987,8.799425596747628e-08,1.437563618208991e-06
MNAT1,-5.342748,-0.35427174,9.154779525701571e-08,1.4874001679944806e-06
RPS27,-5.339067,-0.3585461,9.342616739791483e-08,1.5096239180089297e-06
PIK3C3,-5.3212724,-0.33782002,1.0304399349115035e-07,1.655984178007237e-06
RBMX,-5.3044095,-0.33484122,1.1303823040260238e-07,1.8067786340567309e-06
PPP2R3C,-5.259328,-0.3685108,1.445830000310218e-07,2.2985587693103844e-06
STIM2,-5.249041,-0.34469545,1.528928671961061e-07,2.4176695630956457e-06
CBWD1,-5.2434387,-0.3554694,1.576113460876213e-07,2.479025267984554e-06
POGZ,-5.241747,-0.34508544,1.5906356086297069e-07,2.488629362284679e-06
ATP2A2,-5.2330976,-0.33269435,1.6669288162500381e-07,2.5942676366586124e-06
REPS1,-5.2278295,-0.3485619,1.7151162707069353e-07,2.655287336377177e-06
STAMBPL1,-5.2221394,-0.33908457,1.768678292695535e-07,2.7239488080732797e-06
ATXN7L1,-5.22117,-0.34041327,1.7779645860291324e-07,2.724062839838417e-06
CREBBP,5.219005,0.068819456,1.798867399815804e-07,2.7418819078635735e-06
AL392172.1,-5.218008,-0.33263078,1.808578380628721e-07,2.742546805907245e-06
HSP90AA1,5.2157865,0.20705159,1.8303880823104596e-07,2.7474403854781874e-06
CNOT1,-5.216179,-0.3365753,1.826516893717217e-07,2.7474403854781874e-06
AC097376.3,-5.211084,-0.35350984,1.8774051300458226e-07,2.803781297750251e-06
FAM102B,-5.2058825,-0.32810554,1.9307676040235328e-07,2.8546399025487933e-06
MAN1A2,-5.206145,-0.33704543,1.9280423163983363e-07,2.8546399025487933e-06
RPLP2,-5.195656,-0.3512932,2.0399960538717447e-07,3.001128523034204e-06
THOC2,-5.18518,-0.32979244,2.1580592665702256e-07,3.159099629330771e-06
KLHL2,-5.1793623,-0.33696884,2.2264594631569917e-07,3.2431727253966623e-06
ADGRB3,5.166138,0.07884719,2.389802242938715e-07,3.4477666510413387e-06
NSF,-5.1661043,-0.3488903,2.3902338974077594e-07,3.4477666510413387e-06
CD81,-5.14875,-0.3152742,2.6222828467313005e-07,3.764121542613813e-06
HEATR5A,-5.1463666,-0.33104962,2.6557997183085893e-07,3.772995843911318e-06
CCDC144A,-5.145595,-0.34636843,2.666743765226464e-07,3.772995843911318e-06
IL10RB,-5.146218,-0.3568398,2.657909084117927e-07,3.772995843911318e-06
USP40,-5.1354795,-0.3571916,2.814259769571597e-07,3.962745780296768e-06
HACE1,-5.12804,-0.35299513,2.9277464177866166e-07,4.103007657533187e-06
PCNX4,-5.1205497,-0.34211433,3.0464645969463185e-07,4.249243308099181e-06
PSAP,5.1196375,0.026204523,3.0612321543763234e-07,4.249795061263281e-06
TM6SF1,-5.1182885,-0.32769328,3.083204665088954e-07,4.260297287228054e-06
CCND2,-5.116256,-0.36005783,3.1165968420730945e-07,4.2665633620417314e-06
RAB5A,-5.1170936,-0.36450067,3.102796400800256e-07,4.2665633620417314e-06
MYO1F,5.0962553,0.036013618,3.4643778637422904e-07,4.7208135221594255e-06
SMAD4,-5.092095,-0.32756108,3.541285106074828e-07,4.803477091129939e-06
LCP2,5.0856977,0.15234904,3.662772105064154e-07,4.944481276566606e-06
UBE2F,-5.084875,-0.32301006,3.678680692744854e-07,4.944481276566606e-06
NUP153,-5.0823836,-0.3425895,3.7272755317217643e-07,4.987128392444008e-06
TYW1,-5.0791273,-0.3304809,3.7917246003401743e-07,5.050508848290944e-06
AOAH,5.0726047,-1.0903669e-05,3.924069276085906e-07,5.203351053536334e-06
LIMD1,-5.0660286,-0.35043812,4.062009893351384e-07,5.36221573867859e-06
FOXP1,5.060106,-0.011314354,4.1902348316010785e-07,5.506899732019728e-06
GPR155,-5.059238,-0.33545431,4.2093571332018504e-07,5.507552673839766e-06
CX3CR1,-5.0564365,-0.31124043,4.2716318840195365e-07,5.562549066201618e-06
POM121,-5.0556617,-0.32459727,4.2890131453972567e-07,5.562549066201618e-06
RPL32,-5.0528264,-0.34983572,4.353194172315459e-07,5.621133260933106e-06
AC068587.4,-5.050607,-0.3262594,4.4040780638367564e-07,5.6376012271711205e-06
YME1L1,-5.0511866,-0.36125234,4.39074399674293e-07,5.6376012271711205e-06
PPP2CA,-5.0483155,-0.35208374,4.4572267048379874e-07,5.681042830261176e-06
ATF7,-5.0445457,-0.32320398,4.5460045854329527e-07,5.769328566148172e-06
UPF2,-5.039513,-0.32434374,4.667177263194162e-07,5.897796225326982e-06
TRIM14,-5.0285263,-0.33804584,4.94263925808484e-07,6.219312462194415e-06
ARHGAP22,5.0218587,-0.026013462,5.117384938120376e-07,6.384855384819389e-06
UGGT1,-5.022399,-0.34145746,5.103002979592605e-07,6.384855384819389e-06
METTL25,-5.0169315,-0.4068857,5.250330037301007e-07,6.52320416819289e-06
FHIT,5.0151396,-0.01449422,5.299504448140318e-07,6.556750900899967e-06
KSR1,-5.0067105,-0.3315036,5.536811832023238e-07,6.821813578038631e-06
KMT5B,-5.002984,-0.32881987,5.644955113428645e-07,6.926195962825105e-06
VPS13C,5.000156,-0.0076838117,5.728392032639482e-07,6.999526958890475e-06
SPCS3,-4.98949,-0.34015635,6.053887833538078e-07,7.366809186737488e-06
CLTA,-4.9860997,-0.3417769,6.161037157193786e-07,7.466470030254928e-06
PDCD6IP,-4.984537,-0.3313964,6.211033838458383e-07,7.496337575641404e-06
JAZF1,4.977613,-0.0046794587,6.437314778368258e-07,7.737861707168674e-06
TMEM164,-4.9732094,-0.37633848,6.58534345802169e-07,7.883749232943376e-06
FXR1,-4.968129,-0.32007334,6.760188389772878e-07,8.060434301838064e-06
HNRNPH3,-4.9667435,-0.31818447,6.8086539405485e-07,8.085618354297958e-06
SARAF,-4.958691,-0.31291407,7.096969601037012e-07,8.394295644106577e-06
CNNM2,-4.9577374,-0.38836238,7.131884147531502e-07,8.401984631175557e-06
FAM214A,-4.9544177,-0.36100057,7.254725929918278e-07,8.512787529669979e-06
MAP3K4,-4.9487195,-0.33087733,7.470330832206306e-07,8.731133703886975e-06
ST6GALNAC3,4.943785,0.056181,7.662006065857267e-07,8.919902337299188e-06
MED15,-4.9359894,-0.3068229,7.974549628534998e-07,9.034767529340225e-06
RPL37A,-4.9386854,-0.30998233,7.865101569033247e-07,9.034767529340225e-06
CYB5R4,-4.936489,-0.31821424,7.954154907098401e-07,9.034767529340225e-06
ELP2,-4.936179,-0.32653844,7.96679938619167e-07,9.034767529340225e-06
METTL7A,-4.936911,-0.33041304,7.936961952745342e-07,9.034767529340225e-06
TMEM87A,-4.936892,-0.33611217,7.937729813987205e-07,9.034767529340225e-06
CAB39,-4.9393797,-0.3581714,7.837148021869869e-07,9.034767529340225e-06
GRK5,-4.930457,-0.32606238,8.203743675192873e-07,9.258958033414246e-06
RESF1,-4.921312,-0.31325534,8.596597072513175e-07,9.665451537422608e-06
ANXA4,-4.9185724,-0.3240222,8.717775873502044e-07,9.764569415888464e-06
RPN2,-4.9161353,-0.32990903,8.82693453110958e-07,9.849526569241898e-06
EDEM3,-4.912734,-0.31624836,8.981505810081707e-07,9.946933588169141e-06
SLC10A7,-4.9134016,-0.34007713,8.950965274908706e-07,9.946933588169141e-06
TRIM22,-4.908687,-0.3124571,9.168816982105118e-07,1.0116489483613743e-05
ATP6V1B2,-4.9014325,-0.31186593,9.514043173204005e-07,1.0458373852477413e-05
ATF2,-4.898877,-0.3199477,9.638579897264213e-07,1.0546997274749606e-05
PTPN4,-4.8983192,-0.33524793,9.66600020783613e-07,1.0546997274749606e-05
ZMYM6,-4.8714895,-0.31807637,1.1075996948610536e-06,1.2041074623912264e-05
GAS6,-4.86997,-0.30771253,1.1161532764462666e-06,1.207902638141786e-05
NSRP1,-4.8694205,-0.31065416,1.1192604763302313e-06,1.207902638141786e-05
TMLHE,-4.8677187,-0.31940028,1.1289384074984607e-06,1.2139166803537994e-05
GPR34,-4.859396,-0.30745482,1.1774432267884632e-06,1.2614853701498136e-05
SNHG25,-4.85552,-0.3587169,1.2007126014137026e-06,1.281771538765458e-05
FCGBP,-4.853447,-0.32491714,1.213339273708565e-06,1.2905914504878513e-05
HMBOX1,-4.8515415,-0.32707825,1.225056041730436e-06,1.298383768959462e-05
TRIM33,-4.8504934,-0.31936905,1.2315471990046508e-06,1.300601809805983e-05
PAFAH1B1,-4.8410316,-0.34440577,1.291669520944186e-06,1.3592408446377075e-05
KIAA0930,-4.8363376,-0.30857766,1.3225319087759114e-06,1.3867825724292093e-05
BMT2,-4.8308244,-0.32574838,1.3596891124660769e-06,1.42070696309618e-05
VAPA,-4.8234963,-0.3155222,1.410634946642854e-06,1.4687491328249716e-05
CEPT1,-4.818762,-0.31765893,1.4445198738103849e-06,1.4961614665223115e-05
STOM,-4.818408,-0.3267495,1.4470821083036221e-06,1.4961614665223115e-05
ILRUN,-4.8150406,-0.321515,1.4717008587106877e-06,1.5163133934520918e-05
LMBRD1,-4.811647,-0.3123308,1.496915531161374e-06,1.5369372311264526e-05
CDK13,4.8101373,0.02740839,1.5082682284087971e-06,1.5432350004860944e-05
SUCO,-4.8066144,-0.33694607,1.5350755970860878e-06,1.5652477726150212e-05
PPP2R2D,-4.8027306,-0.30952838,1.5651657097709184e-06,1.5904450184854315e-05
JDP2,-4.80201,-0.3075063,1.5708070449633693e-06,1.5907111068344807e-05
NACA,-4.7958255,-0.337116,1.6200638437565942e-06,1.634992759722952e-05
PDCD4,-4.7882657,-0.31950122,1.6822883829163632e-06,1.692015900776764e-05
ME2,-4.7875752,-0.30699736,1.6880842775165734e-06,1.6920899012259348e-05
DSE,-4.7779326,-0.3118772,1.771068359579362e-06,1.7692733578635722e-05
NUBPL,-4.776934,-0.33951283,1.7798805681925186e-06,1.77208984516676e-05
COPB1,-4.7663913,-0.32523292,1.8755483961092997e-06,1.8610726870118118e-05
FRS2,-4.7645087,-0.31785408,1.8931422382171081e-06,1.8722480262234076e-05
ZBTB20,4.7624574,-0.013520257,1.9124949432347847e-06,1.8850825157150864e-05
EIF4A2,-4.7599907,-0.2962903,1.9360167784680656e-06,1.9019274464883955e-05
CGGBP1,-4.755469,-0.3275455,1.9798622756181582e-06,1.9381384502951298e-05
BTG2,-4.754845,-0.3392238,1.9859856288110392e-06,1.9381384502951298e-05
FGFR1OP2,-4.752312,-0.30767447,2.0110369978780404e-06,1.956130395633344e-05
RPS23,-4.749608,-0.35718858,2.038112977153147e-06,1.975967237194051e-05
MOB1B,-4.746588,-0.3292349,2.0687660247660456e-06,1.999131089945489e-05
HLCS,-4.7441278,-0.3641426,2.0940691325287767e-06,2.0169910178786946e-05
WDR44,-4.738185,-0.31592825,2.1564082516191148e-06,2.0702919480641954e-05
HS3ST4,4.734323,0.019859925,2.197877064443149e-06,2.1032758833522306e-05
DUSP16,-4.7334237,-0.32524154,2.2076389576835776e-06,2.1058027089904322e-05
GSK3B,4.7321305,0.028022327,2.221756211061805e-06,2.1124543781703402e-05
SIPA1L2,-4.7295566,-0.33253187,2.250108110278293e-06,2.1325543852861898e-05
KPNB1,-4.7101755,-0.2979019,2.4750352574647804e-06,2.3382361841288676e-05
MT-ND1,4.708012,0.2678315,2.501444480635781e-06,2.355659658993632e-05
CLOCK,-4.7066293,-0.30656782,2.5184645632392068e-06,2.3641586392058204e-05
SESN3,-4.7025304,-0.3048495,2.5695690240596623e-06,2.4044986089064623e-05
WDPCP,-4.6996117,-0.30801204,2.6065641318206497e-06,2.4314227564017856e-05
SMC5,-4.6973934,-0.30040702,2.6350232995690563e-06,2.4502402191275787e-05
SNX30,-4.6951632,-0.29523948,2.6639359099151337e-06,2.464360342788421e-05
CEP192,-4.694938,-0.31531188,2.6668762586820922e-06,2.464360342788421e-05
