dataset,feature,metric,target,spearman,n_donors,mean_spearman,mean_n_donors,abs_tail_spearman,abs_mean_spearman,tail_minus_mean_abs_spearman,tail_beats_mean,supports_dilution_hypothesis
MTG,lysosomal_endolysosomal,top_5pct_mean,6e10/A_beta,0.4121291890250076,84,0.3355269818770882,84,0.4121291890250076,0.3355269818770882,0.07660220714791943,True,True
MTG,lysosomal_endolysosomal,q90,AT8,0.4120076946441227,84,0.3357092234484155,84,0.4120076946441227,0.3357092234484155,0.07629847119570721,True,True
MTG,dam_lipid_trem2_apoe,q95,GFAP,0.3673585096689278,84,0.2913030272349903,84,0.3673585096689278,0.2913030272349903,0.0760554824339375,True,True
MTG,interferon_inflammatory,q90,6e10/A_beta,0.3086362255745672,84,0.2338969322668826,84,0.3086362255745672,0.2338969322668826,0.07473929330768461,True,True
DLPFC,disease_program_score,q99,6e10/A_beta,0.2571964369432724,80,0.1828176277543366,80,0.2571964369432724,0.1828176277543366,0.07437880918893577,True,True
MTG,lysosomal_endolysosomal,q95,AT8,0.4099220411055989,84,0.3357092234484155,84,0.4099220411055989,0.3357092234484155,0.0742128176571834,True,True
MTG,lysosomal_endolysosomal,top_10pct_mean,AT8,0.4082413688366913,84,0.3357092234484155,84,0.4082413688366913,0.3357092234484155,0.07253214538827585,True,True
MTG,complement_phagocytosis,top_10pct_mean,GFAP,0.3588134048800243,84,0.2876581958084439,84,0.3588134048800243,0.2876581958084439,0.0711552090715804,True,True
DLPFC,disease_program_score,fraction_high_global_q95,6e10/A_beta,0.2530488340926838,80,0.1828176277543366,80,0.2530488340926838,0.1828176277543366,0.0702312063383472,True,True
DLPFC,lysosomal_endolysosomal,top_5pct_mean,Iba1,0.3353023909985935,80,0.2652133145804032,80,0.3353023909985935,0.2652133145804032,0.07008907641819029,True,True
DLPFC,disease_program_score,top_1pct_mean,6e10/A_beta,0.2528832630098453,80,0.1828176277543366,80,0.2528832630098453,0.1828176277543366,0.07006563525550871,True,True
MTG,complement_phagocytosis,q95,GFAP,0.3563025210084033,84,0.2876581958084439,84,0.3563025210084033,0.2876581958084439,0.06864432519995944,True,True
MTG,lysosomal_endolysosomal,top_5pct_mean,NeuN,-0.4138706084843576,84,-0.3464614761567278,84,0.4138706084843576,0.3464614761567278,0.0674091323276298,True,True
MTG,interferon_inflammatory,q90,GFAP,0.3140832236509061,84,0.2475852991799129,84,0.3140832236509061,0.2475852991799129,0.06649792447099317,True,True
DLPFC,dam_lipid_trem2_apoe,q95,6e10/A_beta,0.3171120487576184,80,0.2510079699953118,80,0.3171120487576184,0.2510079699953118,0.06610407876230662,True,True
DLPFC,lysosomal_endolysosomal,variance,AT8,0.2845522737927801,80,0.2187763713080169,80,0.2845522737927801,0.2187763713080169,0.0657759024847632,True,True
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,6e10/A_beta,0.3147210501640882,80,0.2510079699953118,80,0.3147210501640882,0.2510079699953118,0.06371308016877641,True,True
MTG,lysosomal_endolysosomal,q99,GFAP,0.3715095676824946,84,0.3085957274476055,84,0.3715095676824946,0.3085957274476055,0.0629138402348891,True,True
DLPFC,lysosomal_endolysosomal,q99,Iba1,0.3277543366150961,80,0.2652133145804032,80,0.3277543366150961,0.2652133145804032,0.06254102203469292,True,True
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,6e10/A_beta,0.3130098452883263,80,0.2510079699953118,80,0.3130098452883263,0.2510079699953118,0.06200187529301454,True,True
MTG,dam_lipid_trem2_apoe,top_10pct_mean,GFAP,0.3521312139313557,84,0.2913030272349903,84,0.3521312139313557,0.2913030272349903,0.060828186696365416,True,True
MTG,interferon_inflammatory,fraction_high_global_q95,AT8,0.4409031082312444,84,0.381046876581958,84,0.4409031082312444,0.381046876581958,0.059856231649286384,True,True
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,AT8,0.2620956399437412,80,0.2023909985935302,80,0.2620956399437412,0.2023909985935302,0.059704641350210974,True,True
MTG,lysosomal_endolysosomal,top_1pct_mean,NeuN,-0.4056292396476663,84,-0.3464614761567278,84,0.4056292396476663,0.3464614761567278,0.059167763490938496,True,True
MTG,lysosomal_endolysosomal,top_5pct_mean,AT8,0.3937025412574668,84,0.3357092234484155,84,0.3937025412574668,0.3357092234484155,0.057993317809051315,True,True
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,6e10/A_beta,0.3089310829817159,80,0.2510079699953118,80,0.3089310829817159,0.2510079699953118,0.057923112986404124,True,True
MTG,lysosomal_endolysosomal,q99,NeuN,-0.4039890655057203,84,-0.3464614761567278,84,0.4039890655057203,0.3464614761567278,0.05752758934899249,True,True
MTG,lysosomal_endolysosomal,q90,GFAP,0.3657385845904627,84,0.3085957274476055,84,0.3657385845904627,0.3085957274476055,0.05714285714285722,True,True
MTG,lysosomal_endolysosomal,top_1pct_mean,GFAP,0.3647261314164219,84,0.3085957274476055,84,0.3647261314164219,0.3085957274476055,0.05613040396881641,True,True
MTG,complement_phagocytosis,fraction_high_global_q95,GFAP,0.3435169763989363,84,0.2876581958084439,84,0.3435169763989363,0.2876581958084439,0.05585878059049243,True,True
MTG,oxidative_stress_gene_preserved,q99,GFAP,0.3064493267186393,84,0.2527893084944821,84,0.3064493267186393,0.2527893084944821,0.05366001822415717,True,True
MTG,interferon_inflammatory,q95,GFAP,0.3011238230231852,84,0.2475852991799129,84,0.3011238230231852,0.2475852991799129,0.05353852384327229,True,True
MTG,dam_lipid_trem2_apoe,q90,GFAP,0.3444568188721271,84,0.2913030272349903,84,0.3444568188721271,0.2913030272349903,0.053153791637136794,True,True
MTG,dam_lipid_trem2_apoe,variance,GFAP,0.343606358205933,84,0.2913030272349903,84,0.343606358205933,0.2913030272349903,0.052303330970942696,True,True
DLPFC,oxidative_stress_gene_preserved,q95,Iba1,0.3418424753867792,80,0.290014064697609,80,0.3418424753867792,0.290014064697609,0.05182841068917021,True,True
MTG,disease_program_score,q90,AT8,0.4293611420471803,84,0.3787587324086262,84,0.4293611420471803,0.3787587324086262,0.05060240963855411,True,True
DLPFC,dam_lipid_trem2_apoe,q95,AT8,0.2526488513830286,80,0.2023909985935302,80,0.2526488513830286,0.2023909985935302,0.0502578527894984,True,True
MTG,lysosomal_endolysosomal,fraction_high_global_q95,NeuN,-0.3961648079670483,84,-0.3464614761567278,84,0.3961648079670483,0.3464614761567278,0.049703331810320495,True,True
DLPFC,dam_lipid_trem2_apoe,variance,6e10/A_beta,0.2980309423347398,80,0.2510079699953118,80,0.2980309423347398,0.2510079699953118,0.04702297233942804,True,True
MTG,lysosomal_endolysosomal,q99,6e10/A_beta,0.3820593297559988,84,0.3355269818770882,84,0.3820593297559988,0.3355269818770882,0.04653234787891064,True,True
DLPFC,lysosomal_endolysosomal,q95,AT8,0.2650726676043132,80,0.2187763713080169,80,0.2650726676043132,0.2187763713080169,0.04629629629629631,True,True
MTG,dam_lipid_trem2_apoe,top_5pct_mean,GFAP,0.3375923863521312,84,0.2913030272349903,84,0.3375923863521312,0.2913030272349903,0.04628935911714088,True,True
MTG,disease_program_score,q90,6e10/A_beta,0.4005467247139819,84,0.3551685734534777,84,0.4005467247139819,0.3551685734534777,0.04537815126050421,True,True
MTG,dam_lipid_trem2_apoe,fraction_high_global_q95,GFAP,0.3362425077637366,84,0.2913030272349903,84,0.3362425077637366,0.2913030272349903,0.0449394805287463,True,True
MTG,interferon_inflammatory,q95,6e10/A_beta,0.2782423812898653,84,0.2338969322668826,84,0.2782423812898653,0.2338969322668826,0.04434544902298268,True,True
MTG,lysosomal_endolysosomal,q95,NeuN,-0.3906044345449023,84,-0.3464614761567278,84,0.3906044345449023,0.3464614761567278,0.0441429583881745,True,True
MTG,lysosomal_endolysosomal,q99,AT8,0.3789004758529917,84,0.3357092234484155,84,0.3789004758529917,0.3357092234484155,0.04319125240457622,True,True
DLPFC,oxidative_stress_gene_preserved,q90,Iba1,0.3327473042662916,80,0.290014064697609,80,0.3327473042662916,0.290014064697609,0.042733239568682635,True,True
DLPFC,lysosomal_endolysosomal,top_10pct_mean,Iba1,0.3069620253164558,80,0.2652133145804032,80,0.3069620253164558,0.2652133145804032,0.041748710736052574,True,True
MTG,disease_program_score,q90,GFAP,0.3929330768451959,84,0.3515034929634504,84,0.3929330768451959,0.3515034929634504,0.0414295838817455,True,True
MTG,interferon_inflammatory,q95,AT8,0.421767743241875,84,0.381046876581958,84,0.421767743241875,0.381046876581958,0.04072086665991698,True,True
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,6e10/A_beta,0.2916080637599625,80,0.2510079699953118,80,0.2916080637599625,0.2510079699953118,0.040600093764650735,True,True
MTG,complement_phagocytosis,top_5pct_mean,GFAP,0.327062873342108,84,0.2876581958084439,84,0.327062873342108,0.2876581958084439,0.03940467753366411,True,True
DLPFC,dam_lipid_trem2_apoe,q90,6e10/A_beta,0.289381153305204,80,0.2510079699953118,80,0.289381153305204,0.2510079699953118,0.0383731833098922,True,True
DLPFC,oxidative_stress_gene_preserved,top_10pct_mean,Iba1,0.3265822784810127,80,0.290014064697609,80,0.3265822784810127,0.290014064697609,0.03656821378340369,True,True
DLPFC,oxidative_stress_gene_preserved,q99,Iba1,0.3262072198781059,80,0.290014064697609,80,0.3262072198781059,0.290014064697609,0.03619315518049693,True,True
MTG,interferon_inflammatory,top_10pct_mean,GFAP,0.2831629037157032,84,0.2475852991799129,84,0.2831629037157032,0.2475852991799129,0.035577604535790286,True,True
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,GFAP,0.2717768401312705,80,0.2387951242381622,80,0.2717768401312705,0.2387951242381622,0.032981715893108304,True,True
MTG,disease_program_score,q95,6e10/A_beta,0.3879720562923965,84,0.3551685734534777,84,0.3879720562923965,0.3551685734534777,0.03280348283891882,True,True
