model,source_latent_dim,source_latent_factor,target_latent_dim,target_latent_factor,mean_jacobian,abs_mean_jacobian,source_annotation,target_annotation
fine_bridge_06,104,z_104,75,z_75,-0.6549413204193115,0.6549413204193115,lysosome_phagocytosis (+0.43),homeostatic_microglia (+0.09)
fine_bridge_06,59,z_59,74,z_74,0.6521260142326355,0.6521260142326355,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,60,z_60,99,z_99,-0.6508793830871582,0.6508793830871582,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,8,z_8,0.641785740852356,0.641785740852356,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,1,z_1,-0.6416348218917847,0.6416348218917847,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,91,z_91,124,z_124,-0.6289099454879761,0.6289099454879761,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,111,z_111,0.6287484765052795,0.6287484765052795,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,80,z_80,99,z_99,-0.6255011558532715,0.6255011558532715,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,0,z_0,0.6248260736465454,0.6248260736465454,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,75,z_75,-0.6211029291152954,0.6211029291152954,lysosome_phagocytosis (-0.43),homeostatic_microglia (+0.09)
fine_bridge_06,59,z_59,60,z_60,0.6191428303718567,0.6191428303718567,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,44,z_44,-0.6175360679626465,0.6175360679626465,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,65,z_65,46,z_46,-0.6157381534576416,0.6157381534576416,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,84,z_84,0.6153034567832947,0.6153034567832947,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,84,z_84,99,z_99,0.6134933233261108,0.6134933233261108,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,124,z_124,82,z_82,-0.6129302978515625,0.6129302978515625,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,104,z_104,120,z_120,0.6073075532913208,0.6073075532913208,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,14,z_14,0.6069440841674805,0.6069440841674805,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,41,z_41,-0.6056076288223267,0.6056076288223267,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,124,z_124,73,z_73,-0.6018638014793396,0.6018638014793396,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.44)
fine_bridge_06,59,z_59,24,z_24,0.600858211517334,0.600858211517334,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,61,z_61,46,z_46,0.5993003845214844,0.5993003845214844,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,37,z_37,99,z_99,0.5983392000198364,0.5983392000198364,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,104,z_104,57,z_57,-0.5972274541854858,0.5972274541854858,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,123,z_123,99,z_99,-0.5969774127006531,0.5969774127006531,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,91,z_91,47,z_47,-0.5959612131118774,0.5959612131118774,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,82,z_82,-0.5951380729675293,0.5951380729675293,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,61,z_61,99,z_99,-0.5931456089019775,0.5931456089019775,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,123,z_123,46,z_46,0.5916691422462463,0.5916691422462463,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,123,z_123,17,z_17,0.5902956128120422,0.5902956128120422,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,99,z_99,17,z_17,-0.5891150236129761,0.5891150236129761,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,76,z_76,99,z_99,0.5844799280166626,0.5844799280166626,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,124,z_124,111,z_111,0.58387690782547,0.58387690782547,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,53,z_53,0.5836300253868103,0.5836300253868103,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,32,z_32,0.5781910419464111,0.5781910419464111,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,61,z_61,17,z_17,0.577355146408081,0.577355146408081,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,19,z_19,46,z_46,0.5770654082298279,0.5770654082298279,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,95,z_95,0.5753688812255859,0.5753688812255859,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,96,z_96,-0.5709521174430847,0.5709521174430847,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,56,z_56,-0.5699445605278015,0.5699445605278015,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,5,z_5,17,z_17,0.5687114000320435,0.5687114000320435,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,93,z_93,0.5662779211997986,0.5662779211997986,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,91,z_91,92,z_92,-0.5651293396949768,0.5651293396949768,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,120,z_120,0.5619828104972839,0.5619828104972839,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,108,z_108,-0.5617862343788147,0.5617862343788147,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,104,z_104,100,z_100,-0.5612434148788452,0.5612434148788452,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,122,z_122,17,z_17,0.5612311959266663,0.5612311959266663,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,5,z_5,124,z_124,0.5597035884857178,0.5597035884857178,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,45,z_45,17,z_17,0.559592068195343,0.559592068195343,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,57,z_57,-0.5590571761131287,0.5590571761131287,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,16,z_16,0.5590271949768066,0.5590271949768066,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,124,z_124,0.5581029653549194,0.5581029653549194,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,23,z_23,-0.5577298402786255,0.5577298402786255,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,37,z_37,17,z_17,-0.5566567778587341,0.5566567778587341,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,61,z_61,124,z_124,0.5560774803161621,0.5560774803161621,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,67,z_67,99,z_99,-0.5549445152282715,0.5549445152282715,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,124,z_124,63,z_63,0.5548292398452759,0.5548292398452759,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,19,z_19,75,z_75,-0.5536413788795471,0.5536413788795471,lysosome_phagocytosis (+0.43),homeostatic_microglia (+0.09)
fine_bridge_06,104,z_104,63,z_63,0.5531388521194458,0.5531388521194458,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,19,z_19,17,z_17,0.5529370903968811,0.5529370903968811,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,91,z_91,59,z_59,-0.5528795719146729,0.5528795719146729,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,92,z_92,0.5520243048667908,0.5520243048667908,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,99,z_99,75,z_75,0.5499574542045593,0.5499574542045593,lysosome_phagocytosis (+0.43),homeostatic_microglia (+0.09)
fine_bridge_06,59,z_59,29,z_29,-0.5467932820320129,0.5467932820320129,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,124,z_124,100,z_100,-0.5464150905609131,0.5464150905609131,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,124,z_124,92,z_92,0.5460354685783386,0.5460354685783386,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,95,z_95,46,z_46,-0.5454288125038147,0.5454288125038147,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,67,z_67,46,z_46,0.5453072786331177,0.5453072786331177,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,5,z_5,46,z_46,0.5452382564544678,0.5452382564544678,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,73,z_73,-0.5439529418945312,0.5439529418945312,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.44)
fine_bridge_06,5,z_5,8,z_8,0.5425394177436829,0.5425394177436829,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,82,z_82,-0.5405570268630981,0.5405570268630981,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,5,z_5,118,z_118,0.5400939583778381,0.5400939583778381,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,37,z_37,46,z_46,-0.5394678711891174,0.5394678711891174,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,5,z_5,99,z_99,-0.5389094352722168,0.5389094352722168,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,124,z_124,27,z_27,-0.5383552312850952,0.5383552312850952,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.42)
fine_bridge_06,91,z_91,82,z_82,0.5382083058357239,0.5382083058357239,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,110,z_110,99,z_99,0.5380114912986755,0.5380114912986755,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,91,z_91,63,z_63,-0.5377782583236694,0.5377782583236694,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,75,z_75,99,z_99,0.5369973182678223,0.5369973182678223,homeostatic_microglia (+0.09),lysosome_phagocytosis (+0.43)
fine_bridge_06,91,z_91,87,z_87,0.5363857746124268,0.5363857746124268,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,93,z_93,124,z_124,0.5359108448028564,0.5359108448028564,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,91,z_91,70,z_70,0.5358954668045044,0.5358954668045044,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,122,z_122,27,z_27,-0.5358819365501404,0.5358819365501404,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.42)
fine_bridge_06,5,z_5,0,z_0,0.5321889519691467,0.5321889519691467,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,80,z_80,17,z_17,0.5299001336097717,0.5299001336097717,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,99,z_99,120,z_120,-0.5298516750335693,0.5298516750335693,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,122,z_122,46,z_46,0.5295764803886414,0.5295764803886414,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,93,z_93,92,z_92,0.5286743640899658,0.5286743640899658,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,35,z_35,0.526515543460846,0.526515543460846,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,93,z_93,82,z_82,-0.5259708166122437,0.5259708166122437,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,102,z_102,99,z_99,0.525181233882904,0.525181233882904,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,99,z_99,73,z_73,0.5229822993278503,0.5229822993278503,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.44)
fine_bridge_06,5,z_5,87,z_87,-0.5227448344230652,0.5227448344230652,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,48,z_48,0.5222648978233337,0.5222648978233337,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,5,z_5,63,z_63,0.5214473009109497,0.5214473009109497,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,27,z_27,-0.5209359526634216,0.5209359526634216,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.42)
fine_bridge_06,22,z_22,46,z_46,-0.5202122330665588,0.5202122330665588,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,123,z_123,27,z_27,-0.5189604759216309,0.5189604759216309,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.42)
fine_bridge_06,124,z_124,115,z_115,-0.5184768438339233,0.5184768438339233,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,93,z_93,47,z_47,0.5173653960227966,0.5173653960227966,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,60,z_60,59,z_59,0.5156173706054688,0.5156173706054688,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,5,z_5,44,z_44,-0.5142064690589905,0.5142064690589905,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,65,z_65,99,z_99,0.5127625465393066,0.5127625465393066,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,91,z_91,46,z_46,-0.512580156326294,0.512580156326294,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,8,z_8,0.5125229954719543,0.5125229954719543,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,17,z_17,0.5124796628952026,0.5124796628952026,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,102,z_102,46,z_46,-0.5124464631080627,0.5124464631080627,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,80,z_80,75,z_75,-0.5114105939865112,0.5114105939865112,lysosome_phagocytosis (+0.43),homeostatic_microglia (+0.09)
fine_bridge_06,59,z_59,123,z_123,-0.5100883841514587,0.5100883841514587,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,5,z_5,59,z_59,0.5079593062400818,0.5079593062400818,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,60,z_60,46,z_46,0.5078065395355225,0.5078065395355225,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,95,z_95,99,z_99,0.5044612884521484,0.5044612884521484,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,6,z_6,0.5035244822502136,0.5035244822502136,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,50,z_50,-0.5033964514732361,0.5033964514732361,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,104,z_104,111,z_111,0.5031601190567017,0.5031601190567017,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,102,z_102,75,z_75,0.5015372037887573,0.5015372037887573,lysosome_phagocytosis (-0.43),homeostatic_microglia (+0.09)
fine_bridge_06,104,z_104,44,z_44,-0.5015302896499634,0.5015302896499634,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,61,z_61,27,z_27,-0.49978938698768616,0.49978938698768616,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.42)
fine_bridge_06,19,z_19,59,z_59,0.49938684701919556,0.49938684701919556,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,45,z_45,27,z_27,-0.4984227418899536,0.4984227418899536,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.42)
fine_bridge_06,76,z_76,120,z_120,-0.49803420901298523,0.49803420901298523,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,115,z_115,-0.4967993199825287,0.4967993199825287,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,60,z_60,8,z_8,0.496377170085907,0.496377170085907,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,100,z_100,-0.4953245520591736,0.4953245520591736,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,99,z_99,124,z_124,-0.494109570980072,0.494109570980072,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,123,z_123,124,z_124,0.49279892444610596,0.49279892444610596,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,114,z_114,0.4927839934825897,0.4927839934825897,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,80,z_80,46,z_46,0.4921983480453491,0.4921983480453491,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,60,z_60,87,z_87,-0.49187105894088745,0.49187105894088745,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,104,z_104,35,z_35,0.49151790142059326,0.49151790142059326,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,101,z_101,0.4908199906349182,0.4908199906349182,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,93,z_93,63,z_63,0.4905138611793518,0.4905138611793518,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,19,z_19,44,z_44,-0.48758193850517273,0.48758193850517273,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,95,z_95,75,z_75,0.4849880337715149,0.4849880337715149,lysosome_phagocytosis (-0.43),homeostatic_microglia (+0.09)
fine_bridge_06,122,z_122,99,z_99,-0.4849647581577301,0.4849647581577301,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,75,z_75,46,z_46,-0.4844217300415039,0.4844217300415039,homeostatic_microglia (+0.09),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,25,z_25,0.4843491315841675,0.4843491315841675,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.44)
fine_bridge_06,59,z_59,127,z_127,-0.48423999547958374,0.48423999547958374,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.32)
fine_bridge_06,59,z_59,114,z_114,0.484042763710022,0.484042763710022,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,0,z_0,0.48403486609458923,0.48403486609458923,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,91,z_91,99,z_99,0.4840288460254669,0.4840288460254669,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,45,z_45,99,z_99,-0.4834690988063812,0.4834690988063812,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,46,z_46,17,z_17,0.48339521884918213,0.48339521884918213,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,5,z_5,92,z_92,0.4832366406917572,0.4832366406917572,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,19,z_19,120,z_120,0.4827233552932739,0.4827233552932739,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,19,z_19,27,z_27,-0.4824049472808838,0.4824049472808838,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.42)
fine_bridge_06,107,z_107,99,z_99,0.4816438555717468,0.4816438555717468,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,102,z_102,124,z_124,-0.48099222779273987,0.48099222779273987,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,114,z_114,0.4808964729309082,0.4808964729309082,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,67,z_67,124,z_124,0.4802172780036926,0.4802172780036926,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,88,z_88,17,z_17,0.4800260365009308,0.4800260365009308,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,95,z_95,17,z_17,-0.479209840297699,0.479209840297699,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,68,z_68,99,z_99,0.47908902168273926,0.47908902168273926,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,80,z_80,120,z_120,0.47891226410865784,0.47891226410865784,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,35,z_35,99,z_99,-0.4787960350513458,0.4787960350513458,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,91,z_91,48,z_48,-0.4784218966960907,0.4784218966960907,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,99,z_99,25,z_25,-0.47805771231651306,0.47805771231651306,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.44)
fine_bridge_06,19,z_19,124,z_124,0.4777285158634186,0.4777285158634186,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,123,z_123,71,z_71,0.4767366647720337,0.4767366647720337,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,86,z_86,0.476345419883728,0.476345419883728,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.44)
fine_bridge_06,19,z_19,23,z_23,-0.4763047397136688,0.4763047397136688,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,67,z_67,17,z_17,0.47614237666130066,0.47614237666130066,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,37,z_37,124,z_124,-0.475003719329834,0.475003719329834,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,91,z_91,0,z_0,-0.47499626874923706,0.47499626874923706,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
