condition,graph_role,lambda_graph,target,target_key,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse,target_context
laplacian_real_graph_lambda_0_1_ridge,real_graph_laplacian_penalty,0.1,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.40159967601498425,0.3814793274490506,0.13238658890371768,0.5832607378969672,0.6826933312885257,
laplacian_real_graph_lambda_0_1_ridge,real_graph_laplacian_penalty,0.1,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5338260605446998,0.6669255777619923,0.43449042992824016,0.35021995458362454,0.43619812286532184,
laplacian_real_graph_lambda_0_1_ridge,real_graph_laplacian_penalty,0.1,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.27216766224562117,0.26716251393776436,0.043156155401948615,0.5079763594692795,0.6090869643809059,
laplacian_real_graph_lambda_0_1_ridge,real_graph_laplacian_penalty,0.1,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.06915055178697985,-0.12448940052493901,-0.297446189480008,0.38502309847044863,0.500730783740733,
laplacian_real_graph_lambda_0_1_ridge,real_graph_laplacian_penalty,0.1,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45860078971347573,0.467134198029803,0.18681315202877558,0.3933372599705803,0.4931035807280125,
laplacian_strict_shuffled_lambda_0_001_ridge,strict_shuffled_laplacian_penalty,0.001,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.402510883871621,0.3821084662389525,0.13162253782830036,0.5839298371870023,0.6829938670917969,
laplacian_strict_shuffled_lambda_0_001_ridge,strict_shuffled_laplacian_penalty,0.001,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5318821504505417,0.6668604719392507,0.433022065807254,0.3507480752386057,0.436764057093263,
laplacian_strict_shuffled_lambda_0_001_ridge,strict_shuffled_laplacian_penalty,0.001,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2735041004353549,0.2663375492334973,0.041061709225330145,0.5085311728843991,0.6097532186164055,
laplacian_strict_shuffled_lambda_0_001_ridge,strict_shuffled_laplacian_penalty,0.001,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07083122405588742,-0.12805799450699243,-0.3055766525939476,0.38619380709084944,0.5022972514260772,
laplacian_strict_shuffled_lambda_0_001_ridge,strict_shuffled_laplacian_penalty,0.001,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45843879720562924,0.46705372505332743,0.18321690705239435,0.3939000644650199,0.49419273078909315,
laplacian_strict_shuffled_lambda_0_01_ridge,strict_shuffled_laplacian_penalty,0.01,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.402510883871621,0.3820895177111075,0.13162734146505206,0.5839235564585769,0.6829919780175628,
laplacian_strict_shuffled_lambda_0_01_ridge,strict_shuffled_laplacian_penalty,0.01,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5318821504505417,0.6668554153823748,0.4330350729206418,0.3507388018064918,0.4367590471344494,
laplacian_strict_shuffled_lambda_0_01_ridge,strict_shuffled_laplacian_penalty,0.01,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2735041004353549,0.2663538065300488,0.041087573925548515,0.5085242476702403,0.6097449953601726,
laplacian_strict_shuffled_lambda_0_01_ridge,strict_shuffled_laplacian_penalty,0.01,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07083122405588742,-0.12804333920056404,-0.3054938539408958,0.38618072539310105,0.5022813235235745,
laplacian_strict_shuffled_lambda_0_01_ridge,strict_shuffled_laplacian_penalty,0.01,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45843879720562924,0.4670555223005837,0.18324921397249916,0.3938972447124651,0.4941829570786132,
laplacian_strict_shuffled_lambda_0_05_ridge,strict_shuffled_laplacian_penalty,0.05,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.40295636326819884,0.382005260626806,0.13164821298171592,0.5838956621994841,0.6829837700414323,
laplacian_strict_shuffled_lambda_0_05_ridge,strict_shuffled_laplacian_penalty,0.05,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5310721879113091,0.6668327666832287,0.43309219781583097,0.3506976735754195,0.4367370436188095,
laplacian_strict_shuffled_lambda_0_05_ridge,strict_shuffled_laplacian_penalty,0.05,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2735041004353549,0.26642591244467734,0.0412022314036915,0.508493528520044,0.6097085405643292,
laplacian_strict_shuffled_lambda_0_05_ridge,strict_shuffled_laplacian_penalty,0.05,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07048698997671357,-0.12797814226264742,-0.3051268024984215,0.38612269258089543,0.5022107080838958,
laplacian_strict_shuffled_lambda_0_05_ridge,strict_shuffled_laplacian_penalty,0.05,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4581553103168978,0.46706345664814397,0.183392406615993,0.3938847136750682,0.49413963513327064,
laplacian_strict_shuffled_lambda_0_1_ridge,strict_shuffled_laplacian_penalty,0.1,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.40382707299787385,0.3818998461909462,0.13167321587777425,0.5838608405521463,0.6829739372205683,
laplacian_strict_shuffled_lambda_0_1_ridge,strict_shuffled_laplacian_penalty,0.1,AT8,AT8,percent AT8 positive area_Grey matter,84,0.530322972562519,0.6668040575845734,0.4331620465183377,0.3506464621768536,0.43671013760744415,
laplacian_strict_shuffled_lambda_0_1_ridge,strict_shuffled_laplacian_penalty,0.1,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2735041004353549,0.266515704827372,0.04134487562779077,0.5084552657528458,0.6096631844738393,
laplacian_strict_shuffled_lambda_0_1_ridge,strict_shuffled_laplacian_penalty,0.1,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07048698997671357,-0.12789650515564965,-0.304670139204255,0.3860503985841027,0.5021228387439256,
laplacian_strict_shuffled_lambda_0_1_ridge,strict_shuffled_laplacian_penalty,0.1,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4581553103168978,0.4670732526478681,0.1835704978966457,0.39386905272100053,0.49408574954630485,
stage27c_module_pca_ridge_reference,,,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3163520312175891,0.09975961956193147,0.5908527814398361,0.6954113538288077,
stage27c_module_pca_ridge_reference,,,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.6623974952216051,0.4280899577385401,0.35143710200981665,0.4386596361996292,
stage27c_module_pca_ridge_reference,,,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.27877065050186,0.07752413383312962,0.4963336075201987,0.5980483240374914,
stage27c_module_pca_ridge_reference,,,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.042985908308886815,-0.09295916718496233,0.359161712235905,0.459580488795249,
stage27c_module_pca_ridge_reference,,,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.47243591481850106,0.20964454842080216,0.3896968592871398,0.4861320000855132,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.33204414295838813,0.31600256353109796,0.09956542131218349,0.5909258480482622,0.6954863562328477,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,AT8,AT8,percent AT8 positive area_Grey matter,84,0.528136073706591,0.6617975636541716,0.42724710747546824,0.3517552984063907,0.438982753685565,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3040194391009416,0.2792586796340217,0.07779071941605731,0.4962670874882245,0.5979619030333984,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.01565252607066923,-0.04353202637769836,-0.09365891323555298,0.3592720457767519,0.459727584032288,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45199959501873044,0.4717509978896238,0.20883927819315518,0.3894818570209831,0.4863795899279116,
stage35a_best_reference,,,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3163520312175891,0.0997596195619313,0.5908527814398361,0.6954113538288077,amyloid_context
stage35a_best_reference,,,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.6623974952216048,0.4280899577385398,0.3514371020098167,0.4386596361996293,neuronal_tau_context
stage35a_best_reference,,,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3022982687050723,0.27877065050186,0.0775241338331296,0.4963336075201987,0.5980483240374914,glial_context
stage35a_best_reference,,,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.0160777564037663,-0.0429859083088869,-0.0929591671849623,0.359161712235905,0.4595804887952489,glial_context
stage35a_best_reference,,,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.4724359148185012,0.2096445484208021,0.3896968592871397,0.4861320000855131,neuronal_tau_context
