source_idx,target_idx,support,string_score,wgcna_tom
1376,2771,both,994.0,0.34926948
150,2440,both,901.0,0.34910658
2026,345,both,999.0,0.34892896
2854,2641,both,999.0,0.3486408
1624,1113,both,999.0,0.34840763
2854,1876,both,999.0,0.3483295
469,1011,both,743.0,0.348071
2498,1607,both,999.0,0.3480633
120,2653,both,725.0,0.34789413
2613,791,both,999.0,0.34770373
470,84,both,894.0,0.34764084
224,2841,both,997.0,0.34753573
2717,1876,both,999.0,0.3474432
2717,2854,both,999.0,0.34742254
2717,963,both,999.0,0.34721962
2057,791,both,999.0,0.3469711
2854,963,both,999.0,0.3468705
707,846,both,992.0,0.34680682
2141,823,both,772.0,0.34680262
1607,1113,both,999.0,0.34667894
2854,185,both,997.0,0.3465989
123,1735,both,965.0,0.346485
2713,2077,both,925.0,0.3463676
1889,2483,both,895.0,0.34622136
2609,1961,both,724.0,0.3460584
2536,2759,both,901.0,0.3460265
2451,1751,both,812.0,0.34598756
2057,2717,both,999.0,0.3459596
1978,1850,both,962.0,0.34592238
1479,1002,both,716.0,0.34589967
846,1762,both,907.0,0.34585685
56,810,both,886.0,0.34581977
37,2489,both,775.0,0.34567302
2498,1763,both,999.0,0.3456438
1053,1091,both,736.0,0.34557876
2724,2353,both,992.0,0.34540677
2854,852,both,999.0,0.3453761
101,2758,both,702.0,0.34536386
1479,1954,both,922.0,0.34535566
2717,1624,both,999.0,0.34530756
470,345,both,723.0,0.3450806
2835,2407,both,930.0,0.34502664
983,31,both,864.0,0.34496376
2545,1143,both,787.0,0.3449231
2615,959,both,816.0,0.34492302
461,2440,both,972.0,0.34462836
821,2934,both,844.0,0.34431306
2835,1668,both,747.0,0.3443119
946,1615,both,846.0,0.34425113
345,2268,both,762.0,0.34421206
0,1202,both,756.0,0.34419748
1748,2641,both,974.0,0.34392413
1748,1696,both,981.0,0.34383923
2835,2589,both,922.0,0.34349304
1595,2587,both,950.0,0.34342054
963,345,both,999.0,0.3431181
2822,288,both,985.0,0.34304938
2811,2117,both,982.0,0.34296826
2717,852,both,999.0,0.34296128
2050,2384,both,823.0,0.3429285
1754,1130,both,813.0,0.34275702
2665,2907,both,737.0,0.34272403
2917,672,both,947.0,0.34262806
1763,1113,both,999.0,0.34262538
2613,2854,both,999.0,0.34256986
301,2483,both,798.0,0.3423913
2385,2826,both,784.0,0.34218675
2446,1376,both,959.0,0.34206632
1290,1809,both,864.0,0.34204012
1442,2566,both,876.0,0.34198648
2717,1607,both,999.0,0.34190828
1748,82,both,983.0,0.3418613
2909,2231,both,754.0,0.34173748
1376,721,both,947.0,0.3417268
671,2713,both,959.0,0.3413705
509,2713,both,999.0,0.34119672
38,2026,both,999.0,0.34114534
1624,791,both,999.0,0.34113497
2498,2315,both,999.0,0.34110522
2026,1027,both,999.0,0.34105164
846,2504,both,741.0,0.34097397
983,1730,both,998.0,0.3405729
2707,114,both,860.0,0.34054756
1874,345,both,827.0,0.34050688
1269,1235,both,804.0,0.3405059
650,165,both,840.0,0.34049946
983,1008,both,975.0,0.3404203
1607,791,both,999.0,0.34030783
2854,1624,both,999.0,0.34030122
2718,2908,both,982.0,0.34012595
2001,2929,both,977.0,0.3399414
1269,1457,both,869.0,0.33984804
2315,1113,both,999.0,0.3397878
702,224,both,815.0,0.33976653
2665,1874,both,870.0,0.33973172
528,2315,both,787.0,0.339721
819,211,both,724.0,0.3396163
1668,2407,both,995.0,0.33956537
1120,2068,both,890.0,0.3395268
1421,632,both,950.0,0.3392773
1059,2172,both,999.0,0.33916986
2762,604,both,955.0,0.3389863
1658,1327,both,998.0,0.338971
1544,2808,both,824.0,0.3389599
0,2350,both,795.0,0.33886504
658,2089,both,946.0,0.33861512
2667,2043,both,773.0,0.33860236
2026,2641,both,999.0,0.33858076
2035,1936,both,992.0,0.33852047
933,750,both,818.0,0.3384886
82,2713,both,999.0,0.3384184
1523,1522,both,711.0,0.33823633
671,791,both,944.0,0.33818862
2717,2315,both,999.0,0.33813968
2057,2854,both,999.0,0.33787218
478,1581,both,719.0,0.33782697
2453,2026,both,999.0,0.33777025
791,1763,both,999.0,0.33759123
943,596,both,832.0,0.33727738
1788,1706,both,934.0,0.33722696
1542,2043,both,816.0,0.33712107
56,321,both,700.0,0.33692443
0,559,both,839.0,0.33688203
1252,1357,both,848.0,0.33666477
2498,2077,both,956.0,0.3366615
2141,766,both,998.0,0.3366554
1248,1357,both,979.0,0.33663762
724,1751,both,748.0,0.33656135
1872,1480,both,723.0,0.33652014
671,1607,both,946.0,0.3364787
2026,1876,both,999.0,0.33643457
1165,2835,both,926.0,0.33641377
2672,2097,both,947.0,0.33635905
852,2026,both,999.0,0.3362993
1027,963,both,999.0,0.33624738
2026,185,both,999.0,0.33605775
536,2435,both,851.0,0.33602807
1197,2117,both,945.0,0.33594963
515,823,both,716.0,0.33590868
38,963,both,999.0,0.33580095
2141,853,both,784.0,0.3357451
2399,2934,both,702.0,0.3357236
671,1113,both,978.0,0.33571038
671,2026,both,912.0,0.33532256
2026,963,both,999.0,0.33531436
2453,963,both,999.0,0.33522707
515,601,both,858.0,0.33504057
2705,2026,both,999.0,0.33499724
1491,2713,both,933.0,0.33453757
