source,target,source_idx,target_idx,in_string,in_wgcna,string_score,wgcna_tom,support
DCP1A,DCP2,611,984,True,True,999.0,0.38361937,both
PABPN1,PCF11,2140,1850,True,True,908.0,0.38358533,both
RPL19,RPS27A,2498,345,True,True,999.0,0.3832165,both
ASXL1,PCGF5,2753,1713,True,True,904.0,0.38319525,both
ANAPC5,CDC27,2034,2516,True,True,999.0,0.3831826,both
NPLOC4,UBC,2568,2043,True,True,998.0,0.38291335,both
GSK3B,JUN,650,101,True,True,908.0,0.38282526,both
DCP2,LSM14A,984,2680,True,True,966.0,0.3817857,both
PPP2CA,PPP4R1,1002,2582,True,True,965.0,0.38173515,both
EDEM3,UGGT1,227,420,True,True,734.0,0.3815634,both
MAPKAP1,RPTOR,1610,2566,True,True,996.0,0.38072258,both
AATF,RPS24,2494,1696,True,True,989.0,0.38018706,both
EIF3A,RPS9,1748,2713,True,True,981.0,0.37997964,both
AATF,RPS8,2494,82,True,True,990.0,0.37987962,both
RPL6,RPS9,2026,2713,True,True,999.0,0.3795656,both
CNBP,SUFU,673,1735,True,True,828.0,0.3794591,both
ANAPC10,CDC27,872,2516,True,True,999.0,0.37936664,both
ISG15,RPS9,0,2713,True,True,802.0,0.37934384,both
DLG1,KIF13B,752,1428,True,True,783.0,0.37926465,both
RPS18,RPS9,1113,2713,True,True,999.0,0.37910876,both
PTEN,USP7,1706,2356,True,True,979.0,0.3789519,both
EIF3E,EIF3H,1488,1491,True,True,999.0,0.37855297,both
ISG15,RPS25,0,1876,True,True,845.0,0.37832153,both
KMT2A,TAF1,1874,2907,True,True,946.0,0.37810108,both
RPL19,RPL26,2498,2453,True,True,999.0,0.3779306,both
RAD23B,RCOR1,1581,2237,True,True,904.0,0.37790206,both
HELZ,RC3H1,2545,211,True,True,751.0,0.37770808,both
RPL9,RPS9,791,2713,True,True,999.0,0.37748784,both
EIF3A,RPS18,1748,1113,True,True,981.0,0.3773523,both
PPFIA1,PPP2CA,1832,1002,True,True,994.0,0.37722608,both
SMG1,SMG6,2370,2439,True,True,966.0,0.37686685,both
RPS14,RPS9,1027,2713,True,True,999.0,0.3768221,both
THOC2,XPO4,2928,2050,True,True,850.0,0.37624082,both
BRAF,MAPK1,1376,2835,True,True,949.0,0.376206,both
DYRK1A,GSK3B,2813,650,True,True,808.0,0.37613633,both
SRSF4,SRSF7,52,321,True,True,903.0,0.3760577,both
APC,DLG1,983,752,True,True,779.0,0.3757931,both
RPL19,RPS14,2498,1027,True,True,999.0,0.3757097,both
RPL19,RPL6,2498,2026,True,True,999.0,0.3753404,both
RPS18,RPS27A,1113,345,True,True,999.0,0.37518892,both
ARID4A,RBL2,2175,2398,True,True,849.0,0.3749509,both
RPL28,RPS9,2717,2713,True,True,999.0,0.37446854,both
RPL11,RPS9,38,2713,True,True,999.0,0.3743754,both
DHX15,PUM3,781,1517,True,True,856.0,0.37432486,both
CCNT2,PCF11,425,1850,True,True,705.0,0.37396908,both
PDIA3,STIM1,2269,1771,True,True,892.0,0.37388927,both
PRKDC,RAD23B,1442,1581,True,True,936.0,0.37382767,both
RPL19,RPL9,2498,791,True,True,999.0,0.37346175,both
RPL26,RPS9,2453,2713,True,True,999.0,0.37341934,both
CUL4A,FBXW8,2131,2029,True,True,717.0,0.3732558,both
RPL19,RPS18,2498,1113,True,True,999.0,0.37319097,both
RPL18,RPS9,2705,2713,True,True,999.0,0.372931,both
RPS27,RPS9,185,2713,True,True,999.0,0.3729264,both
EIF3A,EIF3H,1748,1491,True,True,999.0,0.3728343,both
SMG1,TRRAP,2370,1327,True,True,841.0,0.37248835,both
RPL11,RPL19,38,2498,True,True,999.0,0.37215316,both
DDX39B,THOC2,1097,2928,True,True,999.0,0.3721344,both
RPL19,RPS9,2498,2713,True,True,999.0,0.37198707,both
EIF3E,RPS15,1488,2641,True,True,974.0,0.3719663,both
AVL9,DENND6A,1278,618,True,True,920.0,0.37170887,both
RPL3,RPS9,2854,2713,True,True,999.0,0.3716941,both
FTO,YTHDC1,2399,810,True,True,889.0,0.37125257,both
RPS25,RPS9,1876,2713,True,True,999.0,0.3710845,both
RPS15,RPS9,2641,2713,True,True,999.0,0.3710357,both
SMG1,XRN1,2370,691,True,True,751.0,0.3708069,both
PDS5B,WAPL,2065,1702,True,True,999.0,0.37080425,both
UBC,USP8,2043,2278,True,True,997.0,0.3705873,both
EIF3E,RPS2,1488,2350,True,True,987.0,0.3704577,both
ERC1,RAB6A,1891,1837,True,True,974.0,0.37028348,both
RAD23B,UBC,1581,2043,True,True,970.0,0.37022266,both
RPL19,RPS23,2498,963,True,True,999.0,0.37017798,both
RPS23,RPS9,963,2713,True,True,999.0,0.36986002,both
RPL9,RPS27A,791,345,True,True,999.0,0.3695633,both
RPL19,RPS25,2498,1876,True,True,999.0,0.3694829,both
RPL17,RPS9,2613,2713,True,True,999.0,0.3690597,both
RPL18,RPL19,2705,2498,True,True,999.0,0.36884907,both
PPP2R5E,PPP3CB,2183,1690,True,True,740.0,0.3684351,both
CAMKMT,KMT2A,331,1874,True,True,792.0,0.36804995,both
RPL6,RPS18,2026,1113,True,True,999.0,0.36774233,both
ISG15,RPS27,0,185,True,True,800.0,0.3674995,both
