source,gene_symbol,query_category,query,success,n_returned,error,summary_success,summary_error
PubMed,CTSD,ad,CTSD AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,CTSD,microglia_cell_state,CTSD AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,CTSD,perturbation,CTSD AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,CTSD,drug,CTSD AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,CTSD,directionality,CTSD AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,GPX4,ad,GPX4 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,GPX4,microglia_cell_state,GPX4 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,GPX4,perturbation,GPX4 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,GPX4,drug,GPX4 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,GPX4,directionality,GPX4 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,HMOX1,ad,HMOX1 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,HMOX1,microglia_cell_state,HMOX1 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,HMOX1,perturbation,HMOX1 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,HMOX1,drug,HMOX1 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,HMOX1,directionality,HMOX1 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,IL27RA,ad,IL27RA AND (Alzheimer OR dementia OR neurodegeneration),True,3,,True,
PubMed,IL27RA,microglia_cell_state,IL27RA AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,2,,False,<HTTPError 429: 'Too Many Requests'>
PubMed,IL27RA,perturbation,IL27RA AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,2,,True,
PubMed,IL27RA,drug,IL27RA AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,1,,True,
PubMed,IL27RA,directionality,IL27RA AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,3,,True,
PubMed,LAMP2,ad,LAMP2 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,LAMP2,microglia_cell_state,LAMP2 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,LAMP2,perturbation,LAMP2 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,LAMP2,drug,LAMP2 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,LAMP2,directionality,LAMP2 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,LAPTM5,ad,LAPTM5 AND (Alzheimer OR dementia OR neurodegeneration),True,10,,True,
PubMed,LAPTM5,microglia_cell_state,LAPTM5 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,8,,True,
PubMed,LAPTM5,perturbation,LAPTM5 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,1,,True,
PubMed,LAPTM5,drug,LAPTM5 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,6,,True,
PubMed,LAPTM5,directionality,LAPTM5 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,4,,True,
PubMed,LGALS3,ad,LGALS3 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,LGALS3,microglia_cell_state,LGALS3 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,LGALS3,perturbation,LGALS3 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,LGALS3,drug,LGALS3 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,LGALS3,directionality,LGALS3 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,NFKBIA,ad,NFKBIA AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,NFKBIA,microglia_cell_state,NFKBIA AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,NFKBIA,perturbation,NFKBIA AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,15,,True,
PubMed,NFKBIA,drug,NFKBIA AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,NFKBIA,directionality,NFKBIA AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,NPC2,ad,NPC2 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,NPC2,microglia_cell_state,NPC2 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,11,,True,
PubMed,NPC2,perturbation,NPC2 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,NPC2,drug,NPC2 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,NPC2,directionality,NPC2 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,NQO1,ad,NQO1 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,NQO1,microglia_cell_state,NQO1 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,NQO1,perturbation,NQO1 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,NQO1,drug,NQO1 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,NQO1,directionality,NQO1 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,SLC6A12,ad,SLC6A12 AND (Alzheimer OR dementia OR neurodegeneration),True,6,,True,
PubMed,SLC6A12,microglia_cell_state,SLC6A12 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,2,,True,
PubMed,SLC6A12,perturbation,SLC6A12 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,1,,True,
PubMed,SLC6A12,drug,SLC6A12 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,4,,True,
PubMed,SLC6A12,directionality,SLC6A12 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,2,,True,
PubMed,SOD1,ad,SOD1 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,SOD1,microglia_cell_state,SOD1 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,SOD1,perturbation,SOD1 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,SOD1,drug,SOD1 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,SOD1,directionality,SOD1 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,SOD2,ad,SOD2 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,SOD2,microglia_cell_state,SOD2 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,SOD2,perturbation,SOD2 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,SOD2,drug,SOD2 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,SOD2,directionality,SOD2 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,TREM2,ad,TREM2 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,TREM2,microglia_cell_state,TREM2 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,TREM2,perturbation,TREM2 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,TREM2,drug,TREM2 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,TREM2,directionality,TREM2 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
ChEMBL,APOE,,APOE,True,9,,,
ChEMBL,BSG,,BSG,True,2,,,
ChEMBL,CST7,,CST7,True,0,,,
ChEMBL,CTSB,,CTSB,True,6,,,
ChEMBL,CTSD,,CTSD,True,2,,,
ChEMBL,GPX4,,GPX4,True,5,,,
ChEMBL,HMOX1,,HMOX1,True,4,,,
ChEMBL,IL27RA,,IL27RA,True,0,,,
ChEMBL,LAMP2,,LAMP2,True,2,,,
ChEMBL,LAPTM5,,LAPTM5,True,0,,,
ChEMBL,LGALS3,,LGALS3,True,2,,,
ChEMBL,NFKBIA,,NFKBIA,True,2,,,
ChEMBL,NPC2,,NPC2,True,0,,,
ChEMBL,NQO1,,NQO1,True,4,,,
ChEMBL,SLC6A12,,SLC6A12,True,4,,,
ChEMBL,SOD1,,SOD1,True,3,,,
ChEMBL,SOD2,,SOD2,True,2,,,
ChEMBL,TREM2,,TREM2,True,1,,,
DGIdb,APOE,,APOE,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,BSG,,BSG,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,CST7,,CST7,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,CTSB,,CTSB,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,CTSD,,CTSD,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,GPX4,,GPX4,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,HMOX1,,HMOX1,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,IL27RA,,IL27RA,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,LAMP2,,LAMP2,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,LAPTM5,,LAPTM5,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,LGALS3,,LGALS3,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,NFKBIA,,NFKBIA,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,NPC2,,NPC2,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,NQO1,,NQO1,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,SLC6A12,,SLC6A12,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,SOD1,,SOD1,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,SOD2,,SOD2,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
DGIdb,TREM2,,TREM2,False,0,JSONDecodeError('Expecting value: line 1 column 1 (char 0)'),,
