dataset_id,dataset_name,source,collection_name,registry_role,normalized_role,approved_for_pretraining,clean_holdout_protected,stress_test_only,plausibility_only,internal_dataset,model_selection_excluded,already_used,role_exclusion_reason
5e57cd50-8e42-42d6-940d-5c1660d06864,RADC_Cohort,CELLxGENE,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
cff99df2-4904-44f7-9173-ff837f95606e,all cells,CELLxGENE,Molecular Signatures of Resilience to Alzheimer disease in Neocortical Layer 4 Neurons,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
203025fe-fa99-4d57-81da-458ed8f0c334,Brain vascular single-cell multi-omics disease-risk snRNA-seq,CELLxGENE,Brain vascular single-cell multi-omics elucidates disease risk associations,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Full Dataset,CELLxGENE,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
fe2eecbc-977a-4aec-9196-f89c3281d11c,Microglia,CELLxGENE,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,CELLxGENE,Human Brain Cell Atlas v1.0,external_training_pretraining_pool,approved_self_supervised_pretraining,True,False,False,False,False,False,False,none
5c97eeeb-7e52-44b3-b010-b832b1f5424c,HBCC_Cohort,CELLxGENE,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,external_training_pretraining_pool,approved_self_supervised_pretraining,True,False,False,False,False,False,False,none
4442d412-91cb-4261-acca-8adf5fa04c11,Aging_Cohort,CELLxGENE,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,external_training_pretraining_pool,approved_self_supervised_pretraining,True,False,False,False,False,False,False,none
Olah_live_microglia,Olah live human microglia,CELLxGENE,Live Human Microglia Single-cell RNA-seq,already_used_plausibility_only,excluded_plausibility_only,False,False,False,True,False,False,True,not_allowed_for_pretraining; already_used_without_pretraining_approval; plausibility_only
ac0c6561-7a48-4185-af6f-af799f699172,All Cells - snRNA-seq,CELLxGENE,Cross-dementia human brain snRNA-seq (Rexach et al 2024),already_used_plausibility_only,excluded_plausibility_only,False,False,False,True,False,False,True,not_allowed_for_pretraining; already_used_without_pretraining_approval; plausibility_only
SEA_AD_CELLXGENE_DLPFC,Whole Taxonomy - DLPFC,CELLxGENE,SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,already_used_plausibility_only,excluded_plausibility_only,False,False,False,True,False,False,True,not_allowed_for_pretraining; already_used_without_pretraining_approval; plausibility_only
SEA_AD_CELLXGENE_MTG,Whole Taxonomy - MTG,CELLxGENE,SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,already_used_plausibility_only,excluded_plausibility_only,False,False,False,True,False,False,True,not_allowed_for_pretraining; already_used_without_pretraining_approval; plausibility_only
Tabula_Sapiens_immune,Tabula Sapiens - Immune,CELLxGENE,Tabula Sapiens,auxiliary_training_pool,excluded_plausibility_only,False,False,False,True,False,False,False,not_allowed_for_pretraining; plausibility_only
Tabula_Sapiens_myeloid,Tabula Sapiens myeloid/immune cells,CELLxGENE,Tabula Sapiens,auxiliary_training_pool,excluded_plausibility_only,False,False,False,True,False,False,False,not_allowed_for_pretraining; plausibility_only
mouse_isocortex_hippocampus,Mouse isocortex and hippocampal formation taxonomy,CELLxGENE,A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,mouse_auxiliary_only,approved_self_supervised_pretraining,True,False,False,False,False,False,False,none
mouse_brain_aging_atlas,BrainAgingSpatialAtlas_snRNAseq,CELLxGENE,Molecular and spatial signatures of mouse brain aging at single-cell resolution,mouse_auxiliary_only,approved_self_supervised_pretraining,True,False,False,False,False,False,False,none
