dataset,feature,metric,target,spearman,n_donors
DLPFC,interferon_inflammatory,fraction_high_global_q95,GFAP,0.19947374281720173,80
DLPFC,interferon_inflammatory,fraction_high_global_q95,Iba1,0.20949489859067302,80
DLPFC,interferon_inflammatory,fraction_high_global_q95,NeuN,-0.046495818658901185,80
DLPFC,interferon_inflammatory,top_10pct_mean,AT8,0.15951711204875765,80
DLPFC,interferon_inflammatory,top_10pct_mean,6e10/A_beta,0.1689170182841069,80
DLPFC,interferon_inflammatory,top_10pct_mean,GFAP,0.21720581340834505,80
DLPFC,interferon_inflammatory,top_10pct_mean,Iba1,0.21584622597280825,80
DLPFC,interferon_inflammatory,top_10pct_mean,NeuN,-0.04205344585091421,80
DLPFC,interferon_inflammatory,top_5pct_mean,AT8,0.1475152367557431,80
DLPFC,interferon_inflammatory,top_5pct_mean,6e10/A_beta,0.15119549929676512,80
DLPFC,interferon_inflammatory,top_5pct_mean,GFAP,0.18384903891233007,80
DLPFC,interferon_inflammatory,top_5pct_mean,Iba1,0.24331926863572434,80
DLPFC,interferon_inflammatory,top_5pct_mean,NeuN,-0.03581809657759025,80
DLPFC,interferon_inflammatory,top_1pct_mean,AT8,0.16017346460384438,80
DLPFC,interferon_inflammatory,top_1pct_mean,6e10/A_beta,0.17076887013595873,80
DLPFC,interferon_inflammatory,top_1pct_mean,GFAP,0.21200187529301454,80
DLPFC,interferon_inflammatory,top_1pct_mean,Iba1,0.256305672761369,80
DLPFC,interferon_inflammatory,top_1pct_mean,NeuN,-0.03481012658227848,80
DLPFC,lysosomal_endolysosomal,mean,AT8,0.2187763713080169,80
DLPFC,lysosomal_endolysosomal,mean,6e10/A_beta,0.17932489451476794,80
DLPFC,lysosomal_endolysosomal,mean,GFAP,0.23879512423816227,80
DLPFC,lysosomal_endolysosomal,mean,Iba1,0.2652133145804032,80
DLPFC,lysosomal_endolysosomal,mean,NeuN,-0.23959212376933897,80
DLPFC,lysosomal_endolysosomal,variance,AT8,0.28455227379278014,80
DLPFC,lysosomal_endolysosomal,variance,6e10/A_beta,0.23914674167838726,80
DLPFC,lysosomal_endolysosomal,variance,GFAP,0.16310360993905298,80
DLPFC,lysosomal_endolysosomal,variance,Iba1,0.2062822315986873,80
DLPFC,lysosomal_endolysosomal,variance,NeuN,-0.5109704641350211,80
DLPFC,lysosomal_endolysosomal,q90,AT8,0.2137130801687764,80
DLPFC,lysosomal_endolysosomal,q90,6e10/A_beta,0.1736755743084857,80
DLPFC,lysosomal_endolysosomal,q90,GFAP,0.23478668541959682,80
DLPFC,lysosomal_endolysosomal,q90,Iba1,0.2556493202062822,80
DLPFC,lysosomal_endolysosomal,q90,NeuN,-0.3802859821847164,80
DLPFC,lysosomal_endolysosomal,q95,AT8,0.2650726676043132,80
DLPFC,lysosomal_endolysosomal,q95,6e10/A_beta,0.20951711204875761,80
DLPFC,lysosomal_endolysosomal,q95,GFAP,0.25433661509610883,80
DLPFC,lysosomal_endolysosomal,q95,Iba1,0.2611111111111111,80
DLPFC,lysosomal_endolysosomal,q95,NeuN,-0.40016408813877175,80
DLPFC,lysosomal_endolysosomal,q99,AT8,0.3640178152836381,80
DLPFC,lysosomal_endolysosomal,q99,6e10/A_beta,0.33176277543366156,80
DLPFC,lysosomal_endolysosomal,q99,GFAP,0.2159634317862166,80
DLPFC,lysosomal_endolysosomal,q99,Iba1,0.3277543366150961,80
DLPFC,lysosomal_endolysosomal,q99,NeuN,-0.4258556024378809,80
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,AT8,0.3270979840600094,80
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,6e10/A_beta,0.28900609470229727,80
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,GFAP,0.27177684013127057,80
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,Iba1,0.2907172995780591,80
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,NeuN,-0.42810595405532115,80
DLPFC,lysosomal_endolysosomal,top_10pct_mean,AT8,0.31228316924519456,80
DLPFC,lysosomal_endolysosomal,top_10pct_mean,6e10/A_beta,0.2602203469292077,80
DLPFC,lysosomal_endolysosomal,top_10pct_mean,GFAP,0.24498359118612287,80
DLPFC,lysosomal_endolysosomal,top_10pct_mean,Iba1,0.3069620253164558,80
