representation,target,n_donors,cv_scheme,r2_mean,r2_std,pearson_mean,spearman_mean,mae_mean,rmse_mean,oof_pearson,oof_spearman,status,notes
module_mean_baseline,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.043257909439008556,0.24486403239574878,0.3677315503654317,0.4074509803921568,1.4238458063820592,1.771161603860844,0.36320266642474514,0.4009922041105599,tested,Identical donor folds and ridge readout across available representations.
raw_expression_regularized_baseline,percent AT8 positive area_Grey matter,84,5_fold_donor_cv,0.1920961622433845,0.25703846994933666,0.5393649720134986,0.444607843137255,0.9448105867092144,1.2450324161051562,0.5523592658582728,0.40413080895008613,tested,Identical donor folds and ridge readout across available representations.
raw_expression_regularized_baseline,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-0.9325751984622652,1.2451441564153705,0.2584642950628533,0.43088235294117644,2.2910983208695663,2.954120971298895,0.2181424032916071,0.31252404576288345,tested,Identical donor folds and ridge readout across available representations.
raw_expression_regularized_baseline,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.3088181647912502,0.2618738434835741,0.2066541897226669,0.1546078431372549,3.7902960687177027,4.890410618071352,0.17241146856191264,0.16146603219601094,tested,Identical donor folds and ridge readout across available representations.
raw_expression_regularized_baseline,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.2691557281284667,0.35459753182391357,0.11606563553469276,0.16254901960784313,1.7806618847631555,2.296069153727234,0.11033676568714754,0.14763592183861496,tested,Identical donor folds and ridge readout across available representations.
raw_expression_regularized_baseline,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.042457091400914096,0.3825129402599691,0.43281114931502457,0.4190196078431373,1.4435562104129798,1.758540836590535,0.3883784307413774,0.40789713475751743,tested,Identical donor folds and ridge readout across available representations.
shuffled_graph_jepa,percent AT8 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
shuffled_graph_jepa,percent 6e10 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
shuffled_graph_jepa,percent GFAP positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
shuffled_graph_jepa,percent Iba1 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
shuffled_graph_jepa,percent NeuN positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
no_graph_jepa,percent AT8 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
no_graph_jepa,percent 6e10 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
no_graph_jepa,percent GFAP positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
no_graph_jepa,percent Iba1 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
no_graph_jepa,percent NeuN positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
expression_only_autoencoder,percent AT8 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
expression_only_autoencoder,percent 6e10 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
expression_only_autoencoder,percent GFAP positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
expression_only_autoencoder,percent Iba1 positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
expression_only_autoencoder,percent NeuN positive area_Grey matter,84,not_run,,,,,,,,,not_available_existing_artifact,No existing trained artifact found; no model was trained for this gate.
