soma_joinid,citation,collection_id,collection_name,collection_doi,collection_doi_label,dataset_id,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
1084,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/a6eecd69-7ab7-4896-b3e3-3ab56b1d8631.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,0eccaf0c-19d2-4900-9962-899378adf8be,a6eecd69-7ab7-4896-b3e3-3ab56b1d8631,Pax6 - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),0eccaf0c-19d2-4900-9962-899378adf8be.h5ad,9446
1142,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/a2f0c178-cccd-4e34-bd2d-cb32682f0285.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,5ae6ab72-1927-4d5b-9826-86be65791293,a2f0c178-cccd-4e34-bd2d-cb32682f0285,Sncg - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),5ae6ab72-1927-4d5b-9826-86be65791293.h5ad,22168
1200,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/c66e3198-c766-499e-a609-7b462a41295b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,c76098ba-eed3-45b1-98f2-96fcac55ed18,c66e3198-c766-499e-a609-7b462a41295b,Microglia-PVM - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),c76098ba-eed3-45b1-98f2-96fcac55ed18.h5ad,40000
1205,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/e80bee9e-19e3-4954-a22a-124fe4e8e26e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,0374f03c-62e2-4859-8a14-acb00b0627d5,e80bee9e-19e3-4954-a22a-124fe4e8e26e,Chandelier - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),0374f03c-62e2-4859-8a14-acb00b0627d5.h5ad,15412
1224,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/9d1b4f0f-ef28-46b0-8851-a699f80dd673.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,e8ac3386-31d4-48ba-aa70-1bae0cf020e7,9d1b4f0f-ef28-46b0-8851-a699f80dd673,Lamp5 Lhx6 - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),e8ac3386-31d4-48ba-aa70-1bae0cf020e7.h5ad,21443
1240,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/0d009a56-b542-40bd-a71e-d4d4f2af473f.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,1c05b7ae-4dfb-4c1b-a441-4b23c04b169e,0d009a56-b542-40bd-a71e-d4d4f2af473f,OPC - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),1c05b7ae-4dfb-4c1b-a441-4b23c04b169e.h5ad,32493
1250,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/42825075-41fe-4499-aa8e-25e56f1677f7.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,75e6eee5-d0e3-4291-9360-f288ffe6c7c4,42825075-41fe-4499-aa8e-25e56f1677f7,L5/6 NP - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),75e6eee5-d0e3-4291-9360-f288ffe6c7c4.h5ad,20741
1254,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/698f26b0-db32-4fe4-b8a9-55b91e2d485b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,8a8aedcb-5bb3-453d-a9f0-f37951ae1515,698f26b0-db32-4fe4-b8a9-55b91e2d485b,L6b - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),8a8aedcb-5bb3-453d-a9f0-f37951ae1515.h5ad,16227
1281,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/4c02c25f-d4ea-4c80-b88a-532ce40f3411.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,c19275f5-739e-4796-ad5d-b0830b760db1,4c02c25f-d4ea-4c80-b88a-532ce40f3411,L6 CT - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),c19275f5-739e-4796-ad5d-b0830b760db1.h5ad,18402
1290,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/cac72969-4e63-4c65-b45e-8840ac1c3668.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,58c43cc2-e00e-43c4-94eb-8501369264e1,cac72969-4e63-4c65-b45e-8840ac1c3668,OPC - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),58c43cc2-e00e-43c4-94eb-8501369264e1.h5ad,29041
1310,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/a3198428-dd16-4344-8564-3897c1ccdb4b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,100c6145-7b0e-4ba6-81c1-ffebed0d1ac4,a3198428-dd16-4344-8564-3897c1ccdb4b,Microglia-PVM - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),100c6145-7b0e-4ba6-81c1-ffebed0d1ac4.h5ad,42486
1311,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/39b6701b-eb0a-4dc6-820b-1cd2c1b7ee48.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,1c9f5c6b-73da-4d17-95de-df080ffe0df1,39b6701b-eb0a-4dc6-820b-1cd2c1b7ee48,L6 IT Car3 - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),1c9f5c6b-73da-4d17-95de-df080ffe0df1.h5ad,13909
1335,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/3002675b-cde5-4ea5-8488-aa5b0b20ae39.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,b1d37bbd-9ae4-4404-b2f9-f2fe66750e4e,3002675b-cde5-4ea5-8488-aa5b0b20ae39,Sncg - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),b1d37bbd-9ae4-4404-b2f9-f2fe66750e4e.h5ad,24792
1361,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/34f04772-7e91-4c6d-a91b-f63429a633d8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,b8920ef5-7d22-497b-abca-a7a9eb76d79a,34f04772-7e91-4c6d-a91b-f63429a633d8,L5/6 NP - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),b8920ef5-7d22-497b-abca-a7a9eb76d79a.h5ad,19191
1376,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/ac31afa6-12e1-4dc5-b85e-dd6f7afb83e4.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,eec3e37d-ed41-4881-bc6e-aaf39a2c6eb0,ac31afa6-12e1-4dc5-b85e-dd6f7afb83e4,Lamp5 - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),eec3e37d-ed41-4881-bc6e-aaf39a2c6eb0.h5ad,42921
1380,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/3ad4bd7e-3585-44a0-83d2-627deb734447.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,79d485a8-b8b1-49f2-85aa-c44e5206aa53,3ad4bd7e-3585-44a0-83d2-627deb734447,L6 IT Car3 - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),79d485a8-b8b1-49f2-85aa-c44e5206aa53.h5ad,26129
1386,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/606a8fa1-bf44-4bbc-be59-e84304a6d140.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,a190b2e9-3796-4785-9a2f-013e2a9a43e6,606a8fa1-bf44-4bbc-be59-e84304a6d140,Lamp5 Lhx6 - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),a190b2e9-3796-4785-9a2f-013e2a9a43e6.h5ad,22891
1406,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/c1d101a4-3cf8-4df3-b658-59a362ffff33.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,d0ea3ec4-0f3b-4649-9146-1c0b5f303a55,c1d101a4-3cf8-4df3-b658-59a362ffff33,L6b - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),d0ea3ec4-0f3b-4649-9146-1c0b5f303a55.h5ad,18903
1457,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/55d41297-1b52-46ce-bc13-aa47c96534c3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,146216e1-ec30-4fee-a1fb-25defe801e2d,55d41297-1b52-46ce-bc13-aa47c96534c3,Sst - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),146216e1-ec30-4fee-a1fb-25defe801e2d.h5ad,58265
1474,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/8d212dd7-c7eb-4e9e-9126-f5b90c1e72d6.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,5097d77d-08fa-4105-a18f-4072d61522a4,8d212dd7-c7eb-4e9e-9126-f5b90c1e72d6,Astrocyte - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),5097d77d-08fa-4105-a18f-4072d61522a4.h5ad,70009
1497,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/b5ff368a-ac00-429a-b48e-a6d74fbc93ac.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,a4e89c26-e8d4-4471-9b06-16a1405880f0,b5ff368a-ac00-429a-b48e-a6d74fbc93ac,L6 CT - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),a4e89c26-e8d4-4471-9b06-16a1405880f0.h5ad,29343
1514,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/c5a54e52-b421-44be-a066-bbdfe8452bc1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,d2fc9880-e6d3-4922-af5c-61f4f517adfa,c5a54e52-b421-44be-a066-bbdfe8452bc1,Oligodendrocyte - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),d2fc9880-e6d3-4922-af5c-61f4f517adfa.h5ad,111194
1551,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/80c8b3f5-5a4c-4365-bb41-b5915e400d73.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,de104f7e-14fa-4795-bd19-b5ee2c1563e0,80c8b3f5-5a4c-4365-bb41-b5915e400d73,L6 IT - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),de104f7e-14fa-4795-bd19-b5ee2c1563e0.h5ad,45252
1567,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/fd5e1f2f-0314-465e-993f-ef98f29ce52c.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,0ed60482-a34f-4268-b576-d69cc30210f6,fd5e1f2f-0314-465e-993f-ef98f29ce52c,Lamp5 - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),0ed60482-a34f-4268-b576-d69cc30210f6.h5ad,55968
1595,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/358abb79-36a5-4a26-acca-7d2bf20631ff.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,74d584f0-74fc-482e-b944-e76f29c1ab85,358abb79-36a5-4a26-acca-7d2bf20631ff,Astrocyte - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),74d584f0-74fc-482e-b944-e76f29c1ab85.h5ad,87444
1605,Publication: https://doi.org/10.1038/s41593-024-01774-5 Dataset Version: https://datasets.cellxgene.cziscience.com/75b2c9e3-347c-4759-b9c2-ed2ad3bd98d3.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1038/s41593-024-01774-5,Gabitto et al. (2024) Nat Neurosci,03181d87-4769-41e7-8c39-d9a81835f0d2,75b2c9e3-347c-4759-b9c2-ed2ad3bd98d3,Sst - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),03181d87-4769-41e7-8c39-d9a81835f0d2.h5ad,75706
