target,latent_dimension,mean_coefficient,std_coefficient,mean_abs_coefficient,fold_1_coef,fold_2_coef,fold_3_coef,fold_4_coef,fold_5_coef
percent AT8 positive area_Grey matter,z_101,0.012188343,0.003933015,0.012188343,0.01865124,0.0074054226,0.014337905,0.010883652,0.0096635
percent AT8 positive area_Grey matter,z_4,-0.01140155,0.0040992186,0.01140155,-0.004872635,-0.015227191,-0.008311994,-0.013833243,-0.014762685
percent AT8 positive area_Grey matter,z_48,0.01137824,0.005334056,0.01137824,0.0062274337,0.0109533,0.007828169,0.010404628,0.02147767
percent AT8 positive area_Grey matter,z_76,0.011336753,0.0014427543,0.011336753,0.011915088,0.011208087,0.009541603,0.01373126,0.010287732
percent AT8 positive area_Grey matter,z_24,-0.011030633,0.003491046,0.011030633,-0.012647271,-0.014406607,-0.011328939,-0.0043329895,-0.0124373585
percent AT8 positive area_Grey matter,z_103,-0.0048359074,0.012834532,0.010720776,-0.0007088706,-0.01315897,0.011385787,-0.02502387,0.0033263862
percent AT8 positive area_Grey matter,z_57,-0.010466335,0.0072872057,0.010549514,-0.004250519,-0.019072779,0.0002079457,-0.016118104,-0.013098225
percent AT8 positive area_Grey matter,z_0,0.010264449,0.0033328175,0.010264449,0.004146762,0.0142658055,0.010601342,0.010704324,0.011604011
percent AT8 positive area_Grey matter,z_123,-0.010241378,0.00086247525,0.010241378,-0.010126233,-0.010481082,-0.0107368585,-0.008664299,-0.011198416
percent AT8 positive area_Grey matter,z_109,0.010222648,0.003343948,0.010222648,0.010671996,0.008555867,0.008112358,0.016520064,0.007252954
percent AT8 positive area_Grey matter,z_90,-0.010090058,0.0030077545,0.010090058,-0.010576434,-0.010132074,-0.006681745,-0.015353043,-0.0077069923
percent AT8 positive area_Grey matter,z_47,0.007749553,0.007945427,0.009968261,-0.005546771,0.0028430559,0.015429886,0.012544833,0.013476759
percent AT8 positive area_Grey matter,z_59,-0.009967119,0.003981485,0.009967119,-0.0138520375,-0.006024368,-0.011586389,-0.013918322,-0.0044544786
percent AT8 positive area_Grey matter,z_45,-0.009805268,0.0016486599,0.009805268,-0.011820972,-0.011161871,-0.007664174,-0.010272421,-0.008106902
percent AT8 positive area_Grey matter,z_18,0.009649609,0.0011834088,0.009649609,0.010270998,0.010595895,0.008458035,0.008007232,0.010915883
percent AT8 positive area_Grey matter,z_19,0.009531732,0.001368571,0.009531732,0.01049383,0.007349573,0.00853885,0.010289557,0.01098685
percent AT8 positive area_Grey matter,z_37,0.0087046055,0.00950833,0.0093482975,0.006117411,0.025073364,-0.0016092279,0.0012688041,0.012672678
percent AT8 positive area_Grey matter,z_31,0.0034412972,0.0099356985,0.009234855,-0.013759874,0.006443836,-0.0007240204,0.013791142,0.011455402
percent AT8 positive area_Grey matter,z_79,0.008896289,0.0013577647,0.008896289,0.008958578,0.010692939,0.006833799,0.008073077,0.009923056
percent AT8 positive area_Grey matter,z_121,0.008833481,0.0016773953,0.008833481,0.007604666,0.009544089,0.0064833276,0.011366833,0.009168491
percent AT8 positive area_Grey matter,z_97,0.008380786,0.0021633848,0.008380786,0.010822095,0.0064627826,0.010647841,0.008523434,0.005447775
percent AT8 positive area_Grey matter,z_119,0.008257749,0.002430334,0.008257749,0.011933833,0.009426661,0.008098051,0.004563961,0.0072662383
percent AT8 positive area_Grey matter,z_35,0.007895643,0.0009949409,0.007895643,0.00799492,0.009000741,0.0067979787,0.0067224912,0.00896208
percent AT8 positive area_Grey matter,z_20,-0.0077042812,0.0073339394,0.0077898568,-0.02059225,-0.009701431,-0.0066578314,0.0002139397,-0.0017838329
percent AT8 positive area_Grey matter,z_100,-0.0048997155,0.0074285152,0.007771676,0.007179901,-0.009365492,-0.0054484606,-0.0019209273,-0.0149436
percent AT8 positive area_Grey matter,z_2,-0.0076002553,0.0010519243,0.0076002553,-0.008232623,-0.0059061423,-0.006871609,-0.0087495595,-0.0082413405
percent AT8 positive area_Grey matter,z_43,0.006326177,0.005119771,0.0075175157,-0.0029783472,0.00824042,0.012281774,0.008513811,0.005573228
percent AT8 positive area_Grey matter,z_10,0.0074468316,0.0033487934,0.0074468316,0.008819789,0.011166893,0.007288076,0.0012280643,0.008731335
percent AT8 positive area_Grey matter,z_14,-0.0072843535,0.0061198412,0.007432042,-0.017105855,-0.008668616,-0.008972211,0.00036922283,-0.0020443052
percent AT8 positive area_Grey matter,z_40,-0.0071859686,0.0015398364,0.0071859686,-0.0074653774,-0.008507125,-0.0042027663,-0.008174457,-0.0075801164
percent AT8 positive area_Grey matter,z_13,-0.0070899986,0.0019429062,0.0070899986,-0.0047505423,-0.0073167235,-0.005545389,-0.010380872,-0.0074564666
percent AT8 positive area_Grey matter,z_127,-0.0070634447,0.0029786706,0.0070634447,-0.011791296,-0.0047211125,-0.0060600303,-0.0036741197,-0.009070665
percent AT8 positive area_Grey matter,z_66,-0.0069451267,0.0018888151,0.0069451267,-0.009948447,-0.0057839006,-0.0058511645,-0.008302119,-0.0048400015
percent AT8 positive area_Grey matter,z_106,-0.006535356,0.0010496312,0.006535356,-0.0080975,-0.0069774687,-0.0048812535,-0.00616597,-0.0065545887
percent AT8 positive area_Grey matter,z_74,-0.006338024,0.00020950918,0.006338024,-0.0061332285,-0.00671269,-0.0061853696,-0.0064121895,-0.0062466413
percent AT8 positive area_Grey matter,z_102,0.0062261648,0.0013123234,0.0062261648,0.00564301,0.0074227154,0.004403468,0.005650617,0.008011013
percent AT8 positive area_Grey matter,z_12,0.006172368,0.0028136636,0.006172368,0.0043485463,0.0057181045,0.010259405,0.0022920892,0.008243695
percent AT8 positive area_Grey matter,z_91,-0.0060666255,0.0039952127,0.0060666255,-0.011587113,-0.010182634,-0.0019355752,-0.0036061034,-0.0030217022
percent AT8 positive area_Grey matter,z_77,0.0060454104,0.0024746035,0.0060454104,0.006494209,0.007455282,0.007242726,0.0011763051,0.00785853
percent AT8 positive area_Grey matter,z_29,-0.0060431617,0.0022954347,0.0060431617,-0.008657478,-0.0076904222,-0.0029633585,-0.003633827,-0.0072707236
percent AT8 positive area_Grey matter,z_67,-0.0057368604,0.0024866743,0.0057368604,-0.0016732812,-0.008964099,-0.004676489,-0.005954854,-0.007415578
percent AT8 positive area_Grey matter,z_52,0.0056895996,0.000707106,0.0056895996,0.006604947,0.006077625,0.005468242,0.004486326,0.005810857
percent AT8 positive area_Grey matter,z_113,0.0033052065,0.0061444724,0.005650223,0.009066895,-0.0029310584,0.011917636,0.0014040433,-0.002931483
percent AT8 positive area_Grey matter,z_54,0.005569497,0.0015469228,0.005569497,0.0072544813,0.007145636,0.0050543603,0.0030550398,0.0053379685
percent AT8 positive area_Grey matter,z_86,-0.005503006,0.001761939,0.005503006,-0.0065826103,-0.007991254,-0.003441373,-0.0035707988,-0.005928993
percent AT8 positive area_Grey matter,z_56,-0.005433691,0.0020455313,0.005433691,-0.0064330623,-0.0046648905,-0.0077595375,-0.0018474534,-0.006463513
percent AT8 positive area_Grey matter,z_82,-0.005142617,0.0035652719,0.005142617,-0.0008292496,-0.010663964,-0.0056912694,-0.0017521791,-0.0067764223
percent AT8 positive area_Grey matter,z_64,-0.0050845826,0.00048483955,0.0050845826,-0.0047431663,-0.0043727756,-0.005544804,-0.0056678616,-0.0050943047
percent AT8 positive area_Grey matter,z_60,0.0050525274,0.00250604,0.0050525274,0.009026855,0.0012947395,0.005963439,0.004389804,0.0045877993
percent AT8 positive area_Grey matter,z_61,-0.004590294,0.00058346987,0.004590294,-0.0051582083,-0.0036330894,-0.0047333725,-0.005167622,-0.0042591766
percent AT8 positive area_Grey matter,z_98,0.0038503795,0.003114823,0.004547864,0.0052853525,0.0027602166,0.0067845955,-0.0017437115,0.006165445
percent AT8 positive area_Grey matter,z_7,0.0024727762,0.0046280725,0.0044989614,-0.0050654635,0.008135729,0.0024021752,0.00059064105,0.0063007995
percent AT8 positive area_Grey matter,z_58,0.0041067437,0.0034284575,0.004349296,0.00092351437,0.004864551,0.007245071,-0.0006063804,0.008106962
percent AT8 positive area_Grey matter,z_108,0.004253062,0.0013234523,0.004253062,0.003537871,0.003517434,0.0037345514,0.0035798661,0.006895587
percent AT8 positive area_Grey matter,z_3,-0.0016625464,0.0047881887,0.004203564,-0.009325869,0.0032798052,-0.00454437,-0.00079503655,0.0030727386
percent AT8 positive area_Grey matter,z_99,-0.004198837,0.0011143624,0.004198837,-0.0033393875,-0.0044746473,-0.0029186457,-0.0041261464,-0.0061353594
percent AT8 positive area_Grey matter,z_46,-0.0041844486,0.0010957926,0.0041844486,-0.005797036,-0.0046649724,-0.0028273575,-0.0045444183,-0.0030884594
percent AT8 positive area_Grey matter,z_49,-0.004118173,0.002334923,0.004118173,-0.0042237192,-0.005940497,-0.00061322376,-0.0071869604,-0.0026264638
percent AT8 positive area_Grey matter,z_105,0.0034106956,0.0026992355,0.0040986002,0.0030800812,0.005151719,0.0051159337,-0.0017197626,0.0054255053
percent AT8 positive area_Grey matter,z_85,-0.0029755938,0.0031135706,0.0037240689,-0.0007033944,-0.006460555,-0.004061362,0.0018711872,-0.0055238456
percent AT8 positive area_Grey matter,z_72,-0.0034500652,0.0017375376,0.0034500652,-0.0043542385,-0.00526309,-0.0037459992,-0.0001597479,-0.0037272498
percent AT8 positive area_Grey matter,z_25,0.0032664419,0.0033413537,0.00327926,0.005721055,-3.2044947e-05,0.008544877,0.00026700646,0.0018313155
percent AT8 positive area_Grey matter,z_84,-0.002837371,0.0028357669,0.0032465584,-0.0076723024,-0.0033167154,0.0010229684,-0.0015436783,-0.0026771277
percent AT8 positive area_Grey matter,z_95,-0.0030687978,0.0017674232,0.0030687978,-0.002154626,-0.004089594,-0.004685791,-1.14142895e-05,-0.004402563
percent AT8 positive area_Grey matter,z_69,-0.0030361216,0.0009756268,0.0030361216,-0.0034793094,-0.003114991,-0.0045016017,-0.002508089,-0.0015766174
percent AT8 positive area_Grey matter,z_118,0.0029798306,0.0017072173,0.0029798306,0.0046430677,0.0015048683,0.0028512254,0.0051423423,0.00075764954
percent AT8 positive area_Grey matter,z_33,0.0028511337,0.00032484252,0.0028511337,0.003042616,0.002685152,0.0032187253,0.0023003183,0.0030088574
percent AT8 positive area_Grey matter,z_104,-0.00270751,0.0018524093,0.00270751,-0.0016958192,-0.005173318,-0.0018850658,-0.0002495423,-0.004533805
percent AT8 positive area_Grey matter,z_68,0.0025623285,0.0015309869,0.0025623285,0.0005152449,0.0036006346,0.001948405,0.0049159974,0.0018313602
percent AT8 positive area_Grey matter,z_41,0.0023975451,0.00092433696,0.0023975451,0.00314226,0.0032805204,0.0013717171,0.0011734925,0.0030197352
percent AT8 positive area_Grey matter,z_111,-0.0023417664,0.0006248639,0.0023417664,-0.003304109,-0.0023310706,-0.0026131663,-0.0014104955,-0.00204999
percent AT8 positive area_Grey matter,z_36,-0.0020932693,0.0017804754,0.0022767682,-0.0034439862,-0.000597015,-0.002537595,-0.0043464974,0.00045874715
percent AT8 positive area_Grey matter,z_92,-0.0020209085,0.0016199601,0.0021837633,-0.0038404837,-0.00088801235,-0.0021447781,-0.0036384054,0.00040713698
percent AT8 positive area_Grey matter,z_34,-0.001689329,0.0018712233,0.002064895,0.0009389147,-0.0035129637,-0.00031885505,-0.0015459396,-0.0040078014
percent AT8 positive area_Grey matter,z_89,-0.001990235,0.0007700275,0.001990235,-0.003033422,-0.0009977594,-0.0027082376,-0.0018064715,-0.0014052838
percent AT8 positive area_Grey matter,z_114,-0.0007377088,0.00252385,0.0018981606,-0.0051156953,-0.0001835078,-0.0012904704,0.0025669336,0.0003341958
percent AT8 positive area_Grey matter,z_32,0.0018493667,0.0012026395,0.0018493667,0.0028517991,0.0012469664,0.0008549057,0.0036792792,0.00061388314
percent AT8 positive area_Grey matter,z_42,-0.00060368364,0.0018574003,0.0016218077,-0.00060358644,-0.0012349561,0.0014544558,-0.003725186,0.0010908544
percent AT8 positive area_Grey matter,z_88,-0.0013495066,0.0010875893,0.001607918,-0.0014154166,-0.0014448389,-0.0026104152,0.00064602867,-0.0019228905
percent AT8 positive area_Grey matter,z_65,-0.0012850717,0.0012724091,0.0015394345,-0.0017557889,-0.0010108352,-0.001002498,-0.0032921433,0.00063590705
percent AT8 positive area_Grey matter,z_6,-0.0015089471,0.0010618393,0.0015089471,-1.6100705e-05,-0.0016669556,-0.002782466,-0.000601463,-0.0024777502
percent AT8 positive area_Grey matter,z_73,0.0013908126,0.00087887846,0.0014969237,0.0014930293,0.0022994056,0.0015193932,-0.00026527792,0.0019075125
percent AT8 positive area_Grey matter,z_5,0.000112269074,0.0012451923,0.0011987485,-0.0017742142,-0.00094198436,0.001088243,0.00077875704,0.0014105439
percent AT8 positive area_Grey matter,z_124,0.00015634969,0.0010984086,0.0010215007,-0.0009164363,-0.0009146109,0.0013441667,-0.00033183023,0.0016004592
percent NeuN positive area_Grey matter,z_1,0.10690807,0.009109208,0.10690807,0.10955897,0.09502208,0.12068357,0.098871045,0.11040467
percent NeuN positive area_Grey matter,z_57,-0.10163903,0.01918314,0.10163903,-0.10994506,-0.070126,-0.12250927,-0.08977657,-0.11583825
percent NeuN positive area_Grey matter,z_103,-0.09666665,0.010431797,0.09666665,-0.10033373,-0.081026904,-0.11242883,-0.09087085,-0.098672956
percent NeuN positive area_Grey matter,z_100,0.08561319,0.0068808827,0.08561319,0.07913603,0.07833667,0.097385615,0.08740341,0.08580422
percent NeuN positive area_Grey matter,z_125,-0.08211871,0.0063874647,0.08211871,-0.07743341,-0.07945143,-0.09231957,-0.07491453,-0.08647466
percent NeuN positive area_Grey matter,z_63,0.0752144,0.031793807,0.0752144,0.096597135,0.025400497,0.11052729,0.051219895,0.092327215
percent NeuN positive area_Grey matter,z_48,-0.074969985,0.006630778,0.074969985,-0.07960087,-0.063777655,-0.08327235,-0.07294237,-0.07525669
percent NeuN positive area_Grey matter,z_20,-0.0692177,0.008111616,0.0692177,-0.05901452,-0.0639845,-0.07912446,-0.07846587,-0.06549913
percent NeuN positive area_Grey matter,z_37,0.06847651,0.0061408337,0.06847651,0.068051055,0.06906462,0.07590718,0.057469502,0.0718902
percent NeuN positive area_Grey matter,z_47,-0.06746147,0.0022444497,0.06746147,-0.06465976,-0.069916934,-0.06528712,-0.06741706,-0.07002645
percent NeuN positive area_Grey matter,z_78,0.06338041,0.008089555,0.06338041,0.06947872,0.051628847,0.07455087,0.0581808,0.06306285
percent NeuN positive area_Grey matter,z_21,-0.056424458,0.0123678595,0.056424458,-0.057955362,-0.035543278,-0.06975463,-0.051352486,-0.06751653
percent NeuN positive area_Grey matter,z_22,0.053592145,0.0108866505,0.053592145,0.04342523,0.038490582,0.06769182,0.05916153,0.05919157
percent NeuN positive area_Grey matter,z_94,-0.05244106,0.014785236,0.05244106,-0.061383795,-0.030178212,-0.06617283,-0.03941409,-0.065056354
percent NeuN positive area_Grey matter,z_26,-0.051730134,0.014061764,0.051730134,-0.036148354,-0.033358313,-0.06574349,-0.05913417,-0.06426634
percent NeuN positive area_Grey matter,z_62,-0.049904324,0.008758948,0.049904324,-0.05216015,-0.034234766,-0.060556985,-0.054084957,-0.048484754
percent NeuN positive area_Grey matter,z_82,-0.04684212,0.0025818062,0.04684212,-0.051223204,-0.04690058,-0.047522303,-0.04481275,-0.04375176
percent NeuN positive area_Grey matter,z_120,-0.04585553,0.02756738,0.04585553,-0.00025497936,-0.052576277,-0.05855184,-0.083146855,-0.03474769
percent NeuN positive area_Grey matter,z_115,-0.042645883,0.008545391,0.042645883,-0.042244606,-0.026917335,-0.052093506,-0.044256847,-0.047717128
percent NeuN positive area_Grey matter,z_44,-0.03602558,0.006639858,0.03602558,-0.037736073,-0.023812726,-0.043128364,-0.03526257,-0.04018818
percent NeuN positive area_Grey matter,z_127,0.03493888,0.0045835865,0.03493888,0.037829846,0.0268481,0.040520508,0.03473305,0.03476288
percent NeuN positive area_Grey matter,z_8,-0.033765115,0.005697413,0.033765115,-0.027937373,-0.03835913,-0.027322643,-0.04186159,-0.033344828
percent NeuN positive area_Grey matter,z_122,-0.033532098,0.0024470682,0.033532098,-0.03157735,-0.030233491,-0.037146196,-0.034997318,-0.033706143
percent NeuN positive area_Grey matter,z_51,0.030402536,0.004468368,0.030402536,0.029054072,0.02289198,0.036421,0.032643933,0.03100168
percent NeuN positive area_Grey matter,z_83,0.029852588,0.004643097,0.029852588,0.03580287,0.030898765,0.030718487,0.02146982,0.030372987
percent NeuN positive area_Grey matter,z_9,0.029647548,0.008583887,0.029647548,0.044454504,0.026259046,0.03376054,0.022162816,0.021600824
percent NeuN positive area_Grey matter,z_38,0.029413555,0.011165965,0.029413555,0.012176219,0.031116346,0.040075406,0.0417953,0.021904493
percent NeuN positive area_Grey matter,z_0,0.028351447,0.003541413,0.028351447,0.030145843,0.0313633,0.030920964,0.027545705,0.021781418
percent NeuN positive area_Grey matter,z_87,-0.027025873,0.003350735,0.027025873,-0.024877524,-0.0229971,-0.03018847,-0.03175377,-0.025312493
percent NeuN positive area_Grey matter,z_58,-0.026873657,0.004111112,0.026873657,-0.024927475,-0.02044889,-0.032829717,-0.028805826,-0.027356386
percent NeuN positive area_Grey matter,z_108,-0.025270605,0.003732513,0.025270605,-0.024276137,-0.018542733,-0.029305596,-0.02671081,-0.027517758
percent NeuN positive area_Grey matter,z_30,-0.024379754,0.0077677076,0.024379754,-0.023305058,-0.017722137,-0.032706287,-0.033744425,-0.01442087
percent NeuN positive area_Grey matter,z_3,-0.023930566,0.0050061666,0.023930566,-0.019567154,-0.018148344,-0.02654485,-0.02335804,-0.03203444
percent NeuN positive area_Grey matter,z_27,0.023747459,0.0020514345,0.023747459,0.026270678,0.02012489,0.024983732,0.023764227,0.023593768
percent NeuN positive area_Grey matter,z_69,-0.023238119,0.0068003796,0.023238119,-0.023551889,-0.010292351,-0.029710922,-0.027473029,-0.025162391
percent NeuN positive area_Grey matter,z_90,-0.022522267,0.0027234482,0.022522267,-0.025960656,-0.01860353,-0.025097787,-0.020740293,-0.022209063
percent NeuN positive area_Grey matter,z_11,0.021936338,0.002468514,0.021936338,0.024718642,0.024783283,0.021704413,0.019270748,0.019204611
percent NeuN positive area_Grey matter,z_12,-0.021415833,0.002340317,0.021415833,-0.021210328,-0.018547926,-0.023338985,-0.01927451,-0.024707416
percent NeuN positive area_Grey matter,z_118,0.02114742,0.0046157544,0.02114742,0.0222659,0.012946207,0.026696945,0.020175857,0.023652192
percent NeuN positive area_Grey matter,z_49,-0.020913431,0.00076785457,0.020913431,-0.021445148,-0.020634409,-0.021871721,-0.019623883,-0.020992
percent NeuN positive area_Grey matter,z_31,0.020325478,0.0074788895,0.020325478,0.031153018,0.009151954,0.022041418,0.015535452,0.023745552
percent NeuN positive area_Grey matter,z_53,0.019707033,0.0028107404,0.019707033,0.02052603,0.01588504,0.022518232,0.016947966,0.022657903
percent NeuN positive area_Grey matter,z_93,-0.019272303,0.0024838727,0.019272303,-0.019281175,-0.017491847,-0.023852285,-0.019042462,-0.016693747
percent NeuN positive area_Grey matter,z_126,0.013097584,0.014172858,0.018723221,0.016623212,-0.014064088,0.027692067,0.017238226,0.017998507
percent NeuN positive area_Grey matter,z_98,-0.017958615,0.0022185207,0.017958615,-0.019893892,-0.016222004,-0.020581182,-0.014678437,-0.01841756
percent NeuN positive area_Grey matter,z_70,-0.017600128,0.0069707204,0.017600128,-0.017110359,-0.03075317,-0.011574756,-0.011896186,-0.016666176
percent NeuN positive area_Grey matter,z_56,0.0171946,0.002833057,0.0171946,0.018319812,0.0132484585,0.021535642,0.015151403,0.017717687
percent NeuN positive area_Grey matter,z_34,0.016218008,0.001848145,0.016218008,0.014840255,0.013949826,0.019361002,0.016592894,0.01634606
percent NeuN positive area_Grey matter,z_59,-0.016119894,0.0014469506,0.016119894,-0.015160181,-0.013746101,-0.017595079,-0.016979907,-0.017118191
percent NeuN positive area_Grey matter,z_66,-0.015133771,0.0024323738,0.015133771,-0.013765331,-0.011922926,-0.019281568,-0.015122861,-0.015576173
percent NeuN positive area_Grey matter,z_97,0.014803104,0.0035343408,0.014803104,0.014257234,0.009470366,0.01858075,0.018789921,0.012917252
percent NeuN positive area_Grey matter,z_15,-0.014723827,0.00368399,0.014723827,-0.013610221,-0.008295707,-0.019032251,-0.015472019,-0.017208936
percent NeuN positive area_Grey matter,z_105,-0.01470865,0.0032859962,0.01470865,-0.015806632,-0.008175936,-0.016391536,-0.016240587,-0.01692856
percent NeuN positive area_Grey matter,z_116,0.014509599,0.005517808,0.014509599,0.011959489,0.004939031,0.019640801,0.016705,0.019303674
percent NeuN positive area_Grey matter,z_85,-0.014258109,0.0011342405,0.014258109,-0.012888242,-0.014246561,-0.013474492,-0.01623452,-0.014446734
percent NeuN positive area_Grey matter,z_88,0.014247352,0.0022784988,0.014247352,0.014291596,0.0101208165,0.016758138,0.014199838,0.015866373
percent NeuN positive area_Grey matter,z_92,-0.013945867,0.0026046406,0.013945867,-0.013334475,-0.0101112425,-0.018283999,-0.014093122,-0.013906492
percent NeuN positive area_Grey matter,z_77,-0.013871362,0.0023010734,0.013871362,-0.015208863,-0.009518661,-0.015754826,-0.013556344,-0.015318117
percent NeuN positive area_Grey matter,z_50,0.013699323,0.009441616,0.013699323,0.021330535,0.0026811808,0.022663942,0.0016864315,0.02013452
