source_local_path,filesystem_sha256,bytes,category,historical_or_current,decision_bearing,sensitive_class,generated_class,git_filter_alters_bytes,exact_byte_required,sync_disposition,proposed_repo_path,reason,chronology_class,source_root_kind,old_authority_sha256,delta_status
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_RECONCILIATION_MANIFEST.csv,9ee0e2f196f20677f6ea723092a8c142e6fe641322935b358093c1631757ca61,2497,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,9ee0e2f196f20677f6ea723092a8c142e6fe641322935b358093c1631757ca61,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_RECONCILIATION_MANIFEST_ROOT_SHA256.txt,1c50e9308580fcc564aaf37ee304be524563191582e931bb628b4587d9957364,66,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,1c50e9308580fcc564aaf37ee304be524563191582e931bb628b4587d9957364,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_RECONCILIATION_MULTIAGENT.md,bdc6dadbf8792e0531fe069618d2336ad4962182e321d0ee0a9c75872437a1ee,2292,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,bdc6dadbf8792e0531fe069618d2336ad4962182e321d0ee0a9c75872437a1ee,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_DECISION_RECONCILIATION_SOURCE_MANIFEST.csv,7e6e4eb7b7607326ed83f4841cd76881898bd613607bbf123b23cc14751b7c77,2110,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,7e6e4eb7b7607326ed83f4841cd76881898bd613607bbf123b23cc14751b7c77,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_FINAL_DECISION_TRUTH_TABLE_V2.json,76d420a0aa71f9b062b7394453f1f33282f7c78a956fc950fceb7ead682dcf5e,13588,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,76d420a0aa71f9b062b7394453f1f33282f7c78a956fc950fceb7ead682dcf5e,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_QUERY_IDENTITY_V2_CONTRACT_FROZEN_COPY.md,15d873871787e0820f63aaead8f27a6f1057541e16640d8492053144a9c69423,643,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,15d873871787e0820f63aaead8f27a6f1057541e16640d8492053144a9c69423,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::F1_TWO_DRAW_QUERY_STATISTICAL_CONTRACT_FROZEN_COPY.md,3df23920738169edecfe79a865456f96f73795364d8f074c290b8f3d2c8923f5,2620,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,3df23920738169edecfe79a865456f96f73795364d8f074c290b8f3d2c8923f5,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::source_snapshot/contextual_target_f1_decision_integration_v3.py,e2681cfdd624313a0686eee47adc9385643c6303256f6c08f68f3076354755e5,8475,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,e2681cfdd624313a0686eee47adc9385643c6303256f6c08f68f3076354755e5,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::source_snapshot/contextual_target_f1_decision_integration_v4.py,6e7303155cdbd540263b4699439b293748e927c7afc64b0722ae05fda8daecc0,3010,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,6e7303155cdbd540263b4699439b293748e927c7afc64b0722ae05fda8daecc0,FROM_REUSED_INVENTORY
outputs/CONTEXTUAL_TEACHER_TARGET_V1_F1_DECISION_TRUTH_TABLE_REVIEW_20260902.zip::source_snapshot/contextual_target_f1_decision_v1.py,204859f48b96d1bb268d9249596b801537f2c911183dc4a20bc30fe5683e2d34,8475,ARCHIVE_MEMBER,HISTORICAL,True,REVIEW_SAFE,ARCHIVE_MEMBER,False,False,EXCLUDE_DUPLICATE_NONAUTHORITY,,ARCHIVE_MEMBER_INVENTORY_IDENTIFIER,RECOVERED_HISTORICAL_BYTES__BACKFILLED_20260902,CANONICAL,204859f48b96d1bb268d9249596b801537f2c911183dc4a20bc30fe5683e2d34,FROM_REUSED_INVENTORY
