run_id,architecture_condition,target,target_alias,fold_id,n_train_donors,n_test_donors,n_module_features,n_residual_features,random_seed,epochs_run,best_inner_val_mse,n_train_fit_donors,n_inner_val_donors,leakage_check
v3_sea_ad_only_non_graph,expression_residual_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,1,67,17,15,1000,1108,116,0.8839188814163208,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,2,67,17,15,1000,1208,42,1.04337477684021,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,3,67,17,15,1000,1308,56,0.2841716408729553,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,4,67,17,15,1000,1408,50,0.7797960638999939,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,5,68,16,15,1000,1508,68,1.2328242063522339,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,GFAP,percent GFAP positive area_Grey matter,1,67,17,15,1000,1109,53,0.8506128787994385,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,GFAP,percent GFAP positive area_Grey matter,2,67,17,15,1000,1209,73,1.7811113595962524,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,GFAP,percent GFAP positive area_Grey matter,3,67,17,15,1000,1309,110,0.5800908207893372,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,GFAP,percent GFAP positive area_Grey matter,4,67,17,15,1000,1409,41,1.048244833946228,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,GFAP,percent GFAP positive area_Grey matter,5,68,16,15,1000,1509,49,0.7847046256065369,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,Iba1,percent Iba1 positive area_Grey matter,1,67,17,15,1000,1110,41,0.9304858446121216,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,Iba1,percent Iba1 positive area_Grey matter,2,67,17,15,1000,1210,76,1.1218000650405884,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,Iba1,percent Iba1 positive area_Grey matter,3,67,17,15,1000,1310,50,0.856703519821167,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,Iba1,percent Iba1 positive area_Grey matter,4,67,17,15,1000,1410,47,1.0876332521438599,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,Iba1,percent Iba1 positive area_Grey matter,5,68,16,15,1000,1510,55,0.7902646064758301,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,NeuN,percent NeuN positive area_Grey matter,1,67,17,15,1000,1111,51,0.29946789145469666,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,NeuN,percent NeuN positive area_Grey matter,2,67,17,15,1000,1211,50,0.853790819644928,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,NeuN,percent NeuN positive area_Grey matter,3,67,17,15,1000,1311,60,0.5908790230751038,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,NeuN,percent NeuN positive area_Grey matter,4,67,17,15,1000,1411,54,0.32807043194770813,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,expression_residual_only_mlp,NeuN,percent NeuN positive area_Grey matter,5,68,16,15,1000,1511,65,0.7836125493049622,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,AT8,percent AT8 positive area_Grey matter,1,67,17,15,1000,2107,65,1.0302174091339111,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,AT8,percent AT8 positive area_Grey matter,2,67,17,15,1000,2207,53,0.6753151416778564,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,AT8,percent AT8 positive area_Grey matter,3,67,17,15,1000,2307,73,0.5270160436630249,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,AT8,percent AT8 positive area_Grey matter,4,67,17,15,1000,2407,50,0.7374231815338135,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,AT8,percent AT8 positive area_Grey matter,5,68,16,15,1000,2507,64,0.4160122573375702,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,1,67,17,15,1000,2108,48,0.6752125024795532,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,2,67,17,15,1000,2208,54,1.2214109897613525,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,3,67,17,15,1000,2308,50,0.8869696855545044,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,4,67,17,15,1000,2408,61,1.209864854812622,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,6e10/Aβ,percent 6e10 positive area_Grey matter,5,68,16,15,1000,2508,41,0.6926237344741821,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,GFAP,percent GFAP positive area_Grey matter,1,67,17,15,1000,2109,50,0.6564115881919861,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,GFAP,percent GFAP positive area_Grey matter,2,67,17,15,1000,2209,49,1.230252742767334,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,GFAP,percent GFAP positive area_Grey matter,3,67,17,15,1000,2309,56,0.770183265209198,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,GFAP,percent GFAP positive area_Grey matter,4,67,17,15,1000,2409,60,0.5054797530174255,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,GFAP,percent GFAP positive area_Grey matter,5,68,16,15,1000,2509,48,0.98302161693573,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,Iba1,percent Iba1 positive area_Grey matter,1,67,17,15,1000,2110,44,0.15456460416316986,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,Iba1,percent Iba1 positive area_Grey matter,2,67,17,15,1000,2210,78,0.9062265157699585,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,Iba1,percent Iba1 positive area_Grey matter,3,67,17,15,1000,2310,55,1.0556137561798096,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,Iba1,percent Iba1 positive area_Grey matter,4,67,17,15,1000,2410,44,0.45782315731048584,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,Iba1,percent Iba1 positive area_Grey matter,5,68,16,15,1000,2510,41,1.1770278215408325,54,14,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,NeuN,percent NeuN positive area_Grey matter,1,67,17,15,1000,2111,60,0.7198595404624939,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,NeuN,percent NeuN positive area_Grey matter,2,67,17,15,1000,2211,58,0.6568377017974854,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,NeuN,percent NeuN positive area_Grey matter,3,67,17,15,1000,2311,52,1.3678988218307495,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,NeuN,percent NeuN positive area_Grey matter,4,67,17,15,1000,2411,55,0.6324241161346436,54,13,fold_local_scalers_feature_selection_and_inner_validation
v3_sea_ad_only_non_graph,late_fusion_module_residual_mlp,NeuN,percent NeuN positive area_Grey matter,5,68,16,15,1000,2511,67,0.6920084953308105,54,14,fold_local_scalers_feature_selection_and_inner_validation
