dataset_id,cohort,study_id,modality,source_path,source_hash,size_bytes,shape,registered_role,documentation_only,source_exists
gse301119_1c0fbaf672ab,perturbation,GSE301119,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE301119/GSE301119_CRISPRi_seurat5.rds,fc2584fad6327defb32b939c94e89fa174d3287399ab66e91b6189569b108eb3,406836813,28466x36601,myeloid_auxiliary_training,False,True
gse301119_5ff4821904a5,perturbation,GSE301119,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE301119/GSE301119_CRISPRa_seurat5.rds,2f700baff2390e257a7ae1b301204bceb5feeb823671c21f10fd3f1038450829,345798341,23584x19162,myeloid_auxiliary_training,False,True
gse311359_7d3438f8c8db,perturbation,GSE311359,perturbation_expression_or_assignment,data/external/v4/perturbation/GSE311359/GSE311359_RAW.tar,0c9cdf8722bf6ff0cf0d25b1da2363c0f63f0aa7a9d08683528f77d79846459a,670300160,unresolved_source_archive_or_table,microglial_auxiliary_training,False,True
gse97930_cerebellar_umi,normal_reference,GSE97930,expression,data/external/v4/normal_references/gse97930/GSE97930_CerebellarHem_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,87e2ef6d504fcac13aedee8fabd95a8cdd8bbffb79b285ae1dd485efde874239,6297013,"[37235, 5602]",normal_training_reference,False,True
gse97930_frontal_cortex_umi,normal_reference,GSE97930,expression,data/external/v4/normal_references/gse97930/GSE97930_FrontalCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,769f1f734bbaf75ab82a04ded7d12be0e7064afee11aa42b744b57b900729df7,12617100,"[34305, 10319]",normal_training_reference,False,True
gse97930_readme,normal_reference,GSE97930,documentation,data/external/v4/normal_references/gse97930/GSE97930_README.txt,3f957bd3098abb74e64110dfce3f010621e1fe0fedb6ec4fc83d1db499cf42a1,3073,"[""not_applicable"", ""not_applicable""]",technical_compatibility_only,True,True
gse97930_visual_cortex_umi,normal_reference,GSE97930,expression,data/external/v4/normal_references/gse97930/GSE97930_VisualCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz,1b597e33939f8e390b63afdf1cfd815314e3059ec9c4e305682a340459edb46e,28357910,"[41541, 19368]",normal_training_reference,False,True
gse99074_human_microglia_counts,normal_reference,GSE99074,expression,data/external/v4/normal_references/gse99074/GSE99074_HumanMicrogliaBrainCounts.txt.gz,c551a58db1cc235174b857490dfdf5c4987ab1897f3d539a2244fcfebddf58f2,2564392,"[""not_applicable"", ""not_applicable""]",aged_primary_microglia_reference,False,True
sea_ad_ang_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/AnG/SEAAD_AnG_RNAseq_final-nuclei.2026-06-22.h5ad,6015e7e9248ad5e4f1f63ce0820f6ea98e1bc429851e82d6a5ef69868d799839,5326721562,255953x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_caudate_rna_all_2025,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/Caudate_Nucleus/CaH_all_nuclei.2025-12-29.h5ad,be2dc3122b6bed7e4c67330ef509b6d7ddaff022a8dd28f6a578d772daf3f7d5,128171432912,945918x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_caudate_xenium_combined_2026,sea_ad,SEA_AD,Xenium,data/external/v4/sea_ad/xenium/CaH_Xenium.2026-01-07.h5ad,8ab8eac92946f55e26aace7f20c8e56027704e3f0bdd92f2609e1a843271432a,3133846231,1541477x464,future_spatial_training_and_evaluation_source,False,True
sea_ad_fi_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/FI/SEAAD_FI_RNAseq_final-nuclei.2026-06-22.h5ad,bc8e32100dbc7377583414f07b946d956b02b186d164441fffed5ac1e53d47f8,5389393159,259108x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_hip_merscope_combined_2026,sea_ad,SEA_AD,MERSCOPE,data/external/v4/sea_ad/merfish/1444211893_HPF_mapped.h5ad,0136fbb0650646b6b0e3d4d8759ea29c52d92f17ca5846600fbf24fbd4cb4f21,107711584,132120x433,future_spatial_training_and_evaluation_source,False,True
sea_ad_hip_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/HIP/SEAAD_HIP_RNAseq_final-nuclei.2026-06-22.h5ad,4320d457052c18435143f3dd2caac3916c9e6180161a309cb53876ddbb871d36,4976204965,208843x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_itg_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/ITG/SEAAD_ITG_RNAseq_final-nuclei.2026-06-22.h5ad,e2251622888ace5b6d15f92cb8620d6e8f416cb0ee663c1d8ee87ff84d48cd24,11472832562,412674x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_lec_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/LEC/SEAAD_LEC_RNAseq_final-nuclei.2026-06-22.h5ad,f1e332cc6a742c92fef14e6faf2e5bb088b68885e6eab922929c86428f12c565,4241947425,182260x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_mec_merscope_combined_2026,sea_ad,SEA_AD,MERSCOPE,data/external/v4/sea_ad/merfish/1444201261_MEC_mapped.h5ad,612cc24bb15e82c74fa9ef3f9710f355defbb03f7037ba8520b3a71f1674fca8,75877782,130345x433,future_spatial_training_and_evaluation_source,False,True
sea_ad_mec_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/MEC/SEAAD_MEC_RNAseq_final-nuclei.2026-06-22.h5ad,7204d0e31ef25eeb68bb8a20a2ae650f533698a1d4e36612387ceddda864d455,25705658446,970118x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_mtg_atac_final_2024,sea_ad,SEA_AD,snATAC,data/external/v4/sea_ad/snatac/SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad,3e6522bff115a49b6ec0e7d307f112bed60e3a67e70e35b9efd6be579b4c9dbb,18260707597,516389x218882,regulatory_prior_source,False,True
sea_ad_mtg_merfish_combined_2024,sea_ad,SEA_AD,MERFISH,data/external/v4/sea_ad/merfish/SEAAD_MTG_MERFISH.2024-12-11.h5ad,3e3dac22446a8ce66afd07c209cd74df260b2f3d7c4085ffe4732390d2054a24,497737587,1887729x180,future_spatial_training_and_evaluation_source,False,True
sea_ad_mtg_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/mtg/SEAAD_MTG_RNAseq_final-nuclei.2026-06-22.h5ad,e06000cb8fc83ebad88a52a0a7c772747c38fa92c97debcfe4f59de7cea60c79,32978570763,1178694x36601,primary_foundation_candidate,False,True
sea_ad_multiregion_immune_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/SEAAD_Immune_10-region_RNAseq_final-nuclei.2026-06-22.h5ad,2944d9f854d0a52985477cfb831e6fcecb647ad0f3698e32471631d5a9249b9f,3271409777,240651x36601,microglia_specialization_candidate,False,True
sea_ad_pfc_a9_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/a9_dlpfc/SEAAD_DFC_RNAseq_final-nuclei.2026-06-22.h5ad,d637a7fbe51a098b7624149bc9fcf141dac2b8733e13e93ac4cde0ea6606ac1a,38520614071,1357145x36601,regional_replication_candidate,False,True
sea_ad_stg_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/STG/SEAAD_STG_RNAseq_final-nuclei.2026-06-22.h5ad,3d832b56cf6aef91b5e62e416aa2109d39ef8b9f71b39463e2d323ace785cee5,16144376554,545215x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
sea_ad_v1c_rna_final_2026,sea_ad,SEA_AD,snRNA,data/external/v4/sea_ad/multiregion/V1C/SEAAD_V1C_RNAseq_final-nuclei.2026-06-22.h5ad,5b8fe467fb35d3e48eadbb5c06b14b73b822eb9b265722f0d8401538552898a3,16540631157,643336x36601,multiregion_foundation_or_replication_candidate_pending_stage81a2,False,True
siletti_hbca_all_non_neuronal,normal_reference,siletti_human_brain_cell_atlas_v1,expression,data/external/v4/normal_references/siletti_hbca/all_non_neuronal.b165f033.h5ad,ac76d2a8fc7c9a7ff1444820f0cf6df8622af91d8ee7cdadd22c860aa8bba4cb,4666929361,"[888263, 58232]",clean_normal_holdout,False,True
