donor_id,cells,split_hash,role,tail_measurable,namespace
H20.33.038,299,5fdcb44d49a055f8fd7813a9b1033de1db25f15429deb89e0cd961878d107bd0,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H19.33.004,721,675d403476d39b2bd37f4e7a7c7abecc664afa6fd443b3805bd6e2c284c4267a,CONFIRMATION,True,T0-DISCOVERY-CONFIRM-V2
H20.33.030,604,860da4d03a9ee8eabd7a2bfbabe7d5e2c03877513e1ef7030844e8abe126df79,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.031,345,8c5557b545dcd09c2dddbaf3bdbc487e25b319d13eeb62afafaf5e646231a0f6,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.037,67,98670a6fa9af67201dc14906096070e9618031e3acd43915b58089073feaf215,DISCOVERY,False,T0-DISCOVERY-CONFIRM-V2
H20.33.011,387,9e8eaa7731839bab9c2d989bfb01a566140a3ec9b04effeebb8711d3b3d4a2b4,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.034,213,a0f76ec992ed92173dd281de95dabf096284f4ca60c5c41852acaa079e8f4ed6,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.010,907,a3d50ce6f36b3db034fe7ae28d206e71d2b71976c408ccb907cd9011c5268448,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.043,736,b320dfb6d9bcc2435feeae5d1699fb2e21551274c5f26bb9cb3080da9910ce81,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.036,316,b34af3f9ee3836298fe739a676d6f3daaea29e51fc579169f1727985d284cf4a,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.044,319,b42bf825be05edb8da10bac3ff95ee187e2734a34ab59e53da041caf32185fd3,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.013,350,b47a2626cc1d26fadd10918f5b0a1e0165136ed550960fcea0fab69c368453b9,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.041,261,b57465dc112eb64d7117b6fec7f23e1df4d6b493155807027cfc69de39081a1f,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.025,892,b84ce25adfcc9d30f6400c274f46915e306a9ba5221bb3619e8cdb6b3cd694f9,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.033,587,ba84572df25bb93c7dcef6dd1d80fb09119e1e851d88f95fe0b7dc0926321d1a,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.001,822,bb51d62c1471db28960b3e08d304acd3d583f5c28d872f99b016c8d7cd404cf4,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.018,528,bb637e80b7978a315e95588c51f787cae3b403523b4752eea0341cac2b4fa031,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.035,408,bce7f1e46b479fab229e824f8ada94f8f7cfe482bfab0c83fca38622d8140586,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.043,964,c010c7a5d123153db424ec9196a171eb3b22310f643c5401fa2351d8fff5584a,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.009,258,c06ea2c2bfbb98089261bf2abf56faa493293ee2d84ceebc024de31cf20168e2,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.032,320,c0d12fd0721315cb2d227b72f14fbfd8c476b372428887de9674666015dd121b,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.029,348,cb358a0f28f91e22a3955e4dc5de75f0a5c074110c39ac08e03615fc95dad3a0,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.039,386,cc5930784e3f1d16d54416dfe40bc83717636e9f79365a68d424600d150d9aef,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.001,789,d9c305f42c7153fb11a52d9fb467935430696ab57466c7cca7200f0f0a0b95ed,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.018,755,dbbcad914d6169fcbacfa3613f0f5e387eb0adeedd824162b185db0793b6863d,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.042,440,dde383f21dd95656f442848f5e0c468b22aaffb1524c82076d1c0a73a5445b47,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.017,875,e1fb3db011a365de510e015c283646b2e7bf4f155b44f2b5e56a8a8742f7fb66,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.026,163,edc6c2754e76c6e4e04c1366bf29c54f6101f431e58d958c235bc5b4c6b0099b,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H20.33.008,186,fe4e79cad5fda75433d4ac188665711de5b3f5e548c401dd768652d93f5c65fa,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
H21.33.005,541,fe6e4709bbc7f243dbc8257e79038e959a150ba00a9378602ea9848ddc77ba05,DISCOVERY,True,T0-DISCOVERY-CONFIRM-V2
