study,sample,guide_id,target_id,target_class,n_cells,total_counts
GSE311359,S3,IFNGR1_sig_e2_g3,IFNGR1_sig_e2,other,13,58626
GSE311359,S3,IFNGR1_sig_e2_g4,IFNGR1_sig_e2,other,12,55705
GSE311359,S3,IFNGR1_sig_e3_g1,IFNGR1_sig_e3,other,8,28362
GSE311359,S3,IFNGR1_sig_e3_g2,IFNGR1_sig_e3,other,4,20858
GSE311359,S3,IFNGR1_sig_e3_g3,IFNGR1_sig_e3,other,17,65401
GSE311359,S3,IFNGR1_sig_e3_g4,IFNGR1_sig_e3,other,5,21879
GSE311359,S3,IFNGR1_sig_e3_g5,IFNGR1_sig_e3,other,12,48261
GSE311359,S3,IFNGR1_sig_e3_g6,IFNGR1_sig_e3,other,1,2262
GSE311359,S3,IFNGR1_sig_e3_g7,IFNGR1_sig_e3,other,16,81240
GSE311359,S3,IFNGR1_sig_e4_g1,IFNGR1_sig_e4,other,9,40327
GSE311359,S3,IFNGR1_sig_e4_g2,IFNGR1_sig_e4,other,14,61209
GSE311359,S3,IFNGR1_sig_e4_g3,IFNGR1_sig_e4,other,13,57272
GSE311359,S3,IFNGR1_sig_e4_g4,IFNGR1_sig_e4,other,15,68542
GSE311359,S3,IFNGR1_sig_e4_g5,IFNGR1_sig_e4,other,11,42463
GSE311359,S3,IFNGR1_sig_e4_g6,IFNGR1_sig_e4,other,21,94438
GSE311359,S3,IFNGR1_sig_e4_g7,IFNGR1_sig_e4,other,6,22071
GSE311359,S3,IFNGR1_sig_e4_g8,IFNGR1_sig_e4,other,7,28861
GSE311359,S3,IFNGR1_sig_e4_g9,IFNGR1_sig_e4,other,5,25927
GSE311359,S3,IFNGR1_sig_e5_g1,IFNGR1_sig_e5,other,7,33733
GSE311359,S3,IFNGR1_sig_e5_g2,IFNGR1_sig_e5,other,9,35076
GSE311359,S3,IFNGR1_sig_e5_g3,IFNGR1_sig_e5,other,13,67555
GSE311359,S3,IFNGR1_sig_e6_g1,IFNGR1_sig_e6,other,12,64717
GSE311359,S3,IFNGR1_sig_e6_g2,IFNGR1_sig_e6,other,6,38783
GSE311359,S3,IFNGR1_sig_e6_g3,IFNGR1_sig_e6,other,8,25363
GSE311359,S3,IFNGR1_sig_e6_g4,IFNGR1_sig_e6,other,8,37687
GSE311359,S3,IFNGR1_sig_e6_g5,IFNGR1_sig_e6,other,7,46018
GSE311359,S3,IFNGR1_sig_e7_g1,IFNGR1_sig_e7,other,10,41676
GSE311359,S3,IFNGR1_sig_e7_g2,IFNGR1_sig_e7,other,4,15883
GSE311359,S3,IFNGR1_sig_e7_g3,IFNGR1_sig_e7,other,4,22416
GSE311359,S3,C3_sig_e1_g1,C3_sig_e1,other,10,45816
GSE311359,S3,C3_sig_e1_g2,C3_sig_e1,other,15,70059
GSE311359,S3,C3_sig_e1_g4,C3_sig_e1,other,7,32720
GSE311359,S3,C3_sig_e1_g5,C3_sig_e1,other,6,26393
GSE311359,S3,C3_sig_e2_g1,C3_sig_e2,other,15,57145
GSE311359,S3,C3_sig_e2_g2,C3_sig_e2,other,10,44318
GSE311359,S3,C3_sig_e2_g3,C3_sig_e2,other,10,40487
GSE311359,S3,C3_sig_e2_g4,C3_sig_e2,other,15,71628
GSE311359,S3,C3_sig_e2_g5,C3_sig_e2,other,13,46721
GSE311359,S3,C3_sig_e2_g6,C3_sig_e2,other,12,56861
GSE311359,S3,C3_sig_e2_g7,C3_sig_e2,other,20,93984
GSE311359,S3,C3_sig_e2_g8,C3_sig_e2,other,6,20148
GSE311359,S3,C3_sig_e2_g10,C3_sig_e2,other,6,26558
GSE311359,S3,C3_sig_e2_g11,C3_sig_e2,other,4,16194
GSE311359,S3,C3_sig_e2_g12,C3_sig_e2,other,4,16522
GSE311359,S3,CD86_sig_e1_g1,CD86_sig_e1,other,17,73181
GSE311359,S3,CD86_sig_e1_g2,CD86_sig_e1,other,5,26710
GSE311359,S3,CD86_sig_e1_g3,CD86_sig_e1,other,4,14526
GSE311359,S3,CD86_sig_e1_g4,CD86_sig_e1,other,1,4627
GSE311359,S3,CD86_sig_e1_g5,CD86_sig_e1,other,12,44142
GSE311359,S3,CD86_sig_e1_g6,CD86_sig_e1,other,4,14113
GSE311359,S3,CD86_sig_e1_g7,CD86_sig_e1,other,26,129223
GSE311359,S3,CD86_sig_e1_g8,CD86_sig_e1,other,15,64074
GSE311359,S3,CD86_sig_e1_g9,CD86_sig_e1,other,5,18459
GSE311359,S3,CD86_sig_e1_g10,CD86_sig_e1,other,19,71019
GSE311359,S3,CD86_sig_e2_g1,CD86_sig_e2,other,14,52530
GSE311359,S3,CD86_sig_e2_g2,CD86_sig_e2,other,11,60538
GSE311359,S3,CD86_sig_e2_g3,CD86_sig_e2,other,10,36767
GSE311359,S3,non-targeting_00000,non-targeting_00000,non_targeting_control,17,66077
GSE311359,S3,non-targeting_00002,non-targeting_00002,non_targeting_control,12,50997
GSE311359,S3,non-targeting_00003,non-targeting_00003,non_targeting_control,11,49466
GSE311359,S3,non-targeting_00004,non-targeting_00004,non_targeting_control,3,9668
GSE311359,S3,non-targeting_00005,non-targeting_00005,non_targeting_control,25,98905
GSE311359,S3,non-targeting_00006,non-targeting_00006,non_targeting_control,2,8761
GSE311359,S3,non-targeting_00007,non-targeting_00007,non_targeting_control,15,66559
GSE311359,S3,non-targeting_00008,non-targeting_00008,non_targeting_control,14,67918
GSE311359,S3,non-targeting_00009,non-targeting_00009,non_targeting_control,3,14333
GSE311359,S3,non-targeting_00010,non-targeting_00010,non_targeting_control,5,14368
GSE311359,S3,non-targeting_00012,non-targeting_00012,non_targeting_control,6,40867
GSE311359,S3,non-targeting_00013,non-targeting_00013,non_targeting_control,13,53642
GSE311359,S3,non-targeting_00014,non-targeting_00014,non_targeting_control,7,33521
GSE311359,S3,non-targeting_00016,non-targeting_00016,non_targeting_control,7,28172
GSE311359,S3,ELMO1_tss_g4,ELMO1_tss,tss_cis_element,12,51874
GSE311359,S3,BIN1_tss_g1,BIN1_tss,tss_cis_element,7,26193
GSE311359,S3,BIN1_tss_g2,BIN1_tss,tss_cis_element,11,45591
GSE311359,S3,BIN1,BIN1,other,36,0
GSE311359,S3,BIN1,BIN1,other,36,0
GSE311359,S3,BIN1,BIN1,other,36,173590
GSE311359,S4,ELMO1_tss_g1,ELMO1_tss,tss_cis_element,2,9285
GSE311359,S4,ELMO1_tss_g2,ELMO1_tss,tss_cis_element,5,23314
GSE311359,S4,ELMO1_tss_g3,ELMO1_tss,tss_cis_element,17,99926
GSE311359,S4,MERTK_tss_g1,MERTK_tss,tss_cis_element,9,58761
GSE311359,S4,MERTK_tss_g2,MERTK_tss,tss_cis_element,11,66091
GSE311359,S4,MERTK_tss_g3,MERTK_tss,tss_cis_element,13,77835
GSE311359,S4,MAF_tss_g1,MAF_tss,tss_cis_element,4,21168
GSE311359,S4,MAF_tss_g2,MAF_tss,tss_cis_element,12,91822
GSE311359,S4,SLC25A19_tss_g1,SLC25A19_tss,tss_cis_element,17,97052
GSE311359,S4,SLC25A19_tss_g2,SLC25A19_tss,tss_cis_element,6,42036
GSE311359,S4,SLC25A19_tss_g3,SLC25A19_tss,tss_cis_element,6,46987
GSE311359,S4,MARCHF1_tss_g2,MARCHF1_tss,tss_cis_element,3,12573
GSE311359,S4,MARCHF1_tss_g3,MARCHF1_tss,tss_cis_element,9,57429
GSE311359,S4,IRF5_tss_g1,IRF5_tss,tss_cis_element,4,27659
GSE311359,S4,IRF5_tss_g2,IRF5_tss,tss_cis_element,14,89230
GSE311359,S4,IRF5_tss_g3,IRF5_tss,tss_cis_element,11,65167
GSE311359,S4,IFNGR1_tss_g1,IFNGR1_tss,tss_cis_element,8,40456
GSE311359,S4,IFNGR1_tss_g2,IFNGR1_tss,tss_cis_element,14,89675
GSE311359,S4,IFNGR1_tss_g3,IFNGR1_tss,tss_cis_element,1,4699
GSE311359,S4,C3_tss_g1,C3_tss,tss_cis_element,1,6939
GSE311359,S4,C3_tss_g2,C3_tss,tss_cis_element,6,41736
GSE311359,S4,C3_tss_g3,C3_tss,tss_cis_element,30,187178
GSE311359,S4,CD86_tss_g1,CD86_tss,tss_cis_element,21,129528
GSE311359,S4,CD86_tss_g2,CD86_tss,tss_cis_element,2,14388
GSE311359,S4,ELMO1_nsig_e1_g1,ELMO1_nsig_e1,other,1,9559
GSE311359,S4,ELMO1_nsig_e1_g2,ELMO1_nsig_e1,other,5,39207
GSE311359,S4,ELMO1_nsig_e1_g3,ELMO1_nsig_e1,other,8,46940
GSE311359,S4,ELMO1_nsig_e1_g4,ELMO1_nsig_e1,other,6,30469
GSE311359,S4,ELMO1_nsig_e1_g5,ELMO1_nsig_e1,other,2,11038
GSE311359,S4,ELMO1_nsig_e2_g1,ELMO1_nsig_e2,other,29,135720
GSE311359,S4,ELMO1_nsig_e2_g3,ELMO1_nsig_e2,other,14,79462
GSE311359,S4,ELMO1_nsig_e2_g5,ELMO1_nsig_e2,other,6,42516
GSE311359,S4,ELMO1_nsig_e3_g2,ELMO1_nsig_e3,other,13,68087
GSE311359,S4,ELMO1_nsig_e3_g4,ELMO1_nsig_e3,other,11,67918
GSE311359,S4,ELMO1_nsig_e3_g5,ELMO1_nsig_e3,other,12,86792
GSE311359,S4,ELMO1_nsig_gwas_g1,ELMO1_nsig_gwas,other,9,53387
GSE311359,S4,ELMO1_nsig_gwas_g2,ELMO1_nsig_gwas,other,9,59011
GSE311359,S4,ELMO1_nsig_gwas_g3,ELMO1_nsig_gwas,other,4,25125
GSE311359,S4,ELMO1_nsig_gwas_g4,ELMO1_nsig_gwas,other,4,18395
GSE311359,S4,ELMO1_nsig_gwas_g5,ELMO1_nsig_gwas,other,9,47830
GSE311359,S4,MERTK_nsig_e1_g1,MERTK_nsig_e1,other,13,104053
GSE311359,S4,MERTK_nsig_e1_g2,MERTK_nsig_e1,other,15,97350
GSE311359,S4,MERTK_nsig_e1_g3,MERTK_nsig_e1,other,6,37120
GSE311359,S4,MERTK_nsig_e1_g4,MERTK_nsig_e1,other,17,104911
GSE311359,S4,MERTK_nsig_e1_g5,MERTK_nsig_e1,other,22,127605
GSE311359,S4,MERTK_nsig_e2_g1,MERTK_nsig_e2,other,23,129403
GSE311359,S4,MERTK_nsig_e2_g2,MERTK_nsig_e2,other,14,80224
GSE311359,S4,MERTK_nsig_e2_g3,MERTK_nsig_e2,other,4,18444
GSE311359,S4,MERTK_nsig_e2_g4,MERTK_nsig_e2,other,3,12660
GSE311359,S4,MERTK_nsig_e2_g5,MERTK_nsig_e2,other,13,80341
GSE311359,S4,MERTK_nsig_e2_g6,MERTK_nsig_e2,other,8,44350
GSE311359,S4,MERTK_nsig_e2_g7,MERTK_nsig_e2,other,16,102512
GSE311359,S4,MERTK_nsig_e2_g8,MERTK_nsig_e2,other,5,26241
GSE311359,S4,MERTK_nsig_e3_g1,MERTK_nsig_e3,other,15,107716
GSE311359,S4,MERTK_nsig_e3_g3,MERTK_nsig_e3,other,14,67956
GSE311359,S4,MERTK_nsig_e3_g4,MERTK_nsig_e3,other,12,64321
GSE311359,S4,MERTK_nsig_e3_g5,MERTK_nsig_e3,other,4,25679
GSE311359,S4,MERTK_nsig_e4_g1,MERTK_nsig_e4,other,8,36392
GSE311359,S4,MERTK_nsig_e4_g2,MERTK_nsig_e4,other,10,69164
GSE311359,S4,MAF_nsig_e1_g1,MAF_nsig_e1,other,14,80443
GSE311359,S4,MAF_nsig_e1_g2,MAF_nsig_e1,other,13,80413
GSE311359,S4,MAF_nsig_e1_g3,MAF_nsig_e1,other,8,36417
GSE311359,S4,MAF_nsig_e1_g4,MAF_nsig_e1,other,14,82035
GSE311359,S4,MAF_nsig_e1_g5,MAF_nsig_e1,other,14,78774
GSE311359,S4,MAF_nsig_e2_g1,MAF_nsig_e2,other,11,70791
GSE311359,S4,MAF_nsig_e2_g2,MAF_nsig_e2,other,11,80700
GSE311359,S4,MAF_nsig_e2_g3,MAF_nsig_e2,other,11,66217
GSE311359,S4,MAF_genebodyctrl_g1,MAF_genebodyctrl,other,3,14138
GSE311359,S4,MAF_genebodyctrl_g2,MAF_genebodyctrl,other,16,101315
GSE311359,S4,MAF_genebodyctrl_g3,MAF_genebodyctrl,other,17,94379
GSE311359,S4,MARCHF1_nsig_e1_g1,MARCHF1_nsig_e1,other,13,83360
GSE311359,S4,MARCHF1_nsig_e1_g2,MARCHF1_nsig_e1,other,6,44737
GSE311359,S4,MARCHF1_nsig_e1_g4,MARCHF1_nsig_e1,other,4,29225
GSE311359,S4,MARCHF1_nsig_e1_g5,MARCHF1_nsig_e1,other,5,34762
GSE311359,S4,MARCHF1_nsig_e2_g2,MARCHF1_nsig_e2,other,11,61890
GSE311359,S4,MARCHF1_nsig_e2_g4,MARCHF1_nsig_e2,other,8,46757
GSE311359,S4,MARCHF1_nsig_e2_g5,MARCHF1_nsig_e2,other,11,68223
GSE311359,S4,IRF5_nsig_e1_g1,IRF5_nsig_e1,other,6,39919
GSE311359,S4,IRF5_nsig_e1_g2,IRF5_nsig_e1,other,18,103505
GSE311359,S4,IRF5_nsig_e1_g3,IRF5_nsig_e1,other,8,36729
GSE311359,S4,IRF5_nsig_e1_g4,IRF5_nsig_e1,other,8,51690
GSE311359,S4,IRF5_nsig_e1_g5,IRF5_nsig_e1,other,9,68983
GSE311359,S4,SLC25A19_nsig_e1_g1,SLC25A19_nsig_e1,other,3,20505
GSE311359,S4,SLC25A19_nsig_e1_g2,SLC25A19_nsig_e1,other,16,94194
GSE311359,S4,SLC25A19_nsig_e1_g3,SLC25A19_nsig_e1,other,5,29469
GSE311359,S4,SLC25A19_nsig_e1_g4,SLC25A19_nsig_e1,other,16,83111
GSE311359,S4,SLC25A19_nsig_e1_g5,SLC25A19_nsig_e1,other,18,109385
GSE311359,S4,SLC25A19_nsig_e2_g1,SLC25A19_nsig_e2,other,6,37111
GSE311359,S4,SLC25A19_nsig_e2_g3,SLC25A19_nsig_e2,other,10,50101
GSE311359,S4,SLC25A19_nsig_e2_g4,SLC25A19_nsig_e2,other,1,4351
GSE311359,S4,SLC25A19_nsig_e2_g5,SLC25A19_nsig_e2,other,17,99800
GSE311359,S4,IFNGR1_nsig_e1_g1,IFNGR1_nsig_e1,other,12,67006
GSE311359,S4,IFNGR1_nsig_e1_g2,IFNGR1_nsig_e1,other,7,33741
GSE311359,S4,IFNGR1_nsig_e1_g3,IFNGR1_nsig_e1,other,5,33659
GSE311359,S4,IFNGR1_nsig_e1_g4,IFNGR1_nsig_e1,other,8,39725
GSE311359,S4,IFNGR1_nsig_e1_g5,IFNGR1_nsig_e1,other,5,34678
GSE311359,S4,IFNGR1_nsig_e1_g6,IFNGR1_nsig_e1,other,6,48109
GSE311359,S4,IFNGR1_nsig_e1_g7,IFNGR1_nsig_e1,other,9,48249
GSE311359,S4,IFNGR1_nsig_e2_g1,IFNGR1_nsig_e2,other,1,8946
GSE311359,S4,IFNGR1_nsig_e2_g2,IFNGR1_nsig_e2,other,6,46906
GSE311359,S4,IFNGR1_nsig_e2_g3,IFNGR1_nsig_e2,other,14,80276
GSE311359,S4,IFNGR1_nsig_e2_g4,IFNGR1_nsig_e2,other,24,127921
GSE311359,S4,IFNGR1_nsig_e2_g5,IFNGR1_nsig_e2,other,15,93715
GSE311359,S4,C3_nsig_e1_g1,C3_nsig_e1,other,10,61193
GSE311359,S4,C3_nsig_e1_g2,C3_nsig_e1,other,6,35864
GSE311359,S4,C3_nsig_e1_g3,C3_nsig_e1,other,25,112281
GSE311359,S4,CD86_nsig_e1_g1,CD86_nsig_e1,other,19,109735
GSE311359,S4,CD86_nsig_e1_g2,CD86_nsig_e1,other,10,57370
GSE311359,S4,CD86_nsig_e1_g3,CD86_nsig_e1,other,14,81921
GSE311359,S4,CD86_nsig_e2_g1,CD86_nsig_e2,other,19,111140
GSE311359,S4,CD86_nsig_e2_g2,CD86_nsig_e2,other,15,90292
GSE311359,S4,CD86_nsig_e2_g3,CD86_nsig_e2,other,13,77257
GSE311359,S4,ELMO1_sig_e1_g1,ELMO1_sig_e1,other,20,106667
GSE311359,S4,ELMO1_sig_e1_g2,ELMO1_sig_e1,other,16,92375
GSE311359,S4,ELMO1_sig_e1_g3,ELMO1_sig_e1,other,6,37065
GSE311359,S4,ELMO1_sig_e1_g4,ELMO1_sig_e1,other,11,70390
GSE311359,S4,ELMO1_sig_e1_g5,ELMO1_sig_e1,other,19,132036
GSE311359,S4,ELMO1_sig_e1_g7,ELMO1_sig_e1,other,6,32126
GSE311359,S4,ELMO1_sig_e1_g8,ELMO1_sig_e1,other,6,45711
GSE311359,S4,ELMO1_sig_e2_g1,ELMO1_sig_e2,other,13,71614
GSE311359,S4,ELMO1_sig_e2_g2,ELMO1_sig_e2,other,8,54169
GSE311359,S4,ELMO1_sig_e2_g3,ELMO1_sig_e2,other,17,116981
GSE311359,S4,ELMO1_sig_e2_g4,ELMO1_sig_e2,other,13,80594
GSE311359,S4,ELMO1_sig_e2_g5,ELMO1_sig_e2,other,7,51610
GSE311359,S4,ELMO1_sig_e2_g6,ELMO1_sig_e2,other,5,31964
GSE311359,S4,ELMO1_sig_e2_g7,ELMO1_sig_e2,other,25,139831
GSE311359,S4,ELMO1_sig_e2_g8,ELMO1_sig_e2,other,4,26092
GSE311359,S4,ELMO1_sig_e2_g9,ELMO1_sig_e2,other,19,107298
GSE311359,S4,ELMO1_sig_e2_g10,ELMO1_sig_e2,other,4,31535
GSE311359,S4,ELMO1_sig_e2_g11,ELMO1_sig_e2,other,2,18041
GSE311359,S4,ELMO1_sig_e2_g12,ELMO1_sig_e2,other,1,9023
GSE311359,S4,ELMO1_sig_e2_g13,ELMO1_sig_e2,other,15,104652
GSE311359,S4,ELMO1_sig_e3_g1,ELMO1_sig_e3,other,11,78040
GSE311359,S4,ELMO1_sig_e3_g2,ELMO1_sig_e3,other,10,64740
GSE311359,S4,ELMO1_sig_e3_g3,ELMO1_sig_e3,other,17,111881
GSE311359,S4,ELMO1_sig_e3_g4,ELMO1_sig_e3,other,23,141120
GSE311359,S4,ELMO1_sig_e3_g5,ELMO1_sig_e3,other,18,95158
GSE311359,S4,ELMO1_sig_e4_g1,ELMO1_sig_e4,other,10,60447
GSE311359,S4,ELMO1_sig_e4_g2,ELMO1_sig_e4,other,10,54810
GSE311359,S4,ELMO1_sig_e4_g3,ELMO1_sig_e4,other,9,61157
GSE311359,S4,ELMO1_sig_e4_g4,ELMO1_sig_e4,other,12,58064
GSE311359,S4,ELMO1_sig_e4_g5,ELMO1_sig_e4,other,13,70710
GSE311359,S4,ELMO1_sig_e5_g1,ELMO1_sig_e5,other,15,87388
GSE311359,S4,ELMO1_sig_e5_g2,ELMO1_sig_e5,other,12,74901
GSE311359,S4,ELMO1_sig_e5_g3,ELMO1_sig_e5,other,23,150922
GSE311359,S4,ELMO1_sig_e5_g4,ELMO1_sig_e5,other,10,52616
GSE311359,S4,ELMO1_sig_e5_g5,ELMO1_sig_e5,other,8,53500
GSE311359,S4,ELMO1_sig_e5_g6,ELMO1_sig_e5,other,13,71616
GSE311359,S4,ELMO1_sig_e5_g7,ELMO1_sig_e5,other,6,40358
GSE311359,S4,ELMO1_sig_e5_g8,ELMO1_sig_e5,other,23,135127
GSE311359,S4,MERTK_sig_e1_g1,MERTK_sig_e1,other,12,62160
GSE311359,S4,MERTK_sig_e1_g2,MERTK_sig_e1,other,12,80356
GSE311359,S4,MERTK_sig_e1_g3,MERTK_sig_e1,other,9,57546
GSE311359,S4,MERTK_sig_e1_g4,MERTK_sig_e1,other,5,24242
GSE311359,S4,MERTK_sig_e1_g5,MERTK_sig_e1,other,6,40773
GSE311359,S4,MERTK_sig_e1_g6,MERTK_sig_e1,other,19,112660
GSE311359,S4,MERTK_sig_e1_g7,MERTK_sig_e1,other,42,234398
GSE311359,S4,MERTK_sig_e1_g8,MERTK_sig_e1,other,11,53063
GSE311359,S4,MERTK_sig_e1_g9,MERTK_sig_e1,other,34,209056
GSE311359,S4,MERTK_sig_e1_g10,MERTK_sig_e1,other,7,42161
GSE311359,S4,MERTK_sig_e2_g1,MERTK_sig_e2,other,9,56890
GSE311359,S4,MERTK_sig_e2_g4,MERTK_sig_e2,other,5,30708
GSE311359,S4,MERTK_sig_e2_g5,MERTK_sig_e2,other,7,44185
GSE311359,S4,MERTK_sig_e2_g6,MERTK_sig_e2,other,40,257874
GSE311359,S4,MERTK_sig_e2_g7,MERTK_sig_e2,other,11,62498
GSE311359,S4,MERTK_sig_e2_g8,MERTK_sig_e2,other,14,92548
GSE311359,S4,MERTK_sig_e3_g1,MERTK_sig_e3,other,6,41129
GSE311359,S4,MERTK_sig_e3_g2,MERTK_sig_e3,other,11,62531
GSE311359,S4,MERTK_sig_e3_g3,MERTK_sig_e3,other,11,61113
GSE311359,S4,MERTK_sig_e3_g4,MERTK_sig_e3,other,3,12940
GSE311359,S4,MERTK_sig_e3_g5,MERTK_sig_e3,other,20,125368
GSE311359,S4,MERTK_sig_e4_g1,MERTK_sig_e4,other,19,113979
GSE311359,S4,MERTK_sig_e4_g3,MERTK_sig_e4,other,20,115139
GSE311359,S4,MERTK_sig_e4_g4,MERTK_sig_e4,other,9,65176
GSE311359,S4,MERTK_sig_e4_g5,MERTK_sig_e4,other,15,84478
GSE311359,S4,MERTK_sig_e4_g6,MERTK_sig_e4,other,10,57281
GSE311359,S4,MERTK_sig_e4_g7,MERTK_sig_e4,other,11,67958
GSE311359,S4,MAF_sig_e1_g1,MAF_sig_e1,other,19,115130
GSE311359,S4,MAF_sig_e1_g2,MAF_sig_e1,other,19,109298
GSE311359,S4,MAF_sig_e1_g4,MAF_sig_e1,other,5,28732
GSE311359,S4,MAF_sig_e2_g1,MAF_sig_e2,other,9,53320
GSE311359,S4,MAF_sig_e2_g2,MAF_sig_e2,other,1,3636
GSE311359,S4,MAF_sig_e2_g3,MAF_sig_e2,other,14,81283
GSE311359,S4,MAF_sig_e3_g1,MAF_sig_e3,other,18,118257
GSE311359,S4,MAF_sig_e3_g2,MAF_sig_e3,other,15,95295
GSE311359,S4,MAF_sig_e3_g3,MAF_sig_e3,other,16,107651
GSE311359,S4,MAF_sig_e3_g4,MAF_sig_e3,other,14,74685
GSE311359,S4,MAF_sig_e3_g5,MAF_sig_e3,other,29,177037
GSE311359,S4,MAF_sig_e4_g1,MAF_sig_e4,other,11,70165
GSE311359,S4,MAF_sig_e4_g2,MAF_sig_e4,other,10,63181
GSE311359,S4,MAF_sig_e4_g3,MAF_sig_e4,other,18,101391
GSE311359,S4,MAF_sig_e4_g4,MAF_sig_e4,other,7,42419
GSE311359,S4,MAF_sig_e4_g5,MAF_sig_e4,other,5,36552
GSE311359,S4,MAF_sig_e4_g6,MAF_sig_e4,other,5,25280
GSE311359,S4,MAF_sig_e4_g7,MAF_sig_e4,other,1,4463
GSE311359,S4,MAF_sig_e4_g8,MAF_sig_e4,other,12,70001
GSE311359,S4,MAF_sig_e4_g9,MAF_sig_e4,other,9,52683
GSE311359,S4,MARCHF1_sig_e1_g1,MARCHF1_sig_e1,other,14,79328
GSE311359,S4,MARCHF1_sig_e1_g2,MARCHF1_sig_e1,other,12,68550
GSE311359,S4,MARCHF1_sig_e1_g3,MARCHF1_sig_e1,other,6,38310
GSE311359,S4,MARCHF1_sig_e1_g4,MARCHF1_sig_e1,other,10,65000
GSE311359,S4,MARCHF1_sig_e1_g5,MARCHF1_sig_e1,other,7,42876
GSE311359,S4,MARCHF1_sig_e2_g2,MARCHF1_sig_e2,other,18,112493
GSE311359,S4,MARCHF1_sig_e2_g3,MARCHF1_sig_e2,other,24,153621
GSE311359,S4,MARCHF1_sig_e2_g4,MARCHF1_sig_e2,other,22,144596
GSE311359,S4,MARCHF1_sig_e2_g5,MARCHF1_sig_e2,other,11,65979
GSE311359,S4,MARCHF1_sig_e2_g6,MARCHF1_sig_e2,other,13,81531
GSE311359,S4,MARCHF1_sig_e2_g7,MARCHF1_sig_e2,other,7,36432
GSE311359,S4,MARCHF1_sig_e2_g8,MARCHF1_sig_e2,other,20,120147
GSE311359,S4,MARCHF1_sig_e2_g9,MARCHF1_sig_e2,other,10,56747
GSE311359,S4,MARCHF1_sig_e2_g10,MARCHF1_sig_e2,other,13,69334
GSE311359,S4,MARCHF1_sig_e2_g11,MARCHF1_sig_e2,other,10,57261
GSE311359,S4,MARCHF1_sig_e2_g12,MARCHF1_sig_e2,other,14,70896
GSE311359,S4,IRF5_sig_e1_g1,IRF5_sig_e1,other,20,144541
GSE311359,S4,IRF5_sig_e1_g2,IRF5_sig_e1,other,22,120327
GSE311359,S4,IRF5_sig_e1_g3,IRF5_sig_e1,other,13,103660
GSE311359,S4,IRF5_sig_e1_g5,IRF5_sig_e1,other,7,39913
GSE311359,S4,IRF5_sig_e1_g6,IRF5_sig_e1,other,7,37831
GSE311359,S4,IRF5_sig_e1_g7,IRF5_sig_e1,other,12,82213
GSE311359,S4,IRF5_sig_e1_g8,IRF5_sig_e1,other,5,39757
GSE311359,S4,IRF5_sig_e1_g9,IRF5_sig_e1,other,3,18016
GSE311359,S4,IRF5_sig_e1_g10,IRF5_sig_e1,other,8,42951
GSE311359,S4,SLC25A19_sig_e1_g1,SLC25A19_sig_e1,other,16,98509
GSE311359,S4,SLC25A19_sig_e1_g2,SLC25A19_sig_e1,other,6,25478
GSE311359,S4,SLC25A19_sig_e1_g3,SLC25A19_sig_e1,other,15,78715
GSE311359,S4,SLC25A19_sig_e1_g5,SLC25A19_sig_e1,other,15,77484
GSE311359,S4,SLC25A19_sig_e2_g1,SLC25A19_sig_e2,other,4,23733
GSE311359,S4,SLC25A19_sig_e2_g2,SLC25A19_sig_e2,other,6,45198
GSE311359,S4,SLC25A19_sig_e2_g3,SLC25A19_sig_e2,other,7,47860
GSE311359,S4,SLC25A19_sig_e2_g4,SLC25A19_sig_e2,other,9,56495
GSE311359,S4,SLC25A19_sig_e2_g5,SLC25A19_sig_e2,other,29,172439
GSE311359,S4,SLC25A19_sig_e3_g1,SLC25A19_sig_e3,other,10,66547
GSE311359,S4,SLC25A19_sig_e3_g2,SLC25A19_sig_e3,other,2,8456
GSE311359,S4,SLC25A19_sig_e3_g3,SLC25A19_sig_e3,other,11,83814
GSE311359,S4,SLC25A19_sig_e3_g4,SLC25A19_sig_e3,other,12,64303
GSE311359,S4,SLC25A19_sig_e3_g5,SLC25A19_sig_e3,other,3,17920
GSE311359,S4,SLC25A19_sig_e4_g1,SLC25A19_sig_e4,other,15,105482
GSE311359,S4,SLC25A19_sig_e4_g2,SLC25A19_sig_e4,other,16,113115
GSE311359,S4,SLC25A19_sig_e4_g3,SLC25A19_sig_e4,other,18,118664
GSE311359,S4,SLC25A19_sig_e4_g4,SLC25A19_sig_e4,other,23,131261
GSE311359,S4,SLC25A19_sig_e4_g6,SLC25A19_sig_e4,other,51,321017
GSE311359,S4,SLC25A19_sig_e4_g7,SLC25A19_sig_e4,other,5,18803
GSE311359,S4,SLC25A19_sig_e4_g8,SLC25A19_sig_e4,other,17,107751
GSE311359,S4,SLC25A19_sig_e4_g9,SLC25A19_sig_e4,other,9,63574
GSE311359,S4,SLC25A19_sig_e4_g10,SLC25A19_sig_e4,other,14,85499
GSE311359,S4,SLC25A19_sig_e4_g11,SLC25A19_sig_e4,other,13,81249
GSE311359,S4,SLC25A19_sig_e4_g12,SLC25A19_sig_e4,other,16,114737
GSE311359,S4,SLC25A19_sig_e4_g13,SLC25A19_sig_e4,other,14,89037
GSE311359,S4,SLC25A19_sig_e4_g14,SLC25A19_sig_e4,other,15,97353
GSE311359,S4,SLC25A19_sig_e4_g15,SLC25A19_sig_e4,other,1,4301
GSE311359,S4,SLC25A19_sig_e4_g16,SLC25A19_sig_e4,other,11,74265
