study,system,sample,target_id,target_class,nominated_gene,engagement_measurable,engagement_unavailable_reason,n_guides,n_cells,n_nt_guides,n_nt_cells,target_log2fc_mean,target_log2fc_se
GSE311359,iPSC_derived_microglia,S3,ELMO1_nsig_e1,other,ELMO1_nsig_e1,False,no measured feature matches the nominated cis gene,4,23,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_nsig_e1,other,ELMO1_nsig_e1,False,no measured feature matches the nominated cis gene,5,22,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_nsig_e1,other,ELMO1_nsig_e1,False,no measured feature matches the nominated cis gene,5,20,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_nsig_e1,other,ELMO1_nsig_e1,False,no measured feature matches the nominated cis gene,2,10,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_nsig_e1,other,ELMO1_nsig_e1,False,no measured feature matches the nominated cis gene,4,25,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_nsig_e2,other,ELMO1_nsig_e2,False,no measured feature matches the nominated cis gene,3,50,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_nsig_e2,other,ELMO1_nsig_e2,False,no measured feature matches the nominated cis gene,3,47,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_nsig_e2,other,ELMO1_nsig_e2,False,no measured feature matches the nominated cis gene,3,52,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_nsig_e2,other,ELMO1_nsig_e2,False,no measured feature matches the nominated cis gene,3,49,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_nsig_e2,other,ELMO1_nsig_e2,False,no measured feature matches the nominated cis gene,3,49,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_nsig_e2,other,ELMO1_nsig_e2,False,no measured feature matches the nominated cis gene,3,40,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_nsig_e2,other,ELMO1_nsig_e2,False,no measured feature matches the nominated cis gene,3,42,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_nsig_e3,other,ELMO1_nsig_e3,False,no measured feature matches the nominated cis gene,3,42,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_nsig_e3,other,ELMO1_nsig_e3,False,no measured feature matches the nominated cis gene,3,33,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_nsig_e3,other,ELMO1_nsig_e3,False,no measured feature matches the nominated cis gene,3,38,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_nsig_e3,other,ELMO1_nsig_e3,False,no measured feature matches the nominated cis gene,3,36,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_nsig_e3,other,ELMO1_nsig_e3,False,no measured feature matches the nominated cis gene,3,52,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_nsig_e3,other,ELMO1_nsig_e3,False,no measured feature matches the nominated cis gene,3,47,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_nsig_e3,other,ELMO1_nsig_e3,False,no measured feature matches the nominated cis gene,3,46,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_nsig_gwas,other,ELMO1_nsig_gwas,False,no measured feature matches the nominated cis gene,5,40,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_nsig_gwas,other,ELMO1_nsig_gwas,False,no measured feature matches the nominated cis gene,5,31,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_nsig_gwas,other,ELMO1_nsig_gwas,False,no measured feature matches the nominated cis gene,5,34,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_nsig_gwas,other,ELMO1_nsig_gwas,False,no measured feature matches the nominated cis gene,5,35,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_nsig_gwas,other,ELMO1_nsig_gwas,False,no measured feature matches the nominated cis gene,5,38,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_nsig_gwas,other,ELMO1_nsig_gwas,False,no measured feature matches the nominated cis gene,5,34,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_nsig_gwas,other,ELMO1_nsig_gwas,False,no measured feature matches the nominated cis gene,5,39,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_sig_e1,other,ELMO1_sig_e1,False,no measured feature matches the nominated cis gene,8,81,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_sig_e1,other,ELMO1_sig_e1,False,no measured feature matches the nominated cis gene,7,74,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_sig_e1,other,ELMO1_sig_e1,False,no measured feature matches the nominated cis gene,7,76,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_sig_e1,other,ELMO1_sig_e1,False,no measured feature matches the nominated cis gene,7,84,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_sig_e1,other,ELMO1_sig_e1,False,no measured feature matches the nominated cis gene,7,61,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_sig_e1,other,ELMO1_sig_e1,False,no measured feature matches the nominated cis gene,8,81,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_sig_e1,other,ELMO1_sig_e1,False,no measured feature matches the nominated cis gene,7,84,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_sig_e2,other,ELMO1_sig_e2,False,no measured feature matches the nominated cis gene,13,144,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_sig_e2,other,ELMO1_sig_e2,False,no measured feature matches the nominated cis gene,12,136,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_sig_e2,other,ELMO1_sig_e2,False,no measured feature matches the nominated cis gene,12,140,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_sig_e2,other,ELMO1_sig_e2,False,no measured feature matches the nominated cis gene,13,133,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_sig_e2,other,ELMO1_sig_e2,False,no measured feature matches the nominated cis gene,11,100,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_sig_e2,other,ELMO1_sig_e2,False,no measured feature matches the nominated cis gene,12,113,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_sig_e2,other,ELMO1_sig_e2,False,no measured feature matches the nominated cis gene,11,136,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_sig_e3,other,ELMO1_sig_e3,False,no measured feature matches the nominated cis gene,5,74,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_sig_e3,other,ELMO1_sig_e3,False,no measured feature matches the nominated cis gene,5,78,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_sig_e3,other,ELMO1_sig_e3,False,no measured feature matches the nominated cis gene,5,73,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_sig_e3,other,ELMO1_sig_e3,False,no measured feature matches the nominated cis gene,5,79,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_sig_e3,other,ELMO1_sig_e3,False,no measured feature matches the nominated cis gene,5,90,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_sig_e3,other,ELMO1_sig_e3,False,no measured feature matches the nominated cis gene,5,76,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_sig_e3,other,ELMO1_sig_e3,False,no measured feature matches the nominated cis gene,5,79,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_sig_e4,other,ELMO1_sig_e4,False,no measured feature matches the nominated cis gene,5,59,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_sig_e4,other,ELMO1_sig_e4,False,no measured feature matches the nominated cis gene,5,52,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_sig_e4,other,ELMO1_sig_e4,False,no measured feature matches the nominated cis gene,5,62,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_sig_e4,other,ELMO1_sig_e4,False,no measured feature matches the nominated cis gene,5,54,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_sig_e4,other,ELMO1_sig_e4,False,no measured feature matches the nominated cis gene,5,65,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_sig_e4,other,ELMO1_sig_e4,False,no measured feature matches the nominated cis gene,5,61,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_sig_e4,other,ELMO1_sig_e4,False,no measured feature matches the nominated cis gene,5,69,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_sig_e5,other,ELMO1_sig_e5,False,no measured feature matches the nominated cis gene,8,134,15,145,,
GSE311359,iPSC_derived_microglia,S2,ELMO1_sig_e5,other,ELMO1_sig_e5,False,no measured feature matches the nominated cis gene,8,124,12,143,,
GSE311359,iPSC_derived_microglia,S3,ELMO1_sig_e5,other,ELMO1_sig_e5,False,no measured feature matches the nominated cis gene,8,132,14,140,,
GSE311359,iPSC_derived_microglia,S4,ELMO1_sig_e5,other,ELMO1_sig_e5,False,no measured feature matches the nominated cis gene,8,110,13,145,,
GSE311359,iPSC_derived_microglia,S5,ELMO1_sig_e5,other,ELMO1_sig_e5,False,no measured feature matches the nominated cis gene,8,96,15,148,,
GSE311359,iPSC_derived_microglia,S6,ELMO1_sig_e5,other,ELMO1_sig_e5,False,no measured feature matches the nominated cis gene,8,128,13,129,,
GSE311359,iPSC_derived_microglia,S7,ELMO1_sig_e5,other,ELMO1_sig_e5,False,no measured feature matches the nominated cis gene,8,113,13,135,,
GSE311359,iPSC_derived_microglia,S1,ELMO1_tss,tss_cis_element,ELMO1,True,,3,38,15,145,-1.9228295068696433,2.3715335048299293
GSE311359,iPSC_derived_microglia,S2,ELMO1_tss,tss_cis_element,ELMO1,True,,3,32,12,143,-2.283486296416689,2.1858020344794102
GSE311359,iPSC_derived_microglia,S3,ELMO1_tss,tss_cis_element,ELMO1,True,,4,30,14,140,-3.9209191095504377,1.9984716131299343
GSE311359,iPSC_derived_microglia,S4,ELMO1_tss,tss_cis_element,ELMO1,True,,4,41,13,145,-0.9028942546203407,0.4373317379152212
GSE311359,iPSC_derived_microglia,S5,ELMO1_tss,tss_cis_element,ELMO1,True,,4,40,15,148,-4.152296941826082,1.6747482384142864
GSE311359,iPSC_derived_microglia,S6,ELMO1_tss,tss_cis_element,ELMO1,True,,4,34,13,129,-2.499127946861197,1.6086656995864774
GSE311359,iPSC_derived_microglia,S7,ELMO1_tss,tss_cis_element,ELMO1,True,,4,39,13,135,-5.677633779117851,1.8766152323279703
GSE311359,iPSC_derived_microglia,S1,IFNGR1_nsig_e1,other,IFNGR1_nsig_e1,False,no measured feature matches the nominated cis gene,7,39,15,145,,
GSE311359,iPSC_derived_microglia,S2,IFNGR1_nsig_e1,other,IFNGR1_nsig_e1,False,no measured feature matches the nominated cis gene,7,53,12,143,,
GSE311359,iPSC_derived_microglia,S3,IFNGR1_nsig_e1,other,IFNGR1_nsig_e1,False,no measured feature matches the nominated cis gene,7,67,14,140,,
GSE311359,iPSC_derived_microglia,S4,IFNGR1_nsig_e1,other,IFNGR1_nsig_e1,False,no measured feature matches the nominated cis gene,7,52,13,145,,
GSE311359,iPSC_derived_microglia,S5,IFNGR1_nsig_e1,other,IFNGR1_nsig_e1,False,no measured feature matches the nominated cis gene,8,49,15,148,,
GSE311359,iPSC_derived_microglia,S6,IFNGR1_nsig_e1,other,IFNGR1_nsig_e1,False,no measured feature matches the nominated cis gene,7,53,13,129,,
GSE311359,iPSC_derived_microglia,S7,IFNGR1_nsig_e1,other,IFNGR1_nsig_e1,False,no measured feature matches the nominated cis gene,7,42,13,135,,
GSE311359,iPSC_derived_microglia,S1,IFNGR1_nsig_e2,other,IFNGR1_nsig_e2,False,no measured feature matches the nominated cis gene,5,67,15,145,,
GSE311359,iPSC_derived_microglia,S2,IFNGR1_nsig_e2,other,IFNGR1_nsig_e2,False,no measured feature matches the nominated cis gene,5,50,12,143,,
GSE311359,iPSC_derived_microglia,S3,IFNGR1_nsig_e2,other,IFNGR1_nsig_e2,False,no measured feature matches the nominated cis gene,4,52,14,140,,
GSE311359,iPSC_derived_microglia,S4,IFNGR1_nsig_e2,other,IFNGR1_nsig_e2,False,no measured feature matches the nominated cis gene,5,60,13,145,,
GSE311359,iPSC_derived_microglia,S5,IFNGR1_nsig_e2,other,IFNGR1_nsig_e2,False,no measured feature matches the nominated cis gene,5,54,15,148,,
GSE311359,iPSC_derived_microglia,S6,IFNGR1_nsig_e2,other,IFNGR1_nsig_e2,False,no measured feature matches the nominated cis gene,5,66,13,129,,
GSE311359,iPSC_derived_microglia,S7,IFNGR1_nsig_e2,other,IFNGR1_nsig_e2,False,no measured feature matches the nominated cis gene,5,62,13,135,,
GSE311359,iPSC_derived_microglia,S1,IFNGR1_sig_e1,other,IFNGR1_sig_e1,False,no measured feature matches the nominated cis gene,5,37,15,145,,
GSE311359,iPSC_derived_microglia,S2,IFNGR1_sig_e1,other,IFNGR1_sig_e1,False,no measured feature matches the nominated cis gene,5,59,12,143,,
GSE311359,iPSC_derived_microglia,S3,IFNGR1_sig_e1,other,IFNGR1_sig_e1,False,no measured feature matches the nominated cis gene,5,48,14,140,,
GSE311359,iPSC_derived_microglia,S4,IFNGR1_sig_e1,other,IFNGR1_sig_e1,False,no measured feature matches the nominated cis gene,5,51,13,145,,
GSE311359,iPSC_derived_microglia,S5,IFNGR1_sig_e1,other,IFNGR1_sig_e1,False,no measured feature matches the nominated cis gene,5,54,15,148,,
GSE311359,iPSC_derived_microglia,S6,IFNGR1_sig_e1,other,IFNGR1_sig_e1,False,no measured feature matches the nominated cis gene,5,42,13,129,,
GSE311359,iPSC_derived_microglia,S7,IFNGR1_sig_e1,other,IFNGR1_sig_e1,False,no measured feature matches the nominated cis gene,5,49,13,135,,
GSE311359,iPSC_derived_microglia,S1,IFNGR1_sig_e2,other,IFNGR1_sig_e2,False,no measured feature matches the nominated cis gene,4,58,15,145,,
GSE311359,iPSC_derived_microglia,S2,IFNGR1_sig_e2,other,IFNGR1_sig_e2,False,no measured feature matches the nominated cis gene,4,34,12,143,,
GSE311359,iPSC_derived_microglia,S3,IFNGR1_sig_e2,other,IFNGR1_sig_e2,False,no measured feature matches the nominated cis gene,4,52,14,140,,
GSE311359,iPSC_derived_microglia,S4,IFNGR1_sig_e2,other,IFNGR1_sig_e2,False,no measured feature matches the nominated cis gene,4,47,13,145,,
GSE311359,iPSC_derived_microglia,S5,IFNGR1_sig_e2,other,IFNGR1_sig_e2,False,no measured feature matches the nominated cis gene,3,47,15,148,,
GSE311359,iPSC_derived_microglia,S6,IFNGR1_sig_e2,other,IFNGR1_sig_e2,False,no measured feature matches the nominated cis gene,4,66,13,129,,
GSE311359,iPSC_derived_microglia,S7,IFNGR1_sig_e2,other,IFNGR1_sig_e2,False,no measured feature matches the nominated cis gene,4,45,13,135,,
GSE311359,iPSC_derived_microglia,S1,IFNGR1_sig_e3,other,IFNGR1_sig_e3,False,no measured feature matches the nominated cis gene,7,64,15,145,,
GSE311359,iPSC_derived_microglia,S2,IFNGR1_sig_e3,other,IFNGR1_sig_e3,False,no measured feature matches the nominated cis gene,6,71,12,143,,
GSE311359,iPSC_derived_microglia,S3,IFNGR1_sig_e3,other,IFNGR1_sig_e3,False,no measured feature matches the nominated cis gene,7,63,14,140,,
GSE311359,iPSC_derived_microglia,S4,IFNGR1_sig_e3,other,IFNGR1_sig_e3,False,no measured feature matches the nominated cis gene,6,65,13,145,,
GSE311359,iPSC_derived_microglia,S5,IFNGR1_sig_e3,other,IFNGR1_sig_e3,False,no measured feature matches the nominated cis gene,7,63,15,148,,
GSE311359,iPSC_derived_microglia,S6,IFNGR1_sig_e3,other,IFNGR1_sig_e3,False,no measured feature matches the nominated cis gene,6,55,13,129,,
GSE311359,iPSC_derived_microglia,S7,IFNGR1_sig_e3,other,IFNGR1_sig_e3,False,no measured feature matches the nominated cis gene,6,48,13,135,,
GSE311359,iPSC_derived_microglia,S1,IFNGR1_sig_e4,other,IFNGR1_sig_e4,False,no measured feature matches the nominated cis gene,9,103,15,145,,
GSE311359,iPSC_derived_microglia,S2,IFNGR1_sig_e4,other,IFNGR1_sig_e4,False,no measured feature matches the nominated cis gene,9,115,12,143,,
GSE311359,iPSC_derived_microglia,S3,IFNGR1_sig_e4,other,IFNGR1_sig_e4,False,no measured feature matches the nominated cis gene,9,101,14,140,,
GSE311359,iPSC_derived_microglia,S4,IFNGR1_sig_e4,other,IFNGR1_sig_e4,False,no measured feature matches the nominated cis gene,9,102,13,145,,
GSE311359,iPSC_derived_microglia,S5,IFNGR1_sig_e4,other,IFNGR1_sig_e4,False,no measured feature matches the nominated cis gene,9,78,15,148,,
