operator_index,matrix_id,source,operator_measured,family,family_support_count,family_loss_weight_num,family_loss_weight_den,family_loss_weight,target_count,student_visible_count,teacher_support_count,target_fraction_within_family,student_visible_fraction_of_universe,per_address_expected_loss_mass
11,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
11,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
12,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
12,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
13,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
13,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
14,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
14,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
15,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
15,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
16,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
16,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
17,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
17,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
18,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
18,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
19,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
19,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
20,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
20,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
21,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
21,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
22,HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
22,HVS::e813d04b-7833-4b02-b14f-0247d6128516,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
23,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,18736,COMMON_CORE,17186,8593,9368,0.9172715627668659,8593,8593,18736,0.5,0.2083757699209467,5.33731853116994e-05
23,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,HVS,18736,OPERATOR_NATIVE,1550,775,9368,0.08272843723313407,775,17961,18736,0.5,0.43554488578495565,5.33731853116994e-05
24,sea_ad_ang_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
24,sea_ad_ang_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
25,sea_ad_caudate_rna_all_2025,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
25,sea_ad_caudate_rna_all_2025,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
26,sea_ad_fi_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
26,sea_ad_fi_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
27,sea_ad_hip_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
27,sea_ad_hip_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
28,sea_ad_itg_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
28,sea_ad_itg_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
29,sea_ad_lec_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
29,sea_ad_lec_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
30,sea_ad_mec_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
30,sea_ad_mec_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
31,sea_ad_mtg_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
31,sea_ad_mtg_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
32,sea_ad_pfc_a9_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
32,sea_ad_pfc_a9_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
33,sea_ad_stg_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
33,sea_ad_stg_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
34,sea_ad_v1c_rna_final_2026,SEA_AD,35076,COMMON_CORE,17186,8593,17538,0.4899646481924963,8593,8593,35076,0.5,0.2083757699209467,2.8509522180408255e-05
34,sea_ad_v1c_rna_final_2026,SEA_AD,35076,OPERATOR_NATIVE,17890,8945,17538,0.5100353518075037,8945,26131,35076,0.5,0.6336631262427858,2.8509522180408255e-05
35,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,NPH52,32445,COMMON_CORE,17186,17186,32445,0.5296964093080598,8593,8593,32445,0.5,0.2083757699209467,3.082139004469102e-05
35,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,NPH52,32445,OPERATOR_NATIVE,15259,15259,32445,0.4703035906919402,7629,24816,32445,0.4999672324529786,0.6017750618361706,3.082139004469102e-05
36,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,NPH52,30294,COMMON_CORE,17186,8593,15147,0.5673070575031359,8593,8593,30294,0.5,0.2083757699209467,3.3009836931405556e-05
36,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,NPH52,30294,OPERATOR_NATIVE,13108,6554,15147,0.4326929424968641,6554,23740,30294,0.5,0.5756826228236093,3.3009836931405556e-05
37,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,NPH52,34405,COMMON_CORE,17186,17186,34405,0.4995204185438163,8593,8593,34405,0.5,0.2083757699209467,2.9065542799011773e-05
37,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,NPH52,34405,OPERATOR_NATIVE,17219,17219,34405,0.5004795814561837,8609,25796,34405,0.49997096230907717,0.6255395508996556,2.9065542799011773e-05
38,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,NPH52,33205,COMMON_CORE,17186,17186,33205,0.5175726547206746,8593,8593,33205,0.5,0.2083757699209467,3.0115946393615418e-05
38,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,NPH52,33205,OPERATOR_NATIVE,16019,16019,33205,0.4824273452793254,8009,25196,33205,0.4999687870653599,0.6109898637179301,3.0115946393615418e-05
39,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,NPH52,31131,COMMON_CORE,17186,17186,31131,0.5520542224792008,8593,8593,31131,0.5,0.2083757699209467,3.212232180141981e-05
39,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,NPH52,31131,OPERATOR_NATIVE,13945,13945,31131,0.4479457775207992,6972,24159,31131,0.4999641448547867,0.585843154372181,3.212232180141981e-05
40,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52,31399,COMMON_CORE,17186,17186,31399,0.5473422720468805,8593,8593,31399,0.5,0.2083757699209467,3.1848148030192044e-05
40,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,NPH52,31399,OPERATOR_NATIVE,14213,14213,31399,0.45265772795311954,7106,24293,31399,0.49996482093857736,0.589092584509433,3.1848148030192044e-05
41,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52,33524,COMMON_CORE,17186,8593,16762,0.5126476554110488,8593,8593,33524,0.5,0.2083757699209467,2.982937596945472e-05
41,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,NPH52,33524,OPERATOR_NATIVE,16338,8169,16762,0.4873523445889512,8169,25355,33524,0.5,0.6148455308210874,2.982937596945472e-05
