"guide_donor","guide_identity","donor","Gene_Targeted","crispr","n_cells","total_counts"
"APP_CRISPRi_sgRNA_2||D1","APP_CRISPRi_sgRNA_2","D1","APP","Perturbed",15,107425
"APP_CRISPRi_sgRNA_2||D2","APP_CRISPRi_sgRNA_2","D2","APP","Perturbed",9,70651
"APP_CRISPRi_sgRNA_3||D1","APP_CRISPRi_sgRNA_3","D1","APP","Perturbed",13,119465
"APP_CRISPRi_sgRNA_3||D2","APP_CRISPRi_sgRNA_3","D2","APP","Perturbed",5,53166
"APP_CRISPRi_sgRNA_4||D1","APP_CRISPRi_sgRNA_4","D1","APP","Perturbed",22,202218
"APP_CRISPRi_sgRNA_4||D2","APP_CRISPRi_sgRNA_4","D2","APP","Perturbed",5,27633
"APP_CRISPRi_sgRNA_5||D1","APP_CRISPRi_sgRNA_5","D1","APP","Perturbed",16,127058
"APP_CRISPRi_sgRNA_5||D2","APP_CRISPRi_sgRNA_5","D2","APP","Perturbed",9,78114
"AXL_CRISPRi_sgRNA_1||D1","AXL_CRISPRi_sgRNA_1","D1","AXL","Perturbed",28,253373
"AXL_CRISPRi_sgRNA_1||D2","AXL_CRISPRi_sgRNA_1","D2","AXL","Perturbed",14,108893
"AXL_CRISPRi_sgRNA_2||D1","AXL_CRISPRi_sgRNA_2","D1","AXL","Perturbed",19,195679
"AXL_CRISPRi_sgRNA_2||D2","AXL_CRISPRi_sgRNA_2","D2","AXL","Perturbed",14,110517
"AXL_CRISPRi_sgRNA_3||D1","AXL_CRISPRi_sgRNA_3","D1","AXL","Perturbed",22,187935
"AXL_CRISPRi_sgRNA_3||D2","AXL_CRISPRi_sgRNA_3","D2","AXL","Perturbed",8,58286
"AXL_CRISPRi_sgRNA_4||D1","AXL_CRISPRi_sgRNA_4","D1","AXL","Perturbed",38,349241
"AXL_CRISPRi_sgRNA_4||D2","AXL_CRISPRi_sgRNA_4","D2","AXL","Perturbed",20,147639
"AXL_CRISPRi_sgRNA_5||D1","AXL_CRISPRi_sgRNA_5","D1","AXL","Perturbed",4,33262
"AXL_CRISPRi_sgRNA_5||D2","AXL_CRISPRi_sgRNA_5","D2","AXL","Perturbed",7,56639
"BIN1_CRISPRi_sgRNA_1||D1","BIN1_CRISPRi_sgRNA_1","D1","BIN1","Perturbed",9,84356
"BIN1_CRISPRi_sgRNA_1||D2","BIN1_CRISPRi_sgRNA_1","D2","BIN1","Perturbed",4,27486
"BIN1_CRISPRi_sgRNA_2||D1","BIN1_CRISPRi_sgRNA_2","D1","BIN1","Perturbed",28,263228
"BIN1_CRISPRi_sgRNA_2||D2","BIN1_CRISPRi_sgRNA_2","D2","BIN1","Perturbed",17,117833
"BIN1_CRISPRi_sgRNA_3||D1","BIN1_CRISPRi_sgRNA_3","D1","BIN1","Perturbed",29,302976
"BIN1_CRISPRi_sgRNA_3||D2","BIN1_CRISPRi_sgRNA_3","D2","BIN1","Perturbed",13,110295
"BIN1_CRISPRi_sgRNA_4||D1","BIN1_CRISPRi_sgRNA_4","D1","BIN1","Perturbed",10,101596
"BIN1_CRISPRi_sgRNA_4||D2","BIN1_CRISPRi_sgRNA_4","D2","BIN1","Perturbed",3,20236
"BIN1_CRISPRi_sgRNA_5||D1","BIN1_CRISPRi_sgRNA_5","D1","BIN1","Perturbed",16,159892
"BIN1_CRISPRi_sgRNA_5||D2","BIN1_CRISPRi_sgRNA_5","D2","BIN1","Perturbed",4,27587
"C1QA_CRISPRi_sgRNA_1||D1","C1QA_CRISPRi_sgRNA_1","D1","C1QA","Perturbed",15,92907
"C1QA_CRISPRi_sgRNA_1||D2","C1QA_CRISPRi_sgRNA_1","D2","C1QA","Perturbed",5,34399
"C1QA_CRISPRi_sgRNA_2||D1","C1QA_CRISPRi_sgRNA_2","D1","C1QA","Perturbed",21,228813
"C1QA_CRISPRi_sgRNA_2||D2","C1QA_CRISPRi_sgRNA_2","D2","C1QA","Perturbed",10,78669
"C1QA_CRISPRi_sgRNA_3||D1","C1QA_CRISPRi_sgRNA_3","D1","C1QA","Perturbed",7,77530
"C1QA_CRISPRi_sgRNA_3||D2","C1QA_CRISPRi_sgRNA_3","D2","C1QA","Perturbed",6,43709
"C1QA_CRISPRi_sgRNA_4||D1","C1QA_CRISPRi_sgRNA_4","D1","C1QA","Perturbed",12,132386
"C1QA_CRISPRi_sgRNA_4||D2","C1QA_CRISPRi_sgRNA_4","D2","C1QA","Perturbed",6,41409
"C1QA_CRISPRi_sgRNA_5||D1","C1QA_CRISPRi_sgRNA_5","D1","C1QA","Perturbed",6,48242
"C1QA_CRISPRi_sgRNA_5||D2","C1QA_CRISPRi_sgRNA_5","D2","C1QA","Perturbed",3,24307
"C1QB_CRISPRi_sgRNA_1||D1","C1QB_CRISPRi_sgRNA_1","D1","C1QB","Perturbed",21,224516
"C1QB_CRISPRi_sgRNA_1||D2","C1QB_CRISPRi_sgRNA_1","D2","C1QB","Perturbed",13,102154
"C1QB_CRISPRi_sgRNA_2||D1","C1QB_CRISPRi_sgRNA_2","D1","C1QB","Perturbed",13,116554
"C1QB_CRISPRi_sgRNA_2||D2","C1QB_CRISPRi_sgRNA_2","D2","C1QB","Perturbed",9,66754
"C1QB_CRISPRi_sgRNA_3||D1","C1QB_CRISPRi_sgRNA_3","D1","C1QB","Perturbed",53,466076
"C1QB_CRISPRi_sgRNA_3||D2","C1QB_CRISPRi_sgRNA_3","D2","C1QB","Perturbed",26,206956
"C1QB_CRISPRi_sgRNA_4||D1","C1QB_CRISPRi_sgRNA_4","D1","C1QB","Perturbed",26,207470
"C1QB_CRISPRi_sgRNA_4||D2","C1QB_CRISPRi_sgRNA_4","D2","C1QB","Perturbed",13,101856
"C1QB_CRISPRi_sgRNA_5||D1","C1QB_CRISPRi_sgRNA_5","D1","C1QB","Perturbed",69,655059
"C1QB_CRISPRi_sgRNA_5||D2","C1QB_CRISPRi_sgRNA_5","D2","C1QB","Perturbed",28,195375
"C1QC_CRISPRi_sgRNA_1||D1","C1QC_CRISPRi_sgRNA_1","D1","C1QC","Perturbed",11,83093
"C1QC_CRISPRi_sgRNA_1||D2","C1QC_CRISPRi_sgRNA_1","D2","C1QC","Perturbed",4,26311
"C1QC_CRISPRi_sgRNA_2||D1","C1QC_CRISPRi_sgRNA_2","D1","C1QC","Perturbed",12,72931
"C1QC_CRISPRi_sgRNA_2||D2","C1QC_CRISPRi_sgRNA_2","D2","C1QC","Perturbed",6,46620
"C1QC_CRISPRi_sgRNA_3||D1","C1QC_CRISPRi_sgRNA_3","D1","C1QC","Perturbed",27,275202
"C1QC_CRISPRi_sgRNA_3||D2","C1QC_CRISPRi_sgRNA_3","D2","C1QC","Perturbed",16,104176
"C1QC_CRISPRi_sgRNA_4||D1","C1QC_CRISPRi_sgRNA_4","D1","C1QC","Perturbed",14,154848
"C1QC_CRISPRi_sgRNA_4||D2","C1QC_CRISPRi_sgRNA_4","D2","C1QC","Perturbed",6,77640
"C1QC_CRISPRi_sgRNA_5||D2","C1QC_CRISPRi_sgRNA_5","D2","C1QC","Perturbed",1,6250
"C3AR1_CRISPRi_sgRNA_1||D1","C3AR1_CRISPRi_sgRNA_1","D1","C3AR1","Perturbed",19,162147
"C3AR1_CRISPRi_sgRNA_1||D2","C3AR1_CRISPRi_sgRNA_1","D2","C3AR1","Perturbed",14,94338
"C3AR1_CRISPRi_sgRNA_2||D1","C3AR1_CRISPRi_sgRNA_2","D1","C3AR1","Perturbed",14,110820
"C3AR1_CRISPRi_sgRNA_2||D2","C3AR1_CRISPRi_sgRNA_2","D2","C3AR1","Perturbed",11,108295
"C3AR1_CRISPRi_sgRNA_3||D1","C3AR1_CRISPRi_sgRNA_3","D1","C3AR1","Perturbed",17,159638
"C3AR1_CRISPRi_sgRNA_3||D2","C3AR1_CRISPRi_sgRNA_3","D2","C3AR1","Perturbed",3,16778
"C3AR1_CRISPRi_sgRNA_4||D1","C3AR1_CRISPRi_sgRNA_4","D1","C3AR1","Perturbed",4,30578
"C3AR1_CRISPRi_sgRNA_4||D2","C3AR1_CRISPRi_sgRNA_4","D2","C3AR1","Perturbed",2,14534
"C3AR1_CRISPRi_sgRNA_5||D1","C3AR1_CRISPRi_sgRNA_5","D1","C3AR1","Perturbed",32,322610
"C3AR1_CRISPRi_sgRNA_5||D2","C3AR1_CRISPRi_sgRNA_5","D2","C3AR1","Perturbed",23,138899
"C9orf72_CRISPRi_sgRNA_1||D1","C9orf72_CRISPRi_sgRNA_1","D1","C9orf72","Perturbed",10,100727
"C9orf72_CRISPRi_sgRNA_1||D2","C9orf72_CRISPRi_sgRNA_1","D2","C9orf72","Perturbed",7,48601
"C9orf72_CRISPRi_sgRNA_2||D1","C9orf72_CRISPRi_sgRNA_2","D1","C9orf72","Perturbed",2,17606
"C9orf72_CRISPRi_sgRNA_3||D1","C9orf72_CRISPRi_sgRNA_3","D1","C9orf72","Perturbed",7,81668
"C9orf72_CRISPRi_sgRNA_3||D2","C9orf72_CRISPRi_sgRNA_3","D2","C9orf72","Perturbed",6,48779
"C9orf72_CRISPRi_sgRNA_4||D1","C9orf72_CRISPRi_sgRNA_4","D1","C9orf72","Perturbed",6,44334
"CCR2_CRISPRi_sgRNA_1||D1","CCR2_CRISPRi_sgRNA_1","D1","CCR2","Perturbed",14,128590
"CCR2_CRISPRi_sgRNA_1||D2","CCR2_CRISPRi_sgRNA_1","D2","CCR2","Perturbed",10,85829
"CCR2_CRISPRi_sgRNA_2||D1","CCR2_CRISPRi_sgRNA_2","D1","CCR2","Perturbed",26,209534
"CCR2_CRISPRi_sgRNA_2||D2","CCR2_CRISPRi_sgRNA_2","D2","CCR2","Perturbed",14,89585
"CCR2_CRISPRi_sgRNA_3||D1","CCR2_CRISPRi_sgRNA_3","D1","CCR2","Perturbed",48,487489
"CCR2_CRISPRi_sgRNA_3||D2","CCR2_CRISPRi_sgRNA_3","D2","CCR2","Perturbed",52,467549
"CCR2_CRISPRi_sgRNA_4||D1","CCR2_CRISPRi_sgRNA_4","D1","CCR2","Perturbed",14,134861
"CCR2_CRISPRi_sgRNA_5||D1","CCR2_CRISPRi_sgRNA_5","D1","CCR2","Perturbed",34,335324
"CCR2_CRISPRi_sgRNA_5||D2","CCR2_CRISPRi_sgRNA_5","D2","CCR2","Perturbed",21,175359
"CD14_CRISPRi_sgRNA_1||D1","CD14_CRISPRi_sgRNA_1","D1","CD14","Perturbed",12,111366
"CD14_CRISPRi_sgRNA_1||D2","CD14_CRISPRi_sgRNA_1","D2","CD14","Perturbed",9,73337
"CD14_CRISPRi_sgRNA_2||D1","CD14_CRISPRi_sgRNA_2","D1","CD14","Perturbed",3,18054
"CD14_CRISPRi_sgRNA_3||D1","CD14_CRISPRi_sgRNA_3","D1","CD14","Perturbed",26,198277
"CD14_CRISPRi_sgRNA_3||D2","CD14_CRISPRi_sgRNA_3","D2","CD14","Perturbed",11,84539
"CD14_CRISPRi_sgRNA_4||D1","CD14_CRISPRi_sgRNA_4","D1","CD14","Perturbed",11,104555
"CD14_CRISPRi_sgRNA_4||D2","CD14_CRISPRi_sgRNA_4","D2","CD14","Perturbed",3,26122
"CD14_CRISPRi_sgRNA_5||D1","CD14_CRISPRi_sgRNA_5","D1","CD14","Perturbed",19,133990
"CD14_CRISPRi_sgRNA_5||D2","CD14_CRISPRi_sgRNA_5","D2","CD14","Perturbed",10,76075
"CD180_CRISPRi_sgRNA_1||D1","CD180_CRISPRi_sgRNA_1","D1","CD180","Perturbed",9,98809
"CD180_CRISPRi_sgRNA_1||D2","CD180_CRISPRi_sgRNA_1","D2","CD180","Perturbed",5,35263
"CD180_CRISPRi_sgRNA_2||D1","CD180_CRISPRi_sgRNA_2","D1","CD180","Perturbed",2,11823
