"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRi","D1","ICAM3",TRUE,5,82,98,1425,-1.1128085953148,0,0
"GSE301119","CRISPRi","D1","IFNGR1",TRUE,5,63,98,1425,-1.024569041626,0.749992736018983,0.3354069480739
"GSE301119","CRISPRi","D1","IFNGR2",TRUE,5,84,98,1425,-0.539355555969245,0.553176292460649,0.247387958696663
"GSE301119","CRISPRi","D1","IL10",TRUE,5,83,98,1425,-1.9535679231348,2.40441383982877,1.07528655837968
"GSE301119","CRISPRi","D1","IL15",TRUE,5,156,98,1425,0.281237756507296,0.612894980968655,0.274094968102871
"GSE301119","CRISPRi","D1","IL15RA",TRUE,5,124,98,1425,-2.25482835080745,2.33011253077994,1.0420580028096
"GSE301119","CRISPRi","D1","IL1R1",TRUE,5,87,98,1425,-1.00502958656664,1.74739956091583,0.781460840412218
"GSE301119","CRISPRi","D1","IL1R2",TRUE,5,85,98,1425,0.298932885772686,1.09576412421239,0.490040613808885
"GSE301119","CRISPRi","D1","IL1RN",TRUE,5,70,98,1425,-1.6995429467439,1.56899693246792,0.701676759497383
"GSE301119","CRISPRi","D1","IL21R",TRUE,5,141,98,1425,-0.832772719331515,0,0
"GSE301119","CRISPRi","D1","IL23A",TRUE,5,59,98,1425,-0.222458333613811,0,0
"GSE301119","CRISPRi","D1","IL2RA",TRUE,5,58,98,1425,-1.88995707908767,0,0
"GSE301119","CRISPRi","D1","IL2RG",TRUE,5,90,98,1425,-2.19356765469353,2.41690605018513,1.08087324468889
"GSE301119","CRISPRi","D1","IL6R",TRUE,5,111,98,1425,-0.291879781588446,0.554252059245241,0.24786905622832
"GSE301119","CRISPRi","D1","ILDR1",TRUE,5,28,98,1425,-0.108794796947628,0,0
"GSE301119","CRISPRi","D1","IRF5",TRUE,5,67,98,1425,-0.547543127957551,0.358690541469977,0.160411286722615
"GSE301119","CRISPRi","D1","IRF8",TRUE,5,24,98,1425,-0.179867731302648,0.410503849155604,0.18358290234745
"GSE301119","CRISPRi","D1","ITGA5",TRUE,5,114,98,1425,-0.687095278891567,0.622634377556098,0.278450558668741
"GSE301119","CRISPRi","D1","ITGAL",TRUE,5,136,98,1425,-0.540906498407906,1.69659479284262,0.758740257413655
"GSE301119","CRISPRi","D1","ITGAM",TRUE,5,61,98,1425,-2.51710101743347,2.07350170498001,0.927298152759404
"GSE301119","CRISPRi","D1","ITGAX",TRUE,5,54,98,1425,-2.36463160336719,2.80972871261272,1.256548879947
"GSE301119","CRISPRi","D1","ITGB2",TRUE,5,86,98,1425,-0.348919783736959,0.816708669439795,0.365243220536157
